pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2721069,AndlyticsProject/andlytics,java,558,1388408956,,1388408966,0,,unknown,false,false,3,7,0,0,0,0,0,0,5,5,1,3,1,65,38164,4,0,5,0.5240540823813018,0.026202704119065088,0.13101352059532545,250,nelenkov,167,0.9760479041916168,60,false,true
2701042,AndlyticsProject/andlytics,java,557,1388053355,,1388083774,506,,unknown,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,60,38164,0,0,1,0.5240540823813018,0.026202704119065088,0.13101352059532545,250,IGZJcMinarro,0,0,0,false,false
2606552,AndlyticsProject/andlytics,java,554,1386659853,1386659857,1386659857,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,61,38164,0,0,0,0.5240540823813018,0.026202704119065088,0.13101352059532545,250,nelenkov,166,0.9759036144578314,60,false,true
2606509,AndlyticsProject/andlytics,java,553,1386659272,1386659278,1386659278,0,0,github,false,false,1,1,0,0,0,0,0,0,6,6,6,0,0,62,38086,231,0,0,0.5251273433807698,0.02625636716903849,0.13128183584519246,250,nelenkov,165,0.9757575757575757,60,false,true
2580212,AndlyticsProject/andlytics,java,552,1386255634,1386255641,1386255641,0,0,github,false,false,1,1,0,0,0,0,0,0,17,17,0,17,0,58,38086,0,0,2,0.5251273433807698,0.02625636716903849,0.13128183584519246,250,AndyScherzinger,79,0.9746835443037974,17,false,false
2580129,AndlyticsProject/andlytics,java,551,1386254748,1386254755,1386254755,0,0,github,false,false,1,2,0,0,0,0,19,1,1,21,0,0,21,60,38086,0,0,2,0.5251273433807698,0.02625636716903849,0.13128183584519246,250,AndyScherzinger,78,0.9743589743589743,17,false,false
2543000,AndlyticsProject/andlytics,java,550,1386180372,1386180382,1386180382,0,0,github,false,false,1,1,0,0,0,0,0,0,4,4,4,0,0,57,38094,10,0,0,0.5250170630545492,0.026250853152727464,0.1312542657636373,250,AndyScherzinger,77,0.974025974025974,17,false,false
2543001,AndlyticsProject/andlytics,java,549,1386166496,1386166511,1386166511,0,0,github,false,false,1,1,0,0,0,2,1,0,1,2,0,0,2,60,38094,0,0,0,0.5250170630545492,0.026250853152727464,0.1312542657636373,250,AndyScherzinger,76,0.9736842105263158,17,false,false
2442851,AndlyticsProject/andlytics,java,545,1384355198,1384355209,1384355209,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,59,38094,0,0,0,0.5250170630545492,0.026250853152727464,0.1312542657636373,248,AndyScherzinger,75,0.9733333333333334,17,false,false
2231914,AndlyticsProject/andlytics,java,541,1381305150,1381305164,1381305164,0,0,github,false,false,2,1,0,0,0,0,4,0,0,4,0,2,2,78,38094,0,0,0,0.5250170630545492,0.026250853152727464,0.1312542657636373,247,AndyScherzinger,74,0.972972972972973,15,false,false
2037177,AndlyticsProject/andlytics,java,535,1378257819,1378257824,1378257824,0,0,github,false,false,2,1,0,0,0,0,0,0,2,2,0,2,0,78,38094,0,0,19,0.5250170630545492,0.026250853152727464,0.1312542657636373,246,nelenkov,164,0.975609756097561,45,false,true
2037148,AndlyticsProject/andlytics,java,534,1378257029,1378257048,1378257048,0,0,github,false,false,2,1,0,0,0,0,0,0,2,2,1,1,0,79,38074,29,0,15,0.5252928507643011,0.026264642538215057,0.13132321269107528,246,nelenkov,163,0.9754601226993865,45,false,true
2033046,AndlyticsProject/andlytics,java,533,1378193324,1378193329,1378193329,0,0,github,false,false,2,1,0,0,0,0,0,1,12,13,8,5,0,79,38166,683,0,87,0.5240266205523241,0.026201331027616202,0.13100665513808102,246,nelenkov,162,0.9753086419753086,45,false,true
2016204,AndlyticsProject/andlytics,java,532,1377957211,1377957214,1377957214,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,80,38162,22,0,3,0.524081547088727,0.02620407735443635,0.13102038677218175,246,nelenkov,161,0.9751552795031055,45,false,true
2016205,AndlyticsProject/andlytics,java,531,1377838149,1377838155,1377838155,0,0,github,false,false,2,1,0,0,0,0,0,0,7,7,7,0,0,80,38107,100,0,38,0.5248379562809983,0.026241897814049914,0.13120948907024957,246,nelenkov,160,0.975,44,false,true
2016170,AndlyticsProject/andlytics,java,530,1377834559,1377834569,1377834569,0,0,github,false,false,2,3,0,0,0,0,13,0,13,26,11,3,10,81,37334,1418,0,72,0.5357047195585793,0.026785235977928964,0.13392617988964484,246,nelenkov,159,0.9748427672955975,44,false,true
1951100,AndlyticsProject/andlytics,java,527,1376911886,1376911894,1376911894,0,0,github,false,false,2,1,0,0,0,0,0,0,2,2,0,2,0,81,37334,0,0,1,0.5357047195585793,0.026785235977928964,0.13392617988964484,246,AndyScherzinger,73,0.9726027397260274,15,false,false
1945834,AndlyticsProject/andlytics,java,526,1376752163,1376752170,1376752170,0,0,github,false,false,2,1,0,0,0,0,0,0,5,5,0,5,0,82,37334,0,0,0,0.5357047195585793,0.026785235977928964,0.13392617988964484,246,AndyScherzinger,72,0.9722222222222222,15,false,false
1940935,AndlyticsProject/andlytics,java,525,1376651361,1376651371,1376651371,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,85,37331,4,0,5,0.5357477699499076,0.02678738849749538,0.1339369424874769,246,AndyScherzinger,71,0.971830985915493,15,false,false
1940587,AndlyticsProject/andlytics,java,524,1376646933,1376649102,1376649102,36,36,github,false,false,2,3,0,2,2,2,1,1,2,4,1,0,3,86,37331,2,0,5,0.5357477699499076,0.02678738849749538,0.1339369424874769,246,AndyScherzinger,70,0.9714285714285714,15,false,false
1927851,AndlyticsProject/andlytics,java,521,1376452027,1376457788,1376457788,96,96,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,84,37330,4,0,8,0.5357621216180016,0.02678810608090008,0.1339405304045004,246,nelenkov,158,0.9746835443037974,41,false,true
1927829,AndlyticsProject/andlytics,java,520,1376451514,1376451518,1376451518,0,0,github,false,false,3,3,0,0,0,0,0,0,8,8,6,2,0,85,37282,164,0,63,0.5364519070865297,0.026822595354326486,0.13411297677163242,246,nelenkov,157,0.9745222929936306,41,false,true
1927802,AndlyticsProject/andlytics,java,519,1376451016,1376451024,1376451024,0,0,github,false,false,3,1,0,0,0,0,0,0,2,2,0,2,0,85,34247,0,0,4,0.5839927584897947,0.029199637924489735,0.14599818962244868,246,nelenkov,156,0.9743589743589743,41,false,true
2016202,AndlyticsProject/andlytics,java,518,1376391677,1376391682,1376391682,0,0,github,false,false,3,0,0,0,0,0,0,0,0,0,0,0,0,83,34213,0,0,0,0.584573115482419,0.029228655774120947,0.14614327887060474,246,nelenkov,155,0.9741935483870968,41,false,true
1925052,AndlyticsProject/andlytics,java,517,1376319357,1376319364,1376319364,0,0,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,84,37282,4,0,11,0.5364519070865297,0.026822595354326486,0.13411297677163242,246,nelenkov,154,0.974025974025974,41,false,true
1914474,AndlyticsProject/andlytics,java,515,1376054310,1376055154,1376055154,14,14,github,false,false,3,2,0,0,0,0,0,0,3,3,2,1,0,84,37279,34,0,30,0.5364950776576626,0.026824753882883124,0.13412376941441564,246,nelenkov,153,0.9738562091503268,41,false,true
