pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commits_open,num_pr_comments,num_issue_comments,num_commit_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,commits_to_hottest_file,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,closer,merger,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member,social_connection_tsay,hotness_vasilescu,team_size_vasilescu,description_complexity,workload,prior_interaction_issue_events,prior_interaction_issue_comments,prior_interaction_pr_events,prior_interaction_pr_comments,prior_interaction_commits,prior_interaction_commit_comments,first_response,ci_latency,ci_errors,ci_test_failures
7771602,Bitmessage/PyBitmessage,python,796,1433001315,1435773179,1435773179,46197,46197,commits_in_master,false,false,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,11787,0,0,0,0,0.0,0.0,0.0,1398,rzr,Atheros1,Atheros1,0,0,12,false,false,false,0.0,2,9,10,0,0,0,0,1,0,24390,-1,false,false
6859393,Bitmessage/PyBitmessage,python,792,1427481750,1427481937,1427481937,3,3,commits_in_master,false,false,1,2,2,0,0,2,2,0,0,0,5,5,5,0,0,0,11774,53,0,4,2,0.0,0.0,0.0,1355,Atheros1,Atheros1,Atheros1,220,0.990909090909091,31,false,true,false,0.0,3,34,7,6,35,18,0,26,2,-1,-1,false,false
6763436,Bitmessage/PyBitmessage,python,790,1426935375,1435772977,1435772977,147353,147353,commits_in_master,false,false,1,3,3,0,0,0,0,1,0,0,1,1,1,0,0,0,11774,4896,0,5,5,0.0,0.0,0.0,1354,timothyparez,Atheros1,Atheros1,0,0,1,false,false,false,0.2,3,38,11,0,2,0,0,3,0,-1,-1,false,false
6707307,Bitmessage/PyBitmessage,python,789,1426624747,1435772241,1435772241,152518,152518,commits_in_master,false,false,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,11774,2,0,2,2,0.0,0.0,0.0,1351,Erkan-Yilmaz,Atheros1,Atheros1,1,1.0,12,false,false,false,0.08,3,2,11,0,0,1,0,2,0,130672,-1,false,false
6707196,Bitmessage/PyBitmessage,python,788,1426624503,1435772202,1435772202,152521,152521,commits_in_master,false,false,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,11774,2,0,2,2,0.0,0.0,0.0,1351,Erkan-Yilmaz,Atheros1,Atheros1,0,0,12,false,false,false,0.08,3,1,11,0,0,0,0,1,0,130677,-1,false,false
6509443,Bitmessage/PyBitmessage,python,784,1425400986,,1425421033,334,,unknown,false,false,1,6,1,0,3,0,3,2,0,0,4,4,3,0,1,0,11652,3334,0,20,16,0.0,0.0,0.0,1340,felidosz,felidosz,,1,1.0,1,false,true,false,0.09090909090909091,3,201,7,0,2,3,0,0,0,115,-1,false,false
6374855,Bitmessage/PyBitmessage,python,783,1424556793,1424562240,1424562242,90,90,github,false,false,1,2,2,0,0,0,0,0,0,0,5,5,5,0,0,0,11673,237,0,8,6,0.0,0.0,0.0,1329,Atheros1,Atheros1,Atheros1,218,0.9954128440366973,31,false,true,false,0.1875,3,142,9,10,43,29,0,29,2,-1,-1,false,false
6369853,Bitmessage/PyBitmessage,python,782,1424521767,1425034304,1425034304,8542,8542,commits_in_master,false,false,1,2,2,0,3,0,3,2,0,0,3,3,2,0,1,0,11673,45,0,13,13,0.0,0.0,0.0,1329,felidosz,felidosz,felidosz,0,0,1,false,true,false,0.0,3,17,7,0,0,0,0,0,0,778,-1,false,false
6235737,Bitmessage/PyBitmessage,python,781,1423667762,,1423667815,0,,unknown,false,false,1,14,14,0,0,0,0,0,2,0,3,5,4,0,0,0,11673,2370,0,5,5,0.0,0.0,0.0,1324,wmantly,wmantly,,2,0.0,4,false,false,false,0.0,3,1,7,0,1,4,0,0,0,-1,-1,false,false
6176904,Bitmessage/PyBitmessage,python,778,1423254725,1423254882,1423254882,2,2,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,11666,48,0,0,0,0.0,0.0,0.0,1320,Atheros1,Atheros1,Atheros1,217,0.9953917050691244,31,false,true,false,0.0,3,3,7,9,31,31,0,29,2,-1,-1,false,false
