pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2655105,Catrobat/Paintroid,java,176,1387289527,1387362589,1387362589,1217,1217,commits_in_master,false,false,5,1,0,1,1,1,0,0,3,3,1,1,1,48,23771,25,0,10,253.41803037314375,6.478482184173994,28.90076143199697,16,dladenhauf,7,0.2857142857142857,0,true,true
2390588,Catrobat/Paintroid,java,170,1383660261,1383663005,1383663005,45,45,commits_in_master,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,68,23594,36,0,3,244.34178180893448,6.399932186149021,28.43943375434432,16,dladenhauf,6,0.3333333333333333,0,true,true
2390295,Catrobat/Paintroid,java,169,1383658232,1384270979,1384270979,10212,10212,commits_in_master,false,false,8,31,0,0,0,0,1,0,16,17,15,1,0,68,23594,662,592,174,244.34178180893448,6.399932186149021,28.43943375434432,16,schmidiM,15,0.5333333333333333,0,true,false
2377264,Catrobat/Paintroid,java,168,1383478884,1383663497,1383663497,3076,3076,commits_in_master,false,false,8,2,0,1,1,1,0,0,2,2,2,0,0,68,23594,33,30,7,244.34178180893448,6.399932186149021,28.43943375434432,16,schmidiM,14,0.5714285714285714,0,true,false
2361150,Catrobat/Paintroid,java,164,1383213092,,1383233841,345,,unknown,false,false,8,21,0,0,0,0,6,0,14,20,9,2,3,66,23560,191,519,32,244.6943972835314,6.409168081494058,28.480475382003394,16,schmidiM,13,0.6153846153846154,0,true,false
2348451,Catrobat/Paintroid,java,163,1383062505,1383214430,1383214430,2532,2532,commits_in_master,false,false,8,6,0,2,2,2,5,6,3,14,1,0,6,67,23560,82,0,5,244.6943972835314,6.409168081494058,28.480475382003394,15,dladenhauf,5,0.4,0,true,true
2325980,Catrobat/Paintroid,java,162,1382692173,1382692269,1382692269,1,1,commits_in_master,false,false,8,5,0,0,0,0,0,0,3,3,3,0,0,67,23551,47,2,30,244.78790709524012,6.45407838308352,28.49135917795423,15,dladenhauf,4,0.5,0,true,true
2306483,Catrobat/Paintroid,java,161,1382448312,1382448411,1382448411,1,1,github,false,false,8,2,0,0,0,0,5,1,0,6,0,0,6,68,23714,0,0,0,248.29214809816986,6.662730876275617,30.530488319136374,15,dladenhauf,3,0.3333333333333333,0,true,true
2266904,Catrobat/Paintroid,java,160,1381849458,1382614123,1382614123,12744,12744,commits_in_master,false,false,8,33,0,3,3,1,2,2,16,20,15,4,0,72,23714,670,1191,444,248.29214809816986,6.662730876275617,30.530488319136374,15,X4mp,11,0.0,2,true,true
2215838,Catrobat/Paintroid,java,159,1381046355,1381727741,1381727741,11356,11356,commits_in_master,false,false,8,1,0,0,0,0,0,0,1,1,0,1,0,74,23737,0,0,1,248.05156506719467,6.656275013691705,30.500905758941737,15,X4mp,10,0.0,2,true,true
