pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1151923,CocoaPods/CocoaPods,797,1360805583,,1360805815,3,,5,1,1,1,31,4606,21,0,0,1087.2774641771603,3990,madninja,0,0,0,false,false
1150578,CocoaPods/CocoaPods,796,1360776270,,1360901844,2092,,5,9,0,21,29,4606,186,48,0,1087.2774641771603,3990,dillonlucente,0,0,0,false,false
1147348,CocoaPods/CocoaPods,793,1360686007,,1360687923,31,,5,1,10,1,28,4606,2,0,0,1087.2774641771603,3990,zhigang1992,0,0,6,false,false
958960,CocoaPods/CocoaPods,783,1360053957,1360258830,1360258830,3414,3414,5,2,5,2,11,4592,14,4,3,1089.7212543554008,1992,kbok,0,0,4,false,false
949876,CocoaPods/CocoaPods,768,1359410594,1359447040,1359447040,607,607,4,1,3,4,8,4574,26,49,2,1076.0822037603848,1992,drodriguez,0,0,23,false,false
828434,CocoaPods/CocoaPods,750,1358767871,1358931592,1358931592,2728,2728,4,2,2,24,6,4575,273,13,2,1073.4426229508197,3984,dcutting,1,1.0,0,false,true
840026,CocoaPods/CocoaPods,740,1358283443,1358328040,1358328040,743,743,4,1,0,1,7,4575,8,0,0,1073.4426229508197,1992,0xced,1,0.0,263,false,false
840028,CocoaPods/CocoaPods,739,1358282752,,1358283240,8,,4,1,0,1,6,4575,8,0,0,1073.4426229508197,3984,0xced,0,0,526,false,false
840029,CocoaPods/CocoaPods,736,1358163098,1358163201,1358163202,1,1,4,1,0,1,6,4575,0,0,0,1073.4426229508197,3984,twealm,0,0,0,false,false
788456,CocoaPods/CocoaPods,728,1357748098,1358103763,1358103764,5927,5927,4,2,6,3,6,4572,18,19,0,1071.522309711286,3982,nevyn,0,0,238,false,false
768913,CocoaPods/CocoaPods,710,1356713202,,1357573008,14330,,5,1,0,1,7,4567,2,0,0,1072.6954236917013,3976,et1337,0,0,0,false,false
765617,CocoaPods/CocoaPods,709,1356627046,1357576059,1357576059,15816,15816,5,1,1,1,7,4567,7,0,2,1072.6954236917013,3976,Keithbsmiley,1,1.0,20,false,false
684989,CocoaPods/CocoaPods,680,1354760987,,1354815334,905,,5,4,9,6,15,4567,27,7,0,1072.6954236917013,3778,mneorr,0,0,60,false,false
666055,CocoaPods/CocoaPods,678,1354652287,1354695666,1354695666,722,722,5,1,1,1,15,4567,2,0,18,1072.6954236917013,1880,brentnycum,0,0,0,false,false
654383,CocoaPods/CocoaPods,676,1354607911,,1354609265,22,,5,1,1,1,15,4541,2,0,0,1076.414886588857,3750,xslim,2,1.0,32,false,true
840025,CocoaPods/CocoaPods,673,1354542602,1354633084,1354633084,1508,1508,5,1,0,3,15,4581,50,24,51,1080.1135123335516,3742,rsobik,0,0,6,false,true
641939,CocoaPods/CocoaPods,672,1354538933,1354632536,1354632536,1560,1560,5,6,3,10,15,4541,61,13,11,1076.414886588857,3742,lassebm,0,0,0,false,true
565463,CocoaPods/CocoaPods,662,1353976917,1354026762,1354026762,830,830,3,1,2,2,15,4541,6,0,7,1076.414886588857,1844,Keithbsmiley,0,0,9,false,false
478718,CocoaPods/CocoaPods,649,1352871229,1352926445,1352926445,920,920,3,1,3,1,27,4541,10,0,7,1075.313807531381,1842,uasi,0,0,40,false,true
468020,CocoaPods/CocoaPods,642,1352664848,1352730462,1352730462,1093,1093,3,1,1,1,28,4540,2,0,6,1075.5506607929515,1842,coryalder,0,0,16,false,false
518480,CocoaPods/CocoaPods,602,1350440772,1350649007,1350649007,3470,3470,7,4,5,4,43,4529,18,0,84,1082.1373371605212,1839,croach,2,0.5,16,false,false
518481,CocoaPods/CocoaPods,597,1350199906,1351093914,1351093914,14900,14900,8,1,1,1,41,4529,4,0,0,1082.1373371605212,1835,nschum,0,0,13,false,false
518478,CocoaPods/CocoaPods,584,1349574676,,1354633593,84255,,9,1,2,2,40,4531,14,18,0,1081.6596777753255,1817,blakewatters,0,0,108,false,false
518479,CocoaPods/CocoaPods,579,1349486505,,1354633687,85726,,9,1,0,1,38,4531,8,0,0,1081.6596777753255,1816,croach,1,1.0,16,false,false
518585,CocoaPods/CocoaPods,576,1349462071,1349704454,1349704454,4039,4039,9,2,0,2,38,4531,12,0,112,1081.6596777753255,3632,jonathanpenn,0,0,66,false,true
518483,CocoaPods/CocoaPods,572,1349376786,1350431894,1350431894,17585,17585,9,0,8,0,38,4529,0,0,0,1082.1373371605212,3624,croach,0,0,32,false,false
518485,CocoaPods/CocoaPods,571,1349358637,1349359193,1349359193,9,9,8,2,5,2,38,4517,12,0,25,1085.012176223157,3622,xslim,1,1.0,32,false,true
