pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2775959,DataTorrent/Malhar,java,618,1389306127,1389306814,1389306814,11,11,github,false,false,12,1,0,0,0,0,0,0,3,3,4,0,0,77,31410,84,2,4,515.6319643425661,8.404966571155683,24.705507800063675,9,davidyan-malhar,20,0.3,1,false,true
2768981,DataTorrent/Malhar,java,616,1389221066,1389221092,1389221092,0,0,github,false,false,12,1,0,0,0,0,1,0,2,3,0,2,1,78,31400,0,0,3,515.7961783439491,8.40764331210191,24.713375796178344,9,nickholub,30,0.36666666666666664,0,false,true
2762392,DataTorrent/Malhar,java,614,1389134243,1389134371,1389134371,2,2,github,false,false,12,1,0,0,0,0,0,0,1,1,1,0,0,78,31382,2,0,0,516.0920272767828,8.412465744694412,24.727550825313873,9,davidyan-malhar,19,0.2631578947368421,1,false,true
2756649,DataTorrent/Malhar,java,613,1389057283,1389057312,1389057312,0,0,github,false,false,11,16,0,0,0,0,26,1,50,77,37,18,2,79,31382,1270,0,104,516.0920272767828,8.412465744694412,24.727550825313873,9,andyperlitch,26,0.46153846153846156,4,false,true
2756000,DataTorrent/Malhar,java,612,1389046839,1389047047,1389047047,3,3,github,false,false,11,1,0,0,0,0,0,0,2,2,2,0,0,79,31300,166,0,20,517.220447284345,8.434504792332268,24.76038338658147,9,gauravgopi123,27,0.2222222222222222,0,false,true
2754745,DataTorrent/Malhar,java,611,1389033585,1389119936,1389119936,1439,1439,github,false,false,11,1,0,0,0,0,0,0,1,1,1,0,0,79,31783,0,22,3,517.0059465752131,8.432180725545102,24.604348236478618,9,gauravgopi123,26,0.19230769230769232,0,false,true
2743300,DataTorrent/Malhar,java,609,1388790852,,1389046871,4266,,unknown,false,false,11,5,0,0,0,1,0,0,2,2,2,0,0,79,31300,238,0,0,517.220447284345,8.434504792332268,24.76038338658147,9,gauravgopi123,25,0.2,0,false,true
2743112,DataTorrent/Malhar,java,608,1388788367,1388788378,1388788378,0,0,github,false,false,11,1,0,0,0,0,0,0,1,1,1,0,0,79,31300,2,0,7,517.220447284345,8.434504792332268,24.76038338658147,9,nickholub,29,0.3448275862068966,0,false,true
2739730,DataTorrent/Malhar,java,606,1388786869,1389119919,1389119919,5550,5550,github,false,false,11,1,1,0,1,1,2,0,2,4,3,1,0,79,31783,191,97,13,517.0059465752131,8.432180725545102,24.604348236478618,9,ashwinchandrap,14,0.35714285714285715,0,false,true
2742610,DataTorrent/Malhar,java,605,1388783137,,1389030168,4117,,unknown,false,false,11,1,0,1,1,1,0,0,1,1,1,0,0,79,31300,18,0,0,517.220447284345,8.434504792332268,24.76038338658147,9,gauravgopi123,24,0.20833333333333334,0,false,true
2722912,DataTorrent/Malhar,java,603,1388434620,1388434636,1388434636,0,0,commits_in_master,false,false,11,1,0,0,0,0,0,0,4,4,3,0,0,80,31300,85,0,18,517.220447284345,8.434504792332268,24.76038338658147,9,nickholub,28,0.35714285714285715,0,false,true
