pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
81970,Eichhoernchen/SiriServer,python,371,1333771003,,1333801120,501,,unknown,false,false,2,1,0,0,0,2,0,0,1,1,0,1,0,18,4370,0,0,0,0.0,0.0,0.0,45,trevor403,0,0,0,false,false
82178,Eichhoernchen/SiriServer,python,356,1331040861,,1333801162,46065,,unknown,false,false,2,3,0,1,1,2,2,0,1,3,2,0,0,19,4370,52,0,0,0.0,0.0,0.0,45,snxraven,2,0.0,0,false,false
82175,Eichhoernchen/SiriServer,python,352,1330624586,,1333801166,53003,,unknown,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,19,4370,2,0,0,0.0,0.0,0.0,45,joshua144,0,0,0,false,false
865283,Eichhoernchen/SiriServer,python,350,1330470235,1330705303,1330705303,3917,3917,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,18,4370,4,0,56,0.0,0.0,0.0,45,appnt,0,0,0,false,false
46698,Eichhoernchen/SiriServer,python,349,1330406336,,1333801178,56640,,unknown,false,false,2,166,0,29,29,9,37,17,39,93,41,0,19,18,4370,5414,25,0,0.0,0.0,0.0,45,apexad,0,0,0,false,false
376558,Eichhoernchen/SiriServer,python,338,1330158485,,1331040926,14707,,unknown,false,false,2,4,0,3,3,2,1,0,3,4,3,0,1,18,4370,29,0,0,0.0,0.0,0.0,45,snxraven,1,0.0,0,true,false
376524,Eichhoernchen/SiriServer,python,337,1330135189,,1330158349,386,,unknown,false,false,2,4,0,1,1,1,1,0,3,4,3,0,1,18,4370,29,0,0,0.0,0.0,0.0,45,snxraven,0,0,0,true,false
41842,Eichhoernchen/SiriServer,python,332,1330046978,,1333801188,62630,,unknown,false,false,2,165,0,74,74,7,9,1,29,39,28,1,3,18,4370,3107,0,0,0.0,0.0,0.0,45,jimmykane,2,0.0,14,false,false
40886,Eichhoernchen/SiriServer,python,330,1330005313,,1330008235,48,,unknown,false,false,2,8,0,0,0,2,0,0,5,5,3,1,1,18,4370,192,0,0,0.0,0.0,0.0,45,jimmykane,1,0.0,14,false,false
38571,Eichhoernchen/SiriServer,python,324,1329864016,,1329931719,1128,,unknown,false,false,2,6,0,10,10,5,0,0,4,4,2,1,1,18,4370,84,0,0,0.0,0.0,0.0,45,jimmykane,0,0,14,false,false
34540,Eichhoernchen/SiriServer,python,301,1329542311,1329561590,1329561590,321,321,github,false,false,2,2,0,0,0,0,0,0,1,1,1,0,0,19,4364,16,0,108,0.0,0.0,0.0,45,cale250,1,1.0,3,false,false
33709,Eichhoernchen/SiriServer,python,296,1329484347,1329562519,1329562519,1302,1302,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,18,4364,5,0,2,0.0,0.0,0.0,45,boeaja,0,0,0,false,false
31872,Eichhoernchen/SiriServer,python,281,1329352937,,1333801191,74197,,unknown,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,18,4364,53,0,0,0.0,0.0,0.0,45,jztech101,3,0.0,0,false,false
31840,Eichhoernchen/SiriServer,python,280,1329350800,,1329350833,0,,unknown,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,18,4364,138,0,0,0.0,0.0,0.0,45,jztech101,2,0.0,0,false,false
31836,Eichhoernchen/SiriServer,python,279,1329350800,,1333801195,74233,,unknown,false,false,2,1,0,9,9,7,0,0,1,1,1,0,0,18,4364,138,0,0,0.0,0.0,0.0,45,jztech101,1,0.0,0,false,false
31829,Eichhoernchen/SiriServer,python,278,1329350386,,1329352886,41,,unknown,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,18,4364,87,0,0,0.0,0.0,0.0,45,jztech101,0,0,0,false,false
373837,Eichhoernchen/SiriServer,python,260,1329254453,1329335983,1329335983,1358,1358,github,false,false,2,1,0,2,2,2,0,0,1,1,1,0,0,16,4339,27,0,21,0.0,0.0,0.0,45,tripkip,6,0.8333333333333334,1,true,false
373829,Eichhoernchen/SiriServer,python,259,1329253157,,1329253889,12,,unknown,false,false,2,8,0,2,2,1,0,0,1,1,1,0,0,16,4339,27,0,0,0.0,0.0,0.0,45,tripkip,5,1.0,1,true,false
30760,Eichhoernchen/SiriServer,python,258,1329249328,1329249436,1329249436,1,1,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,16,4339,2,0,15,0.0,0.0,0.0,45,john-dev,10,0.6,5,false,false
30618,Eichhoernchen/SiriServer,python,256,1329240123,,1333801198,76077,,unknown,false,false,2,1,1,8,9,3,0,0,1,1,1,0,0,14,4339,69,0,0,0.0,0.0,0.0,45,john-dev,9,0.6666666666666666,5,false,false
30604,Eichhoernchen/SiriServer,python,255,1329239418,,1329249282,164,,unknown,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,14,4339,4,0,0,0.0,0.0,0.0,45,john-dev,8,0.75,5,false,false
373753,Eichhoernchen/SiriServer,python,253,1329236729,,1333801207,76134,,unknown,false,false,2,1,0,1,1,2,0,0,1,1,1,0,0,14,4339,8,0,0,0.0,0.0,0.0,45,spangborn,1,1.0,2,true,false
30365,Eichhoernchen/SiriServer,python,247,1329214197,,1329214289,1,,unknown,false,false,2,1,0,1,1,1,0,0,1,1,0,1,0,14,4339,0,0,0,0.0,0.0,0.0,45,john-dev,7,0.8571428571428571,5,false,false
29077,Eichhoernchen/SiriServer,python,234,1329087465,,1333801211,78622,,unknown,false,false,2,1,0,5,5,4,0,0,1,1,1,0,0,14,4296,338,0,0,0.0,0.0,0.0,45,blind0wl,0,0,0,false,false
