pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2706962,EmilHernvall/tregmine,java,243,1388139889,1388150242,1388150242,172,172,commits_in_master,false,false,2,1,0,0,0,1,10,0,0,10,5,3,2,72,52879,401,0,0,0.0,0.0,0.0,8,JoshMorgan,20,0.4,0,false,false
2694283,EmilHernvall/tregmine,java,242,1387875771,1388150234,1388150234,4574,4574,commits_in_master,false,false,2,2,0,2,2,2,3,0,1,4,2,1,0,72,52879,302,0,0,0.0,0.0,0.0,8,JoshMorgan,19,0.42105263157894735,0,false,false
2685115,EmilHernvall/tregmine,java,241,1387675686,,1388150465,7912,,unknown,false,false,2,6,0,1,1,2,0,0,4,4,4,0,0,72,52643,146,0,40,0.0,0.0,0.0,8,sabersamus,14,0.21428571428571427,2,false,false
2671232,EmilHernvall/tregmine,java,238,1387458339,1388150280,1388150280,11532,11532,commits_in_master,false,false,2,2,0,0,0,0,0,0,2,2,2,0,0,72,52879,23,0,12,0.0,0.0,0.0,8,lDiverse,111,0.24324324324324326,2,false,false
2666609,EmilHernvall/tregmine,java,236,1387389168,1388150319,1388150319,12685,12685,commits_in_master,false,false,2,3,0,2,2,1,0,0,1,1,1,0,0,72,52879,60,0,3,0.0,0.0,0.0,8,lDiverse,109,0.24770642201834864,2,false,false
2665189,EmilHernvall/tregmine,java,235,1387378435,1387387883,1387387883,157,157,commits_in_master,false,false,2,3,0,2,2,2,0,0,2,2,2,0,0,72,52839,52,0,67,0.0,0.0,0.0,8,lDiverse,108,0.25,2,false,false
2662705,EmilHernvall/tregmine,java,234,1387364654,1387385897,1387385897,354,354,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,72,52839,2,0,1,0.0,0.0,0.0,8,lDiverse,107,0.2523364485981308,2,false,false
2658362,EmilHernvall/tregmine,java,233,1387319635,1387385848,1387385848,1103,1103,commits_in_master,false,false,2,2,0,2,2,2,0,0,1,1,1,0,0,72,52839,166,0,6,0.0,0.0,0.0,8,lDiverse,106,0.25471698113207547,2,false,false
2657286,EmilHernvall/tregmine,java,232,1387309044,1387310654,1387310654,26,26,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,73,52830,4,0,20,0.0,0.0,0.0,8,lDiverse,105,0.2571428571428571,2,false,false
2646622,EmilHernvall/tregmine,java,230,1387196282,1387196367,1387196367,1,1,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,74,52170,21,0,2,0.0,0.0,0.0,8,lDiverse,104,0.25961538461538464,2,false,false
2641493,EmilHernvall/tregmine,java,229,1387102509,1387308033,1387308033,3425,3425,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,76,52153,90,0,18,0.0,0.0,0.0,8,lDiverse,103,0.2621359223300971,2,false,false
2641357,EmilHernvall/tregmine,java,228,1387098333,1387307885,1387307885,3492,3492,commits_in_master,false,false,2,7,0,1,1,1,3,0,3,6,4,0,0,76,52153,301,0,34,0.0,0.0,0.0,8,lDiverse,102,0.2647058823529412,2,false,false
2641191,EmilHernvall/tregmine,java,227,1387093033,1387126540,1387126540,558,558,commits_in_master,false,false,2,2,0,0,0,0,0,0,2,2,2,0,0,75,52153,10,0,20,0.0,0.0,0.0,8,lDiverse,101,0.26732673267326734,2,false,false
