pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2621473,Findwise/Hydra,java,290,1386835294,1386920905,1386920905,1426,1426,commits_in_master,false,false,4,4,0,0,0,0,0,0,3,3,3,0,0,56,14095,48,62,15,553.4586732884002,28.236963462220643,33.061369279886485,59,remen,14,0.5,0,false,false
2608831,Findwise/Hydra,java,287,1386684148,1386687043,1386687043,48,48,github,false,false,4,1,0,0,0,0,0,0,1,1,0,1,0,55,14095,0,0,1,553.4586732884002,28.236963462220643,33.061369279886485,59,remen,12,0.5,0,false,false
2570714,Findwise/Hydra,java,286,1386137689,1386165227,1386165227,458,458,github,false,false,4,1,0,0,0,0,1,0,2,3,3,0,0,61,14073,12,88,6,553.6843601222199,28.28110566332694,33.04199531016841,59,remen,11,0.45454545454545453,0,false,false
2544983,Findwise/Hydra,java,284,1385748777,,1385831937,1386,,unknown,false,false,4,1,0,0,0,1,0,0,1,1,1,0,0,60,14073,24,0,0,553.6843601222199,28.28110566332694,33.04199531016841,59,remen,9,0.5555555555555556,0,false,false
2542169,Findwise/Hydra,java,283,1385729912,1386173355,1386173355,7390,7390,commits_in_master,false,false,4,2,0,1,1,1,0,0,2,2,2,0,0,62,14073,45,0,5,553.6843601222199,28.28110566332694,33.04199531016841,59,laserval,29,0.3793103448275862,7,false,false
2530782,Findwise/Hydra,java,282,1385563635,1385564834,1385564834,19,19,github,false,false,3,1,0,1,1,1,0,0,2,2,2,0,0,63,13957,2,21,0,544.4579780755176,26.93988679515655,31.382102170953644,59,andreassalomonsson,7,0.7142857142857143,1,false,true
2529094,Findwise/Hydra,java,280,1385546328,1386138167,1386138167,9863,9863,commits_in_master,false,false,3,6,0,2,2,2,4,1,7,12,2,5,2,63,13957,260,0,4,544.4579780755176,26.93988679515655,31.382102170953644,59,laserval,28,0.39285714285714285,7,false,false
2516249,Findwise/Hydra,java,277,1385391020,1385491063,1385491063,1667,1667,commits_in_master,false,false,3,1,0,2,2,2,1,0,5,6,6,0,0,66,13838,50,0,4,541.8413065471889,26.882497470732762,30.712530712530715,59,laserval,27,0.4074074074074074,7,false,false
2515950,Findwise/Hydra,java,276,1385388535,1385487061,1385487061,1642,1642,commits_in_master,false,false,3,2,0,1,1,1,1,0,5,6,5,1,0,65,13838,300,162,1,541.8413065471889,26.882497470732762,30.712530712530715,59,laserval,26,0.4230769230769231,7,false,false
2502422,Findwise/Hydra,java,275,1385135650,1385723522,1385723522,9797,9797,commits_in_master,false,false,3,4,0,4,4,2,3,0,3,6,5,1,0,64,13838,597,994,0,541.8413065471889,26.882497470732762,30.712530712530715,59,laserval,25,0.44,7,false,false
2500704,Findwise/Hydra,java,274,1385119563,1385487102,1385487102,6125,6125,commits_in_master,false,false,3,1,0,1,1,1,0,0,2,2,1,1,0,64,13838,0,19,1,541.8413065471889,26.882497470732762,30.712530712530715,59,laserval,24,0.4583333333333333,7,false,false
2355418,Findwise/Hydra,java,270,1383143403,1383232233,1383232233,1480,1480,commit_sha_in_comments,false,false,3,1,0,3,3,2,0,0,2,2,2,0,0,67,13629,77,102,0,548.5362095531588,27.147993249688163,31.183505759776946,56,staunsbjerg,0,0,1,false,false
2326490,Findwise/Hydra,java,264,1382698132,1383209561,1383209561,8463,8463,commits_in_master,false,false,3,38,0,4,4,2,14,1,19,34,32,0,0,67,13629,1896,1694,15,548.5362095531588,27.147993249688163,31.183505759776946,56,laserval,23,0.4782608695652174,7,false,false
2218795,Findwise/Hydra,java,262,1381122242,1381122792,1381122792,9,9,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,76,13370,4,0,1,553.3283470456245,27.44951383694839,31.039640987284965,54,laserval,22,0.45454545454545453,7,false,false
2209431,Findwise/Hydra,java,261,1380893346,1381129513,1381129513,3936,3936,github,false,false,3,1,0,0,0,0,0,0,18,18,0,18,0,76,13370,0,0,6,553.3283470456245,27.44951383694839,31.039640987284965,54,Nycander,5,0.2,2,false,true
2189168,Findwise/Hydra,java,260,1380652902,1381215593,1381215593,9378,9378,merged_in_comments,false,false,3,7,2,3,5,4,6,1,5,12,8,2,1,78,13370,1045,0,0,553.3283470456245,27.44951383694839,31.039640987284965,54,ebbesson,1,0.0,3,false,false
2186085,Findwise/Hydra,java,258,1380623711,1385483066,1385483066,80929,80929,commits_in_master,false,false,2,10,1,4,5,2,2,0,15,17,16,1,1,80,13370,618,235,4,553.3283470456245,27.44951383694839,31.039640987284965,54,laserval,21,0.47619047619047616,7,false,false
2129038,Findwise/Hydra,java,257,1379675496,1382101680,1382101680,40436,40436,commits_in_master,false,false,2,2,0,0,0,1,0,0,3,3,3,0,0,81,13189,49,130,4,554.0981120630829,27.598756539540524,30.934869967397074,52,laserval,20,0.5,7,false,false
2185868,Findwise/Hydra,java,254,1379430681,,1380621467,19846,,unknown,false,true,2,1,0,0,0,1,0,0,11,11,11,0,0,80,13189,477,24,0,554.0981120630829,27.598756539540524,30.934869967397074,52,Nycander,4,0.25,2,false,true
2120229,Findwise/Hydra,java,252,1379421123,1380026906,1380026906,10096,10096,github,false,false,2,2,4,0,4,3,0,0,2,2,2,0,0,79,13189,52,35,0,554.0981120630829,27.598756539540524,30.934869967397074,52,Nycander,2,0.0,2,false,true
2098046,Findwise/Hydra,java,250,1378982919,,1382698222,61921,,unknown,false,true,2,16,16,5,21,4,6,0,9,15,14,0,0,78,13189,396,91,0,554.0981120630829,27.598756539540524,30.934869967397074,51,ssimon,1,0.0,0,false,true
2003800,Findwise/Hydra,java,243,1377771793,1378357765,1378357765,9766,9766,commits_in_master,false,false,3,2,0,3,3,2,0,0,1,1,1,0,0,69,13181,600,0,4,554.4344131704726,27.615507169410513,30.953645398679917,51,laserval,19,0.5263157894736842,7,false,false
