pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
735808,Full-House-UW/fullhouse,python,280,1355037035,1355037153,1355037154,1,1,github,false,false,6,1,0,1,1,1,0,0,1,1,1,0,0,71,2588,11,0,38,213.67851622874807,8.500772797527048,37.86707882534776,0,jlowdermilk,35,0.8857142857142857,0,false,false
735701,Full-House-UW/fullhouse,python,279,1355035282,1355035614,1355035614,5,5,github,false,false,6,1,0,4,4,2,0,0,1,1,1,0,0,71,2588,2,0,26,213.67851622874807,8.500772797527048,37.86707882534776,0,natmote,25,0.92,0,false,false
735511,Full-House-UW/fullhouse,python,278,1355033855,1355034675,1355034675,13,13,github,false,false,6,2,0,6,6,4,0,0,2,2,2,0,0,71,2588,8,12,187,213.67851622874807,8.500772797527048,37.86707882534776,0,creisman,26,0.9615384615384616,0,false,true
734975,Full-House-UW/fullhouse,python,277,1355025738,1355032440,1355032440,111,111,github,false,false,6,7,0,18,18,4,0,0,13,13,2,8,0,71,2578,95,0,516,214.50737005430568,8.533747090768037,38.01396431342126,0,creisman,25,0.96,0,false,true
619724,Full-House-UW/fullhouse,python,276,1355019147,1355022230,1355022230,51,51,github,false,false,6,8,1,9,10,2,0,8,13,21,1,9,0,71,2577,5,0,229,214.5906092355452,8.537058595265812,38.02871556072953,0,creisman,24,0.9583333333333334,0,false,true
734084,Full-House-UW/fullhouse,python,275,1355016681,1355019357,1355019357,44,44,github,false,false,6,1,0,3,3,4,0,0,1,1,0,1,0,71,2569,0,0,2,215.25885558583104,8.563643441027637,38.14713896457766,0,jlowdermilk,34,0.8823529411764706,0,false,false
732742,Full-House-UW/fullhouse,python,274,1355007868,1355008914,1355008914,17,17,github,false,false,6,1,0,1,1,1,0,0,1,1,0,0,1,71,2569,0,0,4,215.25885558583104,8.563643441027637,38.14713896457766,0,creisman,23,0.9565217391304348,0,false,true
732545,Full-House-UW/fullhouse,python,273,1355005893,1355006930,1355006930,17,17,github,false,false,6,5,0,6,6,3,0,0,3,3,1,0,2,71,2565,19,0,102,215.5945419103314,8.576998050682262,38.20662768031189,0,JSiu,4,0.75,0,false,true
619213,Full-House-UW/fullhouse,python,272,1354997699,1355001087,1355001088,56,56,github,false,false,6,2,1,3,4,3,1,0,2,3,2,1,0,71,2547,35,0,214,217.1181782489203,8.637612877895563,38.476639183352965,0,creisman,22,0.9545454545454546,0,false,true
724592,Full-House-UW/fullhouse,python,271,1354949356,1354950333,1354950333,16,16,github,false,false,6,1,0,2,2,2,0,0,1,1,1,0,0,70,2550,4,0,74,216.8627450980392,8.627450980392156,38.431372549019606,0,snuriel92,12,1.0,0,false,true
724577,Full-House-UW/fullhouse,python,269,1354947630,1354948694,1354948694,17,17,github,false,false,6,4,0,0,0,0,1,0,4,5,3,1,0,71,2550,38,0,64,216.8627450980392,8.627450980392156,38.431372549019606,0,creisman,21,0.9523809523809523,0,false,true
712110,Full-House-UW/fullhouse,python,268,1354844274,1354931247,1354931247,1449,1449,github,false,false,6,1,0,3,3,2,0,0,4,4,3,1,0,70,2532,46,13,58,216.82464454976304,8.688783570300158,38.30963665086888,0,jlowdermilk,33,0.8787878787878788,0,false,false
615801,Full-House-UW/fullhouse,python,267,1354836977,1354841035,1354841036,67,67,github,false,false,6,2,1,1,2,2,1,0,6,7,5,2,0,70,2520,35,10,136,220.63492063492063,8.730158730158731,40.07936507936508,0,jlowdermilk,32,0.875,0,false,false
689151,Full-House-UW/fullhouse,python,266,1354779779,1354818031,1354818031,637,637,github,false,false,6,1,0,1,1,1,0,0,0,0,0,1,0,70,2515,0,0,0,221.07355864811134,8.747514910536779,40.15904572564612,0,jlowdermilk,31,0.8709677419354839,0,false,false
618549,Full-House-UW/fullhouse,python,263,1354773807,1355016876,1355016876,4051,4051,github,false,false,6,13,18,13,31,4,5,0,5,10,2,5,0,70,2515,135,0,514,221.07355864811134,8.747514910536779,40.15904572564612,0,bkgomez,2,1.0,0,false,true
686585,Full-House-UW/fullhouse,python,262,1354772058,1354779948,1354779948,131,131,github,false,false,6,1,0,1,1,1,0,0,1,1,1,0,0,70,2515,6,0,19,221.07355864811134,8.747514910536779,40.15904572564612,0,natmote,24,0.9166666666666666,0,false,false
686513,Full-House-UW/fullhouse,python,261,1354770764,1354771381,1354771381,10,10,github,false,false,6,1,0,0,0,0,0,0,1,1,1,0,0,70,2490,2,0,11,223.29317269076304,8.835341365461847,40.562248995983936,0,natmote,23,0.9130434782608695,0,false,false
612678,Full-House-UW/fullhouse,python,260,1354766783,1354941426,1354941426,2910,2910,github,false,true,6,7,11,4,15,4,0,0,8,8,2,6,0,70,2490,9,0,137,223.29317269076304,8.835341365461847,40.562248995983936,0,snuriel92,11,1.0,0,false,true
612420,Full-House-UW/fullhouse,python,259,1354752138,1354759804,1354759804,127,127,github,false,false,6,1,2,1,3,2,0,0,1,1,1,0,0,70,2482,18,0,10,224.01289282836422,8.8638195004029,40.69298952457696,0,natmote,22,0.9090909090909091,0,false,false
612664,Full-House-UW/fullhouse,python,258,1354748722,1354771606,1354771606,381,381,github,false,false,6,9,10,1,11,2,0,0,3,3,2,1,0,70,2482,97,0,558,224.01289282836422,8.8638195004029,40.69298952457696,0,natmote,21,0.9047619047619048,0,false,false
676246,Full-House-UW/fullhouse,python,257,1354736337,1354737269,1354737269,15,15,github,false,false,6,4,0,2,2,2,9,0,11,20,2,6,2,69,2481,2031,0,175,224.1031841999194,8.86739218057235,40.709391374445794,0,snuriel92,10,1.0,0,false,true
609324,Full-House-UW/fullhouse,python,239,1354665308,1354680190,1354680190,248,248,github,false,false,6,1,2,0,2,2,0,0,1,1,1,0,0,69,2481,4,0,3,224.1031841999194,8.86739218057235,40.709391374445794,0,jlowdermilk,30,0.8666666666666667,0,false,false
668724,Full-House-UW/fullhouse,python,238,1354662362,1354748640,1354748640,1437,1437,github,false,false,6,1,0,5,5,3,0,0,1,1,1,0,0,69,2481,16,0,9,224.1031841999194,8.86739218057235,40.709391374445794,0,natmote,20,0.9,0,false,false
666415,Full-House-UW/fullhouse,python,237,1354653948,1354737271,1354737271,1388,1388,github,false,false,6,2,0,5,5,3,8,0,2,10,2,1,2,69,2481,2031,0,65,224.1031841999194,8.86739218057235,40.709391374445794,0,jlowdermilk,29,0.8620689655172413,0,false,false
653981,Full-House-UW/fullhouse,python,235,1354604626,1354604772,1354604772,2,2,github,false,false,6,1,0,1,1,1,0,0,1,1,0,1,0,69,2481,0,0,18,224.1031841999194,8.86739218057235,40.709391374445794,0,natmote,19,0.8947368421052632,0,false,false
