pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1166564,Monstercraft/MonsterIRC,java,269,1360714172,1361204210,1361204211,8167,8167,github,false,false,0,2,0,0,0,0,0,0,4,4,4,0,0,100,6990,72,0,0,0.0,0.0,0.0,20,MutinyCraft,0,0,0,false,false
607295,Monstercraft/MonsterIRC,java,255,1350436194,1351992980,1351992980,25886,25886,github,false,false,1,1,0,0,0,0,0,0,4,4,4,0,0,23,6937,25,0,40,0.0,0.0,0.0,19,dewick,0,0,0,false,false
234998,Monstercraft/MonsterIRC,java,235,1344204061,1344204064,1344204065,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,57,6568,0,0,12,0.0,0.0,0.0,18,fletchto99,78,1.0,5,true,false
234995,Monstercraft/MonsterIRC,java,234,1344203956,1344203961,1344203961,0,0,github,false,false,2,1,0,0,0,0,1,0,2,3,1,3,0,57,6628,610,0,28,0.0,0.0,0.0,18,fletchto99,77,1.0,5,true,false
234941,Monstercraft/MonsterIRC,java,233,1344199025,1344199035,1344199035,0,0,github,false,false,2,2,0,0,0,0,1,0,13,14,12,2,0,57,6501,874,0,84,0.0,0.0,0.0,18,fletchto99,76,1.0,5,true,false
219208,Monstercraft/MonsterIRC,java,228,1342809501,1342809504,1342809504,0,0,github,false,false,2,1,0,0,0,0,0,1,2,3,1,2,0,55,6503,5,0,24,0.0,0.0,0.0,18,fletchto99,75,1.0,5,true,false
219201,Monstercraft/MonsterIRC,java,227,1342809142,1342809160,1342809160,0,0,github,false,false,2,1,0,0,0,0,0,0,2,2,2,0,0,55,6466,139,0,10,0.0,0.0,0.0,18,fletchto99,74,1.0,5,true,false
217707,Monstercraft/MonsterIRC,java,226,1342744351,1342744356,1342744356,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,56,6466,0,0,13,0.0,0.0,0.0,18,fletchto99,73,1.0,5,true,false
217694,Monstercraft/MonsterIRC,java,225,1342743553,1342743556,1342743556,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,56,6466,0,0,12,0.0,0.0,0.0,18,fletchto99,72,1.0,5,true,false
217677,Monstercraft/MonsterIRC,java,224,1342742486,1342742520,1342742520,0,0,github,false,false,2,1,0,0,0,0,1,0,4,5,4,1,0,56,6446,38,0,50,0.0,0.0,0.0,18,fletchto99,71,1.0,5,true,false
403288,Monstercraft/MonsterIRC,java,221,1341941881,,1341947613,95,,unknown,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,55,6446,5,0,0,0.0,0.0,0.0,18,ryanclancy000,0,0,5,true,false
196090,Monstercraft/MonsterIRC,java,220,1341795820,1341795824,1341795824,0,0,github,false,false,2,2,0,0,0,0,0,0,4,4,2,2,0,55,6441,11,0,30,0.0,0.0,0.0,18,fletchto99,70,1.0,5,true,false
196032,Monstercraft/MonsterIRC,java,219,1341790267,1341790272,1341790274,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,54,6438,5,0,5,0.0,0.0,0.0,18,fletchto99,69,1.0,5,true,false
196025,Monstercraft/MonsterIRC,java,218,1341790016,1341790020,1341790020,0,0,github,false,false,2,3,0,0,0,0,2,0,13,15,12,3,0,54,6326,214,0,108,0.0,0.0,0.0,18,fletchto99,68,1.0,5,true,false
184521,Monstercraft/MonsterIRC,java,214,1341199557,1341199562,1341199562,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,54,6326,2,0,3,0.0,0.0,0.0,18,fletchto99,67,1.0,5,true,false
184502,Monstercraft/MonsterIRC,java,213,1341196156,1341196160,1341196160,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,54,6323,11,0,2,0.0,0.0,0.0,18,fletchto99,66,1.0,4,true,false
184489,Monstercraft/MonsterIRC,java,212,1341194608,1341194612,1341194613,0,0,github,false,false,2,2,0,0,0,0,0,0,9,9,9,0,0,54,6419,322,0,57,0.0,0.0,0.0,18,fletchto99,65,1.0,4,true,false
183304,Monstercraft/MonsterIRC,java,211,1341085412,1341085415,1341085416,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,54,6419,5,0,10,0.0,0.0,0.0,18,fletchto99,64,1.0,4,true,false
183292,Monstercraft/MonsterIRC,java,210,1341084810,1341084828,1341084829,0,0,github,false,false,2,1,0,0,0,0,0,1,5,6,5,0,1,54,6468,129,0,31,0.0,0.0,0.0,18,fletchto99,63,1.0,4,true,false
173104,Monstercraft/MonsterIRC,java,208,1340567726,1340567730,1340567730,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,54,6468,0,0,12,0.0,0.0,0.0,17,fletchto99,62,1.0,4,true,false
399664,Monstercraft/MonsterIRC,java,203,1340512507,1340566684,1340566684,902,902,github,false,false,2,3,0,0,0,0,0,0,4,4,3,1,0,54,6471,9,0,75,0.0,0.0,0.0,17,dwdcweb,0,0,0,true,false
164181,Monstercraft/MonsterIRC,java,202,1340046525,1340046534,1340046534,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,52,6471,0,0,11,0.0,0.0,0.0,16,fletchto99,61,1.0,4,true,false
