pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2729110,MovingBlocks/Terasology,java,795,1388587714,,1388599650,198,,unknown,false,false,4,1,0,0,0,2,0,0,3,3,2,1,0,47,106985,3,0,21,46.28686264429593,2.663924849277936,5.841940458942842,695,msteiger,15,0.26666666666666666,8,false,true
2728418,MovingBlocks/Terasology,java,794,1388563839,,1388602717,647,,unknown,false,false,4,1,0,0,0,0,2,0,0,2,0,2,0,47,106985,0,0,0,46.28686264429593,2.663924849277936,5.841940458942842,695,msteiger,14,0.2857142857142857,8,false,true
2727168,MovingBlocks/Terasology,java,793,1388518404,,1388518567,2,,unknown,false,false,4,2,0,0,0,1,0,0,1,1,0,0,1,47,106985,0,0,1,46.28686264429593,2.663924849277936,5.841940458942842,695,nh-99,2,0.5,1,false,true
2725124,MovingBlocks/Terasology,java,791,1388481823,,1388483326,25,,unknown,false,true,4,1,0,0,0,2,4,0,5,9,9,0,0,47,106978,432,0,10,46.28989137953598,2.6640991605750717,5.842322720559367,695,msteiger,12,0.3333333333333333,8,false,true
2720347,MovingBlocks/Terasology,java,790,1388396160,,1388401228,84,,unknown,false,false,4,1,0,0,0,2,1,0,1,2,2,0,0,47,106972,33,0,8,46.292487753804735,2.66424858841566,5.842650413192237,695,msteiger,11,0.36363636363636365,8,false,true
2715498,MovingBlocks/Terasology,java,788,1388263250,1388268326,1388268326,84,84,merged_in_comments,false,false,4,8,0,0,0,1,17,0,4,21,22,0,0,47,106902,1641,0,0,46.58472245608127,2.665993152607061,5.846476211857589,695,mkienenb,3,0.0,0,false,true
2714838,MovingBlocks/Terasology,java,786,1388248268,,1388268150,331,,unknown,false,false,4,1,0,1,1,1,0,0,1,1,1,0,0,47,106902,5,0,4,46.58472245608127,2.665993152607061,5.846476211857589,695,mkienenb,1,0.0,0,false,true
2703415,MovingBlocks/Terasology,java,783,1388098418,1388295090,1388295090,3277,3277,merged_in_comments,true,false,4,31,15,16,31,5,4,0,33,37,85,0,9,46,106902,1990,59,259,46.58472245608127,2.665993152607061,5.846476211857589,695,Cervator,3,1.0,24,false,true
2688893,MovingBlocks/Terasology,java,782,1387779978,,1387781580,26,,unknown,false,false,4,1,1,0,1,2,0,0,4,4,4,0,0,45,106985,181,0,26,46.54858157685657,2.663924849277936,5.841940458942842,695,msteiger,10,0.4,8,false,true
2670016,MovingBlocks/Terasology,java,779,1387442739,,1387455779,217,,unknown,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,46,106912,7,0,4,46.5803651601317,2.665743789284645,5.845929362466327,695,msteiger,9,0.4444444444444444,8,false,true
2645999,MovingBlocks/Terasology,java,777,1387188414,,1387193766,89,,unknown,false,false,4,1,0,0,0,0,0,0,2,2,2,0,0,46,106909,6,0,25,46.58167226332675,2.6658185933831575,5.846093406542012,695,msteiger,8,0.5,8,false,true
2643261,MovingBlocks/Terasology,java,776,1387138060,,1387138627,9,,unknown,false,false,4,2,0,0,0,1,0,0,2,2,2,0,0,46,106930,31,0,16,46.5725240811746,2.6652950528383057,5.844945291312073,695,msteiger,7,0.5714285714285714,8,false,true
2638130,MovingBlocks/Terasology,java,775,1387019148,,1387047050,465,,unknown,false,false,4,2,0,0,0,0,3,0,1,4,3,0,0,45,106438,703,87,0,44.908773182510004,2.649429714951427,5.86256787989252,695,msteiger,6,0.6666666666666666,8,false,true
2711666,MovingBlocks/Terasology,java,774,1386872806,1386878145,1386878145,88,88,github,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,44,106438,12,0,5,44.908773182510004,2.649429714951427,5.86256787989252,695,Josharias,4,0.75,0,false,true
2615142,MovingBlocks/Terasology,java,773,1386757812,,1387047049,4820,,unknown,false,false,4,6,1,12,13,4,3,1,5,9,5,0,1,43,106387,113,227,14,44.930301634598216,2.650699803547426,5.865378288700687,695,msteiger,5,0.8,8,false,true
2570043,MovingBlocks/Terasology,java,772,1386733537,1386830121,1386830123,1609,1609,github,false,false,4,6,9,1,10,4,4,3,8,15,11,0,2,43,106387,586,0,27,44.930301634598216,2.650699803547426,5.865378288700687,695,Josharias,3,0.6666666666666666,0,false,true
2542829,MovingBlocks/Terasology,java,770,1386070344,1386070632,1386070632,4,4,github,false,false,4,1,2,0,2,1,0,0,2,2,2,0,0,43,106202,17,0,4,45.008568576862956,2.6553172256643003,5.875595563172068,694,PrivateAlpha,1,0.0,0,false,false
2542830,MovingBlocks/Terasology,java,769,1386010687,,1386131700,2016,,unknown,false,false,4,3,0,4,4,2,1,2,3,6,6,0,0,42,106202,131,0,0,45.008568576862956,2.6553172256643003,5.875595563172068,693,PrivateAlpha,0,0,0,false,false
2535134,MovingBlocks/Terasology,java,768,1385622689,1385623083,1385623083,6,6,github,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,43,105378,0,4,3,44.94296722275997,2.67608039628765,5.921539600296077,690,Josharias,2,0.5,0,false,true
2526980,MovingBlocks/Terasology,java,760,1385511144,1385610001,1385610001,1647,1647,merged_in_comments,false,false,4,6,0,6,6,2,2,0,47,49,12,0,36,43,105031,720,0,143,45.053365196941854,2.6849215945768394,5.941103102893432,690,Josharias,1,1.0,0,false,true
2518008,MovingBlocks/Terasology,java,759,1385406773,1385443220,1385443220,607,607,github,false,false,4,2,0,1,1,3,1,0,2,3,2,0,0,40,104897,724,0,6,45.00605355729907,2.6883514304508234,5.948692526955012,690,msteiger,4,0.75,8,false,true
2512645,MovingBlocks/Terasology,java,758,1385338233,1385442653,1385342664,73,1740,github,false,false,4,3,0,6,6,2,0,0,7,7,7,0,0,40,104897,104,0,33,45.00605355729907,2.6883514304508234,5.948692526955012,690,UltimateBudgie,0,0,1,false,true
2499704,MovingBlocks/Terasology,java,756,1385106414,1385458126,1385458126,5861,5861,github,false,false,4,20,16,8,24,3,12,5,164,181,227,0,148,37,104347,4909,174,256,45.243274842592506,2.7025213949610434,5.980047342041458,690,Josharias,0,0,0,false,true
2496265,MovingBlocks/Terasology,java,755,1385060642,1388295090,1388295090,53907,53907,commit_sha_in_comments,true,false,4,13,1,16,17,4,1,0,21,22,20,0,2,36,103828,248,0,32,45.46943021150364,2.7160303578996032,6.009939515352314,690,msteiger,3,1.0,8,false,true
2480420,MovingBlocks/Terasology,java,754,1384882354,1384923338,1384923338,683,683,github,false,false,4,5,0,1,1,1,0,0,3,3,2,0,1,34,103814,25,0,14,45.47556206292022,2.716396632438785,6.010749995183694,690,msteiger,2,1.0,7,false,true
2473079,MovingBlocks/Terasology,java,753,1384798841,1384801513,1384801513,44,44,github,false,false,4,1,0,0,0,0,0,0,2,2,2,0,0,32,103793,32,0,7,45.48476294162419,2.7169462295145146,6.01196612488318,690,msteiger,1,1.0,7,false,true
