pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2079455,NUBIC/ncs_navigator_core,ruby,298,1378739999,1378746454,1378746454,107,107,github,false,false,8,1,0,0,0,0,1,0,2,3,3,0,0,81,31453,13,0,2,1616.4117890185357,134.2956156805392,211.29939910342415,3,phebal,42,0.7857142857142857,0,true,true
2065793,NUBIC/ncs_navigator_core,ruby,297,1378485366,1378485617,1378485617,4,4,github,false,false,8,2,0,1,1,2,0,0,1,1,1,0,0,80,31442,16,0,6,1616.9772915208955,134.3425990713059,211.37332230774126,3,yipdw,41,0.8048780487804879,11,true,true
1965683,NUBIC/ncs_navigator_core,ruby,296,1377106989,1377109629,1377109629,44,44,github,false,false,9,1,0,0,0,0,0,0,3,3,0,3,0,80,31437,0,0,1,1616.8845627763465,134.33215637624454,211.37513121481058,3,greenone1975,52,0.8461538461538461,0,true,true
1931810,NUBIC/ncs_navigator_core,ruby,295,1376498421,1376499229,1376499230,13,13,github,false,false,10,1,0,0,0,0,0,0,1,1,1,0,0,74,31437,6,0,4,1616.8845627763465,134.33215637624454,211.37513121481058,6,greenone1975,51,0.8431372549019608,0,true,true
1931674,NUBIC/ncs_navigator_core,ruby,294,1376496543,1376496685,1376496686,2,2,github,false,false,10,1,0,0,0,0,0,0,1,1,1,0,0,75,31437,2,0,0,1616.8845627763465,134.33215637624454,211.37513121481058,3,flockom,34,0.8823529411764706,0,true,true
1926421,NUBIC/ncs_navigator_core,ruby,293,1376420594,1376422628,1376422628,33,33,github,false,false,10,1,0,0,0,0,1,0,3,4,4,0,0,75,31424,26,4,5,1617.5534623217923,134.38772912423624,211.46257637474542,3,flockom,33,0.8787878787878788,0,true,true
1926442,NUBIC/ncs_navigator_core,ruby,292,1376418430,,1376420862,40,,unknown,false,false,10,107,0,0,0,1,11,0,79,90,63,18,3,75,31444,931,765,186,1623.3621676631471,135.12911843276936,211.96412670143746,3,greenone1975,50,0.86,0,true,true
1926318,NUBIC/ncs_navigator_core,ruby,291,1376417943,,1376418010,1,,unknown,false,false,10,107,0,0,0,0,11,0,79,90,63,18,3,75,31444,931,765,186,1623.3621676631471,135.12911843276936,211.96412670143746,3,greenone1975,49,0.8775510204081632,0,true,true
2004942,NUBIC/ncs_navigator_core,ruby,290,1376336030,1376394412,1376394412,973,973,github,false,false,10,1,0,0,0,0,0,0,1,1,0,1,0,73,31424,0,0,1,1617.5534623217923,134.38772912423624,211.46257637474542,3,jefflunt,0,0,0,true,true
2004943,NUBIC/ncs_navigator_core,ruby,289,1376331336,1376331648,1376331648,5,5,github,false,false,10,1,0,0,0,0,0,0,1,1,0,1,0,73,31424,0,0,5,1617.5534623217923,134.38772912423624,211.46257637474542,3,yipdw,40,0.8,11,true,true
1898939,NUBIC/ncs_navigator_core,ruby,288,1375816229,1375816282,1375816282,0,0,github,false,false,10,1,0,0,0,0,0,0,1,1,1,0,0,70,31424,2,0,2,1617.9353360488797,134.41955193482687,211.46257637474542,3,yipdw,39,0.7948717948717948,11,true,true
