pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
120933,OakCH/scheduler,ruby,167,1336747461,1336750566,1336750566,51,51,github,false,false,6,1,0,0,0,0,0,0,3,3,0,1,0,77,2502,0,0,40,1094.3245403677058,144.2845723421263,159.47242206235012,6,christinelu,14,0.9285714285714286,0,false,true
111538,OakCH/scheduler,ruby,164,1336054506,1336054511,1336054513,0,0,github,false,false,6,1,0,0,0,0,1,0,1,2,2,0,0,77,2496,11,0,32,1096.9551282051282,144.63141025641028,159.85576923076923,6,sheelc,46,1.0,0,false,false
111114,OakCH/scheduler,ruby,163,1336028550,1336028610,1336028610,1,1,github,false,false,6,4,0,0,0,0,0,0,2,2,2,0,0,78,2496,4,8,7,1094.1506410256409,144.23076923076923,159.4551282051282,6,christinelu,13,0.9230769230769231,0,false,true
111060,OakCH/scheduler,ruby,162,1336025370,1336028347,1336028347,49,49,github,false,false,6,1,0,0,0,0,0,0,2,2,2,0,0,78,2495,1,12,23,1090.1803607214429,143.8877755511022,159.1182364729459,6,helenaut,31,0.8709677419354839,4,false,false
111036,OakCH/scheduler,ruby,161,1336023265,1336023599,1336023599,5,5,github,false,false,6,1,0,0,0,0,0,0,3,3,1,1,0,78,2491,4,0,94,1091.9309514251306,144.11882778000805,159.3737454837415,6,helenaut,30,0.8666666666666667,4,false,false
33483,OakCH/scheduler,ruby,160,1336023078,1336024927,1336024927,30,30,github,false,false,6,5,5,0,5,2,0,0,10,10,0,9,0,78,2491,0,0,121,1091.9309514251306,144.11882778000805,159.3737454837415,6,christinelu,12,0.9166666666666666,0,false,true
110999,OakCH/scheduler,ruby,159,1336018540,1336019894,1336019894,22,22,github,false,false,6,3,0,0,0,0,0,0,2,2,2,0,0,78,2485,20,8,276,1095.3722334004024,144.46680080482898,159.75855130784709,6,christinelu,11,0.9090909090909091,0,false,true
110977,OakCH/scheduler,ruby,156,1336016601,1336016608,1336016609,0,0,github,false,false,6,1,0,0,0,0,0,0,1,1,1,0,0,78,2479,1,0,2,1094.7962888261395,144.41306978620412,159.74183138362244,6,sheelc,45,1.0,0,false,false
110966,OakCH/scheduler,ruby,155,1336015160,1336015180,1336015180,0,0,github,false,false,6,47,0,0,0,0,13,4,29,46,19,3,1,78,2408,139,251,782,1093.8538205980067,144.51827242524917,160.29900332225913,6,sheelc,44,1.0,0,false,false
110926,OakCH/scheduler,ruby,154,1336011176,1336015182,1336015182,66,66,github,false,false,6,45,0,0,0,0,13,4,29,46,19,3,1,78,2408,132,251,775,1093.8538205980067,144.51827242524917,160.29900332225913,6,christinelu,10,0.9,0,false,true
