pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
261208,OpenEMRConnect,92,1345698243,1345698322,1345698322,1,1,1,1,0,2,100,25319,0,0,0,32.26825704016746,18,Pcb,10,0.9,0
209532,OpenEMRConnect,91,1342442684,1342495572,1342495572,881,881,2,1,1,5,50,25306,41,0,0,32.284833636291786,18,gitahi86,34,0.9117647058823529,0
189714,OpenEMRConnect,90,1341459697,1342171531,1342171531,11863,11863,2,1,0,9,100,25367,134,0,0,32.20719832853708,18,gitahi86,33,0.9090909090909091,0
393740,OpenEMRConnect,88,1337849780,1337849799,1337849799,0,0,2,1,0,1,57,25367,0,0,0,32.20719832853708,18,Pcb,9,0.8888888888888888,0
131028,OpenEMRConnect,87,1337619623,1337848365,1337848365,3812,3812,2,1,0,2,55,25367,0,0,1,32.20719832853708,18,jsibley,7,1.0,0
129108,OpenEMRConnect,86,1337416017,1337567773,1337567773,2529,2529,2,1,0,5,61,25374,19,0,0,32.198313234019075,18,pbugni,23,1.0,1
128838,OpenEMRConnect,85,1337373429,1337567667,1337567667,3237,3237,2,1,0,2,60,25374,8,0,0,32.198313234019075,18,jsibley,6,1.0,0
127980,OpenEMRConnect,84,1337311910,1337319714,1337319714,130,130,2,1,0,5,61,25368,16,0,11,32.20592872910754,18,gitahi86,32,0.90625,0
120215,OpenEMRConnect,83,1336706692,1336708510,1336708510,30,30,2,3,0,67,58,25364,3154,0,117,32.211007727487775,18,pbugni,22,1.0,1
118791,OpenEMRConnect,82,1336627972,1336628548,1336628548,9,9,2,2,0,13,62,25309,213,0,21,32.28100675648979,18,gitahi86,31,0.9032258064516129,0
113194,OpenEMRConnect,81,1336168834,1336186898,1336186898,301,301,3,1,0,2,61,25244,83,0,5,32.36412612898115,18,jsibley,5,1.0,0
110565,OpenEMRConnect,80,1335983012,1336017007,1336017007,566,566,3,1,0,3,64,25244,0,0,3,32.36412612898115,18,jsibley,4,1.0,0
