pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2249428,Pylons/deform,python,192,1381519147,1382543660,1382543660,17075,17075,commits_in_master,false,false,6,2,3,0,3,2,1,0,5,6,4,2,0,17,1347,66,101,97,2236.8225686711207,218.2628062360802,496.65924276169267,153,iElectric,5,0.6,56,true,true
2249421,Pylons/deform,python,191,1381519097,1382543954,1382543954,17080,17080,commits_in_master,false,false,6,1,0,0,0,1,0,0,10,10,0,9,1,17,1347,0,0,71,2236.8225686711207,218.2628062360802,496.65924276169267,153,iElectric,4,0.75,56,true,true
2249408,Pylons/deform,python,190,1381519033,1382544753,1382544753,17095,17095,commits_in_master,false,false,6,1,0,0,0,1,0,0,11,11,1,7,1,17,1347,22,0,93,2236.8225686711207,218.2628062360802,496.65924276169267,153,iElectric,3,1.0,56,true,true
2208537,Pylons/deform,python,189,1380885573,1380886921,1380886921,22,22,github,false,false,6,1,0,0,0,0,0,0,1,1,0,1,0,18,1283,0,0,6,2272.798129384256,222.91504286827748,510.5222135619641,153,dairiki,13,0.46153846153846156,1,false,false
2208520,Pylons/deform,python,188,1380885303,1380886304,1380886304,16,16,github,false,false,6,1,0,0,0,1,0,0,1,1,0,1,0,18,1283,0,0,10,2272.798129384256,222.91504286827748,510.5222135619641,153,dairiki,12,0.4166666666666667,1,false,false
2169445,Pylons/deform,python,186,1380319359,1380852021,1380852021,8877,8877,commits_in_master,false,false,6,1,0,0,0,2,0,0,1,1,0,1,0,18,1307,0,0,10,2230.2983932670236,218.82172915072687,501.14766641162964,153,dairiki,10,0.5,1,false,false
2162241,Pylons/deform,python,183,1380218969,1380854282,1380854282,10588,10588,commits_in_master,false,false,6,1,0,1,1,2,0,0,1,1,0,1,0,18,1307,0,0,4,2230.2983932670236,218.82172915072687,501.14766641162964,153,dairiki,7,0.7142857142857143,1,false,false
2162175,Pylons/deform,python,182,1380218411,1380836227,1380836227,10296,10296,commits_in_master,false,false,6,2,1,0,1,2,0,0,3,3,1,2,0,18,1307,10,0,26,2230.2983932670236,218.82172915072687,501.14766641162964,153,dairiki,6,0.8333333333333334,1,false,false
2032740,Pylons/deform,python,179,1378186203,1378186547,1378186547,5,5,github,false,false,5,1,0,0,0,1,0,0,1,1,0,0,1,35,1245,0,0,0,2391.1646586345382,236.144578313253,532.5301204819277,153,calvinhp,1,0.0,11,false,false
1945557,Pylons/deform,python,177,1376745560,1378056635,1378056635,21851,21851,commits_in_master,false,false,6,20,0,10,10,2,0,0,17,17,3,12,1,35,1239,71,14,14,2397.0944309927363,236.4810330912026,534.3018563357547,153,calvinhp,0,0,11,false,false
1936758,Pylons/deform,python,176,1376571866,1376634747,1376634747,1048,1048,commits_in_master,false,false,5,3,0,2,2,1,0,0,3,3,3,0,0,23,1215,48,26,2,2432.098765432099,238.68312757201645,542.3868312757202,153,rbu,8,0.75,5,false,false
1841956,Pylons/deform,python,174,1374841089,,1374846947,97,,unknown,false,false,2,1,0,1,1,1,1,0,0,1,0,0,1,33,1214,0,0,0,2434.102141680395,238.8797364085667,542.833607907743,153,btall,0,0,3,false,false
1498449,Pylons/deform,python,164,1368970620,1368986349,1368986349,262,262,commits_in_master,false,false,4,2,0,0,0,1,0,0,2,2,0,1,0,38,1216,0,0,0,2430.0986842105262,238.48684210526315,541.9407894736842,152,lmctv,5,0.6,0,false,false
1425992,Pylons/deform,python,160,1367513182,,1368025344,8536,,unknown,false,false,4,1,0,3,3,2,0,0,1,1,1,0,0,36,1216,6,0,0,2430.0986842105262,238.48684210526315,541.9407894736842,152,reywood,0,0,0,false,false
1366852,Pylons/deform,python,155,1365866625,1366004784,1366004784,2302,2302,github,false,false,4,1,0,0,0,1,0,0,2,2,0,0,1,43,1216,0,0,0,2430.0986842105262,238.48684210526315,541.9407894736842,152,amleczko,0,0,15,false,false
1299393,Pylons/deform,python,154,1364466395,1364996094,1364996094,8888,8888,github,false,false,3,2,1,2,3,2,0,0,5,5,1,2,2,40,1214,2,0,27,2434.102141680395,238.8797364085667,542.833607907743,152,sweh,0,0,0,false,false
1282099,Pylons/deform,python,153,1363805947,1363808271,1363808271,38,38,github,false,false,3,2,0,0,0,1,0,0,3,3,2,0,1,48,1180,3,11,5,2477.1186440677966,244.0677966101695,551.6949152542373,152,ppaez,1,1.0,6,false,true
1278371,Pylons/deform,python,152,1363735786,1363736626,1363736626,14,14,github,false,false,3,2,0,0,0,1,0,0,3,3,2,0,1,50,1179,8,7,0,2474.1306191687872,243.42663273960986,551.3146734520781,152,ppaez,0,0,6,false,true
1238016,Pylons/deform,python,151,1362871246,,1363799147,15465,,unknown,false,false,2,1,2,1,3,1,0,0,1,1,1,0,0,44,1179,24,0,0,2474.1306191687872,243.42663273960986,551.3146734520781,152,dfee,1,0.0,1,false,false
1237983,Pylons/deform,python,150,1362870018,,1362871207,19,,unknown,false,false,2,2,0,0,0,0,0,0,1,1,1,0,0,42,1179,50,0,0,2474.1306191687872,243.42663273960986,551.3146734520781,304,dfee,0,0,2,false,false
1091151,Pylons/deform,python,145,1360239744,,1363709313,57826,,unknown,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,44,1179,16,0,0,2474.1306191687872,243.42663273960986,551.3146734520781,151,Sapphire64,0,0,3,false,false
1091155,Pylons/deform,python,144,1359589497,1363712407,1363712407,68715,68715,commits_in_master,false,false,1,1,0,0,0,0,0,0,1,1,0,1,0,44,1179,0,0,0,2474.1306191687872,243.42663273960986,551.3146734520781,151,davidjb,5,0.6,4,false,false
831431,Pylons/deform,python,143,1358846196,1358976721,1358976721,2175,2175,github,false,false,1,1,0,1,1,2,0,0,1,1,0,1,0,39,1179,0,0,0,2474.1306191687872,243.42663273960986,551.3146734520781,151,iElectric,2,1.0,45,true,true
802251,Pylons/deform,python,142,1357516650,1363815205,1363815205,104975,104975,commits_in_master,false,false,2,8,1,8,9,4,1,0,4,5,2,2,1,56,1167,113,0,5,2499.5715509854326,245.92973436161097,556.9837189374465,151,lmctv,4,0.75,0,false,false
794800,Pylons/deform,python,141,1357494916,1357876069,1357876070,6352,6352,github,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,53,1167,0,0,0,2499.5715509854326,245.92973436161097,556.9837189374465,151,lmctv,3,0.6666666666666666,0,false,false
794752,Pylons/deform,python,140,1357494548,1357874350,1357874351,6330,6330,github,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,53,1167,42,0,0,2499.5715509854326,245.92973436161097,556.9837189374465,151,lmctv,2,0.5,0,false,false
794754,Pylons/deform,python,139,1357493841,,1357874418,6342,,unknown,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,53,1167,3,0,0,2499.5715509854326,245.92973436161097,556.9837189374465,151,lmctv,1,1.0,0,false,false
794756,Pylons/deform,python,138,1357493586,1357874470,1357874471,6348,6348,github,false,false,2,1,0,0,0,1,0,0,3,3,1,1,0,53,1167,4,0,0,2499.5715509854326,245.92973436161097,556.9837189374465,151,lmctv,0,0,0,false,false
794761,Pylons/deform,python,135,1353890800,1357874592,1357874593,66396,66396,github,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,28,1162,0,0,1,2487.9518072289156,245.26678141135972,551.6351118760757,147,davidjb,4,0.5,4,false,false
