pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2657509,Silverpeas/Silverpeas-Core,java,446,1387311200,1387462540,1387462540,2522,2522,fixes_in_commit,false,false,3,2,0,0,0,0,0,0,2,2,2,0,0,36,243414,67,0,8,191.32424593490924,6.725167821078491,32.38104628328691,27,NicolasEYSSERIC,60,0.6333333333333333,2,false,true
2623632,Silverpeas/Silverpeas-Core,java,445,1386857416,,1386923359,1099,,unknown,false,false,4,2,0,0,0,0,3,2,11,16,2,0,14,35,243413,60,0,2,191.3250319415972,6.725195449708932,32.38117931252645,27,mmoqui,98,0.8163265306122449,2,false,true
2608886,Silverpeas/Silverpeas-Core,java,444,1386684630,1386694530,1386694530,165,165,github,false,false,4,1,0,0,0,0,0,0,3,3,3,0,0,36,243388,53,0,5,191.34468420793138,6.725886239255838,32.38450539878712,27,NicolasEYSSERIC,59,0.6271186440677966,2,false,true
2601151,Silverpeas/Silverpeas-Core,java,443,1386596362,1386693912,1386693912,1625,1625,github,false,false,4,1,0,0,0,0,0,0,2,2,1,0,1,36,243388,20,0,6,191.34468420793138,6.725886239255838,32.38450539878712,27,mmoqui,97,0.8144329896907216,2,false,true
2589470,Silverpeas/Silverpeas-Core,java,442,1386361896,1386692672,1386692672,5512,5512,github,false,false,4,1,0,0,0,0,3,0,4,7,4,0,3,36,243388,521,0,4,191.34468420793138,6.725886239255838,32.38450539878712,27,NicolasEYSSERIC,58,0.6206896551724138,2,false,true
2529166,Silverpeas/Silverpeas-Core,java,441,1385547251,1385717309,1385717309,2834,2834,fixes_in_commit,false,false,4,3,0,0,0,0,0,0,3,3,3,0,0,35,243322,18,0,7,191.19931613253218,6.723600825243915,32.38096020910563,27,NicolasEYSSERIC,57,0.631578947368421,2,false,true
2528812,Silverpeas/Silverpeas-Core,java,440,1385542811,1385632392,1385632392,1493,1493,commits_in_master,false,false,4,5,0,0,0,0,3,0,15,18,2,4,7,35,245666,186,0,99,193.27867918230444,6.814129753405029,32.8942548012342,27,CecileBONIN,23,0.6956521739130435,0,false,true
2522808,Silverpeas/Silverpeas-Core,java,439,1385470842,,1385720595,4162,,unknown,false,false,4,4,0,0,0,0,1,1,8,10,5,0,4,35,243322,28,0,9,191.19931613253218,6.723600825243915,32.38096020910563,27,NicolasEYSSERIC,56,0.6428571428571429,2,false,true
2502968,Silverpeas/Silverpeas-Core,java,438,1385141094,,1385735093,9899,,unknown,false,false,4,1,0,0,0,0,1,0,13,14,12,2,0,35,243322,421,123,15,191.19931613253218,6.723600825243915,32.38096020910563,27,mmoqui,96,0.8229166666666666,2,false,true
2458204,Silverpeas/Silverpeas-Core,java,437,1384533578,1385394578,1385394578,14350,14350,commits_in_master,false,false,4,12,0,0,0,0,93,0,109,202,164,4,20,34,243451,8009,1541,211,191.0980032942974,6.720038118553631,32.36380216142057,27,SilverYoCha,81,0.8395061728395061,0,false,true
2448464,Silverpeas/Silverpeas-Core,java,436,1384423870,,1384848390,7075,,unknown,false,false,4,6,0,0,0,0,0,0,15,15,6,0,4,35,243281,85,0,18,191.23153883780483,6.724733949630263,32.38641735277313,27,NicolasEYSSERIC,55,0.6545454545454545,2,false,true
2393379,Silverpeas/Silverpeas-Core,java,435,1383683420,,1383723629,670,,unknown,false,false,4,3,0,0,0,0,1,0,12,13,18,1,0,35,243258,314,134,12,191.15506992575783,6.725369772011609,32.344260003782,27,SilverYoCha,80,0.85,0,false,true
2383458,Silverpeas/Silverpeas-Core,java,434,1383578634,,1383669304,1511,,unknown,false,false,4,2,0,0,0,0,0,0,3,3,3,0,0,35,240388,715,0,3,187.71319699818625,6.610146929131238,31.62387473584372,27,mmoqui,95,0.8315789473684211,2,false,true
2355067,Silverpeas/Silverpeas-Core,java,433,1383140428,,1383579964,7325,,unknown,false,false,4,2,0,0,0,0,0,0,3,3,3,0,0,36,243095,33,0,10,191.2832431765359,6.729879265307801,32.36594746909644,27,NicolasEYSSERIC,54,0.6666666666666666,2,false,true
2354647,Silverpeas/Silverpeas-Core,java,432,1383136557,,1383572736,7269,,unknown,false,false,4,1,0,0,0,0,0,0,2,2,1,0,0,36,243095,11,0,6,191.2832431765359,6.729879265307801,32.36594746909644,27,NicolasEYSSERIC,53,0.6792452830188679,2,false,true
2354575,Silverpeas/Silverpeas-Core,java,431,1383135673,,1383573607,7298,,unknown,false,false,4,1,0,0,0,0,0,0,5,5,3,0,0,36,243095,48,0,8,191.2832431765359,6.729879265307801,32.36594746909644,27,NicolasEYSSERIC,52,0.6923076923076923,2,false,true
2348031,Silverpeas/Silverpeas-Core,java,430,1383059385,,1383554652,8254,,unknown,false,false,4,1,0,0,0,0,0,0,4,4,2,2,0,36,240266,184,0,2,187.80851223227592,6.613503367101463,31.639932408247528,27,mmoqui,94,0.8404255319148937,2,false,true
2346909,Silverpeas/Silverpeas-Core,java,429,1383049696,,1383173656,2066,,unknown,false,false,4,1,0,0,0,0,1,0,8,9,3,0,1,36,240266,139,0,2,187.80851223227592,6.613503367101463,31.639932408247528,27,mmoqui,93,0.8494623655913979,2,false,true
2346082,Silverpeas/Silverpeas-Core,java,428,1383039397,1384433553,1384433553,23235,23235,commits_in_master,false,false,4,9,0,0,0,0,22,0,2,24,0,1,20,36,243260,0,0,3,191.15349831456055,6.725314478335936,32.34399408040779,27,auroreallibe,25,0.96,0,false,false
2341218,Silverpeas/Silverpeas-Core,java,426,1382975904,,1383561820,9765,,unknown,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,35,243095,1,0,7,191.2832431765359,6.729879265307801,32.36594746909644,27,NicolasEYSSERIC,50,0.72,2,false,true
2339835,Silverpeas/Silverpeas-Core,java,425,1382964028,,1383148607,3076,,unknown,false,false,4,1,0,0,0,0,0,0,2,2,1,0,0,35,240266,5,0,0,187.80851223227592,6.613503367101463,31.639932408247528,27,mmoqui,92,0.8586956521739131,2,false,true
2311489,Silverpeas/Silverpeas-Core,java,424,1382517821,1385644486,1385644486,52051,52051,commits_in_master,false,false,4,37,0,0,0,0,113,13,145,271,211,4,24,33,243250,24867,1547,231,191.13257965056528,6.725590955806783,32.32887975334019,27,mmoqui,91,0.8681318681318682,2,false,true
2304437,Silverpeas/Silverpeas-Core,java,423,1382429655,,1382710735,4684,,unknown,false,false,4,1,0,0,0,0,0,0,1,1,0,0,0,31,240256,0,0,0,187.78719366009588,6.61377863612147,31.62460042621204,27,NicolasEYSSERIC,49,0.7346938775510204,2,false,true
2298109,Silverpeas/Silverpeas-Core,java,422,1382350728,,1382700161,5823,,unknown,false,false,4,1,0,1,1,1,0,0,3,3,2,1,0,31,243085,1,27,4,191.26231565090401,6.730156118230249,32.35082378591851,27,NicolasEYSSERIC,48,0.75,2,false,true
2270577,Silverpeas/Silverpeas-Core,java,421,1381901992,,1382686326,13072,,unknown,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,32,243085,10,0,1,191.26231565090401,6.730156118230249,32.35082378591851,27,SilverYoCha,79,0.8607594936708861,0,false,true
2259769,Silverpeas/Silverpeas-Core,java,420,1381755488,,1382684993,15491,,unknown,false,false,4,3,0,0,0,0,0,0,3,3,1,0,1,33,243085,3,0,7,191.26231565090401,6.730156118230249,32.35082378591851,27,SilverYoCha,78,0.8717948717948718,0,false,true
2258470,Silverpeas/Silverpeas-Core,java,419,1381737640,1381857423,1381857423,1996,1996,commits_in_master,false,false,4,5,0,0,0,0,3,0,20,23,7,4,7,33,243085,237,0,14,191.26231565090401,6.730156118230249,32.35082378591851,27,CecileBONIN,22,0.7272727272727273,0,false,true
2246513,Silverpeas/Silverpeas-Core,java,418,1381490552,,1381493736,53,,unknown,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,32,240255,32,0,0,187.78797527626898,6.6138061642837815,31.624732055524337,27,mmoqui,90,0.8777777777777778,2,false,true
2233790,Silverpeas/Silverpeas-Core,java,417,1381326926,,1381472589,2427,,unknown,false,false,4,2,0,0,0,0,0,0,9,9,8,0,0,32,243054,203,0,28,191.2867099492294,6.731014507064274,32.3549499288224,27,NicolasEYSSERIC,47,0.7659574468085106,2,false,true
2182282,Silverpeas/Silverpeas-Core,java,416,1380565102,1380721092,1380721092,2599,2599,fixes_in_commit,false,false,4,2,0,2,2,2,0,0,9,9,8,0,0,35,239983,98,0,4,188.000816724518,6.621302342249243,31.660575957463653,27,NicolasEYSSERIC,46,0.782608695652174,2,false,true
2160586,Silverpeas/Silverpeas-Core,java,415,1380203202,1380634311,1380634311,7185,7185,fixes_in_commit,false,false,5,3,0,0,0,0,0,0,70,70,56,2,0,34,239891,6346,12,13,187.9478596529257,6.60299886198315,31.672718026103524,27,mmoqui,89,0.8876404494382022,2,false,true
2178685,Silverpeas/Silverpeas-Core,java,414,1380050991,1380527008,1380527008,7933,7933,fixes_in_commit,false,false,6,1,0,0,0,0,4,0,13,17,11,1,4,34,239893,411,39,13,187.946292722172,6.602943812449717,31.67245396906121,27,SilverYoCha,77,0.8831168831168831,0,false,true
2148050,Silverpeas/Silverpeas-Core,java,413,1380025633,1380105989,1380105989,1339,1339,github,false,false,6,1,0,0,0,0,0,0,1,1,1,0,0,33,239893,6,0,0,187.946292722172,6.602943812449717,31.67245396906121,27,NicolasEYSSERIC,45,0.7777777777777778,2,false,true
2147444,Silverpeas/Silverpeas-Core,java,412,1380019523,1380541255,1380541255,8695,8695,commits_in_master,false,false,6,1,0,0,0,0,0,2,5,7,0,0,6,33,242651,0,0,0,191.48076867599968,6.721587794816424,32.40868572558943,27,NicolasEYSSERIC,44,0.7954545454545454,2,false,true
2146757,Silverpeas/Silverpeas-Core,java,411,1380008560,1380640420,1380640420,10531,10531,commits_in_master,false,false,6,5,0,2,2,2,0,0,7,7,6,0,1,33,242652,110,0,10,191.4799795592041,6.721560094291413,32.408552165240756,27,NicolasEYSSERIC,43,0.813953488372093,2,false,true
2126207,Silverpeas/Silverpeas-Core,java,410,1379623211,1380117655,1380117655,8240,8240,commits_in_master,false,false,6,4,0,2,2,2,1,0,15,16,7,0,7,32,242822,205,0,32,191.34592417491,6.716854321272372,32.38586289545428,27,NicolasEYSSERIC,42,0.8333333333333334,2,false,true
2123032,Silverpeas/Silverpeas-Core,java,409,1379595217,1379681115,1379681115,1431,1431,github,false,false,6,1,0,0,0,0,0,0,2,2,2,0,0,31,242822,8,0,4,191.34592417491,6.716854321272372,32.38586289545428,27,SilverYoCha,76,0.881578947368421,0,false,true
2114850,Silverpeas/Silverpeas-Core,java,408,1379505462,1379933961,1379933961,7141,7141,github,false,false,6,1,0,0,0,0,0,0,1,1,1,0,0,31,239888,42,0,0,187.95021009804574,6.603081438004402,31.67311411992263,27,mmoqui,88,0.8863636363636364,2,false,true
2115956,Silverpeas/Silverpeas-Core,java,407,1379485249,1379513063,1379513063,463,463,github,false,false,6,1,0,0,0,0,2,0,15,17,4,4,3,32,242596,133,0,4,191.5241801183861,6.723111675377995,32.416033240449146,27,NicolasEYSSERIC,41,0.8292682926829268,2,false,true
2109445,Silverpeas/Silverpeas-Core,java,406,1379342499,1379423618,1379423618,1351,1351,github,false,false,6,2,0,0,0,0,0,0,8,8,1,0,6,33,239803,65,0,2,188.01683048168704,6.605421950517717,31.684340896485864,27,mmoqui,87,0.8850574712643678,2,false,true
2661738,Silverpeas/Silverpeas-Core,java,405,1379162912,1379360596,1379360596,3294,3294,github,false,false,6,0,0,0,0,0,0,0,0,0,0,0,0,33,242130,0,0,0,190.43489034816008,6.678230702515178,31.982819146739352,27,SilverYoCha,75,0.88,0,false,true
2104730,Silverpeas/Silverpeas-Core,java,403,1379072947,1379510564,1379510564,7293,7293,commits_in_master,false,false,6,2,0,0,0,0,0,0,20,20,13,0,5,32,242130,251,0,18,190.43489034816008,6.678230702515178,31.982819146739352,27,NicolasEYSSERIC,40,0.85,2,false,true
2090303,Silverpeas/Silverpeas-Core,java,401,1378884044,,1379053597,2825,,unknown,false,false,6,1,0,0,0,0,0,0,7,7,2,0,5,35,239791,218,0,0,188.02623951691263,6.605752509477003,31.685926494322143,27,mmoqui,84,0.9166666666666666,2,false,true
2103817,Silverpeas/Silverpeas-Core,java,400,1378818965,,1379060835,4031,,unknown,false,false,6,2,0,0,0,0,2,0,7,9,0,1,4,35,239791,0,0,0,188.02623951691263,6.605752509477003,31.685926494322143,27,mmoqui,83,0.927710843373494,2,false,true
2078794,Silverpeas/Silverpeas-Core,java,399,1378733795,1378801009,1378801009,1120,1120,github,false,false,6,1,0,0,0,0,0,0,2,2,2,0,0,35,239781,24,0,0,188.03408109900286,6.606028000550502,31.68724794708505,27,NicolasEYSSERIC,39,0.8461538461538461,2,false,true
2078346,Silverpeas/Silverpeas-Core,java,398,1378729925,1378811810,1378811810,1364,1364,commits_in_master,false,false,6,1,0,0,0,0,0,0,5,5,4,0,1,35,241775,146,0,5,190.6648743666632,6.688036397476993,32.02977975390342,27,SilverYoCha,74,0.8918918918918919,0,false,true
2076460,Silverpeas/Silverpeas-Core,java,397,1378706687,,1378812879,1769,,unknown,false,false,6,1,0,0,0,0,0,0,2,2,1,0,1,35,239781,16,0,0,188.03408109900286,6.606028000550502,31.68724794708505,27,mmoqui,82,0.9390243902439024,2,false,true
2069986,Silverpeas/Silverpeas-Core,java,396,1378497431,1378791551,1378791551,4902,4902,commits_in_master,false,false,6,4,0,0,0,0,0,0,25,25,19,0,4,34,241775,643,20,15,190.6648743666632,6.688036397476993,32.02977975390342,27,NicolasEYSSERIC,38,0.868421052631579,2,false,true
