pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1702734,SpringSource/spring-social,java,110,1373049018,1373049024,1373049024,0,0,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,58,4877,18,0,0,888.8661062128358,45.31474266967398,96.78080787369285,285,habuma,67,1.0,102,false,true
1667888,SpringSource/spring-social,java,109,1372453192,1372453205,1372453205,0,0,github,false,false,3,6,0,0,0,0,1,0,6,7,6,0,1,58,4842,53,131,6,877.7364725320116,43.99008674101611,97.06732755059892,285,habuma,66,1.0,102,false,true
1665740,SpringSource/spring-social,java,108,1372422917,1372422923,1372422923,0,0,github,false,false,3,2,0,0,0,0,0,0,6,6,6,0,0,50,4842,10,38,4,876.0842627013631,43.78356051218505,96.65427509293681,285,habuma,65,1.0,102,false,true
1619593,SpringSource/spring-social,java,106,1371656450,,1371656946,8,,unknown,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,42,4842,25,0,0,876.0842627013631,43.78356051218505,96.65427509293681,285,daydev,0,0,1,false,false
1567961,SpringSource/spring-social,java,104,1370660122,1370660130,1370660130,0,0,github,false,false,3,3,0,0,0,0,0,0,3,3,2,0,1,45,4840,28,0,2,876.4462809917355,43.80165289256199,96.69421487603306,285,habuma,64,1.0,102,false,true
1720725,SpringSource/spring-social,java,103,1370029200,1370029208,1370029208,0,0,github,false,false,1,2,0,0,0,0,0,0,5,5,5,0,0,54,4837,33,2,0,876.9898697539797,43.82881951622907,96.75418647922265,285,habuma,63,1.0,102,false,true
1720597,SpringSource/spring-social,java,102,1370026898,1370026906,1370026906,0,0,github,false,false,1,1,0,0,0,0,0,0,3,3,3,0,0,60,4837,13,2,0,876.9898697539797,43.82881951622907,96.75418647922265,285,habuma,62,1.0,102,false,true
1462548,SpringSource/spring-social,java,101,1368214154,1368214160,1368214160,0,0,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,62,4837,2,0,2,876.9898697539797,43.82881951622907,96.75418647922265,285,habuma,61,1.0,102,false,true
1462427,SpringSource/spring-social,java,100,1368212791,1368212798,1368212798,0,0,github,false,false,3,3,0,0,0,0,8,0,8,16,12,1,0,64,4568,542,570,4,829.6847635726795,39.84238178633975,86.25218914185639,285,habuma,60,1.0,102,false,true
1432730,SpringSource/spring-social,java,99,1367614656,1367614662,1367614663,0,0,github,false,false,3,1,0,0,0,0,0,0,7,7,7,0,0,68,4542,44,36,11,832.6728313518273,40.07045354469397,86.74592690444737,285,habuma,59,1.0,102,false,true
