pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commits_open,num_pr_comments,num_issue_comments,num_commit_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,commits_to_hottest_file,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,closer,merger,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member,social_connection_tsay,hotness_vasilescu,team_size_vasilescu,description_complexity,workload,prior_interaction_issue_events,prior_interaction_issue_comments,prior_interaction_pr_events,prior_interaction_pr_comments,prior_interaction_commits,prior_interaction_commit_comments,first_response,ci_latency,ci_errors,ci_test_failures
7986723,TheTorProject/ooni-probe,python,397,1434282768,1434282805,1434282805,0,0,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,4149,2,0,0,0,1099.301036394312,38.08146541335262,34.225114485418175,159,bassosimone,hellais,hellais,0,0,22,true,false,true,0.0,2,4,10,0,0,0,0,1,0,-1,7648.0,true,false
7825581,TheTorProject/ooni-probe,python,396,1433327194,1433327970,1433327970,12,12,commits_in_master,false,false,1,1,1,0,2,0,2,2,0,0,1,1,0,0,0,0,4149,0,0,7,7,1099.301036394312,38.08146541335262,34.225114485418175,159,irl,hellais,hellais,2,1.0,6,false,false,false,0.20588235294117646,2,8,10,0,0,0,0,1,0,10,7803.0,false,false
7588278,TheTorProject/ooni-probe,python,394,1431944405,1431956999,1431956999,209,209,commits_in_master,false,false,1,1,1,0,6,0,6,2,0,0,1,1,1,0,0,0,4149,2,0,0,0,1099.301036394312,38.08146541335262,34.225114485418175,156,d33tah,hellais,hellais,0,0,14,false,false,false,0.0,2,249,9,0,0,0,0,1,0,8,7705.0,false,true
7387820,TheTorProject/ooni-probe,python,393,1430729801,1430765963,1430765963,602,602,commits_in_master,false,false,1,1,1,0,2,0,2,2,0,0,1,1,0,0,0,0,4149,0,0,2,2,1099.301036394312,38.08146541335262,34.225114485418175,152,DonnchaC,hellais,hellais,0,0,30,false,false,true,0.05128205128205128,2,6,9,0,0,0,0,1,0,4,7490.0,false,true
7345678,TheTorProject/ooni-probe,python,392,1430402862,1430557343,1430557343,2574,2574,commits_in_master,false,false,1,1,1,1,3,0,4,3,0,0,1,1,0,0,0,0,4061,0,0,0,0,1119.1824673725682,38.41418369859641,34.96675695641468,150,0xPoly,hellais,hellais,2,0.5,2,false,false,false,0.0,2,3,11,0,0,2,0,2,0,23,8580.0,false,false
7344063,TheTorProject/ooni-probe,python,391,1430397110,1430401940,1430401940,80,80,commits_in_master,false,false,1,1,1,0,3,0,3,2,0,0,1,1,0,0,0,0,4061,0,0,0,0,1119.1824673725682,38.41418369859641,34.96675695641468,150,0xPoly,hellais,hellais,1,0.0,2,false,false,false,0.0,2,6,11,0,0,1,0,1,0,14,8064.0,false,false
7342091,TheTorProject/ooni-probe,python,390,1430388231,1430390448,1430390448,36,36,commits_in_master,false,false,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,4061,0,0,0,0,1119.1824673725682,38.41418369859641,34.96675695641468,150,anadahz,hellais,hellais,22,0.8636363636363636,2,false,false,false,0.0,2,6,11,0,0,3,0,5,0,5,7497.0,false,false
7059067,TheTorProject/ooni-probe,python,388,1428757957,1435596592,1435596592,113977,113977,commits_in_master,false,false,1,9,8,0,4,3,7,1,3,0,5,8,5,0,0,0,4061,163,182,2,2,1119.1824673725682,38.41418369859641,34.96675695641468,147,aagbsn,hellais,hellais,78,0.8333333333333334,26,true,false,true,0.0,3,8,12,0,0,0,0,5,0,4,6849625.0,true,false
7019187,TheTorProject/ooni-probe,python,387,1428530093,1435596600,1435596600,117775,117775,commits_in_master,false,false,1,4,2,0,9,0,9,2,1,0,1,2,1,0,0,0,4061,0,127,0,0,1119.1824673725682,38.41418369859641,34.96675695641468,147,anadahz,hellais,hellais,21,0.8571428571428571,2,false,true,false,0.0,3,1,11,0,1,10,0,4,0,5,698883.0,false,true
6965873,TheTorProject/ooni-probe,python,386,1428243830,1429110549,1429110549,14445,14445,commits_in_master,false,false,2,1,1,1,5,0,6,2,1,0,0,1,1,0,0,0,4061,0,74,0,0,1119.1824673725682,38.41418369859641,34.96675695641468,147,anadahz,hellais,hellais,20,0.85,2,false,true,false,0.0,4,5,10,0,1,9,0,3,0,3,7413.0,false,false
