pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2704249,UniversalMediaServer/UniversalMediaServer,java,219,1388119774,1388127469,1388127469,128,128,commits_in_master,false,false,3,20,0,0,0,2,1,0,1,2,0,1,0,73,38738,0,0,0,48.60860137332852,3.097733491661934,18.7412876245547,75,DeFlanko,17,0.23529411764705882,0,false,false
2598022,UniversalMediaServer/UniversalMediaServer,java,210,1386547123,1386551740,1386551740,76,76,github,false,false,3,1,0,0,0,1,0,0,1,1,0,0,1,74,38270,0,0,7,49.20303109485236,3.135615364515286,18.97047295531748,72,AlfredoRamos,10,0.2,1,false,false
2586804,UniversalMediaServer/UniversalMediaServer,java,209,1386337204,1386365023,1386365023,463,463,github,false,false,3,2,0,2,2,2,0,0,2,2,0,0,2,74,38262,0,0,10,49.21331869740212,3.1362709738121373,18.97443939156343,70,ExSport,5,1.0,0,false,false
2558189,UniversalMediaServer/UniversalMediaServer,java,206,1385995110,1386009330,1386009330,237,237,github,false,false,3,5,0,4,4,2,0,0,4,4,3,0,1,75,38673,16,0,109,48.69030072660512,3.1029400356838104,18.772787215887053,67,ExSport,4,1.0,0,false,false
2527594,UniversalMediaServer/UniversalMediaServer,java,201,1385521649,1385534940,1385534940,221,221,commits_in_master,false,false,3,1,0,1,1,1,0,0,1,1,0,0,1,83,38322,0,0,5,49.13626637440635,3.131360576170346,18.944731485830594,66,AlfredoRamos,9,0.2222222222222222,1,false,false
2525586,UniversalMediaServer/UniversalMediaServer,java,200,1385495879,1385842935,1385842935,5784,5784,commits_in_master,false,false,3,4,0,14,14,4,0,0,5,5,5,0,0,83,38322,41,0,88,49.13626637440635,3.131360576170346,18.944731485830594,66,valib,23,0.34782608695652173,0,false,true
2520160,UniversalMediaServer/UniversalMediaServer,java,197,1385432093,1385595720,1385595720,2727,2727,commits_in_master,false,false,3,7,0,6,6,2,1,0,7,8,1,3,3,83,38302,27,0,133,49.16192365933894,3.132995666022662,18.954623779437107,66,SubJunk,41,0.6097560975609756,2,true,false
2506237,UniversalMediaServer/UniversalMediaServer,java,194,1385199764,1385238902,1385238902,652,652,commits_in_master,false,false,3,2,0,2,2,2,0,0,5,5,3,0,2,89,38328,17,0,33,49.12857441035275,3.1308703819661865,18.94176581089543,66,valib,22,0.36363636363636365,0,false,true
2478374,UniversalMediaServer/UniversalMediaServer,java,150,1384866390,1384889755,1384889755,389,389,commits_in_master,false,false,3,1,0,1,1,1,0,0,1,1,0,0,1,89,38309,0,0,4,49.15294056226997,3.1324231903730193,18.95116030175677,66,AlfredoRamos,8,0.25,1,false,false
2462252,UniversalMediaServer/UniversalMediaServer,java,149,1384610484,1387414361,1387414361,46731,46731,commits_in_master,false,false,3,5,0,2,2,2,0,0,8,8,8,0,0,90,38301,1102,0,202,49.163207226965355,3.133077465340331,18.955118665308998,66,skeptical,23,0.21739130434782608,0,false,true
