pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2746629,ZeusWPI/Gandalf,ruby,263,1388866257,1388866261,1388866263,0,0,github,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,57,1067,2,0,12,102.1555763823805,0.0,5.623242736644799,2,Silox,67,0.31343283582089554,12,true,false
2722960,ZeusWPI/Gandalf,ruby,260,1388435202,1388435208,1388435208,0,0,commits_in_master,false,false,4,1,0,0,0,0,1,0,1,2,0,2,0,57,1067,0,0,22,102.1555763823805,0.0,5.623242736644799,2,Silox,66,0.3181818181818182,12,true,false
2486718,ZeusWPI/Gandalf,ruby,250,1384957958,1384957976,1384957976,0,0,commits_in_master,false,false,4,6,0,0,0,0,8,0,11,19,9,6,3,56,954,160,0,308,114.25576519916142,0.0,6.289308176100629,2,nudded,19,0.15789473684210525,22,true,false
2471825,ZeusWPI/Gandalf,ruby,246,1384787354,1384967366,1384967366,3000,3000,commits_in_master,false,false,4,2,0,0,0,0,2,0,8,10,6,3,1,57,954,29,0,135,114.25576519916142,0.0,6.289308176100629,2,FelixVanderJeugt,22,0.045454545454545456,12,true,true
2470896,ZeusWPI/Gandalf,ruby,239,1384779089,1384779096,1384779096,0,0,commits_in_master,false,false,4,1,0,0,0,0,0,0,2,2,1,1,0,57,950,12,0,43,114.73684210526315,0.0,6.315789473684211,2,FelixVanderJeugt,21,0.047619047619047616,12,true,true
2470715,ZeusWPI/Gandalf,ruby,238,1384777168,1384777693,1384777693,8,8,commits_in_master,false,false,4,2,1,0,1,1,0,0,2,2,2,0,0,57,945,10,0,55,115.34391534391534,0.0,6.349206349206349,2,FelixVanderJeugt,20,0.05,12,true,true
2467119,ZeusWPI/Gandalf,ruby,236,1384720351,1384720355,1384720355,0,0,github,false,false,4,1,0,0,0,0,2,0,6,8,4,3,1,57,942,24,0,45,115.71125265392782,0.0,6.369426751592357,2,Silox,65,0.3076923076923077,12,true,false
2467117,ZeusWPI/Gandalf,ruby,235,1384720341,1384720345,1384720345,0,0,commits_in_master,false,false,4,1,0,0,0,0,0,0,1,1,0,1,0,58,942,0,0,28,115.71125265392782,0.0,6.369426751592357,2,Silox,64,0.3125,12,true,false
2466873,ZeusWPI/Gandalf,ruby,234,1384716464,1384716468,1384716468,0,0,commits_in_master,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,57,935,12,0,0,116.57754010695187,0.0,6.4171122994652405,2,Silox,63,0.31746031746031744,12,true,false
2466571,ZeusWPI/Gandalf,ruby,232,1384710638,1384710649,1384710649,0,0,commits_in_master,false,false,4,1,0,0,0,0,0,0,1,1,0,1,0,58,934,0,0,5,116.70235546038545,0.0,6.423982869379015,2,Silox,62,0.3225806451612903,12,true,false
2466551,ZeusWPI/Gandalf,ruby,231,1384710381,1384710384,1384710384,0,0,github,false,false,4,1,0,0,0,0,0,0,1,1,0,1,0,58,934,0,0,27,116.70235546038545,0.0,6.423982869379015,2,Silox,61,0.3114754098360656,12,true,false
2466506,ZeusWPI/Gandalf,ruby,230,1384709617,1384709659,1384709659,0,0,commits_in_master,false,false,4,3,0,0,0,0,1,0,10,11,5,6,0,58,927,20,0,135,117.58360302049623,0.0,6.472491909385114,2,Silox,60,0.31666666666666665,12,true,false
2466308,ZeusWPI/Gandalf,ruby,228,1384705322,1384705326,1384705326,0,0,github,false,false,4,1,0,0,0,0,0,0,1,1,0,1,0,58,927,0,0,25,117.58360302049623,0.0,6.472491909385114,2,Silox,59,0.3050847457627119,12,true,false
