pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2664707,aerogear/aerogear-android,java,131,1387375017,1387378024,1387378024,50,50,commit_sha_in_comments,false,false,5,1,0,0,0,1,1,0,2,3,3,0,0,39,9510,114,0,0,312.0925341745531,15.878023133543639,27.97055730809674,18,secondsun,44,0.2727272727272727,6,false,true
2651570,aerogear/aerogear-android,java,130,1387242082,1387244833,1387244833,45,45,commits_in_master,false,false,5,1,0,0,0,0,0,0,1,1,0,1,0,39,9510,0,0,17,312.0925341745531,15.878023133543639,27.97055730809674,18,secondsun,43,0.27906976744186046,6,false,true
2649220,aerogear/aerogear-android,java,129,1387218494,1387219237,1387219237,12,12,commits_in_master,false,false,5,1,0,0,0,0,0,0,49,49,49,0,0,38,9510,995,111,64,312.0925341745531,15.878023133543639,27.97055730809674,18,secondsun,42,0.2857142857142857,6,false,true
2579678,aerogear/aerogear-android,java,128,1386250748,1387216152,1387216152,16090,16090,commits_in_master,false,false,5,6,0,1,1,1,0,0,3,3,3,0,0,38,9166,140,116,21,318.56862317259436,16.36482653283875,28.91119354134846,18,secondsun,41,0.2926829268292683,6,false,true
2551473,aerogear/aerogear-android,java,127,1386176430,1386179406,1386179406,49,49,github,false,false,5,1,2,0,2,2,0,0,2,2,2,0,0,36,9083,54,69,3,315.86480237806893,16.40427171639326,28.845095232852582,18,secondsun,40,0.275,6,false,true
2567996,aerogear/aerogear-android,java,126,1386098976,1386099914,1386099914,15,15,commit_sha_in_comments,false,false,5,1,0,1,1,1,0,0,2,2,2,0,0,36,9074,4,19,0,315.4066563808684,16.31033722724267,28.76350011020498,18,secondsun,39,0.28205128205128205,6,false,true
2542289,aerogear/aerogear-android,java,125,1385731179,1386008563,1386008563,4623,4623,commits_in_master,false,false,5,1,0,2,2,2,0,0,1,1,0,1,0,40,9057,0,0,11,314.0112620072872,16.230539913878765,28.707077398697137,18,mtaylor,0,0,2,false,false
2516800,aerogear/aerogear-android,java,124,1385395575,1386008783,1386008783,10220,10220,commit_sha_in_comments,false,false,5,3,0,5,5,3,0,0,2,2,0,2,0,38,9057,0,0,0,314.0112620072872,16.230539913878765,28.707077398697137,18,smiklosovic,1,0.0,5,false,false
2449897,aerogear/aerogear-android,java,122,1384438663,1386012053,1386012053,26223,26223,commits_in_master,false,false,6,3,0,0,0,0,0,0,4,4,0,3,1,28,9052,0,0,12,314.18471056120194,16.23950508174989,28.72293415819708,16,secondsun,37,0.2972972972972973,6,true,true
2448560,aerogear/aerogear-android,java,121,1384425071,1384437264,1384437264,203,203,commits_in_master,false,false,6,1,0,1,1,1,0,0,1,1,0,1,0,28,9041,0,0,8,313.35029310916934,16.148656122110385,28.64727353168897,16,danielpassos,21,0.2857142857142857,49,false,true
