pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2444066,airlift/airlift,java,155,1384365684,1384366917,1384366917,20,20,commits_in_master,false,false,5,3,0,1,1,1,0,0,7,7,6,0,1,57,22993,69,106,53,730.3527160440134,28.008524333492804,83.28621754447006,45,electrum,47,0.574468085106383,47,false,true
2363589,airlift/airlift,java,153,1383236252,1383236469,1383236469,3,3,commits_in_master,false,false,5,1,0,1,1,1,0,0,1,1,0,1,0,56,22993,0,0,22,730.3527160440134,28.008524333492804,83.28621754447006,26,electrum,46,0.5869565217391305,37,false,true
2344331,airlift/airlift,java,152,1383006015,1383006372,1383006372,5,5,commits_in_master,false,false,5,1,0,1,1,1,0,0,2,2,0,0,2,57,22993,0,0,24,730.3527160440134,28.008524333492804,83.28621754447006,26,martint,19,0.21052631578947367,33,false,false
2343417,airlift/airlift,java,151,1382994898,1382996487,1382996487,26,26,merged_in_comments,false,false,5,1,0,0,0,2,0,0,1,1,1,0,0,56,22971,27,0,0,731.0521962474425,28.035348918201212,83.3659831962039,26,johngmyers,14,0.0,5,false,false
2342877,airlift/airlift,java,150,1382990117,1382990646,1382990646,8,8,commits_in_master,false,false,4,2,0,0,0,0,0,0,1,1,0,1,0,57,22971,0,0,1,731.0521962474425,28.035348918201212,83.3659831962039,26,martint,18,0.2222222222222222,33,false,false
2336557,airlift/airlift,java,149,1382906146,,1383238953,5546,,unknown,false,false,4,3,0,0,0,1,4,0,2,6,6,2,0,56,22971,433,0,0,731.0521962474425,28.035348918201212,83.3659831962039,26,jvanzyl,1,0.0,61,false,false
2262628,airlift/airlift,java,147,1381786441,1381795614,1381795614,152,152,commits_in_master,false,false,5,9,0,1,1,1,1,0,16,17,13,2,2,56,22910,419,71,88,732.824094281973,28.109995635093846,83.58795285901354,26,electrum,45,0.6,36,false,true
2183530,airlift/airlift,java,145,1380579346,1380579604,1380579604,4,4,github,false,false,5,2,0,1,1,1,0,0,4,4,1,1,2,57,22910,16,0,39,732.824094281973,28.109995635093846,83.58795285901354,26,electrum,44,0.5909090909090909,36,false,true
2169452,airlift/airlift,java,144,1380319502,1380319596,1380319596,1,1,github,false,false,5,2,0,1,1,1,0,0,2,2,0,2,0,56,22910,0,0,22,732.824094281973,28.109995635093846,83.58795285901354,26,electrum,43,0.5813953488372093,36,false,true
2154676,airlift/airlift,java,142,1380124770,,1380126141,22,,unknown,false,false,5,0,0,1,1,1,0,0,0,0,0,0,0,57,22910,0,0,0,732.824094281973,28.109995635093846,83.58795285901354,26,electrum,42,0.5952380952380952,36,false,true
2150724,airlift/airlift,java,141,1380059380,1380077556,1380077557,302,302,github,false,false,5,1,0,1,1,1,2,0,2,4,4,0,0,59,22896,18,237,4,732.0055904961565,28.127183787561144,83.55171208944793,26,electrum,41,0.5853658536585366,36,false,true
2149141,airlift/airlift,java,140,1380039799,1380055763,1380055763,266,266,github,false,false,5,1,0,0,0,0,0,0,2,2,2,0,0,59,22833,89,0,0,734.0253142381641,28.204791310822056,83.78224499627731,26,dain,31,0.5161290322580645,65,false,false
2147845,airlift/airlift,java,139,1380023771,1383086923,1383086923,50992,50992,merged_in_comments,false,false,5,1,0,0,0,1,0,0,2,2,0,1,1,59,22910,0,0,0,732.824094281973,28.109995635093846,83.58795285901354,26,jvanzyl,0,0,55,false,false
2139511,airlift/airlift,java,138,1379908495,1379950183,1379950183,694,694,github,false,false,4,2,0,1,1,1,2,0,8,10,8,0,2,60,22745,121,135,24,732.2488459001979,28.18201802593977,83.66673994284459,26,electrum,40,0.575,36,false,true
2137782,airlift/airlift,java,137,1379867795,1379899840,1379899840,534,534,github,false,false,5,2,0,1,1,1,0,0,3,3,2,0,1,57,22747,5,21,14,732.1844638853476,28.179540159141865,83.70334549610938,26,electrum,39,0.5641025641025641,36,false,true
2119993,airlift/airlift,java,135,1379560256,,1379565626,89,,unknown,false,false,5,1,0,2,2,2,0,0,1,1,1,0,0,60,22747,0,3,0,732.1844638853476,28.179540159141865,83.70334549610938,26,electrum,38,0.5789473684210527,36,false,true
