pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size_at_merge,num_commits,num_commit_comments,num_issue_comments,num_comments,files_changed,total_commits_last_month,main_team_commits_last_month,sloc,churn,commits_on_files_touched,test_lines_per_1000_lines,test_cases_per_1000_lines,assertions_per_1000_lines






761202,akka,977,1356093422,1356249161,1356249161,2595,2595,12,1,0,0,0,2,268,107,31220,4,4,0.0,0.0,0.0
743077,akka,979,1356095345,1356113278,1356113278,298,298,12,1,7,0,7,1,290,105,31220,11,3,0.0,0.0,0.0
743075,akka,978,1356094476,1356103219,1356103219,145,145,12,1,3,0,3,4,288,103,27850,29,12,0.0,0.0,0.0
742843,akka,970,1356001064,1356090065,1356090065,1483,1483,12,1,3,0,3,15,281,99,31223,352,80,0.0,0.0,0.0
760240,akka,961,1355834065,1355837762,1355837762,61,61,12,1,0,0,0,1,265,70,28728,13,2,0.0,0.0,0.0
756086,akka,948,1355713493,,1355834420,2015,,12,1,0,0,0,1,0,0,28703,8,2,0.0,0.0,0.0
760078,akka,958,1355830513,1355833947,1355833947,57,57,12,1,0,0,0,7,262,67,28710,28,9,0.0,0.0,0.0
760125,akka,960,1355831688,1355833192,1355833193,25,25,12,1,0,0,0,1,261,67,27789,89,1,0.0,0.0,0.0
724908,akka,951,1355757615,,1355831631,1233,,12,1,7,0,7,1,0,0,28710,89,1,0.0,0.0,0.0
760093,akka,959,1355830874,1355831579,1355831579,11,11,12,1,0,0,0,1,260,66,27789,5,1,0.0,0.0,0.0
757023,akka,949,1355746985,,1355830975,1399,,12,1,0,0,0,1,0,0,28710,76,1,0.0,0.0,0.0
758972,akka,955,1355786729,1355830898,1355830898,736,736,12,1,0,0,0,2,255,62,28710,31,2,0.0,0.0,0.0
759791,akka,956,1355822254,1355830762,1355830762,141,141,12,1,0,0,0,1,254,61,28710,5,1,0.0,0.0,0.0
758894,akka,954,1355784765,1355830618,1355830618,764,764,12,1,0,0,0,8,253,60,28710,93,15,0.0,0.0,0.0
758138,akka,953,1355769975,1355830452,1355830453,1007,1007,12,1,0,0,0,7,252,59,27782,28,9,0.0,0.0,0.0
692279,akka,947,1355575411,,1355736573,2686,,12,1,3,0,3,1,0,0,27781,3,1,0.0,0.0,0.0
753411,akka,946,1355575391,,1355736551,2686,,12,1,0,0,0,1,0,0,28703,3,1,0.0,0.0,0.0
575006,akka,909,1354109490,,1355736411,27115,,12,11,36,0,36,92,0,0,27677,2303,13,0.0,0.0,0.0
751703,akka,943,1355501378,1355558203,1355558203,947,947,12,1,0,0,0,2,279,62,28691,58,3,0.0,0.0,0.0
751774,akka,945,1355502395,1355507335,1355507335,82,82,12,1,0,0,0,9,283,63,28690,208,15,0.0,0.0,0.0
613228,akka,926,1354723774,,1355502365,12976,,12,15,19,0,19,99,0,0,28374,1382,12,0.0,0.0,0.0
751707,akka,944,1355501405,1355501930,1355501930,8,8,12,1,0,0,0,2,282,62,27769,58,2,0.0,0.0,0.0
657173,akka,939,1355237555,,1355501796,4404,,12,2,3,0,3,15,0,0,28500,112,2,0.0,0.0,0.0
