pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2764830,alphagov/frontend,ruby,496,1389175107,1389175722,1389175722,10,10,github,false,false,14,1,0,0,0,0,0,0,2,2,1,0,1,49,1487,2,0,10,3366.5097511768663,231.33826496301276,1004.7074646940148,105,vinayvinay,1,1.0,1,true,true
2739337,alphagov/frontend,ruby,495,1389089578,1389177323,1389177323,1462,1462,github,false,false,14,1,1,1,2,2,0,0,1,1,1,0,0,49,1487,3,0,0,3366.5097511768663,231.33826496301276,1004.7074646940148,105,alext,111,0.9099099099099099,12,true,true
2733558,alphagov/frontend,ruby,494,1388675311,1388676558,1388676558,20,20,github,false,false,14,1,0,0,0,0,1,0,0,1,1,0,0,50,1481,7,0,0,3380.1485482781904,232.27548953409857,1008.7778528021607,105,alext,110,0.9090909090909091,12,true,true
2732591,alphagov/frontend,ruby,493,1388665032,1388665901,1388665901,14,14,github,false,false,14,1,0,0,0,0,0,0,1,1,1,0,0,50,1481,2,0,0,3380.1485482781904,232.27548953409857,1008.7778528021607,105,alext,109,0.908256880733945,12,true,true
2721436,alphagov/frontend,ruby,492,1388414179,1388415082,1388415082,15,15,commits_in_master,false,false,14,1,0,0,0,0,0,0,1,1,0,1,0,52,1481,0,0,16,3380.1485482781904,232.27548953409857,1008.7778528021607,49,AmyWhitney,10,0.5,2,true,true
2687893,alphagov/frontend,ruby,491,1387751941,1387792168,1387792168,670,670,commits_in_master,false,false,14,9,0,0,0,0,1,1,1,3,0,1,2,54,1481,0,0,64,3380.1485482781904,232.27548953409857,1008.7778528021607,49,mnowster,4,0.75,14,true,true
2677618,alphagov/frontend,ruby,490,1387539491,1387539767,1387539767,4,4,commits_in_master,false,false,15,5,0,0,0,0,2,0,2,4,0,3,1,54,1480,0,0,22,3375.6756756756754,231.08108108108107,1006.7567567567568,49,bradleywright,8,0.75,99,true,true
2677448,alphagov/frontend,ruby,489,1387536957,1387554591,1387554591,293,293,commits_in_master,false,false,15,1,0,0,0,0,0,0,2,2,2,0,0,54,1480,7,22,0,3375.6756756756754,231.08108108108107,1006.7567567567568,49,alext,108,0.9166666666666666,12,true,true
2664488,alphagov/frontend,ruby,488,1387373982,1387375027,1387375027,17,17,github,false,false,15,2,0,0,0,0,0,0,3,3,2,0,1,54,1481,5,0,10,3373.3963538149897,230.92505064145845,1006.0769750168805,49,vinayvinay,0,0,1,true,true
2633610,alphagov/frontend,ruby,487,1386947181,1387187765,1387187765,4009,4009,commits_in_master,false,false,15,2,0,0,0,0,0,0,2,2,1,1,0,54,1481,0,7,0,3375.42201215395,230.92505064145845,1008.1026333558407,49,futurefabric,1,1.0,9,true,true
2623009,alphagov/frontend,ruby,486,1386852719,1386853145,1386853145,7,7,commits_in_master,false,false,15,3,3,4,7,4,0,0,2,2,0,2,0,56,1481,0,0,22,3375.42201215395,230.92505064145845,1008.1026333558407,49,henryhadlow,2,1.0,3,true,true
