pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2703555,amatsuda/kaminari,ruby,492,1388102439,1388271168,1388271168,2812,2812,commits_in_master,false,false,4,1,0,1,1,1,0,0,2,2,0,1,1,21,877,0,0,19,2088.939566704675,46.75028506271379,446.9783352337514,3906,petergoldstein,1,0.0,12,false,false
2690248,amatsuda/kaminari,ruby,491,1387804722,1387814693,1387814693,166,166,merged_in_comments,false,false,4,1,0,0,0,2,0,0,1,1,1,0,0,21,877,5,0,0,2088.939566704675,46.75028506271379,446.9783352337514,3906,antpaw,0,0,16,false,false
2642666,amatsuda/kaminari,ruby,489,1387127587,1387131052,1387131052,57,57,commits_in_master,false,false,4,1,0,0,0,1,0,0,13,13,1,0,12,22,877,18,0,40,2088.939566704675,46.75028506271379,446.9783352337514,3905,petergoldstein,0,0,12,false,false
2579283,amatsuda/kaminari,ruby,484,1386246410,1386430754,1386430754,3072,3072,github,false,false,3,1,0,2,2,1,0,0,1,1,1,0,0,23,877,2,0,0,2088.939566704675,46.75028506271379,446.9783352337514,3905,camallen,0,0,2,false,false
2542771,amatsuda/kaminari,ruby,483,1385971687,,1385973749,34,,unknown,false,false,3,1,0,6,6,3,0,0,1,1,1,0,0,24,877,1,0,0,2088.939566704675,46.75028506271379,446.9783352337514,3903,hsbt,3,1.0,172,false,true
2505143,amatsuda/kaminari,ruby,479,1385165057,1385166586,1385166586,25,25,github,false,false,3,1,0,0,0,1,0,1,0,1,0,1,0,27,876,0,0,2,2074.200913242009,46.80365296803653,445.2054794520548,3901,eitoball,8,0.625,19,false,false
2502126,amatsuda/kaminari,ruby,478,1385133170,1385166498,1385166499,555,555,github,false,false,3,1,0,0,0,2,0,0,0,0,0,0,1,26,876,0,0,0,2074.200913242009,46.80365296803653,445.2054794520548,3901,mrfoto,0,0,26,false,false
2484223,amatsuda/kaminari,ruby,475,1384929278,1384934887,1384934887,93,93,commit_sha_in_comments,false,false,3,1,0,2,2,3,0,0,1,1,1,0,0,26,876,5,0,0,2076.48401826484,46.80365296803653,445.2054794520548,3901,kaspernj,0,0,15,false,false
2471860,amatsuda/kaminari,ruby,473,1384787587,,1385082598,4916,,unknown,false,false,3,1,0,9,9,6,0,0,1,1,1,0,0,27,876,4,0,0,2043.3789954337897,46.80365296803653,444.0639269406393,3901,snop-snov,0,0,1,false,false
2461026,amatsuda/kaminari,ruby,472,1384574516,1384618290,1384618290,729,729,commit_sha_in_comments,false,false,3,1,0,1,1,2,0,0,2,2,2,0,0,28,876,6,0,0,2043.3789954337897,46.80365296803653,444.0639269406393,3900,sgtFloyd,0,0,8,false,false
2430087,amatsuda/kaminari,ruby,469,1384203760,1384225351,1384225352,359,359,github,false,false,3,1,0,2,2,3,0,0,1,1,0,1,0,28,876,0,0,1,2043.3789954337897,46.80365296803653,444.0639269406393,3900,wbyoung,7,0.42857142857142855,8,false,false
2428510,amatsuda/kaminari,ruby,468,1384188934,1384195110,1384195110,102,102,github,false,false,3,1,0,1,1,2,0,0,1,1,0,0,1,28,876,0,0,4,2041.095890410959,46.80365296803653,444.0639269406393,3900,wbyoung,6,0.3333333333333333,8,false,false
2427685,amatsuda/kaminari,ruby,467,1384181429,1384197554,1384197555,268,268,github,false,false,3,3,0,1,1,1,1,0,5,6,3,1,2,24,876,11,13,7,2041.095890410959,46.80365296803653,444.0639269406393,3900,wbyoung,5,0.2,8,false,false
2423482,amatsuda/kaminari,ruby,464,1384113471,1384310095,1384310095,3277,3277,merged_in_comments,false,false,3,5,0,1,1,2,0,0,3,3,0,1,2,23,874,0,0,0,2037.757437070938,46.91075514874142,445.0800915331808,3900,wbyoung,2,0.5,8,false,false
2419577,amatsuda/kaminari,ruby,460,1384026773,,1384027117,5,,unknown,false,false,3,6,0,1,1,1,0,0,10,10,10,0,0,24,874,9,89,0,2037.757437070938,46.91075514874142,445.0800915331808,3900,the-teacher,1,0.0,93,false,false
2399869,amatsuda/kaminari,ruby,458,1383761924,,1384027431,4425,,unknown,false,false,3,3,0,2,2,1,0,0,8,8,8,0,0,31,876,9,69,0,2018.2648401826486,45.662100456621005,442.92237442922374,3900,the-teacher,0,0,93,false,false
2348831,amatsuda/kaminari,ruby,454,1383065472,,1383508865,7389,,unknown,false,false,2,3,0,3,3,3,0,0,1,1,1,0,0,37,876,64,0,0,2014.8401826484017,45.662100456621005,442.92237442922374,3900,guyboertje,0,0,7,false,false
2328249,amatsuda/kaminari,ruby,451,1382714639,1384016469,1384016469,21637,21637,github,false,false,2,16,0,6,6,4,0,0,6,6,5,1,0,36,876,24,80,10,2014.8401826484017,45.662100456621005,442.92237442922374,3899,wbyoung,1,0.0,8,false,false
2283896,amatsuda/kaminari,ruby,449,1382072982,1384015890,1384015890,32321,32321,github,false,true,2,2,0,7,7,3,0,0,2,2,2,0,0,24,876,19,48,2,2014.8401826484017,45.662100456621005,442.92237442922374,3899,bricker,1,1.0,8,false,false
2241567,amatsuda/kaminari,ruby,446,1381422188,1383510105,1383510105,34738,34738,github,false,false,3,1,0,2,2,3,0,0,1,1,0,0,1,21,876,0,0,1,2014.8401826484017,45.662100456621005,442.92237442922374,3898,noahd1,0,0,18,false,false
2169316,amatsuda/kaminari,ruby,441,1380316471,,1380625147,5144,,unknown,false,false,3,1,0,0,0,3,0,1,1,2,2,0,0,17,876,40,0,0,2014.8401826484017,45.662100456621005,442.92237442922374,3894,wbyoung,0,0,7,false,false
1964537,amatsuda/kaminari,ruby,434,1377096441,1377109926,1377109926,224,224,github,false,false,3,1,0,1,1,1,0,0,1,1,0,0,1,17,876,0,0,3,2009.132420091324,45.662100456621005,441.7808219178082,3885,eitoball,7,0.5714285714285714,16,false,false
1953949,amatsuda/kaminari,ruby,433,1376941568,1384130417,1384130418,119754,119754,github,false,false,3,4,1,18,19,9,0,0,5,5,5,0,0,17,870,41,4,0,2022.9885057471267,45.97701149425287,444.82758620689657,3885,kolodovskyy,0,0,1,false,false
1944981,amatsuda/kaminari,ruby,432,1376729202,,1386122759,156499,,unknown,false,false,3,1,0,2,2,3,0,0,11,11,6,4,1,14,870,64,0,0,2022.9885057471267,45.97701149425287,444.82758620689657,3885,vhochstein,0,0,15,false,false
1907051,amatsuda/kaminari,ruby,430,1375926334,1376100613,1376100613,2904,2904,github,false,false,3,3,0,2,2,2,0,0,4,4,3,0,1,17,870,2,7,2,1996.5517241379312,45.97701149425287,439.08045977011494,3884,eitoball,6,0.5,16,false,false
1894754,amatsuda/kaminari,ruby,427,1375749048,,1375832969,1398,,unknown,false,false,2,2,0,0,0,1,0,0,2,2,2,0,0,11,870,5,2,0,1995.4022988505747,45.97701149425287,439.08045977011494,3882,weynsee,0,0,7,false,false
1809797,amatsuda/kaminari,ruby,423,1374521441,,1374522509,17,,unknown,false,false,3,3,0,0,0,2,2,0,0,2,0,2,0,23,870,0,0,0,1995.4022988505747,45.97701149425287,439.08045977011494,3878,mcoms,0,0,6,false,false
1890664,amatsuda/kaminari,ruby,422,1374222862,,1375688705,24430,,unknown,false,false,3,2,0,0,0,1,0,0,6,6,5,0,1,23,870,23,38,0,1995.4022988505747,45.97701149425287,439.08045977011494,3877,gzigzigzeo,0,0,11,false,false
