pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2679711,amet/script.xbmc.subtitles,python,213,1387560237,,1388046636,8106,,unknown,false,false,2,2,0,3,3,2,0,0,1,1,1,0,0,41,8336,271,0,0,0.0,0.0,0.0,101,neverdoubt,1,0.0,0,false,false
2519650,amet/script.xbmc.subtitles,python,212,1385424265,,1385520852,1609,,unknown,false,false,1,4,0,2,2,2,0,0,1,1,1,0,0,50,8565,24,0,1,0.0,0.0,0.0,100,tuxitos,1,0.0,0,false,false
2511918,amet/script.xbmc.subtitles,python,211,1385326802,,1385381776,916,,unknown,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,51,8565,6,0,0,0.0,0.0,0.0,100,tuxitos,0,0,0,false,false
2510684,amet/script.xbmc.subtitles,python,210,1385305727,,1385381755,1267,,unknown,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,50,8565,6,0,0,0.0,0.0,0.0,100,iedex,0,0,0,false,false
2487770,amet/script.xbmc.subtitles,python,209,1384965936,,1384975127,153,,unknown,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,50,8480,124,0,0,0.0,0.0,0.0,99,neverdoubt,0,0,0,false,false
2464158,amet/script.xbmc.subtitles,python,208,1384648679,,1384658717,167,,unknown,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,45,8465,86,0,0,0.0,0.0,0.0,99,highlandr,14,0.9285714285714286,1,false,false
2460246,amet/script.xbmc.subtitles,python,207,1384555976,,1384623087,1118,,unknown,false,false,1,2,0,0,0,0,0,0,1,1,1,0,0,45,8442,37,0,2,0.0,0.0,0.0,99,beam,7,0.14285714285714285,3,false,false
2315502,amet/script.xbmc.subtitles,python,205,1382555781,,1382592742,616,,unknown,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,44,8442,4,0,0,0.0,0.0,0.0,97,roh85,0,0,0,false,false
2263902,amet/script.xbmc.subtitles,python,204,1381813357,,1381814738,23,,unknown,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,44,8443,1,0,0,0.0,0.0,0.0,96,barbedino,0,0,0,false,false
2165680,amet/script.xbmc.subtitles,python,203,1380273440,1380294376,1380294376,348,348,github,false,false,3,4,0,0,0,0,0,0,1,1,1,0,0,46,8446,105,0,8,0.0,0.0,0.0,94,gfjardim,4,0.75,0,false,false
2149890,amet/script.xbmc.subtitles,python,202,1380054885,1380081429,1380081429,442,442,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,46,8438,49,0,0,0.0,0.0,0.0,93,beam,6,0.0,3,false,false
2037056,amet/script.xbmc.subtitles,python,201,1378253736,,1378282553,480,,unknown,false,false,4,2,0,1,1,1,0,0,2,2,1,0,1,42,8447,183,0,0,0.0,0.0,0.0,92,gfjardim,3,1.0,0,false,false
2035237,amet/script.xbmc.subtitles,python,200,1378227185,1378263208,1378263208,600,600,github,false,false,4,1,0,1,1,2,0,0,1,1,1,0,0,40,8447,20,0,6,0.0,0.0,0.0,92,arnova,0,0,1,false,false
1946323,amet/script.xbmc.subtitles,python,199,1376776603,,1376800507,398,,unknown,false,false,5,1,0,1,1,1,0,0,2,2,1,0,1,41,8375,87,0,0,0.0,0.0,0.0,91,manacker,0,0,2,false,false
