pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
699748,aws,119,1351613420,1351614795,1351614795,22,22,1,1,0,2,43,5996,70,20,2,232.65510340226817,223,marios,9,0.6666666666666666,1
699751,aws,118,1351243695,1351271529,1351271529,463,463,1,1,0,1,42,5996,4,0,1,232.65510340226817,223,marios,8,0.625,1
699753,aws,117,1351064291,1351106867,1351106867,709,709,1,1,4,1,41,5928,112,0,0,235.3238866396761,223,marios,7,0.5714285714285714,1
251668,aws,116,1345239863,1347052626,1347052626,30212,30212,0,4,0,6,100,5813,242,50,0,234.81851023567864,223,lutter,0,0,7
132086,aws,113,1337690769,1337891855,1337891855,3351,3351,1,1,0,0,33,5813,0,0,0,234.81851023567864,215,marios,6,0.6666666666666666,1
111922,aws,111,1336074057,1336181619,1336181619,1792,1792,1,1,2,1,33,5806,39,0,1,235.1016190148123,209,allangarret,0,0,0
105121,aws,110,1335525006,1336010671,1336010671,8094,8094,1,1,0,2,25,5803,10,0,0,235.22316043425815,209,marios,5,0.6,1
30298,aws,106,1329207531,1329236809,1329236809,487,487,0,1,1,1,100,5788,6,0,0,233.4139599170698,201,mifo,9,0.4444444444444444,7
699756,aws,101,1321193937,1321227352,1321227352,556,556,2,1,0,1,50,5783,7,0,0,233.61577036140412,198,friedmag,0,0,2
699757,aws,100,1321150953,1321217967,1321217968,1116,1116,2,1,0,1,50,5783,2,0,0,233.61577036140412,198,bigbento,0,0,0
699840,aws,99,1315594408,1315772781,1315772781,2972,2972,1,0,0,0,25,5773,0,0,0,234.02043997921356,197,jrosengren,2,1.0,0
699759,aws,98,1312227442,1330707537,1330707537,307941,307941,4,1,2,1,30,5773,17,0,0,234.02043997921356,196,ctm,0,0,10
699761,aws,95,1308099608,1330707563,1330707563,376739,376739,5,2,0,2,36,5773,4,22,6,234.02043997921356,192,NeMO84,2,1.0,0
699841,aws,92,1306505561,1307720993,1307720993,20257,20257,5,0,0,0,34,5773,0,0,0,234.02043997921356,192,marios,4,0.5,1
699843,aws,91,1306321432,1306347440,1306347440,433,433,5,0,0,0,35,5753,0,0,0,234.8339996523553,192,marios,3,0.3333333333333333,1
