pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2762221,azavea/OTM2,python,1000,1389132475,1389208878,1389208878,1273,1273,github,false,false,7,3,0,1,1,1,0,0,6,6,6,0,0,59,22359,36,43,89,296.43543986761483,20.93116865691668,46.91623060065298,11,steventlamb,64,0.3125,16,false,true
2739849,azavea/OTM2,python,999,1389119394,1389208420,1389208420,1483,1483,github,false,false,7,1,5,1,6,2,0,0,5,5,4,1,0,59,22321,169,2,25,296.940101249944,20.966802562609203,46.99610232516464,11,ahinz,176,0.3806818181818182,15,false,true
2760100,azavea/OTM2,python,998,1389109846,1389194557,1389194557,1411,1411,github,false,false,7,1,0,1,1,1,0,0,1,1,1,0,0,59,22297,1,0,1,297.25972103870475,20.98937076736781,47.046687895232544,11,maurizi,106,0.330188679245283,0,false,true
2756041,azavea/OTM2,python,996,1389047324,1389194022,1389194022,2444,2444,github,false,false,7,2,0,3,3,3,0,0,5,5,5,0,0,59,22243,103,49,52,296.2280267949467,20.860495436766623,46.44157712538776,11,maurizi,105,0.3238095238095238,0,false,true
2754059,azavea/OTM2,python,992,1389025126,1389039521,1389039521,239,239,github,false,false,7,1,0,4,4,3,1,0,2,3,3,0,0,59,21987,270,9,5,299.6316004911994,21.10337926956838,46.93682630645382,11,maurizi,104,0.3173076923076923,0,false,true
2741560,azavea/OTM2,python,983,1388774033,1389218387,1389218387,7405,7405,github,false,false,7,3,0,1,1,1,0,0,4,4,2,2,0,59,22361,18,0,99,297.21389919949917,20.974017262197577,47.18035866016725,11,maurizi,103,0.3106796116504854,0,false,true
2733993,azavea/OTM2,python,980,1388679391,1388761859,1388761859,1374,1374,github,false,false,7,6,0,1,1,1,1,0,8,9,6,3,0,59,22443,51,17,303,295.7269527246803,20.67459787015996,46.428730561867845,11,jwalgran,66,0.15151515151515152,10,false,true
2733742,azavea/OTM2,python,979,1388677214,1388679030,1388679030,30,30,github,false,false,7,1,0,1,1,1,0,0,2,2,2,0,0,59,22439,10,0,30,293.81879762912786,20.633718080128347,45.94678907259682,11,maurizi,102,0.30392156862745096,0,false,true
2733491,azavea/OTM2,python,977,1388674824,1388679619,1388679619,79,79,github,false,false,7,1,0,0,0,0,0,0,1,1,0,1,0,59,22439,0,0,13,293.81879762912786,20.633718080128347,45.94678907259682,11,maurizi,101,0.297029702970297,0,false,true
2733484,azavea/OTM2,python,976,1388674699,1388674798,1388674798,1,1,commits_in_master,false,false,7,1,0,0,0,0,0,0,1,1,0,1,0,59,22439,0,0,13,293.81879762912786,20.633718080128347,45.94678907259682,11,maurizi,100,0.3,0,false,true
2692637,azavea/OTM2,python,959,1387841047,1388700818,1388700818,14329,14329,commits_in_master,false,false,6,9,0,0,0,0,0,0,5,5,4,1,0,59,22439,68,176,108,293.64053656580063,20.589152814296536,45.94678907259682,11,steventlamb,63,0.31746031746031744,16,false,true
2681127,azavea/OTM2,python,956,1387576026,1388413863,1388413863,13963,13963,commits_in_master,false,false,6,1,0,2,2,2,0,0,2,2,2,0,0,59,22439,2,5,3,293.64053656580063,20.589152814296536,45.94678907259682,11,maurizi,99,0.30303030303030304,0,false,true
2680207,azavea/OTM2,python,955,1387565698,1387566106,1387566106,6,6,commits_in_master,false,false,6,3,0,0,0,0,0,0,2,2,2,0,0,58,22429,64,0,12,291.94346604841945,20.464577109991527,45.699763698782824,11,RickMohr,53,0.2830188679245283,1,false,true
2675435,azavea/OTM2,python,954,1387500947,1387572837,1387572837,1198,1198,commits_in_master,false,false,6,2,6,3,9,4,1,0,7,8,8,0,0,58,22429,244,67,106,291.94346604841945,20.464577109991527,45.699763698782824,11,steventlamb,62,0.3225806451612903,16,false,true
2672376,azavea/OTM2,python,953,1387467960,1389024747,1389024747,25946,25946,commits_in_master,false,false,6,2,5,1,6,3,3,0,8,11,11,0,0,58,22426,1650,604,168,291.98252028895035,20.467314723981094,45.70587710692946,11,ahinz,174,0.3850574712643678,15,false,true
2671838,azavea/OTM2,python,952,1387463874,1387464156,1387464156,4,4,commits_in_master,false,false,6,1,0,1,1,1,0,0,2,2,2,0,0,59,22422,49,0,4,292.034608866292,20.47096601552047,45.71403086254571,11,RickMohr,52,0.28846153846153844,1,false,true
2659290,azavea/OTM2,python,951,1387332385,1387399288,1387399288,1115,1115,commits_in_master,false,false,6,9,6,3,9,3,1,0,10,11,10,1,0,59,22411,313,254,584,288.6528936682879,20.347150952657177,44.888670742046315,11,steventlamb,61,0.32786885245901637,16,false,true
2655813,azavea/OTM2,python,946,1387295553,1387313496,1387313496,299,299,commits_in_master,false,false,6,2,0,2,2,2,1,0,5,6,5,1,0,59,22132,822,86,94,291.07175131031994,20.513283932767035,45.273811675402136,11,RickMohr,51,0.29411764705882354,1,false,true
2634591,azavea/OTM2,python,944,1386963348,1387295330,1387295330,5533,5533,commits_in_master,false,false,6,4,6,2,8,3,4,10,10,24,27,0,0,59,21310,2274,50,254,300.18770530267483,21.304551853589864,46.87939934303144,11,RickMohr,50,0.3,1,false,true
