pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commits_open,num_pr_comments,num_issue_comments,num_commit_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,commits_to_hottest_file,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,closer,merger,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member,social_connection_tsay,hotness_vasilescu,team_size_vasilescu,description_complexity,workload,prior_interaction_issue_events,prior_interaction_issue_comments,prior_interaction_pr_events,prior_interaction_pr_comments,prior_interaction_commits,prior_interaction_commit_comments,first_response,ci_latency,ci_errors,ci_test_failures
8234366,belaban/JGroups,java,225,1435695401,1435696329,1435696329,15,15,commits_in_master,false,false,2,250,250,0,0,1,1,0,69,15,307,391,289,0,64,0,85906,21534,10760,0,0,345.2610993411403,2.560938700440016,20.74360347356413,353,sarneet,sarneet,sarneet,0,0,0,true,true,false,0.0,4,1,4,0,0,0,0,0,0,-1,-1,false,false
8186216,belaban/JGroups,java,224,1435434458,1435464531,1435464531,501,501,commits_in_master,false,false,2,1,1,0,0,0,0,2,0,0,1,1,0,0,1,0,118998,0,0,5,5,354.0227566849863,2.958032908116103,28.387031714818736,352,rhusar,belaban,belaban,14,0.9285714285714286,30,false,false,true,0.07246376811594203,4,46,4,0,0,4,1,9,0,-1,-1,false,false
8072255,belaban/JGroups,java,223,1434714780,1434716061,1434716061,21,21,github,false,false,2,1,1,0,3,0,3,2,0,0,1,1,1,0,0,0,118772,5,0,2,2,352.9535580776614,2.963661469033106,28.441046711346107,350,pimenas,belaban,belaban,0,0,1,false,false,false,0.03333333333333333,4,53,4,0,0,0,0,1,0,12,-1,false,false
8048001,belaban/JGroups,java,222,1434604295,,1435735811,18858,,unknown,false,false,2,1,1,5,9,1,15,4,0,0,2,2,0,0,2,0,118779,0,0,15,14,352.9327574739642,2.9634868116417885,28.43937059581239,350,slaskawi,belaban,,4,0.5,2,false,false,false,0.25925925925925924,4,57,3,0,7,4,0,3,0,13822,-1,false,false
8032821,belaban/JGroups,java,221,1434530344,1434531017,1434531017,11,11,commits_in_master,false,false,2,1,1,0,0,0,0,2,0,0,1,1,0,0,1,0,118779,0,0,11,11,352.9327574739642,2.9634868116417885,28.43937059581239,349,slaskawi,belaban,belaban,3,0.3333333333333333,2,false,false,false,0.21153846153846154,4,41,3,0,6,3,0,2,0,-1,-1,false,false
8009566,belaban/JGroups,java,220,1434411698,1434423065,1434423065,189,189,commits_in_master,false,false,2,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,118739,0,38,0,0,352.8242616158128,2.9644851312542637,28.398420064174363,349,WolverineFan,belaban,belaban,0,0,2,false,false,false,0.0,4,8,4,0,0,0,0,0,0,-1,-1,false,false
8006817,belaban/JGroups,java,219,1434396419,1434435705,1434435705,654,654,commits_in_master,false,false,2,5,5,0,0,0,0,0,3,0,7,10,4,0,4,0,118739,242,44,11,8,352.8242616158128,2.9644851312542637,28.398420064174363,349,rhusar,belaban,belaban,13,0.9230769230769231,30,false,false,true,0.0,4,7,3,0,0,3,0,8,0,-1,-1,false,false
7943440,belaban/JGroups,java,218,1434012278,1434368916,1434368916,5943,5943,commits_in_master,false,false,2,1,1,0,0,0,0,2,0,0,1,1,0,0,1,0,118729,0,0,5,5,352.7529078826571,2.964734816262244,28.375544306782675,348,slaskawi,belaban,belaban,2,0.0,2,false,false,false,0.11904761904761904,4,46,4,0,5,2,0,1,0,-1,-1,false,false
7907097,belaban/JGroups,java,217,1433834396,,1434362244,8797,,unknown,false,false,2,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,118727,118,0,0,0,352.7588501351841,2.9647847583110836,28.37602230326716,348,slaskawi,belaban,,1,0.0,2,false,false,false,0.0,4,81,4,0,5,1,0,0,0,8797,-1,false,false
7842703,belaban/JGroups,java,216,1433412302,1433568004,1433568004,2595,2595,commits_in_master,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,118870,0,0,0,0,352.3344830487087,2.961218137461092,28.341886094052324,347,dobermai,belaban,belaban,0,0,18,false,false,false,0.0,4,9,3,0,0,0,0,0,0,-1,-1,false,false
7828491,belaban/JGroups,java,215,1433337621,1433339635,1433339635,33,33,commits_in_master,false,false,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,118864,6,0,0,0,352.3522681383766,2.961367613406919,28.343316731727015,346,TomasHofman,belaban,belaban,0,0,0,false,false,false,0.0,4,13,3,0,0,0,0,1,0,-1,-1,false,false
7798581,belaban/JGroups,java,214,1433188519,1433227019,1433227019,641,641,commits_in_master,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,118864,0,0,0,0,352.3522681383766,2.961367613406919,28.343316731727015,344,rhusar,belaban,belaban,12,0.9166666666666666,30,false,false,true,0.0,4,7,3,0,0,2,0,3,0,-1,-1,false,false
7725242,belaban/JGroups,java,213,1432739153,1432795506,1432795506,939,939,commits_in_master,false,false,2,1,1,0,1,0,1,2,0,0,3,3,3,0,0,0,118628,18,39,0,0,351.5949017095458,2.9588292814512593,28.10466331726068,343,pruivo,belaban,belaban,6,0.8333333333333334,6,false,false,false,0.0,4,54,4,0,0,0,0,1,0,939,-1,false,false
7722551,belaban/JGroups,java,212,1432730437,1432793801,1432793801,1056,1056,commits_in_master,false,false,2,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,118628,2,0,2,2,351.5949017095458,2.9588292814512593,28.10466331726068,343,tristantarrant,belaban,belaban,17,0.6470588235294118,14,false,false,false,0.06451612903225806,4,6,4,0,0,2,0,3,0,-1,-1,false,false
7701864,belaban/JGroups,java,210,1432614157,1432614288,1432614288,2,2,commits_in_master,false,false,2,1,1,0,0,0,0,0,5,0,1,6,6,0,0,0,118336,284,89,0,0,351.79488912925905,2.949229313142239,28.15711195240671,343,tristantarrant,belaban,belaban,15,0.6666666666666666,14,false,false,false,0.0,4,11,2,0,0,0,0,1,0,-1,-1,false,false
7698540,belaban/JGroups,java,209,1432583855,1432609482,1432609482,427,427,commits_in_master,false,false,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,118322,16,0,0,0,351.836513919643,2.9495782694680615,28.1604435354372,342,rhusar,belaban,belaban,11,0.9090909090909091,30,false,false,true,0.0,4,19,2,0,0,1,0,3,0,-1,-1,false,false
7674772,belaban/JGroups,java,208,1432382261,1432473047,1432473047,1513,1513,commits_in_master,false,false,2,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,118320,5,0,0,0,351.84246112238,2.949628127112914,28.160919540229884,341,rhusar,belaban,belaban,10,0.9,30,false,false,true,0.0,4,16,2,0,0,0,0,2,0,-1,-1,false,false
6867634,belaban/JGroups,java,205,1427555404,1427555604,1427555604,3,3,commits_in_master,false,false,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,118154,0,4,1,1,351.63430776782843,2.945308664962676,28.158166460720754,326,dimbleby,belaban,belaban,25,0.36,1,false,false,false,0.015873015873015872,5,35,0,0,0,0,0,1,0,-1,-1,false,false
6415066,belaban/JGroups,java,204,1424821613,1424844648,1424844648,383,383,commits_in_master,false,false,1,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,117528,54,0,0,0,351.2865019399633,2.9609965284868287,28.078415356340617,309,phaas,belaban,belaban,0,0,4,false,false,false,0.0,6,92,0,0,0,0,0,2,0,-1,-1,false,false
6247778,belaban/JGroups,java,203,1423734912,1423736032,1423736032,18,18,commits_in_master,false,false,1,1,1,0,0,0,0,0,1,0,3,4,4,0,0,0,117396,70,0,2,2,351.0000340727112,2.964325871409588,28.00776857814576,307,pferraro,belaban,belaban,6,1.0,7,false,true,false,0.0,6,32,0,0,0,4,0,3,0,-1,-1,false,false
6115278,belaban/JGroups,java,202,1422906064,1422941429,1422941429,589,589,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,3,3,3,0,0,0,117396,32,0,0,0,351.0000340727112,2.964325871409588,28.00776857814576,304,pferraro,belaban,belaban,5,1.0,7,false,true,false,0.0,6,8,0,0,0,3,0,2,0,-1,-1,false,false
6081266,belaban/JGroups,java,201,1422627053,1422778943,1422778943,2531,2531,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,117377,65,0,0,0,351.0568510014739,2.964805711510773,28.012302239791442,303,kohsuke,belaban,belaban,0,0,784,false,false,false,0.0,6,30,0,0,0,0,0,1,0,-1,-1,false,false
5971536,belaban/JGroups,java,200,1421924492,,1422010848,1439,,unknown,false,false,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,117365,24,0,1,1,350.9904997230861,2.9651088484641925,28.015166361351337,299,kammous,belaban,,1,1.0,0,false,false,false,0.017241379310344827,6,24,0,0,1,1,0,1,0,1439,-1,false,false
5919072,belaban/JGroups,java,199,1421585830,1421586797,1421586797,16,16,commits_in_master,false,false,1,1,1,0,0,0,0,2,0,0,1,1,1,0,0,0,117357,1,0,0,0,351.01442606746934,2.9653109742069073,28.01707610112733,297,kammous,belaban,belaban,0,0,0,false,false,false,0.0,6,20,0,0,0,0,0,1,0,-1,-1,false,false
5846988,belaban/JGroups,java,198,1421056747,1421075822,1421075822,317,317,github,false,false,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,117352,4,0,0,0,351.0293816892767,2.9654373167905104,28.01826982071034,296,pferraro,pferraro,pferraro,4,1.0,6,false,true,false,0.0,7,27,0,0,0,0,0,1,0,-1,-1,false,false
5787179,belaban/JGroups,java,197,1420803194,,1420803826,10,,unknown,false,false,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,110848,4,0,2,2,341.30521073903003,3.112370092378753,26.270207852193995,295,mwigglesworth-redhat,belaban,,1,1.0,2,false,true,false,0.03508771929824561,7,25,0,0,2,3,0,2,0,-1,-1,false,false
5765830,belaban/JGroups,java,196,1420655771,1420694270,1420694270,641,641,commits_in_master,false,false,2,12,12,0,0,0,0,0,0,0,3,3,1,0,0,0,117354,2,0,3,2,351.02339928762547,2.965386778465157,28.017792320670793,295,alex-sherwin,belaban,belaban,10,0.1,2,false,true,false,0.01818181818181818,7,3,0,0,1,20,0,12,0,-1,-1,false,false
5765033,belaban/JGroups,java,195,1420651988,,1420652266,4,,unknown,false,false,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,117354,2,0,0,0,351.02339928762547,2.965386778465157,28.017792320670793,295,alex-sherwin,alex-sherwin,,9,0.1111111111111111,2,false,true,false,0.0,7,7,9,0,0,9,0,0,0,-1,-1,false,false
5765024,belaban/JGroups,java,194,1420651961,,1420652292,5,,unknown,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,117354,0,0,2,2,351.02339928762547,2.965386778465157,28.017792320670793,295,alex-sherwin,alex-sherwin,,8,0.125,2,false,true,false,0.03636363636363636,7,7,8,0,0,8,0,0,0,-1,-1,false,false
5764996,belaban/JGroups,java,193,1420651843,,1420652294,7,,unknown,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,117354,0,0,2,2,351.02339928762547,2.965386778465157,28.017792320670793,295,alex-sherwin,alex-sherwin,,7,0.14285714285714285,2,false,true,false,0.03636363636363636,7,5,7,0,0,7,0,0,0,-1,-1,false,false
5764960,belaban/JGroups,java,192,1420651705,1420652297,1420652297,9,9,commit_sha_in_comments,false,false,2,1,1,0,2,0,2,2,0,0,1,1,0,0,0,0,117354,0,0,2,2,351.02339928762547,2.965386778465157,28.017792320670793,295,alex-sherwin,alex-sherwin,alex-sherwin,6,0.0,2,false,true,false,0.03636363636363636,7,32,6,0,0,6,0,0,0,4,-1,false,false
5764897,belaban/JGroups,java,191,1420651366,,1420652298,15,,unknown,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,117354,0,0,2,2,351.02339928762547,2.965386778465157,28.017792320670793,295,alex-sherwin,alex-sherwin,,5,0.0,2,false,true,false,0.03636363636363636,7,4,5,0,0,5,0,0,0,-1,-1,false,false
5764708,belaban/JGroups,java,190,1420650609,,1420652300,28,,unknown,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,117354,0,0,1,1,351.02339928762547,2.965386778465157,28.017792320670793,295,alex-sherwin,alex-sherwin,,4,0.0,2,false,true,false,0.01818181818181818,7,7,4,0,0,4,0,0,0,-1,-1,false,false
5764662,belaban/JGroups,java,189,1420650363,,1420652301,32,,unknown,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,117354,0,0,1,1,351.02339928762547,2.965386778465157,28.017792320670793,295,alex-sherwin,alex-sherwin,,3,0.0,2,false,true,false,0.01818181818181818,7,5,3,0,0,3,0,0,0,-1,-1,false,false
5764632,belaban/JGroups,java,188,1420650214,,1420652302,34,,unknown,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,117354,0,0,1,1,351.02339928762547,2.965386778465157,28.017792320670793,295,alex-sherwin,alex-sherwin,,2,0.0,2,false,true,false,0.01818181818181818,7,20,2,0,0,2,0,0,0,-1,-1,false,false
5764577,belaban/JGroups,java,187,1420649813,,1420652304,41,,unknown,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,117354,0,0,1,1,351.02339928762547,2.965386778465157,28.017792320670793,295,alex-sherwin,alex-sherwin,,1,0.0,2,false,true,false,0.01818181818181818,7,5,1,0,0,1,0,0,0,-1,-1,false,false
5763972,belaban/JGroups,java,186,1420647216,,1420652307,84,,unknown,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,117354,0,0,1,1,351.02339928762547,2.965386778465157,28.017792320670793,295,alex-sherwin,alex-sherwin,,0,0,2,false,true,false,0.01818181818181818,7,6,0,0,0,0,0,0,0,-1,-1,false,false
5494994,belaban/JGroups,java,185,1418073515,1418101203,1418101203,461,461,github,false,false,2,1,1,0,1,0,1,2,0,0,1,1,1,0,0,0,110827,34,0,0,0,341.3698827902948,3.11295983830655,26.275185649706298,289,mwigglesworth-redhat,mwigglesworth-redhat,mwigglesworth-redhat,0,0,2,false,true,false,0.0,7,127,0,0,0,0,0,1,0,461,-1,false,false
5310804,belaban/JGroups,java,184,1416414499,1416415190,1416415190,11,11,commits_in_master,false,false,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,117163,42,0,0,0,351.50175396669596,2.970220974198339,28.037861782303285,279,danberindei,belaban,belaban,5,0.6,5,false,false,true,0.0,8,19,0,0,0,0,0,1,0,-1,-1,false,false
5220486,belaban/JGroups,java,183,1415817852,1415865794,1415865794,799,799,commits_in_master,false,false,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,117159,2,0,4,4,351.51375481183686,2.970322382403401,28.03881904079072,278,rhusar,belaban,belaban,9,0.8888888888888888,29,false,true,true,0.04819277108433735,8,6,0,0,0,6,0,5,0,-1,-1,false,false
5162714,belaban/JGroups,java,180,1415171713,1415183160,1415183160,190,190,commits_in_master,false,false,2,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,117143,19,0,1,1,351.4764006385358,2.970728084477946,28.025575578566368,276,nekop,belaban,belaban,2,1.0,35,false,false,false,0.011494252873563218,8,24,0,0,0,0,0,1,0,184,-1,false,false
5152804,belaban/JGroups,java,179,1415101060,,1415102146,18,,unknown,false,false,2,13,13,0,0,0,0,1,31,31,3,65,5,16,13,0,116439,4177,2265,0,0,348.5430139386288,2.9629247932393787,27.67972930032034,276,tepitebson,belaban,,9,0.0,0,false,false,false,0.0,8,35,0,0,0,6,0,2,0,-1,-1,false,false
5141238,belaban/JGroups,java,178,1415019335,,1415020200,14,,unknown,false,false,2,4,4,0,1,2,3,1,1,0,3,4,4,0,0,0,116439,2061,1151,0,0,348.5430139386288,2.9629247932393787,27.67972930032034,276,tepitebson,belaban,,8,0.0,0,false,false,false,0.0,8,15,5,0,0,5,0,2,0,14,-1,false,false
5141229,belaban/JGroups,java,177,1415019287,,1415020242,15,,unknown,false,false,2,14,14,0,0,2,2,1,3,0,31,34,29,0,4,0,117143,2458,1626,35,10,351.4764006385358,2.970728084477946,28.025575578566368,276,tepitebson,belaban,,7,0.0,0,false,false,false,0.011904761904761904,8,15,4,0,0,4,0,2,0,-1,-1,false,false
5141215,belaban/JGroups,java,176,1415019213,,1415020258,17,,unknown,false,false,2,13,13,0,0,7,7,0,30,29,5,64,6,16,13,0,110828,3246,1417,1,1,341.3668026130581,3.112931750099253,26.274948568953693,276,tepitebson,belaban,,6,0.0,0,false,false,false,0.0,8,15,3,0,0,3,0,2,0,-1,-1,false,false
5141180,belaban/JGroups,java,175,1415019008,,1415020266,20,,unknown,false,false,2,2,2,0,0,0,0,0,0,0,3,3,3,0,0,0,117143,1948,1122,0,0,351.4764006385358,2.970728084477946,28.025575578566368,276,tepitebson,belaban,,5,0.0,0,false,false,false,0.0,8,10,2,0,0,2,0,2,0,-1,-1,false,false
5141136,belaban/JGroups,java,174,1415018721,,1415020273,25,,unknown,false,false,2,3,3,0,0,0,0,0,0,0,3,3,3,0,0,0,116439,1948,1151,0,0,348.5430139386288,2.9629247932393787,27.67972930032034,276,tepitebson,belaban,,4,0.0,0,false,false,false,0.0,8,8,1,0,0,1,0,2,0,-1,-1,false,false
5141124,belaban/JGroups,java,173,1415018660,,1415020279,26,,unknown,false,false,2,12,12,0,0,6,6,0,29,29,5,63,5,16,13,0,110828,3100,1417,1,1,341.3668026130581,3.112931750099253,26.274948568953693,276,tepitebson,belaban,,3,0.0,0,false,false,false,0.0,8,8,0,0,0,0,0,2,0,-1,-1,false,false
5069725,belaban/JGroups,java,172,1414416936,1414480847,1414480847,1065,1065,commits_in_master,false,false,2,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,117082,87,0,0,0,351.6595206778155,2.9722758408636683,28.04017696998685,273,mcimbora,belaban,belaban,0,0,0,false,false,false,0.0,8,25,0,0,0,0,0,1,0,-1,-1,false,false
4956832,belaban/JGroups,java,171,1413398788,1413432459,1413432459,561,561,commits_in_master,false,false,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,117078,13,0,0,0,351.671535215839,2.972377389432686,28.04113496984916,271,hoangelos,belaban,belaban,3,0.3333333333333333,7,false,false,false,0.0,8,19,0,0,1,4,0,1,0,-1,-1,false,false
5826593,belaban/JGroups,java,170,1413398102,,1413398560,7,,unknown,false,false,2,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,117078,25,0,0,0,351.671535215839,2.972377389432686,28.04113496984916,271,hoangelos,hoangelos,,2,0.5,7,false,false,false,0.0,8,6,0,0,1,2,0,1,0,-1,-1,false,false
4955787,belaban/JGroups,java,169,1413390776,,1413391740,16,,unknown,false,false,2,2,1,0,1,0,1,1,0,0,1,1,1,0,0,0,117078,17,0,0,0,351.671535215839,2.972377389432686,28.04113496984916,271,hoangelos,hoangelos,,1,1.0,7,false,false,false,0.0,8,8,0,0,0,0,0,1,0,0,-1,false,false
4951167,belaban/JGroups,java,168,1412777777,1413352617,1413352618,9580,9580,github,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,117077,4,0,4,4,351.6745389786209,2.9724027776591475,28.041374480043046,271,rhusar,belaban,belaban,8,0.875,28,false,true,true,0.04040404040404041,8,4,1,0,0,6,0,5,0,-1,-1,false,false
4782144,belaban/JGroups,java,167,1411644570,,1411644653,1,,unknown,false,false,1,1,1,0,0,0,0,0,2,0,4,6,2,0,4,0,109124,13,0,0,0,333.33638796231804,3.2989993035445915,22.194934203291666,268,joninacjc,joninacjc,,0,0,0,false,false,false,0.0,8,9,0,0,0,0,0,0,0,-1,-1,false,false
4596784,belaban/JGroups,java,166,1409774329,1409801214,1409801214,448,448,github,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,116030,5,0,0,0,346.8327156769801,2.94751357407567,27.665258984745325,262,rhusar,rhusar,rhusar,7,0.8571428571428571,27,false,true,false,0.0,8,33,0,0,0,3,0,4,0,-1,-1,false,false
4473663,belaban/JGroups,java,165,1408559846,1408590120,1408590120,504,504,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,115999,10,0,0,0,346.7702307778515,2.9483012784592972,27.638169294562886,258,rhusar,belaban,belaban,6,0.8333333333333334,27,false,true,true,0.0,8,22,0,0,0,2,0,3,0,-1,-1,false,false
4457571,belaban/JGroups,java,164,1408441498,1408441638,1408441638,2,2,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,115999,2,0,7,7,346.7702307778515,2.9483012784592972,27.638169294562886,258,rhusar,belaban,belaban,5,0.8,27,false,true,true,0.056451612903225805,8,22,0,0,0,1,0,2,0,-1,-1,false,false
4381174,belaban/JGroups,java,163,1407666413,1407686702,1407686702,338,338,commits_in_master,false,false,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,116093,0,0,6,6,346.4894524217653,2.945914051665475,27.61579078841963,248,rhusar,belaban,belaban,4,0.75,27,false,true,true,0.06,8,10,0,0,0,0,0,1,0,-1,-1,false,false
4347774,belaban/JGroups,java,162,1407305299,,1407305875,9,,unknown,false,false,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,110809,5,0,0,0,341.317041034573,3.1134655127291104,26.261404759541193,248,panossot,belaban,,0,0,1,false,false,false,0.0,8,11,0,0,0,0,0,0,0,-1,-1,false,false
4300574,belaban/JGroups,java,161,1406804362,1406808340,1406808340,66,66,commits_in_master,false,false,1,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,116090,5,0,6,6,346.49840640882076,2.9459901800327333,27.616504436213283,248,isavin,belaban,belaban,0,0,7,false,false,true,0.06060606060606061,8,31,0,0,0,0,0,2,0,-1,-1,false,false
4263633,belaban/JGroups,java,160,1406465156,,1406465245,1,,unknown,false,false,1,1,1,0,0,0,0,0,0,0,5,5,5,0,0,0,116087,21,129,1,1,346.50736085866635,2.946066312334714,27.61721812089209,248,tranloc,tranloc,,0,0,0,true,false,false,0.0,8,8,0,0,0,0,0,0,0,-1,-1,false,false
4179309,belaban/JGroups,java,159,1405570891,1405571513,1405571513,10,10,commits_in_master,false,false,1,2,2,0,3,0,3,2,0,0,1,1,0,0,1,0,115965,0,0,1,1,346.51834605268834,2.949165696546372,27.646272582244645,246,tristantarrant,tristantarrant,tristantarrant,14,0.6428571428571429,14,false,true,false,0.013513513513513514,8,3,1,0,1,16,0,11,0,10,-1,false,false
4053792,belaban/JGroups,java,158,1404382184,1404385895,1404385895,61,61,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,3,3,3,0,0,0,116048,59,0,7,7,347.43382048807393,2.9642906383565424,27.626499379567075,245,pferraro,belaban,belaban,3,1.0,5,false,true,false,0.015625,8,58,0,0,0,0,0,1,0,-1,-1,false,false
4009948,belaban/JGroups,java,157,1403846691,1403846697,1403846697,0,0,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,115975,3,0,5,5,347.41970252209524,2.966156499245527,27.600776029316663,245,belaban,belaban,belaban,0,0,55,true,true,false,0.08620689655172414,8,12,0,0,6,15,0,133,4,-1,-1,false,false
4009869,belaban/JGroups,java,156,1403846010,1403846183,1403846183,2,2,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,115975,3,0,3,3,347.41970252209524,2.966156499245527,27.600776029316663,245,nekop,belaban,belaban,1,1.0,33,false,false,false,0.05263157894736842,8,35,0,0,0,0,0,0,0,-1,-1,false,false
3991325,belaban/JGroups,java,155,1403681802,,1403682245,7,,unknown,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,110758,2,0,3,3,341.4651763303779,3.1148991494971017,26.27349717401903,245,tristantarrant,belaban,,13,0.6923076923076923,14,false,true,false,0.05555555555555555,8,14,0,0,1,16,0,10,0,-1,-1,false,false
3927260,belaban/JGroups,java,154,1403006553,1403007541,1403007541,16,16,github,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,110396,2,0,11,11,342.58487626363274,3.125113228740172,26.35965071198232,245,tristantarrant,tristantarrant,tristantarrant,12,0.6666666666666666,14,false,true,false,0.36666666666666664,8,9,1,0,1,11,0,10,0,-1,-1,false,false
3927252,belaban/JGroups,java,153,1403006434,1403007528,1403007528,18,18,github,false,false,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,115342,2,0,14,14,347.6097171888818,2.9650951084600576,27.639541537341124,245,tristantarrant,tristantarrant,tristantarrant,11,0.6363636363636364,14,false,true,false,0.4666666666666667,8,9,1,0,1,10,0,10,0,-1,-1,false,false
3924625,belaban/JGroups,java,152,1402985678,,1402992953,121,,unknown,false,false,1,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,110385,30,0,8,8,342.6190152647552,3.1254246500883274,26.36227748335372,245,tristantarrant,belaban,,10,0.7,14,false,true,false,0.27586206896551724,8,3,0,0,1,9,0,8,0,-1,-1,false,false
