pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2695068,binaryage/totalfinder-i18n,ruby,370,1387883240,1388145564,1388145564,4372,4372,commits_in_master,false,false,1,6,3,0,3,2,21,0,17,38,0,3,18,50,1125,0,0,0,0.0,0.0,0.0,189,ashishpandey,0,0,0,false,false
2642590,binaryage/totalfinder-i18n,ruby,369,1387126140,1387830372,1387830372,11737,11737,commits_in_master,false,false,1,1,0,0,0,0,1,0,0,1,0,0,1,48,1125,0,0,0,0.0,0.0,0.0,189,DZozulya,0,0,1,false,false
2598400,binaryage/totalfinder-i18n,ruby,368,1386555165,1386590538,1386590538,589,589,github,false,false,1,1,0,0,0,1,0,0,2,2,0,0,2,51,1125,0,0,5,0.0,0.0,0.0,188,gnowxilef,0,0,0,false,false
2592291,binaryage/totalfinder-i18n,ruby,367,1386425236,1386590139,1386590139,2748,2748,github,false,false,1,1,0,0,0,1,3,0,12,15,0,1,14,50,1125,0,0,3,0.0,0.0,0.0,188,mzch,0,0,0,false,false
2522052,binaryage/totalfinder-i18n,ruby,366,1385462012,1385545103,1385545103,1384,1384,github,false,false,1,1,0,0,0,0,1,0,0,1,0,0,1,53,1125,0,0,0,0.0,0.0,0.0,188,abajo,36,1.0,0,false,false
2521930,binaryage/totalfinder-i18n,ruby,365,1385460651,1385545095,1385545095,1407,1407,github,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,53,1125,0,0,4,0.0,0.0,0.0,188,abajo,35,1.0,0,false,false
2521798,binaryage/totalfinder-i18n,ruby,364,1385459067,1385545086,1385545086,1433,1433,github,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,52,1125,0,0,0,0.0,0.0,0.0,188,abajo,34,1.0,0,false,false
2462930,binaryage/totalfinder-i18n,ruby,363,1384623452,1384797620,1384797620,2902,2902,github,false,false,1,1,0,0,0,0,0,0,3,3,0,0,3,53,1125,0,0,3,0.0,0.0,0.0,188,browniebroke,0,0,0,false,false
2417555,binaryage/totalfinder-i18n,ruby,362,1383985458,1383996182,1383996182,178,178,github,false,false,1,3,0,0,0,0,1,0,12,13,0,0,13,55,1125,0,0,4,0.0,0.0,0.0,188,mooms,0,0,0,false,false
2381002,binaryage/totalfinder-i18n,ruby,361,1383551908,1383571419,1383571419,325,325,github,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,55,1125,0,0,0,0.0,0.0,0.0,188,diegotheblind,28,0.9642857142857143,2,false,false
2336298,binaryage/totalfinder-i18n,ruby,360,1382902358,1382955927,1382955928,892,892,github,false,false,1,1,0,0,0,0,0,0,2,2,0,0,2,56,1125,0,0,2,0.0,0.0,0.0,188,Yann-R,8,1.0,0,false,false
2333186,binaryage/totalfinder-i18n,ruby,359,1382823335,1382883467,1382883468,942,942,github,false,false,1,2,0,0,0,1,1,0,12,13,0,1,12,55,1125,0,0,3,0.0,0.0,0.0,188,devsbl,0,0,2,false,false
2325897,binaryage/totalfinder-i18n,ruby,358,1382691007,1382697937,1382697938,115,115,github,false,false,1,1,0,0,0,1,0,0,1,1,0,0,1,60,1125,0,0,1,0.0,0.0,0.0,188,abajo,33,1.0,0,false,false
2325895,binaryage/totalfinder-i18n,ruby,357,1382690950,1382697930,1382697930,116,116,github,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,59,1125,0,0,0,0.0,0.0,0.0,188,abajo,32,1.0,0,false,false
2325887,binaryage/totalfinder-i18n,ruby,356,1382690861,1382697923,1382697923,117,117,github,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,58,1125,0,0,1,0.0,0.0,0.0,188,abajo,31,1.0,0,false,false
2325878,binaryage/totalfinder-i18n,ruby,355,1382690725,1382697916,1382697917,119,119,github,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,58,1125,0,0,3,0.0,0.0,0.0,188,abajo,30,1.0,0,false,false
2325857,binaryage/totalfinder-i18n,ruby,354,1382690517,1382697909,1382697909,123,123,github,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,57,1125,0,0,0,0.0,0.0,0.0,188,abajo,29,1.0,0,false,false
2318424,binaryage/totalfinder-i18n,ruby,353,1382600858,1382617874,1382617874,283,283,github,false,false,1,2,0,1,1,1,1,0,19,20,0,0,20,58,1125,0,0,5,0.0,0.0,0.0,187,Mauker1,0,0,0,false,false
2252824,binaryage/totalfinder-i18n,ruby,352,1381598842,1382697879,1382697879,18317,18317,github,false,false,1,1,0,0,0,0,1,0,2,3,0,0,3,56,1125,0,0,2,0.0,0.0,0.0,187,Saberre,6,0.8333333333333334,20,false,false
2247031,binaryage/totalfinder-i18n,ruby,351,1381495481,1381503187,1381503187,128,128,github,false,false,1,8,0,0,0,1,0,0,8,8,0,0,8,55,1125,0,0,10,0.0,0.0,0.0,187,bkummel,0,0,0,false,false
2180199,binaryage/totalfinder-i18n,ruby,350,1380545537,1380560891,1380560891,255,255,github,false,false,1,2,0,0,0,1,1,0,9,10,1,0,9,46,1125,1,0,8,0.0,0.0,0.0,187,jeroenh,0,0,6,false,false
2158244,binaryage/totalfinder-i18n,ruby,349,1380177274,1380178404,1380178404,18,18,github,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,47,1125,0,0,3,0.0,0.0,0.0,187,fawong,2,0.5,1,false,false
2128195,binaryage/totalfinder-i18n,ruby,348,1379662735,1379676554,1379676554,230,230,github,false,false,2,1,0,0,0,0,0,0,4,4,0,0,4,46,1125,0,0,4,0.0,0.0,0.0,187,fawong,1,0.0,1,false,false
2128149,binaryage/totalfinder-i18n,ruby,347,1379661918,,1379662383,7,,unknown,false,false,2,45,0,0,0,1,34,0,4,38,3,3,32,46,1125,0,0,0,0.0,0.0,0.0,187,fawong,0,0,1,false,false
