pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2736910,caelum/vraptor,java,590,1389010569,,1389032170,360,,unknown,false,false,3,9,7,3,10,3,0,0,2,2,2,0,0,66,14495,319,10,0,1155.0879613659883,71.334943083822,88.16833390824422,367,GGotardo,0,0,0,false,false
2601773,caelum/vraptor,java,587,1386601896,1386617278,1386617278,256,256,github,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,36,14495,4,0,0,1155.0879613659883,71.334943083822,88.16833390824422,367,danilomunoz,3,1.0,0,false,false
2459022,caelum/vraptor,java,584,1384542371,1384947685,1384947685,6755,6755,github,false,false,3,3,7,1,8,2,0,0,2,2,2,0,0,38,14476,55,78,2,1152.5974025974026,71.22133185962973,86.76429953025698,367,cacio-costa,0,0,0,false,false
2270297,caelum/vraptor,java,580,1381896100,,1382026123,2167,,unknown,false,false,3,2,2,4,6,3,0,0,2,2,2,0,0,54,14476,0,22,0,1152.5974025974026,71.22133185962973,86.76429953025698,367,nykolaslima,17,0.8235294117647058,20,false,false
2243990,caelum/vraptor,java,578,1381449128,1381452658,1381452658,58,58,github,false,false,3,2,0,1,1,1,0,0,1,1,0,1,0,53,14476,0,0,0,1152.5974025974026,71.22133185962973,86.76429953025698,367,garcia-jj,16,0.3125,46,true,true
2194427,caelum/vraptor,java,575,1380716053,1380741299,1380741299,420,420,github,false,false,2,2,0,4,4,2,0,0,2,2,1,1,0,62,14475,4,0,0,1152.6770293609673,71.22625215889465,86.77029360967185,367,garcia-jj,15,0.26666666666666666,45,true,true
2187817,caelum/vraptor,java,573,1380639011,,1380814822,2930,,unknown,false,true,2,1,0,3,3,3,0,0,1,1,1,0,0,62,14475,2,0,0,1152.6770293609673,71.22625215889465,86.77029360967185,367,nykolaslima,16,0.875,20,false,false
2100338,caelum/vraptor,java,571,1379004066,1379010657,1379010658,109,109,github,false,false,2,2,0,0,0,0,1,0,4,5,5,0,0,60,14463,49,251,4,1153.6334093894766,71.28534882112977,86.84228721565374,366,peas,0,0,163,true,true
2069900,caelum/vraptor,java,570,1378752109,1378754241,1378754242,35,35,github,false,false,2,4,1,3,4,3,0,0,7,7,7,0,0,65,14442,66,15,7,1154.5492314083922,71.25051931865391,86.8300789364354,366,nykolaslima,15,0.8666666666666667,18,false,false
2019209,caelum/vraptor,java,567,1377788406,1377803058,1377803058,244,244,github,false,false,2,2,0,0,0,1,0,0,2,2,2,0,0,65,14443,4,45,10,1155.3001453991553,71.24558609707124,86.82406702208682,366,dipold,7,1.0,0,false,false
