pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commits_open,num_pr_comments,num_issue_comments,num_commit_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,commits_to_hottest_file,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,closer,merger,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member,social_connection_tsay,hotness_vasilescu,team_size_vasilescu,description_complexity,workload,prior_interaction_issue_events,prior_interaction_issue_comments,prior_interaction_pr_events,prior_interaction_pr_comments,prior_interaction_commits,prior_interaction_commit_comments,first_response,ci_latency,ci_errors,ci_test_failures
7212175,calblueprint/BPSF,ruby,493,1429658737,1429658745,1429658745,0,0,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,4,4,4,0,0,0,2420,18,0,10,7,173.14049586776858,4.132231404958678,30.991735537190085,6,wonjun,wonjun,wonjun,80,0.7625,11,true,true,false,0.5,2,6,2,1,1,11,0,17,0,-1,-1,false,false
7141029,calblueprint/BPSF,ruby,487,1429224915,1429224949,1429224949,0,0,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,122,3,125,125,0,0,0,3431,1130,0,4,3,122.12183037015448,2.914602156805596,21.85951617604197,6,wonjun,wonjun,wonjun,79,0.759493670886076,11,true,true,false,0.0,2,10,2,1,1,9,0,15,0,-1,-1,false,false
7138746,calblueprint/BPSF,ruby,484,1429212788,1429212904,1429212904,1,1,commits_in_master,false,false,1,26,26,0,0,0,0,0,51,0,9,60,59,0,1,0,2962,830,0,2,2,141.4584740040513,3.37609723160027,25.320729237002027,6,wonjun,wonjun,wonjun,78,0.7564102564102564,11,true,true,false,0.0,2,2,2,1,1,7,0,12,0,-1,-1,false,false
6132823,calblueprint/BPSF,ruby,469,1423002588,1423002595,1423002595,0,0,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2962,0,0,0,0,141.4584740040513,3.37609723160027,25.320729237002027,6,wonjun,wonjun,wonjun,77,0.7532467532467533,11,true,true,false,0.0,2,5,2,0,0,9,0,11,0,-1,-1,false,false
6132760,calblueprint/BPSF,ruby,468,1423002278,1423002316,1423002316,0,0,commits_in_master,false,false,1,22,22,0,0,0,0,0,51,0,9,60,58,1,1,0,2962,761,0,0,0,141.4584740040513,3.37609723160027,25.320729237002027,6,wonjun,wonjun,wonjun,76,0.75,11,true,true,false,0.0,2,3,2,0,0,7,0,11,0,-1,-1,false,false
6131155,calblueprint/BPSF,ruby,467,1422995352,1422995365,1422995365,0,0,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,2,2,1,1,0,0,2959,4,0,0,0,141.60189253126057,3.3795201081446433,25.346400811084827,6,wonjun,wonjun,wonjun,75,0.7466666666666667,11,true,true,false,0.0,2,11,2,0,0,5,0,7,0,-1,-1,false,false
6042797,calblueprint/BPSF,ruby,466,1422407580,1422407759,1422407759,2,2,commits_in_master,false,false,1,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,2959,168,0,0,0,141.60189253126057,3.3795201081446433,25.346400811084827,6,vivekraghuram,wonjun,wonjun,91,0.7252747252747253,5,true,false,false,0.0,2,2,2,0,0,1,0,3,0,-1,-1,false,false
5863592,calblueprint/BPSF,ruby,465,1421153856,1421153864,1421153864,0,0,github,false,false,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2959,0,0,0,0,141.60189253126057,3.3795201081446433,25.346400811084827,6,wonjun,wonjun,wonjun,74,0.7432432432432432,11,true,true,false,0.0,2,5,2,0,0,11,0,13,0,-1,-1,false,false
5713658,calblueprint/BPSF,ruby,464,1420205596,1420425324,1420425324,3662,3662,commits_in_master,false,false,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2959,0,0,0,0,141.60189253126057,3.3795201081446433,25.346400811084827,6,vivekraghuram,wonjun,wonjun,90,0.7222222222222222,5,true,false,false,0.0,2,9,2,0,0,0,0,1,0,-1,-1,false,false
4976434,calblueprint/BPSF,ruby,463,1413563839,1413563842,1413563842,0,0,github,false,false,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2957,2,0,6,6,141.6976665539398,3.3818058843422385,25.36354413256679,6,wonjun,wonjun,wonjun,73,0.7397260273972602,11,true,true,false,0.1,6,7,2,0,16,52,0,72,0,-1,-1,false,false
