pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2870695,calblueprint/usomc-rails,ruby,139,1390542112,1390763535,1390763535,3690,3690,github,false,false,4,6,0,0,0,0,0,0,9,9,6,3,0,68,2218,34,0,253,80.25247971145176,2.254283137962128,3.1559963931469794,3,negativetwelve,57,0.9824561403508771,43,true,true
2870661,calblueprint/usomc-rails,ruby,138,1390541395,,1390541733,5,,unknown,false,false,4,1,0,0,0,0,0,0,1,1,0,1,0,68,2218,0,0,0,80.25247971145176,2.254283137962128,3.1559963931469794,3,chenhoward,34,0.9411764705882353,3,true,true
2869845,calblueprint/usomc-rails,ruby,137,1390528082,1390541271,1390541271,219,219,github,false,false,4,5,0,0,0,0,2,0,3,5,2,3,0,68,2210,11,0,94,80.54298642533938,2.2624434389140275,3.167420814479638,3,negativetwelve,56,0.9821428571428571,43,true,true
2861672,calblueprint/usomc-rails,ruby,136,1390440219,1390496395,1390496395,936,936,github,false,false,4,6,1,0,1,1,0,0,4,4,1,3,0,68,2180,40,0,19,81.65137614678899,2.293577981651376,3.211009174311927,3,chenhoward,33,0.9393939393939394,3,true,true
2814385,calblueprint/usomc-rails,ruby,135,1389840656,1389840711,1389840711,0,0,github,false,false,4,1,0,0,0,0,0,0,2,2,0,2,0,68,2180,0,0,64,81.65137614678899,2.293577981651376,3.211009174311927,3,kevintxwu,27,0.7777777777777778,2,true,true
2813942,calblueprint/usomc-rails,ruby,134,1389833972,1389834214,1389834214,4,4,github,false,false,4,1,0,0,0,0,0,0,1,1,0,1,0,68,2180,0,0,10,81.65137614678899,2.293577981651376,3.211009174311927,3,negativetwelve,55,0.9818181818181818,43,true,true
2808665,calblueprint/usomc-rails,ruby,133,1389786562,1389786606,1389786606,0,0,github,false,false,4,3,0,0,0,0,0,0,5,5,3,2,0,68,2172,11,0,123,81.95211786372008,2.3020257826887662,3.2228360957642725,3,negativetwelve,54,0.9814814814814815,43,true,true
2806737,calblueprint/usomc-rails,ruby,132,1389758521,1389784288,1389784288,429,429,github,false,false,4,7,0,0,0,0,1,0,7,8,3,4,0,68,2164,10,0,154,82.2550831792976,2.3105360443622924,3.234750462107209,3,negativetwelve,53,0.9811320754716981,43,true,true
2805741,calblueprint/usomc-rails,ruby,131,1389742192,1389755009,1389755009,213,213,github,false,false,4,3,0,0,0,0,0,0,3,3,1,1,1,67,2162,6,0,71,82.33117483811286,2.3126734505087883,3.2377428307123033,3,chenhoward,32,0.9375,3,true,true
2771405,calblueprint/usomc-rails,ruby,130,1389260718,1389683945,1389683945,7053,7053,github,false,false,4,7,0,0,0,0,0,0,9,9,6,3,0,68,2148,40,0,219,82.86778398510242,2.3277467411545625,3.2588454376163876,3,negativetwelve,52,0.9807692307692307,43,true,true
2771215,calblueprint/usomc-rails,ruby,129,1389258943,1389258954,1389258954,0,0,github,false,false,4,3,0,0,0,0,3,0,1,4,4,0,0,68,2120,34,0,168,83.9622641509434,2.3584905660377355,3.30188679245283,3,negativetwelve,51,0.9803921568627451,43,true,true
2771133,calblueprint/usomc-rails,ruby,128,1389258004,1389258137,1389258137,2,2,github,false,false,4,2,0,0,0,0,1,0,5,6,2,3,0,68,2105,18,0,21,84.56057007125891,2.375296912114014,3.32541567695962,3,negativetwelve,50,0.98,43,true,true
2764257,calblueprint/usomc-rails,ruby,127,1389167225,1389171379,1389171379,69,69,github,false,false,4,16,0,0,0,0,1,33,13,47,19,27,0,68,2087,73,0,414,85.28988979396263,2.3957834211787254,3.3540967896502156,3,negativetwelve,49,0.9795918367346939,43,true,true
2758499,calblueprint/usomc-rails,ruby,126,1389092962,1389155941,1389155941,1049,1049,github,false,false,4,18,0,0,0,0,4,3,46,53,5,46,0,67,2085,28,0,469,85.3717026378897,2.398081534772182,3.357314148681055,3,negativetwelve,48,0.9791666666666666,43,true,true
2736502,calblueprint/usomc-rails,ruby,125,1388705502,1388735753,1388735753,504,504,github,false,false,4,8,0,0,0,0,5,0,5,10,4,5,0,67,2044,54,0,87,87.08414872798434,2.446183953033268,3.4246575342465753,3,negativetwelve,47,0.9787234042553191,43,true,true
2715798,calblueprint/usomc-rails,ruby,124,1388270706,1388271034,1388271034,5,5,github,false,false,4,6,0,0,0,0,0,10,4,14,5,8,1,65,2198,185,0,213,80.98271155595995,2.2747952684258417,3.1847133757961785,3,chenhoward,31,0.9354838709677419,3,true,true
2685587,calblueprint/usomc-rails,ruby,123,1387695260,1387695970,1387695970,11,11,github,false,false,5,9,0,0,0,0,15,8,17,40,28,0,0,65,2185,795,1,353,81.46453089244851,2.288329519450801,3.203661327231121,3,negativetwelve,46,0.9782608695652174,43,true,true
2637383,calblueprint/usomc-rails,ruby,122,1386997007,1386997608,1386997608,10,10,github,false,false,5,4,0,0,0,1,0,0,3,3,3,0,0,65,2192,128,0,44,81.2043795620438,2.2810218978102186,3.1934306569343067,3,chenhoward,30,0.9333333333333333,3,true,true
2637363,calblueprint/usomc-rails,ruby,121,1386996486,1386997996,1386997996,25,25,github,false,false,5,1,0,0,0,0,0,0,3,3,1,2,0,65,2192,4,0,51,81.2043795620438,2.2810218978102186,3.1934306569343067,3,negativetwelve,45,0.9777777777777777,43,true,true
2637139,calblueprint/usomc-rails,ruby,120,1386989341,1386995968,1386995968,110,110,github,false,false,5,28,0,0,0,0,6,0,14,20,8,7,0,65,1955,139,0,275,91.04859335038364,2.557544757033248,3.5805626598465476,3,negativetwelve,44,0.9772727272727273,43,true,true
