pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2773234,camptocamp/c2cgeoportal,python,841,1389280931,1389282755,1389282755,30,30,github,false,false,6,1,0,2,2,2,0,0,1,1,0,0,1,59,3921,0,0,3,932.4152002040296,34.17495536852844,133.38434072940578,10,asaunier,88,0.7386363636363636,1,true,true
2773015,camptocamp/c2cgeoportal,python,840,1389279148,1389279180,1389279180,0,0,github,false,false,6,1,0,0,0,1,0,0,1,1,0,0,1,60,3921,0,0,7,932.4152002040296,34.17495536852844,133.38434072940578,10,sbrunner,267,0.6104868913857678,10,true,true
2770821,camptocamp/c2cgeoportal,python,838,1389253955,1389256777,1389256777,47,47,github,false,false,6,1,0,1,1,1,4,4,5,13,0,0,13,60,3920,0,0,0,932.6530612244898,34.183673469387756,133.41836734693877,10,sbrunner,266,0.6090225563909775,10,true,true
2766970,camptocamp/c2cgeoportal,python,837,1389198167,1389256792,1389256792,977,977,github,false,false,6,1,0,1,1,1,0,0,1,1,1,0,0,60,3920,3,0,0,932.6530612244898,34.183673469387756,133.41836734693877,10,sbrunner,265,0.6075471698113207,10,true,true
2758359,camptocamp/c2cgeoportal,python,833,1389090858,1389099101,1389099101,137,137,github,false,false,6,1,0,1,1,1,0,0,2,2,0,0,2,60,3920,0,0,10,932.6530612244898,34.183673469387756,133.41836734693877,10,sbrunner,264,0.6060606060606061,10,true,true
2677622,camptocamp/c2cgeoportal,python,828,1387539545,1387606723,1387606723,1119,1119,commits_in_master,false,false,6,2,0,3,3,2,0,0,2,2,1,0,1,62,3920,0,60,15,930.1020408163265,34.183673469387756,134.94897959183675,9,sbrunner,263,0.6083650190114068,10,true,true
2677107,camptocamp/c2cgeoportal,python,827,1387532676,1387551592,1387551592,315,315,commits_in_master,false,false,6,1,0,2,2,2,2433,0,3,2436,596,550,1246,62,3920,1156,0,59,930.1020408163265,34.183673469387756,134.94897959183675,9,sbrunner,262,0.6106870229007634,10,true,true
2677105,camptocamp/c2cgeoportal,python,826,1387532666,1387551430,1387551430,312,312,commits_in_master,true,false,6,2,0,1,1,1,0,0,1,1,0,0,1,62,3920,0,0,55,930.1020408163265,34.183673469387756,134.94897959183675,9,sbrunner,261,0.6130268199233716,10,true,true
2676936,camptocamp/c2cgeoportal,python,825,1387530478,1387532063,1387532063,26,26,commits_in_master,false,false,6,1,0,4,4,4,0,2,1,3,1,0,2,62,3920,1744,0,53,930.1020408163265,34.183673469387756,134.94897959183675,9,pgiraud,51,0.6078431372549019,6,false,true
2676664,camptocamp/c2cgeoportal,python,824,1387526860,1387530831,1387530831,66,66,commits_in_master,false,false,6,1,0,2,2,2,0,0,1,1,0,0,1,62,3920,0,0,50,930.1020408163265,34.183673469387756,134.94897959183675,9,sbrunner,260,0.6153846153846154,10,true,true
2676619,camptocamp/c2cgeoportal,python,823,1387526236,1387526859,1387526859,10,10,commits_in_master,false,false,6,1,0,3,3,3,0,0,2,2,0,0,2,62,3920,0,0,51,930.1020408163265,34.183673469387756,134.94897959183675,9,pgiraud,50,0.62,6,false,true
2670993,camptocamp/c2cgeoportal,python,822,1387455728,1387539612,1387539612,1398,1398,commits_in_master,false,false,6,1,0,2,2,2,0,0,1,1,0,0,1,62,3920,0,0,1,930.1020408163265,34.183673469387756,134.94897959183675,9,sbrunner,259,0.6177606177606177,10,true,true
2670782,camptocamp/c2cgeoportal,python,821,1387453400,1387454576,1387454576,19,19,commits_in_master,false,false,6,1,0,2,2,2,0,0,1,1,1,0,0,62,3920,4,0,0,930.1020408163265,34.183673469387756,134.94897959183675,9,sbrunner,258,0.6201550387596899,10,true,true
2670199,camptocamp/c2cgeoportal,python,820,1387445230,1387446490,1387446490,21,21,github,false,false,6,1,0,2,2,2,0,0,1,1,0,0,1,62,3920,0,0,1,930.1020408163265,34.183673469387756,134.94897959183675,9,sbrunner,257,0.6186770428015564,10,true,true
2666651,camptocamp/c2cgeoportal,python,819,1387440520,1387444174,1387444174,60,60,commits_in_master,false,false,6,1,2,3,5,3,0,0,1,1,0,1,0,62,3920,0,0,6,930.1020408163265,34.183673469387756,134.94897959183675,9,pgiraud,49,0.6326530612244898,6,false,true
2661864,camptocamp/c2cgeoportal,python,818,1387356426,1389099323,1389099323,29048,29048,commits_in_master,false,false,6,10,4,10,14,4,0,0,6,6,5,0,1,62,3920,70,0,130,930.1020408163265,34.183673469387756,134.94897959183675,9,pgiraud,48,0.6458333333333334,6,false,true
2653412,camptocamp/c2cgeoportal,python,816,1387272163,1387274508,1387274508,39,39,commits_in_master,false,false,6,2,0,6,6,4,0,0,1,1,1,0,0,62,3919,9,0,1,930.3393722888492,34.1923960193927,134.98341413625926,9,sbrunner,256,0.62109375,10,true,true
2646678,camptocamp/c2cgeoportal,python,815,1387196850,,1387274532,1294,,unknown,false,false,6,1,0,9,9,4,0,0,1,1,1,0,0,62,3917,9,0,0,930.8143987745724,34.209854480469744,135.0523359714067,9,kalbermattenm,8,0.75,1,false,true
2646126,camptocamp/c2cgeoportal,python,814,1387189950,1387268590,1387268590,1310,1310,commits_in_master,false,false,6,4,0,2,2,2,0,0,4,4,2,0,2,62,3917,20,4,59,930.8143987745724,34.209854480469744,135.0523359714067,9,sbrunner,255,0.6235294117647059,10,true,true
2645362,camptocamp/c2cgeoportal,python,813,1387180706,1387182102,1387182102,23,23,commits_in_master,false,false,6,7,2,3,5,3,0,0,5,5,2,2,1,62,3917,10,0,110,930.8143987745724,34.209854480469744,135.0523359714067,9,sbrunner,254,0.6259842519685039,10,true,true
2620487,camptocamp/c2cgeoportal,python,811,1386839549,1386857746,1386857746,303,303,commits_in_master,false,false,6,9,2,8,10,4,1,0,7,8,6,0,1,61,3917,191,0,106,930.8143987745724,34.209854480469744,135.0523359714067,9,tonio,3,0.0,4,false,true
2621321,camptocamp/c2cgeoportal,python,810,1386832813,1386834217,1386834217,23,23,github,false,false,6,1,0,2,2,3,0,0,1,1,0,0,1,61,3917,0,0,48,930.8143987745724,34.209854480469744,135.0523359714067,9,kalbermattenm,7,0.7142857142857143,1,false,true
2617262,camptocamp/c2cgeoportal,python,809,1386778595,1386843866,1386843866,1087,1087,commits_in_master,false,false,6,1,0,2,2,2,0,0,1,1,0,0,1,61,3917,0,0,3,930.8143987745724,34.209854480469744,135.0523359714067,9,sbrunner,253,0.6284584980237155,10,true,true
2581936,camptocamp/c2cgeoportal,python,808,1386768992,1386770378,1386770378,23,23,commits_in_master,false,false,6,1,2,2,4,3,0,0,1,1,0,1,0,61,3917,0,0,3,930.8143987745724,34.209854480469744,135.0523359714067,9,pgiraud,47,0.6595744680851063,6,false,true
2608422,camptocamp/c2cgeoportal,python,806,1386680760,1386683179,1386683179,40,40,github,false,false,6,1,0,2,2,2,0,0,2,2,0,0,2,61,3917,0,0,21,930.8143987745724,34.209854480469744,135.0523359714067,9,sbrunner,252,0.626984126984127,10,true,true
