pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2760613,celery/celery,python,1774,1389114938,,1389192538,1293,,unknown,false,false,8,1,0,0,0,1,0,0,1,1,1,0,0,51,11584,2,0,0,1561.7230662983425,141.74723756906076,290.4868784530387,2432,ionelmc,5,0.4,27,false,false
2670500,celery/celery,python,1751,1387449847,1387468353,1387468353,308,308,commits_in_master,false,false,10,1,0,0,0,0,0,0,1,1,0,0,1,45,11630,0,0,1,1554.6861564918315,141.1865864144454,288.9079965606191,2432,mrmmm,0,0,1,false,false
2664885,celery/celery,python,1749,1387392150,1387468472,1387468472,1272,1272,commits_in_master,false,false,10,1,0,0,0,0,0,0,1,1,1,0,0,45,11630,8,0,18,1554.6861564918315,141.1865864144454,288.9079965606191,2429,brodie,0,0,15,false,false
2639595,celery/celery,python,1742,1387049811,1387200165,1387200165,2505,2505,merged_in_comments,false,false,11,1,0,1,1,2,0,0,1,1,1,0,0,44,11598,13,0,0,1554.7508191067425,141.40369029142954,288.15312984997416,2427,podshumok,0,0,2,false,false
2634459,celery/celery,python,1739,1386953924,1387288762,1387288762,5580,5580,merged_in_comments,false,false,10,1,0,0,0,1,0,0,1,1,1,0,0,44,11597,35,0,0,1554.8848840217297,141.4158834181254,288.17797706303355,2427,ionelmc,4,0.5,27,false,false
2625443,celery/celery,python,1735,1386869095,1387201016,1387201016,5532,5532,merged_in_comments,false,false,9,2,0,2,2,1,0,0,5,5,3,1,1,44,11592,5,22,0,1555.5555555555557,141.4768806073154,288.3022774327122,2426,diranged,2,0.0,2,false,false
2602150,celery/celery,python,1726,1386605156,1386605248,1386605248,1,1,github,false,false,9,1,0,0,0,1,0,0,1,1,0,0,1,47,11568,0,0,7,1557.5726141078837,141.77040110650069,288.9868603042877,2426,ionelmc,3,0.3333333333333333,27,false,false
2595506,celery/celery,python,1724,1386497672,1386601329,1386601329,1727,1727,github,false,false,9,1,0,0,0,1,0,0,1,1,1,0,0,48,11529,148,0,2,1562.8415300546449,142.24997831555208,289.96443750542113,2426,dsign,0,0,0,false,false
2587415,celery/celery,python,1719,1386342602,1386602999,1386602999,4339,4339,github,false,false,10,1,0,0,0,2,0,0,1,1,1,0,0,48,11495,2,0,6,1566.855154414963,142.67072640278383,290.8220965637234,2426,ionelmc,2,0.0,27,false,false
2563288,celery/celery,python,1712,1386042936,,1386081490,642,,unknown,false,false,10,1,0,0,0,2,0,0,2,2,1,1,0,50,11435,2,0,0,1575.0765194578048,143.41932662877133,292.34805421950153,2426,tebeka,0,0,3,false,false
2533541,celery/celery,python,1702,1385588785,1385990247,1385990247,6691,6691,merged_in_comments,false,false,10,1,0,1,1,1,0,0,1,1,1,0,0,53,11380,2,0,0,1581.8980667838314,144.20035149384884,293.8488576449912,2426,jokey2k,0,0,2,false,false
2529714,celery/celery,python,1696,1385553137,1385991337,1385991337,7303,7303,merged_in_comments,false,false,9,1,0,1,1,1,0,0,1,1,0,0,1,54,11381,0,0,0,1581.319743432036,144.18768122309112,293.8230383973289,2426,aldergren,0,0,0,false,false
2526089,celery/celery,python,1693,1385500065,1385549731,1385549731,827,827,commits_in_master,false,false,8,1,0,0,0,2,0,0,2,2,2,0,0,54,11042,5,24,15,1628.0565115015395,148.43325484513676,302.6625611302301,2426,anti-social,0,0,5,false,false
2520762,celery/celery,python,1691,1385444078,,1386605601,19358,,unknown,false,false,8,1,0,1,1,1,0,0,2,2,1,0,1,54,11040,61,0,0,1628.2608695652175,148.46014492753622,302.7173913043478,2426,dongweiming,2,1.0,46,false,false
2515675,celery/celery,python,1688,1385386025,1385473163,1385473163,1452,1452,commits_in_master,false,false,8,2,0,0,0,1,0,0,1,1,1,0,0,55,11040,20,0,2,1628.2608695652175,148.46014492753622,302.7173913043478,2426,trevorskaggs,0,0,0,false,false
2515636,celery/celery,python,1687,1385385632,,1385571223,3093,,unknown,false,false,8,1,0,0,0,0,0,0,1,1,0,1,0,55,11040,0,0,0,1628.2608695652175,148.46014492753622,302.7173913043478,2426,lyska,0,0,2,false,false
2498052,celery/celery,python,1678,1385076975,1385153884,1385153884,1281,1281,commits_in_master,false,false,8,1,0,4,4,2,0,0,1,1,1,0,0,56,11036,6,0,3,1628.9416455237404,148.51395433127945,302.82711127220006,2426,limnick,0,0,4,false,false
2485723,celery/celery,python,1672,1384948519,1384964725,1384964725,270,270,commits_in_master,false,false,8,1,0,0,0,1,0,0,1,1,0,1,0,58,11061,0,0,17,1619.4738269595875,147.63583762770094,301.87144019528074,2426,loic,0,0,3,false,false
2478499,celery/celery,python,1670,1384867396,1384869792,1384869792,39,39,commits_in_master,false,false,8,1,0,0,0,0,0,0,1,1,0,1,0,59,11051,0,0,6,1620.9392815129852,147.76943263053116,302.14460229843456,2426,sunfinite,0,0,4,false,false
2474663,celery/celery,python,1667,1384814488,1384853273,1384853273,646,646,commits_in_master,false,false,8,1,0,0,0,1,0,0,1,1,0,1,0,60,11042,0,0,5,1622.260460061583,147.88987502264084,302.39087121898206,2426,schinckel,0,0,6,false,false
2463388,celery/celery,python,1654,1384632857,1384882548,1384882548,4161,4161,commits_in_master,false,false,8,1,0,0,0,1,0,0,1,1,1,0,0,62,11030,2,0,9,1621.0335448776066,148.05077062556663,302.1758839528558,2426,nadad,0,0,1,false,false
2460353,celery/celery,python,1652,1384557595,1384885421,1384885421,5463,5463,commits_in_master,false,false,8,1,0,1,1,2,0,0,1,1,0,0,1,62,11027,0,0,10,1621.474562437653,148.09104924276775,302.25809376983767,2426,precious,1,0.0,3,false,false
2448114,celery/celery,python,1646,1384419376,1384532167,1384532167,1879,1879,commits_in_master,false,false,8,1,0,0,0,1,0,0,1,1,0,0,1,61,11025,0,0,2,1621.315192743764,148.02721088435374,302.13151927437644,2425,precious,0,0,3,false,false
2439800,celery/celery,python,1641,1384318479,1386003501,1386003501,28083,28083,merged_in_comments,false,false,8,1,0,1,1,1,0,0,1,1,0,0,1,61,11023,0,0,0,1621.6093622425838,148.0540687653089,302.18633765762496,2425,zzpwelkin,0,0,0,false,false
2435032,celery/celery,python,1635,1384267695,1384280525,1384280525,213,213,merged_in_comments,false,false,8,1,0,0,0,1,0,0,1,1,1,0,0,60,10932,5,0,0,1633.8272960117088,150.29271862422246,305.52506403219905,2425,j0hnsmith,0,0,2,false,false
2426033,celery/celery,python,1633,1384162877,1384173619,1384173619,179,179,commits_in_master,false,false,8,1,0,0,0,1,0,0,1,1,0,1,0,59,10886,0,0,9,1645.140547492192,150.6522138526548,306.5405107477494,2425,orarbel,0,0,3,false,false
2421718,celery/celery,python,1629,1384078409,1384112635,1384112635,570,570,commits_in_master,false,false,8,1,0,0,0,1,0,0,1,1,0,1,0,58,10882,0,0,36,1645.7452674140782,150.7075905164492,306.65318875206765,2425,zyegfryed,0,0,12,false,false
2412364,celery/celery,python,1626,1383914468,1383999805,1383999805,1422,1422,merged_in_comments,false,false,8,1,0,0,0,1,0,0,1,1,0,0,1,54,10886,0,0,0,1644.2219364321147,150.6522138526548,306.63237185375715,2425,subssn21,1,0.0,0,false,false
2399670,celery/celery,python,1623,1383759998,1383912784,1383912784,2546,2546,merged_in_comments,false,false,8,1,0,1,1,1,0,0,1,1,0,1,0,53,10875,0,0,0,1645.8850574712644,150.80459770114942,306.94252873563215,2425,andrewkittredge,1,0.0,1,false,false
2399607,celery/celery,python,1622,1383759328,,1383912692,2556,,unknown,false,true,8,1,1,0,1,2,0,0,1,1,0,1,0,53,10912,0,0,0,1249.908357771261,114.55278592375366,229.10557184750732,2425,andrewkittredge,0,0,1,false,false
2399283,celery/celery,python,1621,1383756729,1383912330,1383912330,2593,2593,merged_in_comments,false,false,8,1,0,0,0,1,0,0,1,1,0,0,1,53,10875,0,0,0,1645.8850574712644,150.80459770114942,306.94252873563215,2425,diranged,1,0.0,1,false,false
2399165,celery/celery,python,1620,1383755676,1383756474,1383756474,13,13,merged_in_comments,false,false,8,1,0,1,1,1,0,0,4,4,3,1,0,52,10912,5,22,0,1249.908357771261,114.55278592375366,229.10557184750732,2425,diranged,0,0,1,false,false
2397617,celery/celery,python,1618,1383742556,1383912619,1383912619,2834,2834,merged_in_comments,false,false,7,4,0,0,0,1,0,0,1,1,1,0,0,52,10831,8,0,0,1651.186409380482,151.32490074785338,308.7434216600499,2425,subssn21,0,0,0,false,false
2362909,celery/celery,python,1613,1383230295,1383324252,1383324252,1565,1565,commits_in_master,false,false,7,1,0,0,0,1,0,0,1,1,1,0,0,49,10798,2,0,10,1655.6769772180032,151.8799777736618,309.6869790701982,2425,twright,0,0,1,false,false
2360528,celery/celery,python,1612,1383204973,,1383575483,6175,,unknown,false,false,7,1,0,2,2,2,0,0,1,1,1,0,0,49,11020,2,0,0,1621.0526315789473,148.72958257713248,303.2667876588022,2425,mtr,0,0,0,false,false
2332131,celery/celery,python,1602,1382802629,,1383219915,6894,,unknown,false,false,7,1,0,1,1,2,0,0,1,1,1,0,0,47,10912,2,0,0,1249.908357771261,114.55278592375366,229.10557184750732,2423,keitheis,0,0,12,false,false
2318061,celery/celery,python,1595,1382596957,1383223997,1383223997,10390,10390,fixes_in_commit,false,false,7,4,0,1,1,1,0,0,5,5,3,1,1,46,10960,25,11,0,1629.0145985401462,149.54379562043795,304.9270072992701,2423,dmtaub,2,0.0,6,false,false
2304463,celery/celery,python,1587,1382429988,1382445132,1382445132,252,252,commits_in_master,false,false,7,2,0,4,4,2,0,0,1,1,1,0,0,43,10900,8,0,22,1630.9174311926606,150.36697247706422,306.42201834862385,2422,nott,4,0.25,3,false,false
2303246,celery/celery,python,1586,1382412490,,1382596673,3069,,unknown,false,false,7,12,2,3,5,2,0,0,5,5,3,1,1,42,10900,133,29,0,1630.9174311926606,150.36697247706422,306.42201834862385,2422,dmtaub,1,0.0,6,false,false
2286870,celery/celery,python,1583,1382108344,1382349973,1382349973,4027,4027,commits_in_master,false,false,8,2,0,1,1,2,0,0,4,4,2,0,2,39,10859,11,24,12,1633.8521042453265,150.93470853669766,307.6710562666912,2422,ianawilson,0,0,4,false,false
2236942,celery/celery,python,1570,1381365341,1381401581,1381401581,604,604,commits_in_master,false,false,8,3,0,0,0,1,0,0,3,3,3,0,0,53,11015,17,2,39,1594.6436677258284,148.79709487063096,302.5873808443032,2419,dmtaub,0,0,6,false,false
2226412,celery/celery,python,1568,1381231303,,1381317063,1429,,unknown,false,false,8,1,0,1,1,1,0,0,1,1,0,0,1,55,10774,0,0,0,1625.9513643957675,151.9398552069798,308.42769630592164,2418,Anarchist666,2,0.0,0,false,false
2226392,celery/celery,python,1567,1381230900,,1381230925,0,,unknown,false,false,7,1,0,0,0,0,0,0,1,1,0,0,1,55,10774,0,0,0,1625.9513643957675,151.9398552069798,308.42769630592164,2418,Anarchist666,1,0.0,0,false,false
2212402,celery/celery,python,1566,1380946602,1381328214,1381328214,6360,6360,commit_sha_in_comments,false,false,6,12,0,4,4,2,0,0,12,12,12,0,0,61,10684,30,2,0,1637.9633096218645,152.93897416697865,310.65144140771247,2418,riyadparvez,0,0,3,false,false
2212291,celery/celery,python,1565,1380942463,1381136649,1381136649,3236,3236,commits_in_master,false,false,6,1,0,0,0,0,0,0,1,1,0,0,1,61,10684,0,0,8,1637.9633096218645,152.93897416697865,310.65144140771247,2418,jalaziz,2,0.0,10,false,false
2203553,celery/celery,python,1562,1380818880,1380881366,1380881366,1041,1041,merged_in_comments,false,false,6,1,0,0,0,1,0,0,2,2,2,0,0,61,10688,10,8,0,1637.9116766467066,152.88173652694613,310.6287425149701,2418,jalaziz,1,0.0,10,false,false
2155620,celery/celery,python,1557,1380133754,,1380812120,11306,,unknown,false,false,6,1,0,1,1,2,0,0,1,1,0,1,0,69,10622,0,0,0,1648.2771606100546,154.11410280549802,314.1592920353982,2418,mlissner,0,0,0,false,false
2114990,celery/celery,python,1554,1379506498,,1380818896,21873,,unknown,false,false,5,1,0,2,2,2,0,0,2,2,2,0,0,86,10897,10,8,0,1251.812425438194,114.71047077177204,229.5127099201615,2416,jalaziz,0,0,10,false,false
2124762,celery/celery,python,1551,1379421872,,1379608832,3116,,unknown,false,false,4,1,0,3,3,2,0,0,1,1,0,1,0,86,10566,0,0,0,1620.3861442362295,147.54874124550446,300.96536059057354,2416,drazvan,0,0,4,false,false
2091247,celery/celery,python,1543,1378893562,1378895141,1378895141,26,26,commits_in_master,false,false,7,4,0,0,0,1,0,0,1,1,0,0,1,76,10362,0,0,12,1668.2107701215982,150.45358038988613,306.7940552016985,2416,DXist,3,0.0,4,false,false
2070586,celery/celery,python,1539,1378558789,1378723643,1378723643,2747,2747,merged_in_comments,false,false,8,1,0,2,2,1,0,0,1,1,1,0,0,71,10370,2,0,0,1666.152362584378,150.33751205400193,306.55737704918033,2416,daodaod,0,0,0,false,false
2052129,celery/celery,python,1535,1378293819,1378295971,1378295971,35,35,merged_in_comments,false,false,9,1,0,0,0,1,0,0,2,2,0,0,2,65,10448,0,0,0,1651.9908116385911,149.21516079632465,304.2687595712098,2416,DXist,2,0.0,4,false,false
2021357,celery/celery,python,1532,1378085503,,1378117240,528,,unknown,false,false,9,1,0,1,1,1,0,0,1,1,0,0,1,64,10445,0,0,0,1652.4652943992342,149.2580181905218,304.3561512685495,2416,etishka,1,0.0,0,false,false
2011508,celery/celery,python,1530,1377954803,1378723700,1378723700,12814,12814,commits_in_master,false,false,9,1,0,0,0,1,0,0,1,1,0,0,1,64,10445,0,0,6,1652.4652943992342,149.2580181905218,304.3561512685495,2415,mattrobenolt,1,0.0,49,false,false
2005256,celery/celery,python,1528,1377852542,,1377944930,1539,,unknown,false,false,9,1,0,0,0,1,0,0,1,1,1,0,0,59,10442,2,0,0,1652.7485156100363,149.30090021068762,304.4435931813829,2414,etishka,0,0,0,false,false
2006969,celery/celery,python,1526,1377786814,,1377947693,2681,,unknown,false,false,9,1,0,0,0,1,0,0,1,1,0,0,1,59,10442,0,0,0,1652.7485156100363,149.30090021068762,304.4435931813829,2413,chris-cozi,1,1.0,0,false,false
2006959,celery/celery,python,1525,1377785959,1377947983,1377947983,2700,2700,merged_in_comments,false,false,9,1,0,0,0,1,0,0,1,1,1,0,0,58,10442,10,0,0,1652.7485156100363,149.30090021068762,304.4435931813829,2413,mattrobenolt,0,0,49,false,false
1995264,celery/celery,python,1523,1377640893,1377679455,1377640906,0,642,github,false,false,11,1,0,0,0,0,0,0,1,1,1,0,0,52,10895,4,0,0,1251.216154199174,114.73152822395593,229.55484167049107,2412,taylornelson,0,0,0,false,false
1988744,celery/celery,python,1521,1377544563,1377776700,1377776700,3868,3868,github,false,false,11,2,0,1,1,1,0,0,1,1,0,0,1,52,10453,0,0,2,1650.1482827896298,149.14378647278292,304.12321821486654,2412,chris-cozi,0,0,0,false,false
1969495,celery/celery,python,1518,1377167843,1377170660,1377170661,46,46,github,false,false,12,1,0,1,1,1,0,0,1,1,0,1,0,48,10453,0,0,12,1650.1482827896298,149.14378647278292,304.12321821486654,2411,dopuskh3,0,0,18,false,false
1968179,celery/celery,python,1517,1377149903,1377170784,1377149975,1,348,github,false,false,12,1,0,0,0,0,0,0,1,1,1,0,0,47,10453,2,0,0,1650.1482827896298,149.14378647278292,304.12321821486654,2411,daftshady,0,0,0,false,false
1928894,celery/celery,python,1506,1376467439,1376473540,1376473540,101,101,github,false,false,13,1,0,0,0,1,0,0,1,1,0,0,1,37,10446,0,0,5,1649.818112196056,149.33946008041355,304.4227455485353,2411,aguinet,1,1.0,4,false,false
