pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2658707,celery/kombu,python,291,1387323690,1387378420,1387378420,912,912,commits_in_master,false,false,6,1,0,1,1,2,0,0,1,1,1,0,0,13,5241,3,0,11,1268.0786109521082,123.25892005342493,259.6832665521847,501,reynolek,0,0,0,false,false
2634441,celery/kombu,python,290,1386953753,1387209240,1387209240,4258,4258,commits_in_master,false,false,6,1,0,0,0,0,0,0,3,3,3,0,0,13,5228,32,0,5,1270.8492731446058,123.56541698546289,260.13771996939556,501,ionelmc,1,0.0,27,false,false
2633657,celery/kombu,python,289,1386947645,1386948348,1386948348,11,11,commits_in_master,false,false,6,1,0,0,0,1,0,0,1,1,1,0,0,13,5228,0,6,11,1270.4667176740627,123.56541698546289,260.13771996939556,501,idealopamp,3,0.0,0,false,false
2620092,celery/kombu,python,288,1386809180,1386850126,1386850126,682,682,merged_in_comments,false,false,7,1,0,3,3,2,0,0,1,1,1,0,0,12,5178,5,0,0,1251.6415604480496,122.0548474314407,258.9803012746234,501,idealopamp,2,0.0,0,false,false
2588996,celery/kombu,python,287,1386783999,1386864414,1386864414,1340,1340,merged_in_comments,false,false,7,1,4,1,5,2,0,0,2,2,2,0,0,12,5178,30,13,0,1251.6415604480496,122.0548474314407,258.9803012746234,501,idealopamp,1,0.0,0,false,false
2560315,celery/kombu,python,283,1386635405,1386766931,1386766931,2192,2192,commits_in_master,false,false,6,2,1,2,3,2,0,0,2,2,2,0,0,10,5182,22,2,47,1250.4824392126593,121.96063296024701,258.78039367039753,501,idealopamp,0,0,0,false,false
2504523,celery/kombu,python,281,1385155987,1386942089,1386942089,29768,29768,commits_in_master,false,false,7,19,2,5,7,2,2,0,7,9,3,0,5,3,5180,363,688,50,1250.965250965251,122.00772200772201,258.88030888030886,500,diranged,0,0,2,false,false
2480392,celery/kombu,python,278,1384882119,1384962131,1384962131,1333,1333,merged_in_comments,false,false,7,1,0,1,1,1,0,0,1,1,1,0,0,1,5174,8,0,0,1252.41592578276,122.72902976420565,258.6006957866254,500,jfrabaute,0,0,0,false,false
2442862,celery/kombu,python,273,1384355273,1384436085,1384436085,1346,1346,github,false,false,7,1,0,0,0,1,0,0,1,1,1,0,0,2,5173,2,0,8,1252.6580320896965,122.75275468780204,258.65068625555773,500,victorgp,0,0,0,false,false
2441681,celery/kombu,python,272,1384345102,1384347219,1384347219,35,35,merged_in_comments,false,false,6,1,0,0,0,1,0,0,1,1,1,0,0,1,5173,2,0,0,1252.6580320896965,122.75275468780204,258.65068625555773,500,antlegrand,0,0,0,false,false
2439340,celery/kombu,python,269,1384309801,1384436233,1384436233,2107,2107,github,false,false,6,1,0,0,0,1,0,0,1,1,1,0,0,1,5173,5,0,8,1252.6580320896965,122.75275468780204,258.65068625555773,500,dongweiming,3,0.0,39,false,false
