pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
974731,opscode/chef,628,1360189845,,1360193259,56,,17,5,0,116,61,36423,567,597,616,1170.743760810477,4012,danielsdeleo,47,0.6808510638297872,100,true,true
974753,opscode/chef,627,1360189528,,1360193130,60,,17,1,0,1,61,36423,5,0,0,1170.743760810477,2006,danielsdeleo,46,0.6956521739130435,50,true,true
961657,opscode/chef,625,1360105696,,1360252706,2450,,17,1,0,1,61,36095,0,176,2,1171.82435240338,4012,danielsdeleo,45,0.7111111111111111,100,true,true
960528,opscode/chef,623,1360082640,,1360174954,1538,,17,1,0,1,63,36095,2,0,0,1171.82435240338,4012,sethvargo,6,0.0,90,false,false
949131,opscode/chef,622,1359751628,,1360253338,8361,,17,1,0,2,65,36095,10,0,0,1171.82435240338,4012,keiths-osc,0,0,0,false,false
937789,opscode/chef,619,1359493700,1359508418,1359508418,245,245,16,5,0,6,67,36073,34,82,29,1170.9034457904804,2006,lamont-opscode,28,0.42857142857142855,0,true,true
937869,opscode/chef,616,1359414347,,1359510621,1604,,16,2,2,7,67,36073,0,33,28,1170.9034457904804,2006,lamont-opscode,27,0.4444444444444444,0,true,true
956908,opscode/chef,615,1359414188,1360365817,1360365817,15860,15860,16,8,2,46,67,43516,89,40,0,939.6773600514753,2006,mal,1,0.0,1,false,false
932627,opscode/chef,613,1359389034,1359396571,1359396571,125,125,16,1,0,2,68,36071,9,13,8,1170.774306229381,4012,danielsdeleo,44,0.7045454545454546,96,true,true
930686,opscode/chef,612,1359324730,,1359414035,1488,,16,1,0,2,68,36066,19,0,0,1170.9643431486718,4012,mal,0,0,2,false,false
926763,opscode/chef,611,1359153300,1359160084,1359160084,113,113,16,4,0,7,68,36050,67,71,19,1169.902912621359,4012,danielsdeleo,43,0.6976744186046512,94,true,true
926258,opscode/chef,609,1359139856,,1359140352,8,,16,6,0,82,68,36050,54,16,241,1169.902912621359,4012,jmahowald,0,0,2,false,false
926243,opscode/chef,608,1359139164,1359394406,1359394406,4254,4254,16,7,4,9,68,36066,45,48,170,1170.9643431486718,4012,PrajaktaPurohit,8,0.5,0,true,true
926460,opscode/chef,606,1359075779,,1359144378,1143,,15,1,0,1,69,36050,14,0,0,1169.902912621359,2006,viralshah,0,0,1,false,false
974192,opscode/chef,605,1359070543,,1359071738,19,,15,1,0,4,69,36047,3,34,0,1169.7228618192914,2006,danielsdeleo,42,0.7142857142857143,46,true,true
836492,opscode/chef,603,1358952665,1358981728,1358981729,484,484,14,4,1,32,69,36020,238,90,52,1168.9339255968907,4012,danielsdeleo,41,0.7073170731707317,92,true,true
832476,opscode/chef,601,1358869799,,1360108826,20650,,14,5,0,6,70,43503,257,0,0,939.6133599981611,4012,jcam,2,0.0,2,false,false
