pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2163380,collectionspace/application,java,121,1380232486,1380233559,1380233559,17,17,github,false,false,3,3,0,0,0,0,0,0,3,3,1,2,0,43,23786,10,0,6,219.7931556377701,3.825779870512066,18.876650130328763,14,aronr,77,0.948051948051948,3,false,true
2163384,collectionspace/application,java,120,1380232330,1380233569,1380233569,20,20,github,false,false,3,2,0,0,0,0,0,0,3,3,1,2,0,43,23786,10,0,6,219.7931556377701,3.825779870512066,18.876650130328763,14,aronr,76,0.9473684210526315,3,false,true
2157037,collectionspace/application,java,119,1380153401,1380155435,1380155435,33,33,github,false,false,3,1,0,0,0,0,0,0,1,1,0,1,0,42,23786,0,0,1,219.7931556377701,3.825779870512066,18.876650130328763,14,aronr,75,0.9466666666666667,3,false,true
2157032,collectionspace/application,java,118,1380153239,1380155405,1380155405,36,36,github,false,false,3,3,0,0,0,0,0,0,2,2,0,2,0,42,23786,0,0,2,219.7931556377701,3.825779870512066,18.876650130328763,14,aronr,74,0.9459459459459459,3,false,true
2543034,collectionspace/application,java,117,1380057058,1380057071,1380057071,0,0,github,false,false,3,0,0,0,0,0,0,0,0,0,0,0,0,40,23784,0,0,0,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,73,0.9452054794520548,3,false,true
2149985,collectionspace/application,java,116,1380056871,1380057023,1380057023,2,2,github,false,false,3,2,0,0,0,0,0,0,1,1,1,0,0,41,23784,16,0,0,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,72,0.9444444444444444,3,false,true
2145484,collectionspace/application,java,115,1379986951,1380045512,1380045512,976,976,github,false,false,3,1,0,0,0,0,0,0,1,1,0,1,0,40,23784,0,0,4,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,71,0.9436619718309859,3,true,true
2145490,collectionspace/application,java,114,1379986924,1380045530,1380045530,976,976,github,false,false,3,2,0,0,0,0,0,0,1,1,0,1,0,40,23784,0,0,4,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,70,0.9428571428571428,3,true,true
2144620,collectionspace/application,java,113,1379970535,1379970551,1379970551,0,0,github,false,false,3,1,0,0,0,0,0,0,2,2,0,1,1,39,23784,0,0,5,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,69,0.9420289855072463,3,false,true
2144616,collectionspace/application,java,112,1379970478,1379970516,1379970516,0,0,github,false,false,3,2,0,0,0,0,0,0,2,2,0,1,1,39,23784,0,0,5,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,68,0.9411764705882353,3,false,true
2132301,collectionspace/application,java,111,1379711587,1379713669,1379713669,34,34,github,false,false,3,3,0,0,0,0,0,0,14,14,0,12,2,39,23784,0,0,17,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,67,0.9402985074626866,3,false,true
2131888,collectionspace/application,java,110,1379704921,1379713658,1379713658,145,145,github,false,false,3,4,0,0,0,0,0,0,14,14,0,12,2,37,23784,0,0,17,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,66,0.9393939393939394,3,false,true
2119379,collectionspace/application,java,109,1379547759,1379547844,1379547844,1,1,github,false,false,3,3,0,0,0,0,1,0,4,5,0,2,2,36,23784,0,0,9,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,65,0.9384615384615385,3,false,true
2119373,collectionspace/application,java,108,1379547734,1379547739,1379547739,0,0,github,false,false,3,4,0,0,0,0,1,0,4,5,0,2,2,37,23784,0,0,9,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,64,0.9375,3,false,true
2117560,collectionspace/application,java,107,1379526781,1379526787,1379526787,0,0,github,false,false,3,1,0,0,0,0,1,0,1,2,0,1,1,34,23784,0,0,0,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,63,0.9365079365079365,3,false,true
2117552,collectionspace/application,java,106,1379526684,1379526703,1379526703,0,0,github,false,false,3,2,0,0,0,0,1,0,1,2,0,1,1,35,23784,0,0,0,219.8116380760175,3.8261015808947194,18.878237470568447,14,aronr,62,0.9354838709677419,3,false,true
2112205,collectionspace/application,java,105,1379446837,1379446858,1379446858,0,0,github,false,false,3,1,0,0,0,0,0,0,2,2,1,0,1,33,23759,882,0,4,220.04293109979375,3.8301275306199756,18.8981017719601,14,aronr,61,0.9344262295081968,3,false,true
2112188,collectionspace/application,java,104,1379446712,1379446760,1379446760,0,0,github,false,false,3,2,0,0,0,0,0,0,2,2,1,0,1,34,23759,882,0,4,220.04293109979375,3.8301275306199756,18.8981017719601,14,aronr,60,0.9333333333333333,3,false,true
2112077,collectionspace/application,java,103,1379445734,1379445815,1379445815,1,1,commits_in_master,false,false,3,4,0,0,0,1,0,0,15,15,1,13,1,33,23759,882,0,20,220.04293109979375,3.8301275306199756,18.8981017719601,14,aronr,59,0.9491525423728814,3,false,true
2112075,collectionspace/application,java,102,1379445717,,1379446029,5,,unknown,false,false,3,1,0,0,0,1,0,0,2,2,1,0,1,33,23759,882,0,0,220.04293109979375,3.8301275306199756,18.8981017719601,14,aronr,58,0.9655172413793104,3,false,true
2107239,collectionspace/application,java,101,1379101346,1379103229,1379103229,31,31,github,false,false,3,1,0,0,0,0,0,0,13,13,0,13,0,32,23759,0,0,20,220.04293109979375,3.8301275306199756,18.8981017719601,14,aronr,57,0.9649122807017544,3,false,true
2106165,collectionspace/application,java,100,1379088531,1379096235,1379096235,128,128,github,false,false,3,1,0,0,0,0,0,0,1,1,0,1,0,29,23759,0,0,1,220.04293109979375,3.8301275306199756,18.8981017719601,14,aronr,56,0.9642857142857143,3,false,true
2106166,collectionspace/application,java,99,1379088514,1379096244,1379096244,128,128,github,false,false,3,1,0,0,0,0,0,0,1,1,0,1,0,29,23759,0,0,1,220.04293109979375,3.8301275306199756,18.8981017719601,14,aronr,55,0.9636363636363636,3,false,true
2101979,collectionspace/application,java,98,1379024323,1379024343,1379024343,0,0,github,false,false,3,1,0,0,0,0,0,0,2,2,0,2,0,29,23759,0,0,3,220.04293109979375,3.8301275306199756,18.8981017719601,14,aronr,54,0.9629629629629629,3,false,true
2094904,collectionspace/application,java,97,1378931460,1378931466,1378931466,0,0,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,27,23759,6,0,7,220.04293109979375,3.8301275306199756,18.8981017719601,14,aronr,53,0.9622641509433962,3,false,true
2089080,collectionspace/application,java,96,1378861521,1378928039,1378928039,1108,1108,github,false,false,3,2,0,0,0,0,0,0,1,1,1,0,0,25,23744,58,0,0,220.18194070080864,3.832547169811321,18.910040431266843,14,aronr,52,0.9615384615384616,3,false,true
2088080,collectionspace/application,java,95,1378845481,1378845488,1378845488,0,0,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,25,23743,3,0,4,220.19121425262185,3.8327085877942975,18.910836878237795,14,aronr,51,0.9607843137254902,3,false,true
2067353,collectionspace/application,java,94,1378505693,1378505700,1378505701,0,0,github,false,false,3,1,0,0,0,0,0,0,5,5,2,3,0,24,23732,20,0,10,220.29327490308444,3.8344850834316535,18.91960222484409,14,aronr,50,0.96,3,false,true
2054955,collectionspace/application,java,93,1378324985,1378325006,1378325006,0,0,github,false,false,3,1,0,0,0,0,1,0,2,3,1,2,0,23,23730,4,0,5,220.3118415507796,3.8348082595870205,18.921196797302994,14,aronr,49,0.9591836734693877,3,false,true
2010001,collectionspace/application,java,92,1377896225,1377896322,1377896322,1,1,commits_in_master,false,false,3,4,0,0,0,1,0,0,4,4,2,2,0,23,23715,54,0,8,220.45119122917984,3.837233818258486,18.93316466371495,14,aronr,48,0.9791666666666666,3,false,true
2001724,collectionspace/application,java,91,1377734219,1377739106,1377739106,81,81,github,false,false,3,4,0,0,0,0,0,0,31,31,0,10,21,23,23715,0,0,59,220.45119122917984,3.837233818258486,18.93316466371495,14,aronr,47,0.9787234042553191,3,false,true
2000769,collectionspace/application,java,90,1377718144,1377718150,1377718150,0,0,github,false,false,3,1,0,0,0,0,0,0,2,2,1,1,0,25,23709,14,0,2,220.5069804715509,3.838204901092412,18.93795605044498,14,aronr,46,0.9782608695652174,3,false,true
1964354,collectionspace/application,java,89,1377095463,1377095490,1377095490,0,0,github,false,false,3,1,0,0,0,0,0,0,1,1,0,1,0,31,23697,0,0,0,220.6186437101743,3.840148542009537,18.94754610288222,14,aronr,45,0.9777777777777777,3,false,true
1932457,collectionspace/application,java,88,1376505306,1376507942,1376507942,43,43,github,false,false,3,2,0,0,0,0,1,0,7,8,5,1,2,34,23655,38,36,14,220.79898541534558,3.8469668146269287,18.98118790953287,14,ray-lee,14,0.8571428571428571,2,false,true
1906705,collectionspace/application,java,87,1375917205,1375917211,1375917211,0,0,github,false,false,3,1,0,0,0,0,0,0,2,2,0,1,1,40,21352,0,0,8,243.44323716747846,4.261895841139003,21.02847508430124,14,aronr,44,0.9772727272727273,3,false,true
1900378,collectionspace/application,java,86,1375836252,1375836287,1375836287,0,0,github,false,false,3,12,0,0,0,0,10,1,15,26,3,10,9,40,21352,0,8,16,243.11539902585238,4.261895841139003,21.02847508430124,14,aronr,43,0.9767441860465116,3,false,true
1682751,collectionspace/application,java,85,1372807577,1372807587,1372807587,0,0,github,false,false,3,1,0,0,0,0,0,0,2,2,0,2,0,45,21352,0,0,8,243.11539902585238,4.261895841139003,21.02847508430124,14,aronr,42,0.9761904761904762,3,false,true
1676351,collectionspace/application,java,84,1372702982,1372705715,1372705715,45,45,github,false,false,3,1,0,0,0,0,0,0,2,2,0,2,0,47,21352,0,0,6,243.11539902585238,4.261895841139003,21.02847508430124,14,aronr,41,0.975609756097561,3,false,true
1556565,collectionspace/application,java,83,1370472023,1370472033,1370472033,0,0,github,false,false,3,1,0,0,0,0,1,0,0,1,0,1,0,68,21352,0,0,0,243.11539902585238,4.261895841139003,21.02847508430124,14,aronr,40,0.975,3,false,true
1550444,collectionspace/application,java,82,1370375213,1370388291,1370388291,217,217,github,false,false,3,18,0,0,0,0,8,0,39,47,2,23,19,74,21352,0,7,2,243.0217309853878,4.261895841139003,21.02847508430124,14,aronr,39,0.9743589743589743,3,true,true
1535365,collectionspace/application,java,81,1369842701,1369854456,1369854456,195,195,github,false,false,3,1,0,0,0,0,0,0,4,4,0,4,0,72,21352,0,0,0,243.0217309853878,4.261895841139003,21.02847508430124,14,aronr,38,0.9736842105263158,3,false,true
1515610,collectionspace/application,java,80,1369442420,1369442472,1369442472,0,0,github,false,false,2,8,0,0,0,0,0,0,1,1,1,0,0,73,21344,328,0,0,243.11281859070465,4.263493253373313,21.036356821589205,14,ray-lee,13,0.8461538461538461,2,false,true
1483987,collectionspace/application,java,79,1368654445,,1369442206,13129,,unknown,false,false,2,8,0,0,0,0,0,0,1,1,1,0,0,66,21344,328,0,0,243.11281859070465,4.263493253373313,21.036356821589205,14,ray-lee,12,0.9166666666666666,2,false,true
1463183,collectionspace/application,java,78,1368226659,,1368654046,7123,,unknown,false,false,2,8,0,0,0,0,0,0,1,1,1,0,0,42,21344,328,0,0,243.11281859070465,4.263493253373313,21.036356821589205,14,ray-lee,11,1.0,2,false,true
1439230,collectionspace/application,java,77,1367824141,1370388292,1370388292,42735,42735,github,false,false,3,1,0,0,0,0,3,0,4,7,0,7,0,32,21344,0,0,0,243.11281859070465,4.263493253373313,21.036356821589205,14,SebSMK,0,0,0,false,false
1256944,collectionspace/application,java,76,1363219726,1363272077,1363272077,872,872,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,46,21343,3,0,1,243.12420934264162,4.2636930141029845,21.03734245420044,14,aronr,37,0.972972972972973,3,false,true
1148444,collectionspace/application,java,75,1360711907,1360711914,1360711914,0,0,github,false,false,4,1,0,0,0,0,0,0,2,2,0,2,0,34,21160,0,0,6,245.08506616257088,4.300567107750473,21.219281663516067,14,aronr,36,0.9722222222222222,3,false,true
961808,collectionspace/application,java,74,1360110339,1360110446,1360110446,1,1,github,false,false,4,1,0,0,0,0,0,0,6,6,0,0,6,32,21139,0,0,1,243.8147499881735,4.304839396376366,21.240361417285587,14,aronr,35,0.9714285714285714,3,false,true
949485,collectionspace/application,java,73,1359757541,1360078334,1360078334,5346,5346,github,false,false,4,1,0,0,0,0,0,0,6,6,0,6,0,31,21089,0,0,4,244.39281141827493,4.315045758452274,21.290720280715064,14,aronr,34,0.9705882352941176,3,false,true
941383,collectionspace/application,java,72,1359078732,1359582473,1359582474,8395,8395,github,false,false,4,1,0,0,0,0,0,0,1,1,0,0,1,30,21089,0,0,0,244.39281141827493,4.315045758452274,21.290720280715064,14,aronr,33,0.9696969696969697,3,false,true
895863,collectionspace/application,java,71,1355886502,1355887391,1355887391,14,14,github,false,false,4,3,0,0,0,0,0,0,3,3,0,1,2,30,21072,0,0,1,244.5899772209567,4.318526955201214,21.307896735003798,14,aronr,32,0.96875,3,false,true
895857,collectionspace/application,java,70,1355886464,1355887368,1355887368,15,15,github,false,false,4,2,0,0,0,0,0,0,3,3,0,1,2,30,21072,0,0,1,244.5899772209567,4.318526955201214,21.307896735003798,14,aronr,31,0.967741935483871,3,false,true
895310,collectionspace/application,java,69,1355864894,1355864906,1355864907,0,0,github,false,false,4,3,0,0,0,0,0,0,5,5,3,1,1,27,21009,144,0,12,245.32343281450807,4.331476986053596,21.371793041077634,14,aronr,30,0.9666666666666667,3,false,true
895322,collectionspace/application,java,68,1355864853,1355864921,1355864921,1,1,github,false,false,4,3,0,0,0,0,0,0,5,5,3,1,1,27,21009,144,0,12,245.32343281450807,4.331476986053596,21.371793041077634,14,aronr,29,0.9655172413793104,3,false,true
710956,collectionspace/application,java,67,1354837783,1354895824,1354895824,967,967,github,false,false,4,1,0,0,0,0,0,0,5,5,0,2,3,27,21009,0,0,8,245.32343281450807,4.331476986053596,21.371793041077634,14,rjaffe,22,0.9545454545454546,2,false,true
636287,collectionspace/application,java,66,1354504398,1375988389,1375988389,358126,358126,merged_in_comments,false,false,4,2,0,0,0,1,10,0,16,26,6,11,8,31,20295,10,14,0,254.4961813254496,4.4838630204483865,22.320768662232076,14,jessemartinez,1,0.0,1,false,false
612334,collectionspace/application,java,64,1354316376,1354321386,1354321386,83,83,github,false,false,4,2,0,0,0,0,0,0,2,2,2,0,0,34,20999,36,0,2,245.44025905995522,4.333539692366303,21.381970570027143,14,aronr,28,0.9642857142857143,3,false,true
590402,collectionspace/application,java,63,1354226062,1354227709,1354227709,27,27,github,false,false,4,4,0,0,0,1,0,0,3,3,2,1,0,33,20964,63,0,19,245.85002862049225,4.340774661324175,21.417668383896203,14,aronr,27,0.9629629629629629,3,false,true
1005878,collectionspace/application,java,62,1353978430,1353984866,1353984866,107,107,github,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,32,20964,10,0,4,245.85002862049225,4.340774661324175,21.417668383896203,14,rjaffe,21,0.9523809523809523,2,false,true
478401,collectionspace/application,java,61,1352859986,1353374223,1353374223,8570,8570,github,false,false,4,1,0,1,1,1,0,0,1,1,0,1,0,34,20943,0,0,7,246.09654777252544,4.3451272501551825,21.439144344172277,14,rjaffe,20,0.95,2,false,true
460218,collectionspace/application,java,60,1352408774,1352408790,1352408790,0,0,github,false,false,3,1,0,0,0,0,0,0,1,1,0,1,0,36,20832,0,0,4,247.4078341013825,4.368279569892473,21.55337941628264,14,aronr,26,0.9615384615384616,3,false,true
460149,collectionspace/application,java,59,1352352941,,1352408062,918,,unknown,false,false,3,2,0,0,0,1,0,0,4,4,0,1,3,35,20832,0,0,0,247.4078341013825,4.368279569892473,21.55337941628264,14,rjaffe,19,1.0,2,false,true
1005879,collectionspace/application,java,58,1351628789,1352221772,1352221772,9883,9883,github,true,false,3,3,0,3,3,2,0,0,5,5,5,0,0,37,20832,14,0,29,247.4078341013825,4.368279569892473,21.55337941628264,14,rjaffe,18,1.0,2,false,true
1005875,collectionspace/application,java,57,1351202914,1351208428,1351208428,91,91,github,false,false,3,11,0,0,0,0,0,0,23,23,0,12,11,39,20643,0,0,21,250.20588092815964,4.408273991183452,21.944484813253887,14,aronr,25,0.96,3,false,true
443199,collectionspace/application,java,56,1348782716,1348782747,1348782747,0,0,github,false,false,3,1,0,0,0,0,0,0,1,1,0,1,0,48,20567,0,0,0,251.130451694462,4.424563621335149,22.02557495016288,14,aronr,24,0.9583333333333334,3,false,true
877677,collectionspace/application,java,55,1348688957,1348689217,1348689217,4,4,github,false,false,3,6,0,0,0,0,0,0,6,6,0,2,4,50,20567,0,0,13,251.130451694462,4.424563621335149,22.02557495016288,14,rjaffe,17,1.0,2,false,true
436648,collectionspace/application,java,54,1348586200,1348688375,1348688375,1702,1702,github,false,false,3,6,0,0,0,0,0,0,6,6,0,2,4,49,20567,0,0,13,251.130451694462,4.424563621335149,22.02557495016288,14,rjaffe,16,1.0,2,false,true
418165,collectionspace/application,java,53,1347815223,1348782590,1348782590,16122,16122,github,false,false,3,1,0,0,0,0,0,0,1,1,0,1,0,51,20537,0,0,1,251.49729756050056,4.431026927009787,22.057749427861907,14,aronr,23,0.9565217391304348,3,false,true
356477,collectionspace/application,java,52,1346878614,1346883762,1346883762,85,85,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,54,20295,9,0,13,254.4961813254496,4.4838630204483865,22.320768662232076,14,aronr,22,0.9545454545454546,3,false,true
354149,collectionspace/application,java,51,1346804559,1346804743,1346804743,3,3,github,false,false,3,3,0,0,0,0,0,0,2,2,0,1,1,54,20295,0,0,1,254.4961813254496,4.4838630204483865,22.320768662232076,14,rjaffe,15,1.0,2,false,true
353982,collectionspace/application,java,50,1346795989,1346796987,1346796987,16,16,github,false,false,3,3,0,0,0,0,0,0,6,6,0,2,4,54,20295,0,0,2,254.4961813254496,4.4838630204483865,22.320768662232076,14,rjaffe,14,1.0,2,false,true
347269,collectionspace/application,java,49,1346438128,1346790293,1346790293,5869,5869,github,false,false,3,5,0,0,0,0,0,0,6,6,0,3,3,53,20295,0,0,5,254.4961813254496,4.4838630204483865,22.320768662232076,14,rjaffe,13,1.0,2,false,true
411791,collectionspace/application,java,48,1346378956,1346383817,1346383817,81,81,github,false,false,3,1,0,0,0,0,0,0,2,2,0,1,1,48,20295,0,0,2,254.4961813254496,4.4838630204483865,22.320768662232076,14,rjaffe,12,1.0,2,false,true
8779,collectionspace/application,java,47,1344292499,,1351643345,122454,,unknown,false,false,5,1,0,0,0,1,0,0,1,1,0,1,0,56,20200,0,0,0,255.6930693069307,4.5049504950495045,22.425742574257423,14,aronr,21,1.0,3,false,true
232305,collectionspace/application,java,46,1344028966,1344029003,1344029003,0,0,github,false,false,5,1,0,0,0,0,0,0,7,7,0,3,4,58,20200,0,0,2,255.6930693069307,4.5049504950495045,22.425742574257423,14,aronr,20,1.0,3,false,true
229509,collectionspace/application,java,45,1343931766,1343931815,1343931816,0,0,github,false,false,5,1,0,0,0,0,0,0,4,4,0,4,0,59,20200,0,0,19,255.6930693069307,4.5049504950495045,22.425742574257423,14,aronr,19,1.0,3,false,true
219127,collectionspace/application,java,44,1342805446,1342805484,1342805484,0,0,github,false,false,5,3,0,0,0,0,0,0,1,1,1,0,0,58,20174,16,0,18,256.02260335084765,4.510756419153366,22.454644592049174,14,aronr,18,1.0,3,false,true
219105,collectionspace/application,java,43,1342804954,1342805242,1342805243,4,4,github,false,false,5,5,0,0,0,1,0,0,1,1,1,0,0,58,20174,16,0,18,256.02260335084765,4.510756419153366,22.454644592049174,28,aronr,17,1.0,6,false,true
219063,collectionspace/application,java,42,1342803890,1342804415,1342804415,8,8,github,false,false,5,4,0,0,0,1,0,0,2,2,0,2,0,58,20174,0,0,11,256.02260335084765,4.510756419153366,22.454644592049174,14,rjaffe,11,1.0,2,false,true
219052,collectionspace/application,java,41,1342803595,1342804241,1342804241,10,10,github,false,false,5,1,0,1,1,1,0,0,1,1,0,1,0,58,20174,0,0,3,256.02260335084765,4.510756419153366,22.454644592049174,14,rjaffe,10,1.0,2,false,true
218994,collectionspace/application,java,40,1342801628,1342804154,1342804154,42,42,github,false,false,5,1,0,0,0,0,0,0,1,1,0,1,0,58,20174,0,0,9,256.02260335084765,4.510756419153366,22.454644592049174,14,rjaffe,9,1.0,2,false,true
218923,collectionspace/application,java,39,1342799105,1342804037,1342804037,82,82,github,false,false,5,4,0,0,0,0,0,0,1,1,0,1,0,58,20174,0,0,4,256.02260335084765,4.510756419153366,22.454644592049174,14,rjaffe,8,1.0,2,false,true
209957,collectionspace/application,java,38,1342454890,1342454923,1342454923,0,0,github,false,false,5,2,0,0,0,0,0,0,2,2,1,1,0,55,20175,25,0,9,256.0099132589839,4.510532837670384,22.453531598513013,14,aronr,16,1.0,3,false,true
207321,collectionspace/application,java,37,1342288237,1342454772,1342454772,2775,2775,github,false,false,5,1,0,0,0,0,0,0,2,2,1,1,0,53,20175,25,0,10,256.0099132589839,4.510532837670384,22.453531598513013,14,rjaffe,7,1.0,2,false,true
206237,collectionspace/application,java,36,1342215416,1342215440,1342215441,0,0,github,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,50,20174,2,0,1,256.02260335084765,4.510756419153366,22.454644592049174,14,aronr,15,1.0,3,false,true
206232,collectionspace/application,java,35,1342215293,1342215381,1342215381,1,1,github,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,50,20174,2,0,1,256.02260335084765,4.510756419153366,22.454644592049174,14,aronr,14,1.0,3,false,true
187976,collectionspace/application,java,34,1341357201,1341357265,1341357266,1,1,github,false,false,6,5,0,0,0,0,0,0,1,1,1,0,0,54,20167,9,0,26,256.11146923191353,4.512322110378341,22.462438637377893,13,aronr,13,1.0,3,true,true
187968,collectionspace/application,java,33,1341356978,1341357147,1341357147,2,2,github,false,false,6,5,0,0,0,0,0,0,1,1,1,0,0,54,20167,9,0,26,256.11146923191353,4.512322110378341,22.462438637377893,26,aronr,12,1.0,6,true,true
134005,collectionspace/application,java,32,1337797512,1337797587,1337797587,1,1,github,false,false,7,2,0,0,0,0,0,0,1,1,0,1,0,37,19737,0,0,3,263.16056138217556,4.610629781628414,23.863809089527283,12,aronr,11,1.0,3,false,true
133998,collectionspace/application,java,31,1337797322,1337797354,1337797355,0,0,github,false,false,7,1,0,0,0,0,0,0,1,1,0,1,0,37,19737,0,0,3,263.16056138217556,4.610629781628414,23.863809089527283,12,aronr,10,1.0,3,false,true
132867,collectionspace/application,java,30,1337724730,1337724771,1337724773,0,0,github,false,false,7,9,0,0,0,0,0,0,20,20,0,15,5,37,19737,0,0,209,263.16056138217556,4.610629781628414,23.863809089527283,12,aronr,9,1.0,3,false,true
132863,collectionspace/application,java,29,1337724484,1337724521,1337724522,0,0,github,false,false,7,5,0,0,0,0,0,0,18,18,0,15,3,37,19737,0,0,206,263.16056138217556,4.610629781628414,23.863809089527283,24,aronr,8,1.0,6,false,true
130134,collectionspace/application,java,28,1337547250,1337632171,1337632171,1415,1415,github,false,false,7,15,0,3,3,1,0,0,32,32,0,13,19,36,19736,0,0,260,268.84880421564657,4.6108633968382655,23.865018240778273,24,aronr,7,1.0,6,true,true
128049,collectionspace/application,java,27,1337323438,1337350627,1337350627,453,453,github,false,false,7,5,0,4,4,2,0,0,9,9,0,9,0,36,19728,0,0,248,268.85644768856446,4.612733171127332,23.874695863746958,12,rjaffe,6,1.0,2,false,true
127464,collectionspace/application,java,26,1337269987,1337285328,1337285328,255,255,github,false,false,7,11,0,0,0,0,0,0,20,20,2,7,11,37,19708,0,12,89,268.9263243352953,4.617414248021109,23.89892429470266,12,amywieliczka,1,0.0,3,false,true
126646,collectionspace/application,java,25,1337207997,1337208014,1337208014,0,0,github,false,false,7,1,0,0,0,0,1,0,11,12,0,0,12,38,19697,0,0,18,266.0811291059552,4.619992892318627,23.86150175153577,12,rjaffe,5,1.0,2,false,true
126628,collectionspace/application,java,24,1337206102,1337206147,1337206147,0,0,github,false,false,7,1,0,0,0,0,0,0,1,1,0,0,1,38,19697,0,0,4,266.0811291059552,4.619992892318627,23.86150175153577,12,ray-lee,10,1.0,2,false,true
126571,collectionspace/application,java,23,1337202548,1337202564,1337202564,0,0,github,false,false,7,1,0,0,0,0,0,0,1,1,0,1,0,38,19697,0,0,13,266.0811291059552,4.619992892318627,23.86150175153577,12,rjaffe,4,1.0,2,false,true
126390,collectionspace/application,java,22,1337192719,1337192749,1337192751,0,0,github,false,false,7,1,0,0,0,0,0,0,1,1,0,0,1,39,19697,0,0,3,266.0811291059552,4.619992892318627,23.86150175153577,12,ray-lee,9,1.0,2,false,true
