pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
505738,community,970,1352191406,1352193218,1352193218,30,30,20,1,0,3,41,116248,12,0,48,535.2436170944876,503,systay,140,0.6714285714285714,15
505739,community,967,1352102642,1352126567,1352126567,398,398,20,1,0,2,42,116238,0,0,16,535.5133433128581,503,jakewins,60,0.55,12
505740,community,966,1352039696,1352103888,1352103888,1069,1069,20,1,0,10,41,115560,438,0,33,537.2966424368294,503,systay,139,0.6690647482014388,15
505741,community,965,1351953652,1352125097,1352125097,2857,2857,21,2,0,0,41,115560,0,0,0,537.2966424368294,503,systay,138,0.6739130434782609,15
505742,community,964,1351941250,1352125123,1352125123,3064,3064,21,1,0,0,41,115560,0,0,0,537.2966424368294,503,systay,137,0.6788321167883211,15
505743,community,960,1351775485,1351842717,1351842717,1120,1120,21,2,0,0,43,110734,0,0,0,531.7066122419492,503,tbaum,6,0.6666666666666666,3
505744,community,959,1351764978,1351770834,1351770835,97,97,21,1,0,32,43,114473,1104,624,25,539.0616127820534,503,jakewins,59,0.5423728813559322,12
505745,community,958,1351690487,1351759981,1351759981,1158,1158,21,1,0,0,44,114456,0,0,0,539.0280981337808,503,jakewins,58,0.5517241379310345,12
505746,community,957,1351622513,1352103613,1352103613,8018,8018,21,2,0,0,44,114399,0,0,0,539.2879308385563,502,wujek-srujek,0,0,0
505747,community,955,1351590649,1351590809,1351590809,2,2,20,1,0,6,44,114375,96,0,13,539.1650273224044,502,jakewins,57,0.543859649122807,12
505748,community,952,1351517458,1351669114,1351669114,2527,2527,20,1,0,0,45,114381,0,0,0,539.1367447390738,502,tbaum,5,0.8,3
505749,community,951,1351492031,1351505383,1351505383,222,222,20,2,0,0,44,114378,0,0,0,538.4514504537586,502,systay,136,0.6838235294117647,15
505750,community,947,1351253776,1351254204,1351254204,7,7,21,1,0,6,44,114378,69,0,53,538.4514504537586,502,systay,135,0.6814814814814815,15
505751,community,944,1351170477,1351684269,1351684269,8503,8503,21,1,0,0,45,114341,0,0,0,538.6169440533142,502,jakewins,56,0.5535714285714286,12
505753,community,943,1351168072,1351185901,1351185901,297,297,21,1,0,5,45,114341,159,0,30,538.6169440533142,502,systay,134,0.6791044776119403,15
505754,community,942,1351164683,1351168014,1351168014,55,55,21,1,0,0,45,114341,0,0,0,538.6169440533142,502,systay,133,0.6842105263157895,15
505755,community,941,1351148922,1351148981,1351148981,0,0,21,1,0,32,45,114341,2311,0,44,538.6169440533142,502,systay,132,0.6818181818181818,15
505756,community,940,1351082003,1351170436,1351170436,1473,1473,21,1,0,0,45,114341,0,0,0,538.6169440533142,502,jakewins,55,0.5636363636363636,12
505757,community,938,1351044113,1351049751,1351049751,93,93,21,1,0,3,45,114343,35,0,24,538.2227158636733,502,wfreeman,8,0.25,12
505758,community,931,1350560316,1351049354,1351049354,8150,8150,21,1,0,0,48,112869,0,0,0,539.6787426131178,502,systay,131,0.6870229007633588,15
505759,community,930,1350559990,1350560226,1350560226,3,3,21,1,0,1,48,112869,0,55,0,539.2711904951758,502,peterneubauer,56,0.5357142857142857,106
505760,community,925,1350315242,1351250686,1351250686,15590,15590,22,2,0,0,49,112719,0,0,0,535.7215731154463,501,peterneubauer,55,0.5454545454545454,106
505761,community,924,1350241412,1350991277,1350991277,12497,12497,22,1,0,1,49,112719,7,0,0,535.7215731154463,501,blevine,0,0,0
505762,community,920,1350044478,1350087650,1350087650,719,719,22,2,0,0,49,112719,0,0,0,535.615113689795,500,systay,130,0.6923076923076923,14
505764,community,917,1350022415,1350087666,1350087666,1087,1087,22,1,0,0,49,112719,0,0,0,535.615113689795,499,systay,129,0.6976744186046512,14
505766,community,915,1349948739,1351530298,1351530298,26299,26299,22,1,0,0,49,112719,0,0,0,535.5707555957736,498,tinwelint,38,0.7105263157894737,12
505769,community,913,1349833893,1349934114,1349934114,1670,1670,21,1,0,0,50,112717,0,0,0,535.1899003699531,498,wfreeman,7,0.2857142857142857,10
505770,community,912,1349787202,1350543986,1350543986,12613,12613,22,1,0,0,50,112717,0,0,0,535.1899003699531,497,jakewins,54,0.5740740740740741,12
505771,community,911,1349786959,1349787110,1349787110,2,2,22,1,0,0,50,112717,0,0,0,535.1899003699531,497,jakewins,53,0.5849056603773585,12
505773,community,909,1349768403,1349848409,1349848409,1333,1333,22,1,0,0,50,112717,0,0,0,535.1987721461715,497,systay,128,0.703125,13
505774,community,907,1349671323,1349837502,1349837502,2769,2769,22,1,0,6,50,112716,365,0,11,535.0260832534867,497,wfreeman,6,0.16666666666666666,10
505775,community,906,1349395852,1349434418,1349434418,642,642,22,1,0,2,52,111771,43,0,5,530.6474845890258,495,wfreeman,5,0.0,10
451606,community,900,1349155892,1349158243,1349158243,39,39,22,1,0,1,54,111771,12,0,3,530.6206439953119,495,wfreeman,4,0.0,10
447391,community,891,1348970193,1349075599,1349075599,1756,1756,22,2,0,6,55,111771,463,0,15,530.6206439953119,492,wfreeman,3,0.0,10
443455,community,885,1348794379,1348890682,1348890682,1605,1605,22,3,0,2,57,111771,20,0,3,530.6206439953119,490,wfreeman,2,0.0,10
443408,community,884,1348791723,1348813639,1348813639,365,365,22,3,0,6,57,111771,115,0,12,530.6206439953119,490,wfreeman,1,0.0,10
438572,community,878,1348650829,1348782465,1348782465,2193,2193,22,2,0,0,58,111604,0,0,0,530.7874269739435,487,wfreeman,0,0,10
434860,community,873,1348523102,1348786566,1348786566,4391,4391,22,1,0,0,58,111604,0,0,0,530.653023189133,485,bpowers,0,0,8
430519,community,870,1348331265,1348331361,1348331361,1,1,22,1,0,0,58,111604,0,0,0,530.653023189133,484,systay,127,0.7086614173228346,13
505736,community,869,1348225397,1348227961,1348227961,42,42,22,1,0,3,58,111589,110,146,2,529.729632849116,484,tinwelint,37,0.7027027027027027,12
426923,community,867,1348165639,1348165926,1348165926,4,4,22,1,0,2,58,111587,35,0,12,528.5741170566464,484,systay,126,0.7063492063492064,13
426199,community,865,1348139843,1348220446,1348220446,1343,1343,22,1,0,8,57,111587,76,208,13,528.5741170566464,484,nawroth,44,0.7272727272727273,25
425973,community,864,1348129090,1348138986,1348138986,164,164,22,1,0,0,57,111587,0,0,0,528.5741170566464,484,nawroth,43,0.7441860465116279,25
419159,community,859,1347869232,1347969798,1347969798,1676,1676,23,1,0,0,57,110719,0,0,0,529.6651884500402,484,jakewins,52,0.5961538461538461,11
367667,community,853,1347360178,1347514320,1347514320,2569,2569,23,1,0,0,55,110719,0,0,0,529.6742203235217,484,nawroth,42,0.7619047619047619,25
367642,community,852,1347359253,1347514280,1347514280,2583,2583,23,1,0,3,55,111665,8,7,11,528.2138539381185,484,nawroth,41,0.7804878048780488,25
367287,community,851,1347347743,1347619078,1347619078,4522,4522,23,1,0,6,55,111665,197,0,23,528.2138539381185,484,jakewins,51,0.6078431372549019,11
365389,community,850,1347281656,1347292158,1347292158,175,175,23,1,0,0,55,111665,0,0,0,528.2138539381185,484,jakewins,50,0.62,11
360335,community,848,1347020130,1347020637,1347020637,8,8,23,1,0,0,57,110719,0,0,0,529.6742203235217,482,nawroth,40,0.8,25
360146,community,847,1347015345,1347016874,1347016874,25,25,23,1,0,1,57,110946,0,0,1,529.1943828529194,482,peterneubauer,50,0.6,102
357139,community,845,1346915220,1346916459,1346916459,20,20,23,1,0,1,57,110721,30,0,9,529.6646525952619,482,thobe,7,0.8571428571428571,27
357136,community,844,1346915188,1346916442,1346916442,20,20,23,1,0,1,57,110721,30,0,9,529.6646525952619,482,thobe,6,1.0,27
356836,community,843,1346900176,1347017653,1347017653,1957,1957,23,1,0,4,57,110721,30,0,14,529.6646525952619,482,systay,125,0.712,13
350072,community,839,1346655784,1346667457,1346667457,194,194,22,1,0,3,59,110498,56,57,1,529.4122970551504,481,tinwelint,35,0.7428571428571429,12
349996,community,838,1346652971,1346657164,1346657164,69,69,22,2,0,6,59,110498,63,80,20,529.4122970551504,481,tinwelint,34,0.7647058823529411,12
344300,community,836,1346327389,1348312934,1348312934,33092,33092,22,1,0,0,60,110499,0,0,0,529.4075059502801,481,nawroth,39,0.8205128205128205,25
