pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commits_open,num_pr_comments,num_issue_comments,num_commit_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,commits_to_hottest_file,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,closer,merger,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member,social_connection_tsay,hotness_vasilescu,team_size_vasilescu,description_complexity,workload,prior_interaction_issue_events,prior_interaction_issue_comments,prior_interaction_pr_events,prior_interaction_pr_comments,prior_interaction_commits,prior_interaction_commit_comments,first_response,ci_latency,ci_errors,ci_test_failures
7697962,cucumber/cucumber-jvm,java,868,1432580358,1432856326,1432856326,4599,4599,commits_in_master,false,false,2,5,3,0,2,0,2,2,3,1,7,11,15,1,7,0,12542,1,0,4,4,1100.223249880402,53.340774996013394,91.13379046404083,981,dkowis,dkowis,dkowis,11,0.9090909090909091,13,false,true,false,0.0,6,149,22,0,9,2,2,6,0,110,15875.0,false,true
7591460,cucumber/cucumber-jvm,java,867,1431956295,,1432574036,10295,,unknown,false,false,2,1,1,0,7,0,7,3,0,0,3,3,3,0,0,0,12542,10,24,0,0,1100.223249880402,53.340774996013394,91.13379046404083,972,davidegrohmann,aslakhellesoy,,0,0,0,false,false,false,0.0,6,10,23,0,0,0,0,0,0,17,9018.0,false,false
7530906,cucumber/cucumber-jvm,java,864,1431549998,1432571377,1432571377,17022,17022,commits_in_master,false,false,2,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,12531,0,0,0,0,1101.7476657888437,53.46740084590217,91.53299816455191,968,dorzey,dkowis,dkowis,0,0,3,false,false,false,0.0,6,47,23,0,0,0,0,1,0,-1,8184.0,false,false
7503610,cucumber/cucumber-jvm,java,863,1431420803,1431421442,1431421442,10,10,commits_in_master,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,12531,0,0,1,1,1101.7476657888437,53.46740084590217,91.53299816455191,967,gitter-badger,aslakhellesoy,aslakhellesoy,0,0,10,false,false,false,0.5,6,67,22,0,0,0,0,1,0,-1,8510.0,false,false
7222049,cucumber/cucumber-jvm,java,857,1429710232,1429710293,1429710293,1,1,merged_in_comments,false,false,1,4,4,0,0,0,0,1,32,1,4,37,11,0,24,0,12531,403,154,0,0,1101.7476657888437,53.46740084590217,91.53299816455191,947,shomeser,shomeser,shomeser,1,0.0,9,false,true,false,0.0,5,16,20,0,2,1,0,1,0,-1,-1,false,false
6979674,cucumber/cucumber-jvm,java,847,1428343716,1428924783,1428924783,9684,9684,commits_in_master,false,false,1,2,1,0,3,0,3,2,1,0,1,2,2,0,0,0,12531,2,37,0,0,1099.5930093368447,53.38759875508738,91.37339398292235,938,davidcoelho,aslakhellesoy,aslakhellesoy,0,0,0,false,false,false,0.0,6,32,19,0,0,0,0,1,0,20,19134.0,false,false
6902680,cucumber/cucumber-jvm,java,845,1427825879,,1428360322,8907,,unknown,false,false,1,1,1,0,6,0,6,3,0,0,2,2,2,0,0,0,12531,13,0,0,0,1099.5930093368447,53.38759875508738,91.37339398292235,935,danielnpu,dkowis,,0,0,0,false,false,false,0.0,6,11,19,0,0,0,0,0,0,4,8112.0,true,false
6668619,cucumber/cucumber-jvm,java,842,1426444605,1426701385,1426701385,4279,4279,commits_in_master,false,false,1,1,1,0,1,0,1,1,0,0,3,3,3,0,0,0,11916,21,124,0,0,1081.654917757637,52.78616985565626,90.9701242027526,926,brasmusson,brasmusson,brasmusson,37,0.8108108108108109,2,false,true,false,0.0,6,86,28,4,33,9,10,20,0,4106,6347.0,false,false
6668542,cucumber/cucumber-jvm,java,841,1426444183,1426701385,1426701385,4286,4286,commits_in_master,false,false,1,1,1,0,1,0,1,1,0,0,4,4,4,0,0,0,11916,19,58,0,0,1081.654917757637,52.78616985565626,90.9701242027526,926,brasmusson,brasmusson,brasmusson,36,0.8055555555555556,2,false,true,false,0.0,6,82,27,4,33,8,10,20,0,4113,4452.0,false,false
6392051,cucumber/cucumber-jvm,java,839,1424706139,1424761500,1424761500,922,922,commits_in_master,false,false,2,2,2,0,0,0,0,2,0,0,2,2,1,0,1,0,11914,0,3,1,1,1079.4863186167534,52.71109618935706,90.90146046667785,914,judoole,aslakhellesoy,aslakhellesoy,0,0,31,false,false,true,0.3333333333333333,7,36,27,0,0,0,0,2,0,-1,-1,false,false
6226376,cucumber/cucumber-jvm,java,834,1423608667,1426703600,1426703600,51582,51582,commits_in_master,false,false,2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,11914,0,0,0,0,1079.4863186167534,52.71109618935706,90.90146046667785,907,peterox,brasmusson,brasmusson,0,0,0,false,false,false,0.0,9,12,26,0,0,0,0,0,0,51372,4660.0,false,false
5919017,cucumber/cucumber-jvm,java,828,1421585261,1426703600,1426703600,85305,85305,commits_in_master,false,false,2,4,4,0,1,0,1,1,3,0,12,15,15,0,0,0,11913,205,246,3,2,1079.5769327625285,52.715520859565174,90.9090909090909,884,brasmusson,brasmusson,brasmusson,34,0.8235294117647058,2,false,true,false,0.0,9,148,25,1,32,7,9,29,5,85097,4623.0,false,false
5845752,cucumber/cucumber-jvm,java,823,1421048673,1421048683,1421048683,0,0,github,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,11887,0,0,20,20,1076.9748464709346,52.41019601245058,90.09842685286446,879,SierraGolf,SierraGolf,SierraGolf,5,1.0,10,false,true,false,6.666666666666667,9,21,22,6,29,7,8,17,0,-1,3685.0,true,false
5776159,cucumber/cucumber-jvm,java,821,1420728403,1420994983,1420994983,4443,4443,commits_in_master,false,false,2,4,2,0,4,0,4,3,0,2,8,10,1,0,4,0,11884,2,0,30,16,1076.23695725345,52.255132951868056,88.94311679569168,877,SierraGolf,SierraGolf,SierraGolf,4,1.0,10,false,true,false,0.3333333333333333,9,10,25,1,14,4,8,11,0,136,269513.0,false,false
5750248,cucumber/cucumber-jvm,java,820,1420556527,1420992847,1420992847,7272,7272,commits_in_master,false,false,2,4,2,0,2,0,2,2,1,1,5,7,5,0,3,0,11884,4,264,18,13,1076.23695725345,52.255132951868056,88.94311679569168,874,SierraGolf,SierraGolf,SierraGolf,3,1.0,10,false,true,false,0.6666666666666666,9,52,26,1,10,2,7,7,0,7247,264987.0,false,false
5734119,cucumber/cucumber-jvm,java,819,1420447182,1420726404,1420726404,4653,4653,commits_in_master,false,false,2,10,2,4,14,0,18,3,0,2,13,15,14,0,26,0,11746,0,0,25,14,1077.9839945513365,52.869061808275156,89.73267495317555,873,SierraGolf,SierraGolf,SierraGolf,2,1.0,10,false,true,false,0.0,9,38,26,1,6,0,5,1,0,605,283791.0,false,false
5726826,cucumber/cucumber-jvm,java,818,1420361630,1426701385,1426701385,105662,105662,commits_in_master,false,false,2,4,4,0,1,0,1,1,12,10,8,30,7,0,10,0,11746,338,1157,1,1,1077.9839945513365,52.869061808275156,89.73267495317555,873,brasmusson,brasmusson,brasmusson,32,0.84375,2,false,true,false,0.0,9,40,30,1,18,4,1,19,5,105493,4603.0,false,false
5726773,cucumber/cucumber-jvm,java,817,1420360876,1426701385,1426701385,105675,105675,commits_in_master,false,false,2,3,3,0,1,0,1,1,9,5,6,20,11,0,1,0,11746,411,325,2,2,1077.9839945513365,52.869061808275156,89.73267495317555,873,brasmusson,brasmusson,brasmusson,31,0.8387096774193549,2,false,true,false,0.0,9,91,29,1,18,3,1,19,5,105505,4562.0,false,false
