pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2415402,cucumber/gherkin,ruby,286,1383942851,1384139774,1384139774,3282,3282,commits_in_master,false,false,3,3,0,7,7,3,1,0,1,2,2,0,0,28,2049,40,0,2,1103.4651049292336,95.1683748169839,97.60858955588093,306,sirchia,0,0,4,false,false
2217943,cucumber/gherkin,ruby,282,1381097859,1381566442,1381566442,7809,7809,fixes_in_commit,false,false,2,3,0,0,0,0,0,0,3,3,2,0,1,46,2034,2,3,0,1105.7030481809243,95.87020648967552,98.32841691248771,306,lingutla,3,0.0,0,false,false
2217895,cucumber/gherkin,ruby,281,1381096628,,1381097795,19,,unknown,false,false,2,3,0,0,0,0,0,0,3,3,2,0,1,45,2034,2,3,0,1105.7030481809243,95.87020648967552,98.32841691248771,306,lingutla,2,0.0,0,false,false
2217846,cucumber/gherkin,ruby,280,1381095131,,1381096536,23,,unknown,false,false,2,2,0,0,0,0,0,0,2,2,1,0,1,45,2034,0,3,0,1105.7030481809243,95.87020648967552,98.32841691248771,306,lingutla,1,0.0,0,false,false
2217791,cucumber/gherkin,ruby,279,1381093573,1381094804,1381094804,20,20,fixes_in_commit,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,45,2034,0,0,0,1105.7030481809243,95.87020648967552,98.32841691248771,306,lingutla,0,0,0,false,false
2201402,cucumber/gherkin,ruby,278,1380799560,1381567777,1381567777,12803,12803,commits_in_master,false,false,1,1,0,5,5,3,0,0,1,1,1,0,0,45,2034,4,0,0,1105.7030481809243,95.87020648967552,98.32841691248771,306,jtnord,1,0.0,0,false,false
2169857,cucumber/gherkin,ruby,277,1380496071,1381567502,1381567502,17857,17857,commits_in_master,false,false,1,2,3,4,7,4,0,0,3,3,3,0,0,43,2034,164,0,0,1105.7030481809243,95.87020648967552,98.32841691248771,306,ramonza,0,0,0,false,false
2146749,cucumber/gherkin,ruby,276,1380008617,1381566559,1381566559,25965,25965,commits_in_master,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,41,2034,2,0,0,1105.7030481809243,95.87020648967552,98.32841691248771,306,jtnord,0,0,0,false,false
2119935,cucumber/gherkin,ruby,275,1379758411,1379828937,1379828937,1175,1175,commits_in_master,false,false,1,4,2,20,22,4,0,0,8,8,6,1,1,40,2034,129,0,5,1105.7030481809243,95.87020648967552,98.32841691248771,306,SierraGolf,0,0,3,false,true
1998781,cucumber/gherkin,ruby,272,1377696743,1381567220,1381567220,64507,64507,commits_in_master,false,false,2,5,8,5,13,3,1,0,4,5,1,2,1,32,2034,97,0,14,1105.7030481809243,95.87020648967552,98.32841691248771,306,ldegen,0,0,0,false,false
