pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2647956,deegree/deegree3,java,210,1387207412,,1389106163,31645,,unknown,false,false,2,7,0,0,0,1,1,0,14,15,14,0,1,89,225880,384,0,0,139.49884894634317,4.338586860279794,18.80644590047813,11,diegomigliavacca,8,0.0,1,false,false
2588007,deegree/deegree3,java,206,1386347606,,1386347823,3,,unknown,false,false,2,67,0,0,0,0,2,0,164,166,39,123,4,97,219779,880,44,0,146.0239604329804,4.550025252640152,19.592408737868496,11,diegomigliavacca,5,0.0,1,false,false
2559643,deegree/deegree3,java,203,1386005380,1386075624,1386075624,1170,1170,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,97,219199,4,0,1,146.07274668223852,4.55750254335102,19.59862955579177,11,MrSnyder,46,0.41304347826086957,1,false,false
2544023,deegree/deegree3,java,202,1385737030,1386075575,1386075575,5642,5642,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,97,219199,73,0,0,146.07274668223852,4.55750254335102,19.59862955579177,11,MrSnyder,45,0.4,1,false,false
2543966,deegree/deegree3,java,201,1385736206,1385736237,1385736237,0,0,commits_in_master,false,false,2,8,0,0,0,0,5,1,132,138,8,131,0,97,219199,270,139,10,146.07274668223852,4.55750254335102,19.59862955579177,11,MrSnyder,44,0.4090909090909091,1,false,false
2542040,deegree/deegree3,java,200,1385728602,1386074453,1386074453,5764,5764,commits_in_master,false,false,2,1,0,0,0,0,0,0,3,3,3,0,0,97,219199,21,0,0,146.07274668223852,4.55750254335102,19.59862955579177,11,diegomigliavacca,3,0.0,1,false,false
2539265,deegree/deegree3,java,197,1385675074,1386075477,1386075477,6673,6673,commits_in_master,false,false,2,1,0,4,4,2,4,1,9,14,3,12,0,97,219199,140,0,9,146.07274668223852,4.55750254335102,19.59862955579177,11,MrSnyder,43,0.4186046511627907,1,false,false
2530445,deegree/deegree3,java,196,1385560783,1386075444,1386075444,8577,8577,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,97,219199,11,0,1,146.07274668223852,4.55750254335102,19.59862955579177,11,MrSnyder,42,0.42857142857142855,1,false,false
2516308,deegree/deegree3,java,195,1385391494,,1386074938,11390,,unknown,false,false,2,1,0,1,1,1,0,0,2,2,2,0,0,97,225805,179,0,0,139.54518279046079,4.340027900179358,18.812692367308074,11,MrSnyder,41,0.43902439024390244,1,false,false
2514346,deegree/deegree3,java,194,1385370612,1386075386,1386075386,11746,11746,commits_in_master,false,false,2,2,0,10,10,4,1,1,10,12,6,4,1,97,219199,243,0,25,146.07274668223852,4.55750254335102,19.59862955579177,11,tfr42,0,0,2,false,false
2513838,deegree/deegree3,java,193,1385363362,1386075312,1386075312,11865,11865,commits_in_master,false,false,2,26,0,0,0,0,3,0,21,24,16,4,8,97,219199,510,0,8,146.07274668223852,4.55750254335102,19.59862955579177,11,dstenger,1,0.0,0,false,false
2512160,deegree/deegree3,java,192,1385329878,1386074887,1386074887,12416,12416,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,97,219199,34,0,1,146.07274668223852,4.55750254335102,19.59862955579177,11,MrSnyder,40,0.45,1,false,false
2512146,deegree/deegree3,java,191,1385329719,,1386074878,12419,,unknown,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,97,225805,34,0,1,139.54518279046079,4.340027900179358,18.812692367308074,11,MrSnyder,39,0.46153846153846156,1,false,false
2510954,deegree/deegree3,java,190,1385310946,1386157294,1386157294,14105,14105,merged_in_comments,false,false,2,1,0,3,3,3,0,0,1,1,1,0,0,97,225805,31,0,0,139.54518279046079,4.340027900179358,18.812692367308074,11,martin-vi,12,0.16666666666666666,1,false,false
2509872,deegree/deegree3,java,188,1385289123,1386075263,1386075263,13102,13102,commits_in_master,false,false,2,7,0,0,0,0,3,1,5,9,1,6,1,96,219199,8,0,0,146.07274668223852,4.55750254335102,19.59862955579177,11,segoerke,5,0.2,0,false,false
2507695,deegree/deegree3,java,187,1385230653,1386075225,1386075225,14076,14076,commits_in_master,false,false,2,3,0,0,0,0,0,0,7,7,6,2,1,96,219199,82,0,0,146.07274668223852,4.55750254335102,19.59862955579177,11,hwbllmnn,92,0.5108695652173914,3,false,false
2506483,deegree/deegree3,java,186,1385207232,1385210764,1385210764,58,58,commits_in_master,false,false,2,3,0,0,0,0,2,0,2,4,1,1,1,95,219199,8,0,0,146.07274668223852,4.55750254335102,19.59862955579177,11,segoerke,4,0.25,0,false,false
2506216,deegree/deegree3,java,185,1385199289,1385210743,1385210743,190,190,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,95,219199,0,0,0,146.07274668223852,4.55750254335102,19.59862955579177,11,segoerke,3,0.3333333333333333,0,false,false
2504783,deegree/deegree3,java,184,1385158948,1386075175,1386075175,15270,15270,commits_in_master,false,false,2,1,0,2,2,2,4,0,10,14,14,0,0,95,219199,1245,0,0,146.07274668223852,4.55750254335102,19.59862955579177,11,dstenger,0,0,0,false,false
2488274,deegree/deegree3,java,183,1384970969,1386074661,1386074661,18394,18394,commits_in_master,false,false,2,1,0,0,0,0,0,0,4,4,4,0,0,95,219199,49,0,0,146.07274668223852,4.55750254335102,19.59862955579177,11,MrSnyder,38,0.47368421052631576,1,false,false
2488263,deegree/deegree3,java,182,1384970840,,1386074654,18396,,unknown,false,false,2,1,0,0,0,0,0,0,4,4,4,0,0,95,225805,65,0,0,139.54518279046079,4.340027900179358,18.812692367308074,11,MrSnyder,37,0.4864864864864865,1,false,false
2485993,deegree/deegree3,java,181,1384951249,1386075101,1386075101,18730,18730,commits_in_master,false,false,2,2,0,0,0,0,1,0,3,4,3,1,0,95,219199,46,139,8,146.07274668223852,4.55750254335102,19.59862955579177,11,copierrj,21,0.47619047619047616,0,false,false
2457268,deegree/deegree3,java,180,1384525315,,1386074601,25821,,unknown,false,false,2,1,0,0,0,0,0,0,2,2,0,2,0,94,225797,0,0,18,139.55012688388243,4.340181667604087,18.81335890202261,11,diegomigliavacca,2,0.0,1,false,false
2456930,deegree/deegree3,java,179,1384522170,1384524522,1384524522,39,39,fixes_in_commit,false,false,2,1,0,0,0,0,0,0,2,2,0,2,0,94,225797,0,0,0,139.55012688388243,4.340181667604087,18.81335890202261,11,diegomigliavacca,1,0.0,1,false,false
