pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1949922,delving/sip-creator,java,461,1376894679,1376895331,1376895331,10,10,commits_in_master,false,false,4,2,0,0,0,0,0,0,3,3,3,0,0,51,24052,95,0,0,101.57159487776485,1.9956760352569431,3.7003159820389153,3,geralddejong,99,0.8181818181818182,1,true,true
1618161,delving/sip-creator,java,459,1371641673,1371650799,1371650799,152,152,commits_in_master,false,false,4,1,0,0,0,0,0,0,2,2,2,0,0,71,24050,33,0,7,101.58004158004158,1.995841995841996,3.7006237006237006,3,geralddejong,98,0.826530612244898,1,true,true
1596765,delving/sip-creator,java,458,1371042299,1371211993,1371211993,2828,2828,commits_in_master,false,false,4,7,0,0,0,0,0,0,18,18,9,6,3,76,24037,71,39,121,101.13574905354245,1.9553188833881099,3.6610225901734825,6,geralddejong,97,0.8350515463917526,2,true,true
1730202,delving/sip-creator,java,457,1370246837,1370258022,1370258022,186,186,github,false,false,5,11,0,0,0,0,9,0,9,18,7,7,1,76,24037,0,1540,46,69.97545450763407,1.9137163539543205,3.619420060739693,3,geralddejong,96,0.8333333333333334,1,true,true
1718349,delving/sip-creator,java,455,1370001499,1370001535,1370001536,0,0,github,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,69,24035,6,0,10,69.98127730393176,1.9138755980861244,3.6197212398585394,3,geralddejong,95,0.8315789473684211,1,true,true
1717770,delving/sip-creator,java,454,1369994550,1369994673,1369994673,2,2,github,false,false,5,1,0,0,0,0,0,0,4,4,4,0,0,69,24019,44,0,10,70.02789458345477,1.915150505849536,3.622132478454557,3,geralddejong,94,0.8297872340425532,1,true,true
1539101,delving/sip-creator,java,450,1369908513,1369908743,1369908743,3,3,commits_in_master,false,false,5,1,0,0,0,0,0,0,7,7,5,2,0,69,23997,28,15,28,69.84206359128224,1.9169062799516607,3.583781305996583,6,geralddejong,93,0.8387096774193549,2,true,true
1533475,delving/sip-creator,java,448,1369820452,1369820926,1369820926,7,7,commits_in_master,false,false,5,1,0,0,0,0,0,0,5,5,3,2,0,70,23975,53,1,3,69.86444212721585,1.91866527632951,3.545359749739312,6,geralddejong,92,0.8478260869565217,2,true,true
1528786,delving/sip-creator,java,446,1369747246,1369747317,1369747317,1,1,commits_in_master,false,false,5,1,0,0,0,0,0,0,5,5,0,4,1,70,23975,0,0,41,69.86444212721585,1.91866527632951,3.545359749739312,6,geralddejong,91,0.8571428571428571,2,true,true
1507957,delving/sip-creator,java,444,1369224468,1369224951,1369224951,8,8,commits_in_master,false,false,5,1,0,0,0,0,0,0,8,8,7,1,0,70,23959,157,58,24,71.163237196878,2.003422513460495,3.547727367586293,6,geralddejong,90,0.8666666666666667,2,true,true
2663889,delving/sip-creator,java,443,1369136285,1369136318,1369136318,0,0,github,false,false,5,5,0,0,0,0,0,0,7,7,5,2,0,71,23874,116,9,17,71.24905755214877,2.0105554159336516,3.5603585490491745,3,geralddejong,89,0.8651685393258427,1,true,true
1502799,delving/sip-creator,java,442,1369064254,1369064567,1369064567,5,5,commits_in_master,false,false,5,1,0,0,0,0,0,0,2,2,2,0,0,70,23857,36,0,14,71.29982814268348,2.0119880957371,3.562895586201115,3,geralddejong,88,0.875,1,true,true
1502092,delving/sip-creator,java,441,1369055428,1369063329,1369063329,131,131,commits_in_master,false,false,5,1,0,0,0,1,0,0,4,4,4,0,0,71,23854,30,0,29,71.30879517062128,2.0122411335625054,3.5633436740169366,3,geralddejong,87,0.8850574712643678,1,true,true
1470022,delving/sip-creator,java,432,1368437230,1369029480,1369029480,9870,9870,commits_in_master,false,false,5,13,0,0,0,0,2,0,32,34,26,7,0,69,23769,879,95,222,70.09129538474483,1.9773654760402204,3.534014893348479,3,geralddejong,86,0.8953488372093024,1,true,true
1444792,delving/sip-creator,java,431,1367921779,1368022084,1368022084,1671,1671,commits_in_master,false,false,5,49,0,0,0,0,20,9,86,115,81,17,4,69,22331,6578,837,267,74.82871344767364,1.9255743137342707,3.134655859567417,3,geralddejong,85,0.9058823529411765,1,true,true
1384715,delving/sip-creator,java,428,1366276105,1366285927,1366285927,163,163,github,false,false,5,3,0,0,0,0,1,0,8,9,4,4,1,63,22330,136,0,77,74.8320644872369,1.9256605463502015,3.134796238244514,3,geralddejong,84,0.9047619047619048,1,true,true
1341448,delving/sip-creator,java,426,1365273629,1365273770,1365273771,2,2,github,false,false,5,1,0,0,0,0,0,0,5,5,1,4,0,56,22330,6,0,39,74.8320644872369,1.9256605463502015,3.134796238244514,3,geralddejong,83,0.9036144578313253,1,true,true
1336521,delving/sip-creator,java,425,1365148676,1365148828,1365148828,2,2,github,false,false,5,1,0,0,0,0,3,0,9,12,5,6,1,56,22318,22,12,39,74.3794246796308,1.8818890581593333,3.136481763598889,3,geralddejong,82,0.9024390243902439,1,true,true
1324678,delving/sip-creator,java,423,1364887509,1364888471,1364888471,16,16,github,false,false,5,3,0,0,0,0,1,0,12,13,9,4,0,55,22287,180,24,57,74.3931439852829,1.88450666307713,3.140844438461883,6,geralddejong,81,0.9012345679012346,2,true,true
1310708,delving/sip-creator,java,422,1364560792,1364560892,1364560892,1,1,github,false,false,5,1,0,0,0,0,0,0,1,1,0,1,0,56,22287,0,0,6,74.3931439852829,1.88450666307713,3.140844438461883,6,geralddejong,80,0.9,2,true,true
1309911,delving/sip-creator,java,421,1364546189,1364546378,1364546379,3,3,github,false,false,5,3,0,0,0,0,2,0,6,8,4,3,1,56,22278,11,56,27,73.25612712092648,1.840380644582099,3.142113295627974,6,geralddejong,79,0.8987341772151899,2,true,true
1279501,delving/sip-creator,java,419,1363767821,1363768054,1363768054,3,3,github,false,false,5,1,0,0,0,0,0,0,4,4,3,0,1,56,22267,49,51,6,71.27138815287195,1.8412898010508825,3.098756006646607,3,geralddejong,78,0.8974358974358975,1,true,true
1279460,delving/sip-creator,java,418,1363767029,1363767317,1363767318,4,4,github,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,58,22128,58,0,2,70.86044830079537,1.762472885032538,3.1182212581344904,6,geralddejong,77,0.8961038961038961,2,true,true
1279484,delving/sip-creator,java,417,1363704034,1363767411,1363767411,1056,1056,github,false,false,4,2,0,0,0,0,0,0,6,6,4,2,0,58,22128,84,1,6,70.86044830079537,1.762472885032538,3.1182212581344904,6,geralddejong,76,0.8947368421052632,2,true,true
1257365,delving/sip-creator,java,414,1363276492,1363767534,1363767534,8184,8184,github,false,false,4,9,0,0,0,0,1,0,6,7,3,3,0,57,22128,167,41,20,70.86044830079537,1.762472885032538,3.1182212581344904,3,geralddejong,75,0.8933333333333333,1,true,true
1257307,delving/sip-creator,java,413,1363275874,,1363275884,0,,unknown,false,false,4,10,0,0,0,0,2,0,6,8,3,3,0,57,22128,167,41,0,70.86044830079537,1.762472885032538,3.1182212581344904,3,geralddejong,74,0.9054054054054054,1,true,true
1257026,delving/sip-creator,java,412,1363272976,1363273252,1363273254,4,4,github,false,false,4,1,0,0,0,0,0,0,2,2,2,0,0,57,22116,60,1,4,70.85368059323567,1.76342919153554,3.1199131850244166,3,geralddejong,73,0.9041095890410958,1,true,true
1243541,delving/sip-creator,java,411,1363018923,1363083997,1363083997,1084,1084,commits_in_master,false,false,4,1,0,0,0,0,0,0,4,4,4,0,0,51,22110,47,0,3,70.87290818634102,1.7639077340569878,3.1207598371777476,3,geralddejong,72,0.9166666666666666,1,true,true
1209752,delving/sip-creator,java,409,1362132456,1362133433,1362133433,16,16,commits_in_master,false,false,3,1,0,0,0,0,0,0,4,4,4,0,0,57,22100,41,0,3,70.90497737556561,1.7647058823529413,3.1221719457013575,3,geralddejong,71,0.9295774647887324,1,true,true
1200776,delving/sip-creator,java,407,1361964905,1362041548,1362041548,1277,1277,commits_in_master,false,false,3,2,0,0,0,0,0,0,3,3,3,0,0,60,22096,42,0,15,70.9178131788559,1.7650253439536567,3.122737146994931,3,geralddejong,70,0.9428571428571428,1,true,true
1156206,delving/sip-creator,java,402,1360913921,1360930926,1360930926,283,283,commits_in_master,false,false,4,10,0,0,0,0,9,0,27,36,23,7,0,66,21737,902,424,72,63.854257717256296,1.6101577954639554,2.944288540276947,3,geralddejong,69,0.9565217391304348,1,true,true
1012003,delving/sip-creator,java,401,1360249610,1360930869,1360930869,11354,11354,commits_in_master,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,64,21737,32,0,2,63.854257717256296,1.6101577954639554,2.944288540276947,3,geralddejong,68,0.9705882352941176,1,true,true
1012006,delving/sip-creator,java,400,1360244930,1360245063,1360245063,2,2,github,false,false,5,1,0,0,0,0,0,0,5,5,5,0,0,64,21678,111,0,7,64.02804686779223,1.6145400867238675,2.9523018728665007,3,geralddejong,67,0.9701492537313433,1,true,true
979774,delving/sip-creator,java,396,1360228222,1360228781,1360228781,9,9,github,false,false,5,1,0,0,0,0,0,0,3,3,3,0,0,65,21692,53,0,13,63.986723215932145,1.6134980638023233,2.9503964595242484,3,geralddejong,66,0.9696969696969697,1,true,true
958854,delving/sip-creator,java,395,1360051808,1360051847,1360051847,0,0,github,false,false,5,1,0,0,0,0,0,0,2,2,2,0,0,66,21696,70,0,8,63.97492625368732,1.6132005899705015,2.949852507374631,3,geralddejong,65,0.9692307692307692,1,true,true
956055,delving/sip-creator,java,394,1359988405,1359989112,1359989112,11,11,github,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,66,21696,2,0,6,63.97492625368732,1.6132005899705015,2.949852507374631,3,geralddejong,64,0.96875,1,true,true
955800,delving/sip-creator,java,393,1359984869,1359985259,1359985259,6,6,github,false,false,5,4,0,0,0,0,0,0,8,8,5,3,0,66,21682,40,8,22,63.69338621898349,1.6142422285766995,2.951757217968822,6,geralddejong,63,0.9682539682539683,2,true,true
955569,delving/sip-creator,java,392,1359969733,1359971297,1359971297,26,26,github,false,false,5,2,0,0,0,0,0,0,2,2,2,0,0,67,21666,20,0,11,63.740422782239456,1.6154343210560325,2.953937044216745,3,geralddejong,62,0.967741935483871,1,true,true
955509,delving/sip-creator,java,390,1359968085,1359969102,1359969103,16,16,github,false,false,5,2,0,0,0,0,0,0,14,14,14,0,0,67,21663,241,0,48,63.74924987305544,1.615658034436597,2.954346120112634,6,geralddejong,61,0.9672131147540983,2,true,true
1011982,delving/sip-creator,java,384,1359112832,1359123070,1359123071,170,170,github,false,false,5,4,0,0,0,0,1,0,5,6,5,1,0,65,21596,127,78,24,61.86330802000371,1.5743656232635674,2.8709020188923873,3,geralddejong,60,0.9666666666666667,1,true,true
917619,delving/sip-creator,java,380,1358164740,1358226781,1358226781,1034,1034,github,false,false,5,1,0,0,0,0,0,0,2,2,2,0,0,66,21583,23,0,5,61.90056989297132,1.575313904461845,2.8726312375480703,3,geralddejong,59,0.9661016949152542,1,true,true
761092,delving/sip-creator,java,378,1356087059,1356091178,1356091178,68,68,github,false,false,5,2,0,0,0,0,0,0,3,3,3,0,0,70,21555,52,0,9,61.98097889120854,1.577360241243331,2.876362792855486,3,geralddejong,58,0.9655172413793104,1,true,true
898578,delving/sip-creator,java,377,1355989834,1355993393,1355993393,59,59,github,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,70,21552,5,0,2,61.98960653303637,1.5775798069784708,2.8767631774313287,3,geralddejong,57,0.9649122807017544,1,true,true
894918,delving/sip-creator,java,376,1355856281,1355857334,1355857334,17,17,github,false,false,5,1,0,0,0,0,2,0,12,14,14,0,0,70,21578,235,6,42,61.8685698396515,1.575678932245806,2.8732968764482343,3,geralddejong,56,0.9642857142857143,1,true,true
750558,delving/sip-creator,java,375,1355470027,1355470151,1355470151,2,2,github,false,false,5,1,0,0,0,0,1,0,4,5,4,1,0,71,21559,34,0,34,61.83032608191474,1.577067581984322,2.8758291200890578,6,geralddejong,55,0.9636363636363636,2,true,true
892333,delving/sip-creator,java,374,1355224022,1355252852,1355252852,480,480,github,false,false,5,1,0,0,0,0,0,0,2,2,2,0,0,71,21556,37,0,20,61.838931156058635,1.5772870662460567,2.8762293560957506,3,geralddejong,54,0.9629629629629629,1,true,true
890677,delving/sip-creator,java,372,1355143658,1355143717,1355143717,0,0,github,false,false,5,1,0,0,0,0,0,0,2,2,2,0,0,71,21552,22,0,6,61.850408314773574,1.5775798069784708,2.8767631774313287,6,geralddejong,53,0.9622641509433962,2,true,true
671615,delving/sip-creator,java,370,1354716766,1354798480,1354798480,1361,1361,github,false,false,5,8,0,0,0,0,4,0,20,24,19,5,0,71,20996,1369,15,250,63.05963040579157,1.6193560678224423,2.9529434177938656,3,geralddejong,52,0.9615384615384616,1,true,true
