pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2742748,dimagi/commcare-hq,python,2207,1388784467,1388949178,1388949178,2745,2745,github,false,false,17,2,0,1,1,1,1,0,1,2,1,0,0,57,66776,45,0,0,130.09164969450103,2.9052354139211696,21.010542709955676,32,czue,389,0.9460154241645244,15,true,true
2739473,dimagi/commcare-hq,python,2205,1388753743,1388776444,1388776444,378,378,github,false,false,17,3,0,2,2,1,1,0,2,3,2,1,0,57,66646,124,0,0,130.0153047444708,2.8808930768538246,21.021516670167752,32,esoergel,103,0.8155339805825242,4,true,true
2733059,dimagi/commcare-hq,python,2204,1388696260,1388761745,1388761745,1091,1091,github,false,false,17,1,3,2,5,2,1,0,4,5,2,1,2,57,66646,44,29,37,130.0153047444708,2.8808930768538246,21.021516670167752,32,dannyroberts,322,0.922360248447205,4,true,true
2735486,dimagi/commcare-hq,python,2203,1388693866,1388788744,1388788744,1581,1581,github,false,false,17,1,0,0,0,0,0,0,2,2,1,1,0,57,66646,24,0,15,130.0153047444708,2.8808930768538246,21.021516670167752,32,nickpell,63,0.6666666666666666,4,true,true
2732653,dimagi/commcare-hq,python,2202,1388692701,1388692724,1388692724,0,0,github,false,false,17,1,0,0,0,2,0,0,1,1,1,0,0,57,66599,2,0,19,130.1070586645445,2.882926170062613,21.036351897175635,32,biyeun,112,0.9196428571428571,4,true,true
2735200,dimagi/commcare-hq,python,2201,1388690976,1388694486,1388694486,58,58,github,false,false,17,1,0,0,0,0,0,0,1,1,1,0,0,57,66599,22,0,7,130.1070586645445,2.882926170062613,21.036351897175635,32,esoergel,102,0.8137254901960784,4,true,true
2734659,dimagi/commcare-hq,python,2200,1388686146,1388698453,1388698453,205,205,github,false,false,17,2,0,7,7,2,2,0,1,3,3,0,0,57,66599,49,0,2,130.1070586645445,2.882926170062613,21.036351897175635,32,biyeun,111,0.918918918918919,4,true,true
2734568,dimagi/commcare-hq,python,2199,1388685195,1388685218,1388685218,0,0,github,false,false,17,1,0,0,0,2,0,0,1,1,0,1,0,57,66569,0,0,0,130.16569273986389,2.8842253901966384,21.045832144091094,32,twymer,112,0.8482142857142857,8,true,true
2734480,dimagi/commcare-hq,python,2198,1388684258,1388685120,1388685120,14,14,github,false,false,17,1,0,0,0,0,0,0,1,1,0,1,0,57,66569,0,0,0,130.16569273986389,2.8842253901966384,21.045832144091094,32,dannyroberts,321,0.9221183800623053,4,true,true
2734010,dimagi/commcare-hq,python,2197,1388679583,1388680000,1388680000,6,6,github,false,false,17,1,0,0,0,0,0,0,1,1,1,0,0,57,66531,4,0,30,130.24003847830335,2.8858727510483835,21.057852730306173,32,yedi,291,0.9037800687285223,1,true,true
2732160,dimagi/commcare-hq,python,2196,1388677642,1388677719,1388677719,1,1,github,false,false,17,2,1,0,1,1,0,0,2,2,2,0,0,57,66519,10,0,24,130.26353372720575,2.886393361295269,21.061651558201415,32,biyeun,110,0.9181818181818182,4,true,true
2733741,dimagi/commcare-hq,python,2195,1388677217,1388682363,1388682363,85,85,github,false,false,17,1,0,0,0,0,0,0,2,2,2,0,0,57,66519,102,0,19,130.26353372720575,2.886393361295269,21.061651558201415,32,esoergel,101,0.8118811881188119,4,true,true
