pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2465532,divio/django-shop,python,260,1384689619,1384758271,1384758271,1144,1144,commits_in_master,false,false,1,2,0,1,1,2,0,0,4,4,4,0,0,80,3819,26,35,0,475.2553024351925,39.80099502487562,72.00837915684734,749,evandempsey,0,0,2,false,false
2418108,divio/django-shop,python,259,1383998656,1383998671,1383998671,0,0,commits_in_master,false,false,0,1,0,0,0,0,0,0,1,1,0,1,0,100,3819,0,0,0,475.2553024351925,39.80099502487562,72.00837915684734,748,bitdeli-chef,0,0,7,false,false
2412232,divio/django-shop,python,258,1383912915,1383998702,1383998702,1429,1429,commits_in_master,false,false,0,1,0,0,0,2,0,0,1,1,1,0,0,100,3819,36,0,1,475.2553024351925,39.80099502487562,72.00837915684734,748,oubiga,0,0,0,false,false
2352793,divio/django-shop,python,255,1383121940,,1383123285,22,,unknown,false,false,0,2,0,0,0,0,0,0,3,3,3,0,0,100,3819,21,0,0,475.2553024351925,39.80099502487562,72.00837915684734,747,rfleschenberg,0,0,0,false,false
2280135,divio/django-shop,python,254,1382019267,1382074707,1382074707,924,924,commits_in_master,false,false,0,1,0,1,1,1,0,0,3,3,3,0,0,100,3816,6,5,0,474.58071278826,39.57023060796646,71.54088050314465,747,jacekmitrega,1,1.0,3,false,false
2060220,divio/django-shop,python,250,1378400150,1378451436,1378451436,854,854,github,false,false,1,2,0,1,1,1,0,0,2,2,0,0,1,86,3816,0,0,0,474.58071278826,39.57023060796646,71.54088050314465,744,jjimenezlopez,3,0.0,2,false,false
1981243,divio/django-shop,python,245,1377377233,,1378365924,16478,,unknown,false,false,2,5,0,2,2,2,0,0,3,3,1,0,1,75,3816,35,0,0,474.58071278826,39.57023060796646,71.54088050314465,744,jjimenezlopez,1,0.0,2,false,false
1981222,divio/django-shop,python,244,1377376731,,1377377158,7,,unknown,false,false,2,2,0,0,0,0,0,0,2,2,0,0,1,73,3816,0,0,0,474.58071278826,39.57023060796646,71.54088050314465,744,jjimenezlopez,0,0,2,false,false
1952040,divio/django-shop,python,243,1376920719,,1376980094,989,,unknown,false,false,2,1,0,2,2,2,1,0,0,1,2,0,0,66,3816,5,0,0,474.58071278826,39.57023060796646,71.54088050314465,744,iamit,1,1.0,1,false,false
1941420,divio/django-shop,python,242,1376657471,1376723723,1376723723,1104,1104,github,false,false,2,1,0,1,1,2,2,0,0,2,0,0,1,65,3816,0,0,0,474.58071278826,39.57023060796646,71.54088050314465,744,iamit,0,0,1,false,false
1884999,divio/django-shop,python,241,1375506113,,1375626750,2010,,unknown,false,false,2,1,0,0,0,1,1,0,1,2,1,0,1,68,3816,3,0,0,474.58071278826,39.57023060796646,71.54088050314465,744,koorgoo,0,0,0,false,false
1772203,divio/django-shop,python,240,1373873864,1374038367,1374038367,2741,2741,github,false,false,2,1,0,1,1,1,0,0,2,2,2,0,0,70,3812,16,29,1,475.0786988457503,39.611752360965376,71.61594963273872,743,yakky,0,0,4,false,false
1683773,divio/django-shop,python,237,1372831904,1372842751,1372842751,180,180,github,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,76,3812,1,0,2,475.0786988457503,39.611752360965376,71.61594963273872,743,sephii,4,0.5,3,false,false
1601503,divio/django-shop,python,234,1371325564,1371620094,1371620094,4908,4908,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,79,3808,18,0,2,475.577731092437,39.653361344537814,71.69117647058823,740,atheiste,1,1.0,0,false,false
1553561,divio/django-shop,python,233,1370432761,1370494522,1370494522,1029,1029,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,82,3808,2,0,9,475.577731092437,39.653361344537814,71.69117647058823,740,sephii,3,0.3333333333333333,3,false,false
1553547,divio/django-shop,python,232,1370432662,1370784817,1370784817,5869,5869,github,false,false,2,1,0,0,0,0,0,0,2,2,0,0,1,82,3808,0,0,0,475.577731092437,39.653361344537814,71.69117647058823,740,sephii,2,0.0,3,false,false
1548278,divio/django-shop,python,230,1370351467,1370494481,1370494481,2383,2383,github,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,82,3808,0,0,1,475.577731092437,39.653361344537814,71.69117647058823,740,aitzol,0,0,0,false,false
1542172,divio/django-shop,python,229,1369948108,1369979732,1369979732,527,527,github,false,false,1,3,0,0,0,0,0,0,1,1,0,1,0,92,3808,0,0,0,473.4768907563025,39.653361344537814,71.69117647058823,739,jrief,16,0.6875,2,false,false
1470869,divio/django-shop,python,228,1368449759,1369123925,1369123925,11236,11236,github,false,false,1,3,0,0,0,0,1,0,1,2,0,2,0,98,3800,0,0,0,474.4736842105263,39.73684210526316,71.8421052631579,738,jrief,15,0.6666666666666666,2,false,false
1424767,divio/django-shop,python,227,1367499323,1369123897,1369123897,27076,27076,github,false,false,1,3,0,0,0,0,0,0,2,2,2,0,0,97,3800,22,0,2,474.4736842105263,39.73684210526316,71.8421052631579,737,jrief,14,0.6428571428571429,1,false,false
1408841,divio/django-shop,python,226,1367246166,1367485871,1367485871,3995,3995,github,false,false,0,2,0,1,1,1,0,0,1,1,1,0,0,100,3800,4,0,0,474.4736842105263,39.73684210526316,71.8421052631579,737,jrief,13,0.6153846153846154,1,false,false
1353638,divio/django-shop,python,224,1365578389,1365587352,1365587352,149,149,github,false,false,0,1,0,1,1,1,0,0,23,23,20,3,0,100,3802,37,9,14,475.53918990005263,39.71593897948448,71.80431351920043,737,anderspetersson,1,0.0,1,false,false
1351519,divio/django-shop,python,223,1365529115,,1365573409,738,,unknown,false,false,0,1,0,6,6,5,0,0,10,10,10,0,0,100,3802,51,0,0,475.53918990005263,39.71593897948448,71.80431351920043,736,anderspetersson,0,0,1,false,false
1307915,divio/django-shop,python,221,1364504535,1365454033,1365454033,15884,15884,github,false,false,0,2,0,1,1,1,1,0,1,2,1,0,0,100,3756,64,0,0,481.36315228966987,40.20234291799787,72.68370607028754,733,jrief,12,0.5833333333333334,1,false,false
1297655,divio/django-shop,python,220,1364210364,1365587476,1365587476,23011,23011,github,false,false,0,2,0,3,3,3,0,0,2,2,2,0,0,100,3756,18,0,0,481.36315228966987,40.20234291799787,72.68370607028754,733,jacekmitrega,0,0,2,false,false
1258602,divio/django-shop,python,219,1363290588,1364198956,1364198956,15139,15139,github,false,false,0,1,0,1,1,2,0,0,1,1,1,0,0,100,3755,3,0,0,481.491344873502,40.21304926764314,72.70306258322238,731,piquadrat,3,1.0,39,false,false
1207289,divio/django-shop,python,217,1362078415,1370261983,1370261983,136452,136452,github,false,false,0,4,0,3,3,3,0,0,8,8,7,1,0,100,3612,30,14,26,489.7563676633444,41.52823920265781,73.36655592469546,729,jrief,11,0.5454545454545454,0,false,false
1195447,divio/django-shop,python,216,1361868048,1362995122,1362995122,18784,18784,github,false,false,0,7,0,8,8,4,1,0,8,9,7,2,0,100,3612,190,68,18,489.7563676633444,41.52823920265781,73.36655592469546,728,jrief,10,0.5,0,false,false
1192017,divio/django-shop,python,215,1361804982,1361872912,1361872912,1132,1132,github,false,false,0,4,0,0,0,0,0,0,1,1,1,0,0,100,3612,10,0,0,489.7563676633444,41.52823920265781,73.36655592469546,728,jrief,9,0.4444444444444444,0,false,false
1190918,divio/django-shop,python,214,1361786625,1365454560,1365454560,61192,61192,github,false,false,0,1,0,0,0,1,0,0,1,1,1,0,0,100,3612,10,0,0,489.7563676633444,41.52823920265781,73.36655592469546,728,bmihelac,26,0.9230769230769231,21,false,false
945388,divio/django-shop,python,212,1359663708,1361865957,1361865957,36704,36704,github,false,false,0,1,0,0,0,1,0,0,1,1,0,1,0,100,3612,0,0,1,489.7563676633444,41.52823920265781,73.36655592469546,725,slafs,0,0,4,false,false
783602,divio/django-shop,python,210,1357659809,1361865313,1361865313,70091,70091,github,false,false,0,1,0,3,3,3,0,0,8,8,0,8,0,100,3612,0,0,3,489.7563676633444,41.52823920265781,73.36655592469546,720,armonge,1,0.0,15,false,false
788095,divio/django-shop,python,209,1357317094,1365454329,1365454329,135680,135680,github,false,false,0,5,0,6,6,4,0,0,2,2,2,0,0,100,3612,17,0,26,489.7563676633444,41.52823920265781,73.36655592469546,720,atheiste,0,0,0,false,false
779003,divio/django-shop,python,208,1357248728,,1357565640,5281,,unknown,false,true,0,1,1,3,4,3,0,0,5,5,1,4,0,100,3612,12,0,0,489.7563676633444,41.52823920265781,73.36655592469546,720,armonge,0,0,15,false,false
762614,divio/django-shop,python,206,1356532435,,1356603375,1182,,unknown,false,false,0,2,0,0,0,1,0,0,2,2,2,0,0,100,3612,14,0,0,489.7563676633444,41.52823920265781,73.36655592469546,714,cirotix,1,1.0,3,false,false
757437,divio/django-shop,python,204,1355755078,1355814620,1355814620,992,992,github,false,false,0,4,0,0,0,0,0,0,6,6,5,1,0,100,3607,8,23,31,487.94011644025505,41.30856667590796,73.19101746603826,709,alesdotio,11,0.9090909090909091,12,false,true
668593,divio/django-shop,python,203,1354802501,1355402275,1355402275,9996,9996,github,false,false,0,1,0,1,1,1,0,0,2,2,0,0,1,100,3607,0,0,2,487.94011644025505,41.30856667590796,73.19101746603826,704,bsnux,1,0.0,5,false,false
659338,divio/django-shop,python,201,1354633748,1354792357,1354792357,2643,2643,github,false,false,0,1,0,0,0,0,0,0,3,3,2,1,0,100,3591,36,0,6,490.1141743247006,41.49262043998886,73.51712614870509,702,alesdotio,10,0.9,12,false,true
656534,divio/django-shop,python,200,1354621077,1354622303,1354622303,20,20,github,false,false,0,8,0,0,0,0,0,0,18,18,13,4,1,100,3580,39,28,21,491.62011173184356,41.62011173184357,73.74301675977654,702,alesdotio,9,0.8888888888888888,12,false,true
649677,divio/django-shop,python,199,1354574557,1354614528,1354614528,666,666,github,false,false,0,1,0,1,1,1,0,0,1,1,1,0,0,100,3581,4,0,6,491.48282602624965,41.608489248813186,73.72242390393745,702,ikresoft,0,0,0,false,false
656488,divio/django-shop,python,197,1353618196,1354620916,1354620916,16712,16712,github,false,false,0,2,0,1,1,1,0,0,5,5,5,0,0,100,3228,15,0,4,542.1313506815366,45.84882280049566,81.1648079306072,697,glarrain,0,0,1,false,false
465278,divio/django-shop,python,196,1352542403,,1354621667,34654,,unknown,false,false,0,7,0,0,0,1,1,0,4,5,3,0,1,100,3228,66,0,0,542.1313506815366,45.84882280049566,81.1648079306072,694,bsnux,0,0,5,false,false
456533,divio/django-shop,python,195,1352361231,1354623171,1354623171,37699,37699,github,false,false,0,3,0,1,1,1,0,0,2,2,1,1,0,100,3228,28,0,13,542.1313506815366,45.84882280049566,81.1648079306072,694,jrief,8,0.375,0,false,false
488357,divio/django-shop,python,194,1352104459,1354624585,1354624585,42002,42002,commits_in_master,false,true,0,2,0,1,1,1,0,0,2,2,1,1,0,100,3228,8,0,1,542.1313506815366,45.84882280049566,81.1648079306072,693,jrief,7,0.42857142857142855,0,false,false
668595,divio/django-shop,python,190,1350251940,1350277773,1350277773,430,430,github,false,false,0,1,0,1,1,1,0,0,1,1,1,0,0,100,3228,2,0,1,542.1313506815366,45.84882280049566,81.1648079306072,690,cirotix,0,0,3,false,false
668596,divio/django-shop,python,187,1349778409,1354094119,1354094119,71868,71868,github,false,false,0,15,0,3,3,2,5,1,13,19,15,4,0,100,3228,537,21,60,542.1313506815366,45.84882280049566,81.1648079306072,687,alesdotio,7,1.0,12,false,true
668597,divio/django-shop,python,185,1349696354,1354094122,1354094122,73236,73236,github,false,false,0,4,2,1,3,2,1,0,5,6,5,1,0,100,3228,193,19,20,542.1313506815366,45.84882280049566,81.1648079306072,687,alesdotio,6,1.0,12,false,true
668598,divio/django-shop,python,184,1349681243,1354094122,1354094122,73487,73487,github,false,false,0,7,0,2,2,2,3,1,8,12,8,4,0,100,3228,118,2,18,542.1313506815366,45.84882280049566,81.1648079306072,686,alesdotio,5,1.0,12,false,true
424195,divio/django-shop,python,181,1348056224,,1370429622,372889,,unknown,false,false,0,10,0,0,0,1,0,0,8,8,6,0,1,100,3228,60,0,0,542.1313506815366,45.84882280049566,81.1648079306072,680,sephii,0,0,1,false,false
408955,divio/django-shop,python,177,1347631771,1347795509,1347795509,2728,2728,github,false,false,0,3,0,0,0,0,1,0,3,4,3,1,0,100,2938,210,2,10,595.643294758339,50.37440435670524,89.17631041524847,679,chrisglass,8,0.625,71,false,true
408861,divio/django-shop,python,176,1347630652,,1347630809,2,,unknown,false,false,0,4,0,0,0,0,1,0,2,3,2,1,0,100,2938,236,0,0,595.643294758339,50.37440435670524,89.17631041524847,678,chrisglass,7,0.7142857142857143,71,false,true
408530,divio/django-shop,python,175,1347627079,1347628086,1347628086,16,16,github,false,false,0,7,0,3,3,2,0,0,7,7,7,0,0,100,2924,45,51,8,593.3652530779754,49.93160054719562,88.91928864569083,678,alesdotio,4,1.0,12,false,true
408237,divio/django-shop,python,174,1347624229,,1347629747,91,,unknown,false,false,0,2,0,2,2,2,0,0,5,5,5,0,0,100,2924,42,28,0,593.3652530779754,49.93160054719562,88.91928864569083,678,stephenmuss,2,1.0,5,false,false
398242,divio/django-shop,python,173,1347522108,1347541480,1347541480,322,322,github,false,false,0,2,0,1,1,1,0,0,27,27,1,0,13,100,2920,2,0,28,569.8630136986301,48.28767123287672,87.32876712328768,678,mikek,1,0.0,1,false,false
343602,divio/django-shop,python,171,1346302915,1347471590,1347471590,19477,19477,github,false,false,0,3,0,4,4,2,0,0,2,2,2,0,0,100,2899,6,4,0,556.7437047257675,47.25767506036564,82.44222145567437,672,twoolie,1,1.0,8,false,false
226864,divio/django-shop,python,170,1343846354,,1347522173,61263,,unknown,false,true,0,2,0,0,0,1,0,0,27,27,1,0,13,100,2899,2,0,0,556.7437047257675,47.25767506036564,82.44222145567437,661,mikek,0,0,1,false,false
346502,divio/django-shop,python,169,1343283926,1346415360,1346415360,52190,52190,github,false,false,0,7,0,13,13,3,0,0,3,3,3,0,0,100,2899,149,54,5,556.7437047257675,47.25767506036564,82.44222145567437,655,alesdotio,3,1.0,9,false,true
668590,divio/django-shop,python,168,1343222149,1343224721,1343224721,42,42,github,false,false,0,1,0,0,0,1,0,0,1,1,1,0,0,100,2899,0,4,1,556.7437047257675,47.25767506036564,82.44222145567437,654,alesdotio,2,1.0,9,false,true
668592,divio/django-shop,python,167,1343221514,1343221976,1343221977,7,7,github,false,false,0,2,0,0,0,0,0,0,26,26,0,0,13,100,2899,0,0,2,556.7437047257675,47.25767506036564,82.44222145567437,1308,alesdotio,1,1.0,18,false,true
668589,divio/django-shop,python,166,1343209669,1343210076,1343210078,6,6,github,false,false,0,2,0,1,1,1,0,0,3,3,3,0,0,100,2895,15,0,2,557.5129533678756,47.32297063903282,82.55613126079447,1308,alesdotio,0,0,18,false,true
157686,divio/django-shop,python,163,1339578281,1346408328,1346408328,113834,113834,github,false,false,0,1,0,1,1,1,0,0,13,13,0,13,0,100,2895,0,0,7,557.5129533678756,47.32297063903282,82.55613126079447,630,stephenmuss,1,1.0,2,false,false
157418,divio/django-shop,python,162,1339562785,1339565585,1339565585,46,46,github,false,false,0,1,0,1,1,1,0,0,3,3,3,0,0,100,2884,37,23,0,556.1719833564493,47.503467406380025,81.83079056865465,630,stephenmuss,0,0,2,false,false
150471,divio/django-shop,python,161,1339067248,1339067673,1339067673,7,7,github,false,false,0,1,0,1,1,1,0,0,16,16,3,12,1,100,2884,16,0,1,556.1719833564493,47.503467406380025,81.83079056865465,626,chris-morgan,0,0,1,false,false
136346,divio/django-shop,python,157,1337950494,1337950708,1337950708,3,3,github,false,false,0,1,0,1,1,2,2,0,0,2,0,0,1,100,2884,0,0,0,556.1719833564493,47.503467406380025,81.83079056865465,619,bmihelac,24,0.9583333333333334,15,false,false
130836,divio/django-shop,python,156,1337608786,1347455949,1347455949,164119,164119,github,false,false,0,1,0,2,2,2,0,0,1,1,1,0,0,100,2884,6,0,1,556.1719833564493,47.503467406380025,81.83079056865465,617,bmihelac,23,0.9565217391304348,14,false,false
124505,divio/django-shop,python,154,1337081017,1337081436,1337081436,6,6,github,false,false,0,1,0,1,1,2,0,0,1,1,1,0,0,100,2885,3,0,0,555.9792027729636,47.487001733102254,81.80242634315425,1224,bmihelac,22,0.9545454545454546,28,false,false
124463,divio/django-shop,python,153,1337078828,1337079962,1337079962,18,18,github,false,false,0,1,0,1,1,1,0,0,4,4,3,1,0,100,2880,8,9,9,553.125,46.875,81.25,1224,bmihelac,21,0.9523809523809523,28,false,false
124425,divio/django-shop,python,152,1337076837,1337080387,1337080387,59,59,github,false,false,0,3,0,1,1,1,0,0,5,5,4,1,0,100,2880,32,5,8,553.125,46.875,81.25,612,bmihelac,20,0.95,14,false,false
108327,divio/django-shop,python,151,1335824705,1335845254,1335845254,342,342,github,false,false,0,1,0,1,1,1,0,0,7,7,7,0,0,100,2867,29,15,1,552.4938960585979,47.087547959539584,79.17683990233694,600,bennylope,0,0,7,false,false
45357,divio/django-shop,python,146,1330336261,1335844939,1335844939,91871,91871,github,false,false,2,7,0,2,2,2,1,0,3,4,2,1,0,96,2867,75,0,28,552.4938960585979,47.087547959539584,79.17683990233694,548,jrief,6,0.3333333333333333,0,false,false
