pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2152939,drapergem/draper,ruby,574,1380109640,,1380190318,1344,,unknown,false,false,3,2,0,1,1,2,0,0,1,1,0,1,0,36,800,0,0,0,3581.25,405.0,513.75,2285,achempion,0,0,0,false,false
1928909,drapergem/draper,ruby,570,1376467839,1384382684,1384382684,131854,131854,commits_in_master,false,false,3,1,0,6,6,4,0,0,2,2,2,0,0,51,800,0,4,0,3581.25,405.0,513.75,2284,Linuus,0,0,1,false,false
1870824,drapergem/draper,ruby,569,1375274029,,1375277700,61,,unknown,false,false,3,1,0,1,1,2,0,0,1,1,1,0,0,45,800,7,0,0,3581.25,405.0,513.75,2282,sidonath,0,0,8,false,false
1824502,drapergem/draper,ruby,566,1374651376,1375032354,1375032354,6349,6349,github,false,false,3,1,0,2,2,2,0,0,1,1,1,0,0,46,800,1,0,0,3581.25,405.0,513.75,2281,jgraichen,0,0,6,false,false
1798786,drapergem/draper,ruby,565,1374261886,1374302518,1374302518,677,677,merged_in_comments,false,false,3,1,0,0,0,2,0,0,1,1,1,0,0,45,800,0,12,0,3581.25,405.0,513.75,2279,djhopper01,0,0,1,false,false
1769798,drapergem/draper,ruby,563,1373803671,1373893282,1373893282,1493,1493,github,false,false,3,1,0,0,0,2,0,0,2,2,2,0,0,46,791,12,27,14,3582.806573957016,399.4943109987358,509.48166877370414,2278,haines,72,1.0,5,false,true
1711967,drapergem/draper,ruby,561,1373199121,1373202672,1373202672,59,59,github,false,false,3,1,0,0,0,0,0,0,2,2,2,0,0,47,790,2,8,11,3582.278481012658,398.7341772151899,511.3924050632911,2278,haines,71,1.0,5,false,true
1587253,drapergem/draper,ruby,556,1371058227,1371062654,1371062654,73,73,github,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,50,790,0,0,2,3582.278481012658,398.7341772151899,511.3924050632911,2276,santry,0,0,1,false,false
1566419,drapergem/draper,ruby,553,1370626611,1370911906,1370911906,4754,4754,github,false,false,2,4,2,6,8,4,2,1,4,7,7,1,0,50,788,76,4,8,3591.3705583756346,399.74619289340103,512.6903553299492,2276,azul,0,0,12,false,false
1553737,drapergem/draper,ruby,552,1370434624,1370446705,1370446705,201,201,github,false,false,3,1,0,0,0,1,0,0,1,1,0,1,0,50,788,0,0,0,3591.3705583756346,399.74619289340103,512.6903553299492,2276,iHiD,0,0,26,false,false
