pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
975052,codahale/dropwizard,257,1360100022,1360166519,1360166519,1108,1108,1,1,0,1,90,8592,4,0,1,569.7160148975792,794,dimzava,0,0,0,false,false
949727,codahale/dropwizard,255,1359763307,1359867021,1359867023,1728,1728,0,1,4,1,100,8541,1,0,11,573.1179018850252,1588,JonMR,0,0,0,false,false
952758,codahale/dropwizard,253,1359471258,1359866068,1359866068,6580,6580,0,1,1,1,100,8541,17,0,13,573.1179018850252,793,carlo-rtr,0,0,0,false,false
839982,codahale/dropwizard,252,1358971041,1359868251,1359868251,14953,14953,0,6,9,25,100,8541,146,104,0,573.1179018850252,1586,dump247,0,0,0,false,false
839984,codahale/dropwizard,251,1358968757,1359866105,1359866106,14955,14955,0,1,1,1,100,8541,0,0,1,573.1179018850252,1586,robrasmussen,0,0,32,false,false
830542,codahale/dropwizard,250,1358813735,1359866167,1359866168,17540,17540,0,1,1,2,100,8541,17,2,3,573.1179018850252,793,skastel,0,0,16,false,false
839980,codahale/dropwizard,249,1358746176,1359866201,1359866202,18667,18667,0,1,1,1,100,8541,6,0,0,573.1179018850252,1586,ryankennedy,0,0,48,false,false
828751,codahale/dropwizard,247,1358481478,1359866442,1359866443,23082,23082,0,2,2,20,100,8541,140,0,22,573.1179018850252,1586,ajordens,2,1.0,28,false,false
839981,codahale/dropwizard,245,1358132185,1359866380,1359866380,28903,28903,0,1,1,1,100,8541,0,0,3,573.1179018850252,1586,michaelfairley,6,0.6666666666666666,72,false,false
839976,codahale/dropwizard,244,1356134723,,1356140259,92,,1,1,1,1,96,8534,2,0,0,573.002109210218,784,mikekirby,0,0,0,false,false
839977,codahale/dropwizard,242,1356008441,1356140317,1356140318,2197,2197,1,1,0,1,96,8534,1,0,3,573.002109210218,1562,ptomli,0,0,0,false,false
839978,codahale/dropwizard,241,1355920256,1356140241,1356140241,3666,3666,1,1,0,1,96,8529,3,0,6,573.3380232149137,1556,tmaurel,0,0,0,false,false
839979,codahale/dropwizard,240,1355873281,1356140360,1356140360,4451,4451,1,1,0,1,96,8529,0,0,4,573.3380232149137,1552,iliasbartolini,0,0,34,false,false
759134,codahale/dropwizard,239,1355792680,1356140434,1356140434,5795,5795,1,1,0,1,96,8529,0,0,2,573.3380232149137,1550,tedyoung,0,0,4,false,false
716032,codahale/dropwizard,236,1355398228,,1355408214,166,,1,1,1,3,96,8529,20,0,0,573.3380232149137,1540,primozs,0,0,0,false,false
716029,codahale/dropwizard,235,1355197234,1356140466,1356140466,15720,15720,1,1,0,1,96,8529,2,0,0,573.3380232149137,1520,christophercurrie,2,1.0,18,false,false
716030,codahale/dropwizard,234,1355184211,,1356140377,15936,,1,1,1,1,96,8529,0,0,0,573.3380232149137,760,zhongl,0,0,52,false,false
716031,codahale/dropwizard,233,1354920261,1356140509,1356140510,20337,20337,1,1,3,2,96,8529,30,6,1,573.3380232149137,1510,carllerche,0,0,526,false,false
596251,codahale/dropwizard,227,1354237027,,1354240417,56,,1,2,4,7,94,8528,173,0,0,573.405253283302,1482,eliast,0,0,80,false,false
587478,codahale/dropwizard,226,1354216132,,1354216298,2,,1,1,2,1,94,8528,0,6,0,573.405253283302,738,olvesh,1,0.0,1,false,false
578031,codahale/dropwizard,225,1354191457,,1354208137,278,,1,1,0,1,94,8529,0,8,0,573.3380232149137,1476,olvesh,0,0,2,false,false
716023,codahale/dropwizard,224,1354120729,1354123438,1354123438,45,45,1,2,2,2,93,8530,0,0,18,573.2708089097304,738,kvanvranken,0,0,1,false,false
716024,codahale/dropwizard,223,1354063279,1354064708,1354064708,23,23,1,1,0,1,93,8530,0,0,3,573.2708089097304,1468,collinvandyck,4,0.5,24,false,false
716025,codahale/dropwizard,222,1353823736,1353956434,1353956434,2211,2211,1,2,0,4,93,8511,43,66,0,570.6732463870286,733,dstainer,0,0,0,false,false
716026,codahale/dropwizard,221,1353789883,1353962872,1353962872,2883,2883,1,3,1,3,93,8511,16,0,57,570.6732463870286,733,Cemo,7,0.7142857142857143,3,false,false
716027,codahale/dropwizard,220,1353732979,,1353817355,1406,,1,5,1,29,93,8511,590,484,0,570.6732463870286,733,woodstock3368,0,0,0,false,false
