pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2774971,edx/configuration,python,614,1389296781,1389297142,1389297142,6,6,github,false,false,18,1,0,2,2,2,0,0,1,1,0,1,0,71,2201,0,0,50,0.0,0.0,0.0,119,jbau,60,0.31666666666666665,16,true,true
2770539,edx/configuration,python,613,1389249078,1389282128,1389282128,550,550,commits_in_master,false,false,18,1,0,1,1,1,0,0,1,1,0,0,1,71,2201,0,0,5,0.0,0.0,0.0,119,jbau,59,0.3220338983050847,16,true,true
2742348,edx/configuration,python,612,1389218706,1389291257,1389291257,1209,1209,commits_in_master,false,false,18,6,13,6,19,3,3,0,4,7,0,4,2,71,2201,0,0,528,0.0,0.0,0.0,119,jbau,58,0.3275862068965517,16,true,true
2767288,edx/configuration,python,611,1389201085,1389201395,1389201395,5,5,github,false,false,18,1,0,1,1,1,0,0,2,2,2,0,0,72,2201,4,0,8,0.0,0.0,0.0,119,jarv,140,0.32857142857142857,7,true,true
2761223,edx/configuration,python,608,1389121447,1389121701,1389121701,4,4,github,false,false,18,1,0,3,3,2,0,0,2,2,0,2,0,71,2201,0,0,37,0.0,0.0,0.0,119,jarv,139,0.3237410071942446,7,true,true
2755474,edx/configuration,python,605,1389041090,1389042251,1389042251,19,19,github,false,false,18,4,0,1,1,1,0,0,2,2,2,0,0,71,2201,8,0,192,0.0,0.0,0.0,119,jarv,138,0.3188405797101449,7,true,true
2737734,edx/configuration,python,603,1389033638,1389042393,1389042393,145,145,github,false,false,18,3,1,1,2,1,0,0,3,3,0,3,0,71,2201,0,0,268,0.0,0.0,0.0,119,feanil,70,0.2857142857142857,2,true,false
2722417,edx/configuration,python,592,1388427749,1388427831,1388427831,1,1,commits_in_master,false,false,18,4,0,0,0,0,0,0,2,2,1,1,0,70,2201,2,0,106,0.0,0.0,0.0,119,jarv,136,0.3235294117647059,7,true,true
2712322,edx/configuration,python,590,1388178563,1388412086,1388412086,3892,3892,commits_in_master,false,false,18,3,0,2,2,2,0,0,6,6,1,3,2,70,2201,3,0,141,0.0,0.0,0.0,119,jarv,135,0.32592592592592595,7,true,true
2710882,edx/configuration,python,587,1388157335,1388157533,1388157533,3,3,commits_in_master,false,false,18,1,0,1,1,1,0,0,2,2,0,0,2,70,2201,0,0,6,0.0,0.0,0.0,119,carsongee,24,0.25,0,true,true
