pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,requester,prev_pullreqs,requester_succ_rate
768224,elasticsearch,2514,1356699173,,1356703176,66,,15,1,4,1,48,199168,15,0,0,184.05065070694087,dadoonet,15,0.06666666666666667
767729,elasticsearch,2513,1356685798,,1356695782,166,,15,1,1,1,48,199168,0,0,0,184.05065070694087,dadoonet,14,0.07142857142857142
767724,elasticsearch,2512,1356685695,,1356685756,1,,15,93,1,207,48,199378,4076,1962,0,189.38899978934487,dadoonet,13,0.07692307692307693
747482,elasticsearch,2482,1355393351,,1356563980,19510,,14,1,1,3,47,198087,18,19,0,185.06514814197803,s1monw,5,0.0
763652,elasticsearch,2508,1356562720,,1356563850,18,,15,1,1,1,45,199041,2,0,0,187.84069613798164,mebigfatguy,0,0
763418,elasticsearch,2506,1356555912,,1356556917,16,,14,1,1,4,45,199029,5,20,0,187.60080189319146,s1monw,6,0.0
746385,elasticsearch,2479,1355352842,,1355946206,9889,,14,2,6,2,49,197900,30,0,0,185.24002021222842,philk,0,0
454235,elasticsearch,2312,1349795371,,1355715324,98605,,11,1,3,2,29,197385,46,0,0,178.3114218405654,NickPadilla,0,0
724103,elasticsearch,2469,1354921511,,1354922199,11,,13,1,1,1,45,198165,1,0,0,180.76855145964223,alambert,0,0
681712,elasticsearch,2464,1354751451,,1354801711,837,,13,1,2,2,42,197581,54,44,0,184.76979061751888,imotov,63,0.0
643140,elasticsearch,2452,1354149384,,1354547359,6632,,14,1,0,3,19,197863,2,70,0,184.59742346977453,imotov,62,0.0
565589,elasticsearch,2442,1353848966,,1354533987,11417,,14,1,0,2,14,198176,6,47,0,184.10907476182786,imotov,61,0.0
435816,elasticsearch,2287,1348565444,,1353326063,79283,,12,1,1,0,45,197701,0,0,0,182.24996332846067,dadoonet,9,0.1111111111111111
454233,elasticsearch,2307,1349502791,,1353325908,63658,,11,1,1,0,32,192262,0,0,0,178.56882795352175,dadoonet,10,0.1
480017,elasticsearch,2409,1352903284,,1352910995,128,,16,1,1,0,15,196999,0,0,0,181.58467809481266,imotov,58,0.0
472946,elasticsearch,2405,1352769566,,1352902823,2220,,16,1,2,0,15,196906,0,0,0,181.01530679613623,imotov,56,0.0
476788,elasticsearch,2406,1352833078,,1352835469,39,,16,1,1,0,15,197002,0,0,0,181.34841270647,imotov,57,0.0
460836,elasticsearch,2390,1352418812,,1352722014,5053,,16,1,0,1,14,197801,2,0,0,179.33680820622746,gatoatigrado,0,0
461384,elasticsearch,2393,1352434366,,1352721908,4792,,16,1,2,0,14,197801,0,0,0,179.33680820622746,imotov,55,0.0
454741,elasticsearch,2385,1352295966,,1352491574,3260,,15,1,1,0,13,197801,0,0,0,179.33680820622746,nkvoll,4,0.0
456230,elasticsearch,2369,1351587510,,1351801618,3568,,13,1,1,0,18,197659,0,0,0,179.18232916285118,chrismale,6,0.0
456229,elasticsearch,2372,1351608046,,1351801580,3225,,14,1,1,0,19,197659,0,0,0,179.18232916285118,atdixon,0,0
456232,elasticsearch,2365,1351522071,,1351799477,4623,,13,1,1,0,17,197659,0,0,0,179.18232916285118,imotov,52,0.0
454312,elasticsearch,2364,1351470715,,1351799288,5476,,13,1,1,0,17,197659,0,0,0,179.18232916285118,imotov,51,0.0
456231,elasticsearch,2366,1351546099,,1351799128,4217,,13,1,1,0,18,197659,0,0,0,179.18232916285118,imotov,53,0.0
456234,elasticsearch,2351,1350947181,,1351022151,1249,,12,1,1,0,35,197650,0,0,0,179.0032886415381,scottmac,0,0
456233,elasticsearch,2353,1350986836,,1351019503,544,,13,2,1,0,36,197650,0,0,0,179.0032886415381,imotov,50,0.0
456235,elasticsearch,2350,1350925034,,1350944958,332,,12,1,1,0,32,197606,0,0,0,178.65854275679888,imotov,49,0.0
456236,elasticsearch,2333,1350455130,,1350644039,3148,,11,1,1,0,26,197417,0,0,0,178.2825187293901,s1monw,4,0.0
505594,elasticsearch,2324,1350070459,,1350074907,74,,11,0,0,0,28,197369,0,0,0,178.32587691076108,gorbachev,1,0.0
505596,elasticsearch,2323,1350070063,,1350070442,6,,11,0,0,0,28,197369,0,0,0,178.32587691076108,gorbachev,0,0
454231,elasticsearch,2304,1349356943,,1349366899,165,,11,1,1,0,32,197346,0,0,0,178.34666018059653,lindstromhenrik,2,0.0
71689,elasticsearch,1817,1332951134,,1348996023,267414,,11,2,2,14,24,190404,1569,0,0,173.82512972416546,nlalevee,8,0.125
432071,elasticsearch,2282,1348431061,,1348480705,827,,11,1,2,0,48,197678,0,0,0,181.93729195965156,imotov,48,0.0
