pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2672970,engineyard/ey-cloud-recipes,ruby,142,1387473819,1387475710,1387475710,31,31,commits_in_master,false,false,5,2,0,0,0,0,0,0,2,2,2,0,0,43,2954,22,0,0,0.0,0.0,0.0,1127,willluongo,1,1.0,18,false,true
2380803,engineyard/ey-cloud-recipes,ruby,137,1383548329,1387469315,1387469315,65349,65349,commits_in_master,false,false,5,2,0,0,0,0,0,0,2,2,1,1,0,43,2954,4,0,0,0.0,0.0,0.0,1127,yonbergman,0,0,3,false,false
2260451,engineyard/ey-cloud-recipes,ruby,134,1381762066,1381762074,1381762075,0,0,github,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,43,2953,2,0,0,0.0,0.0,0.0,1125,mage2k,2,1.0,0,true,true
2260066,engineyard/ey-cloud-recipes,ruby,133,1381758260,1387469089,1387469089,95120,95120,commits_in_master,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,42,2953,2,0,0,0.0,0.0,0.0,1125,czimmerman,0,0,0,false,true
2223565,engineyard/ey-cloud-recipes,ruby,132,1381182294,1381761842,1381761843,9659,9659,github,false,false,4,1,0,2,2,2,0,0,2,2,2,0,0,31,2953,4,0,0,0.0,0.0,0.0,1124,mage2k,1,1.0,0,true,true
2149399,engineyard/ey-cloud-recipes,ruby,131,1380043806,1387469027,1387469027,123693,123693,commits_in_master,false,false,6,1,0,0,0,0,0,0,1,1,0,1,0,34,2953,0,0,0,0.0,0.0,0.0,1124,jamez01,0,0,3,false,true
1985159,engineyard/ey-cloud-recipes,ruby,128,1377500588,1378993888,1378993889,24888,24888,github,false,false,9,1,0,0,0,0,0,0,2,2,2,0,0,33,2950,17,0,2,0.0,0.0,0.0,1124,crigor,2,1.0,21,true,true
1958967,engineyard/ey-cloud-recipes,ruby,127,1377017478,1377017496,1377017496,0,0,github,false,false,10,1,0,0,0,0,0,0,1,1,1,0,0,35,2948,28,0,1,0.0,0.0,0.0,1124,tpoland,1,1.0,2,false,true
1826006,engineyard/ey-cloud-recipes,ruby,124,1374670607,1375970484,1375970484,21664,21664,github,false,false,11,1,0,0,0,0,0,0,1,1,0,1,0,35,2813,0,0,1,0.0,0.0,0.0,1124,cavi21,0,0,7,false,false
1682630,engineyard/ey-cloud-recipes,ruby,122,1372805186,1373550782,1373550782,12426,12426,github,false,false,10,1,0,0,0,0,0,0,1,1,1,0,0,38,2724,4,0,0,0.0,0.0,0.0,1123,jaustinhughey,2,0.5,1,false,true
1682353,engineyard/ey-cloud-recipes,ruby,121,1372799136,,1372799574,7,,unknown,false,false,10,1,0,0,0,1,0,0,1,1,1,0,0,38,2724,17,0,0,0.0,0.0,0.0,1123,jaustinhughey,1,1.0,1,false,true
1678064,engineyard/ey-cloud-recipes,ruby,119,1372741942,,1373550990,13484,,unknown,false,false,10,5,1,3,4,3,4,3,2,9,3,0,3,36,2724,29,0,0,0.0,0.0,0.0,1123,engel0088,0,0,0,false,false
1657810,engineyard/ey-cloud-recipes,ruby,118,1372336682,1375970322,1375970322,60560,60560,github,false,false,10,2,0,1,1,1,15,2,4,21,13,7,1,37,2724,725,0,14,0.0,0.0,0.0,1123,jimneath,18,0.9444444444444444,38,true,true
1656330,engineyard/ey-cloud-recipes,ruby,117,1372316467,1373551406,1373551406,20582,20582,github,false,false,10,1,0,0,0,0,0,0,1,1,1,0,0,37,2724,2,0,2,0.0,0.0,0.0,1123,sfsekaran,0,0,7,false,false
