pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
830031,errbit,370,1358801128,1358801387,1358801387,4,4,8,1,1,2,59,2720,2,8,0,1100.0,1274,gdaniels,1,1.0,4
840414,errbit,364,1358273541,1358273559,1358273559,0,0,8,20,1,32,58,2719,260,0,0,1100.404560500184,1274,allspiritseve,0,0,15
840409,errbit,359,1357997665,1358231585,1358231585,3898,3898,8,1,2,1,58,2719,0,0,13,1100.404560500184,1274,danielbayerlein,0,0,7
834890,errbit,358,1357913374,,1358927459,16901,,8,0,1,0,58,2719,0,0,0,1100.404560500184,1274,zetaben,0,0,10
795381,errbit,356,1357895021,1357895089,1357895089,1,1,7,1,1,1,58,2719,0,0,20,1100.404560500184,1274,universal,0,0,0
791613,errbit,355,1357820262,1357820746,1357820746,8,8,7,1,1,2,58,2719,2,7,0,1098.1978668628171,1274,duritong,0,0,49
784670,errbit,353,1357676023,1357676357,1357676357,5,5,7,1,1,3,58,2716,9,0,37,1099.4108983799706,1274,cheald,0,0,57
783432,errbit,351,1357657647,1357665099,1357665099,124,124,7,2,1,2,58,2714,14,48,0,1085.1142225497422,1274,manuelvanrijn,0,0,4
828499,errbit,349,1357506747,1358769999,1358769999,21054,21054,8,1,1,1,57,2714,3,0,1,1085.1142225497422,1274,tvdeyen,2,0.0,18
840401,errbit,348,1357505781,1357506573,1357506573,13,13,8,3,2,3,57,2714,18,0,0,1085.1142225497422,1274,tvdeyen,1,0.0,18
840402,errbit,342,1357215872,1357334038,1357334038,1969,1969,7,1,1,2,60,2714,2,0,13,1085.1142225497422,1273,vicentemundim,0,0,18
764979,errbit,341,1356611432,1356611490,1356611490,0,0,8,1,0,1,60,2714,0,0,25,1085.1142225497422,1273,dmedvinsky,0,0,6
764581,errbit,340,1356598848,1356599496,1356599496,10,10,8,1,2,1,60,2714,0,28,1,1084.7457627118645,1272,jozefvaclavik,2,1.0,0
777312,errbit,339,1356504861,1356507446,1356507446,43,43,8,5,6,7,60,2709,20,6,62,1086.747877445552,1272,jozefvaclavik,1,1.0,0
751679,errbit,338,1355500844,1355601218,1355601218,1672,1672,9,1,1,1,57,2709,78,0,1,1083.0564784053156,1255,sdepold,0,0,53
840398,errbit,337,1354787214,1354788533,1354788533,21,21,9,1,3,2,60,2709,10,0,17,1083.0564784053156,1236,dmathieu,1,1.0,74
656839,errbit,336,1354624150,1354789340,1354789340,2753,2753,9,1,1,1,60,2709,2,0,31,1083.0564784053156,1233,jlecour,1,1.0,29
462615,errbit,330,1352465027,1355688569,1355688569,53725,53725,10,5,4,17,65,2670,51,56,135,1089.1385767790262,2444,cr0t,1,0.0,38
457230,errbit,327,1352386961,1352402526,1352402526,259,259,10,2,9,4,65,2668,36,0,64,1089.9550224887555,1222,nfedyashev,7,0.5714285714285714,27
458451,errbit,326,1352386951,1353351805,1353351805,16080,16080,10,1,4,3,65,2668,2,0,64,1089.9550224887555,1222,nfedyashev,6,0.6666666666666666,27
457548,errbit,324,1352375981,1352376022,1352376022,0,0,9,1,1,2,65,2668,1,0,62,1089.9550224887555,1222,nfedyashev,4,0.75,27
567617,errbit,322,1352134133,1352134178,1352134178,0,0,9,1,1,14,66,2629,28,40,11,1089.7679726131607,1222,nfedyashev,2,1.0,27
567618,errbit,321,1352103608,1352133835,1352133835,503,503,9,3,5,6,66,2629,4,4,120,1089.7679726131607,1222,nfedyashev,1,1.0,27
567619,errbit,320,1352096405,1352096525,1352096525,2,2,9,1,1,2,65,2629,1,0,58,1089.7679726131607,1222,nfedyashev,0,0,27
567620,errbit,319,1352095158,1352140000,1352140000,747,747,9,2,2,4,65,2629,27,0,30,1089.7679726131607,1222,gotva,0,0,1
567621,errbit,313,1351706819,1351707032,1351707032,3,3,9,1,2,1,67,2629,0,0,18,1089.7679726131607,1222,Iristyle,0,0,12
463511,errbit,312,1351612135,1352480431,1352480431,14471,14471,9,8,8,22,67,2670,126,68,171,1089.1385767790262,1222,jozefvaclavik,0,0,0
567622,errbit,311,1351600514,1351600914,1351600914,6,6,9,1,1,3,67,2629,0,0,3,1089.7679726131607,1222,bjpe,0,0,0
567623,errbit,310,1351537408,1351537539,1351537539,2,2,8,2,1,2,68,2623,0,0,2,1092.2607701105605,1222,lest,18,0.9444444444444444,54
567624,errbit,309,1351536277,1351536470,1351536470,3,3,8,4,1,6,68,2620,4,0,35,1093.5114503816794,1222,lest,17,0.9411764705882353,54
567625,errbit,308,1351527135,1351527329,1351527329,3,3,8,2,1,5,67,2613,33,4,48,1095.292766934558,1222,lest,16,0.9375,54
567626,errbit,307,1351519479,1351519548,1351519548,1,1,8,1,1,2,68,2613,6,0,11,1095.292766934558,1222,lest,15,0.9333333333333333,54
567627,errbit,305,1351452513,1351452584,1351452584,1,1,8,1,1,1,68,2613,0,0,4,1095.292766934558,1222,lest,14,0.9285714285714286,54
567628,errbit,304,1351446828,1351447007,1351447007,2,2,8,1,1,3,68,2614,10,10,2,1091.8133129303749,1222,lest,13,0.9230769230769231,54
567629,errbit,303,1351444201,1351444286,1351444286,1,1,8,1,1,1,68,2614,0,0,0,1091.8133129303749,1222,lest,12,0.9166666666666666,54
567630,errbit,302,1351443517,1351443608,1351443608,1,1,8,1,1,1,68,2614,3,0,5,1091.8133129303749,1222,lest,11,0.9090909090909091,54
567631,errbit,301,1351438650,1351442985,1351442985,72,72,8,1,1,2,68,2614,2,11,10,1089.5179801071156,1222,lest,10,0.9,54
567632,errbit,300,1351417355,1351430385,1351430385,217,217,8,2,1,8,68,2614,40,38,31,1086.0749808722264,1222,lest,9,0.8888888888888888,54
567633,errbit,299,1351415954,1351416021,1351416021,1,1,8,3,4,3,68,2615,10,0,12,1085.6596558317399,1222,lest,8,0.875,54
567634,errbit,298,1351414731,1351414940,1351414940,3,3,8,1,1,1,68,2615,0,0,34,1085.6596558317399,1222,lest,7,0.8571428571428571,54
568059,errbit,296,1351193958,1351254048,1351254048,1001,1001,8,0,0,0,69,2615,0,0,0,1085.6596558317399,1222,theDoug,4,1.0,10
568060,errbit,295,1351180888,1351180996,1351180996,1,1,7,0,0,0,70,2606,0,0,0,1089.4090560245586,1222,theDoug,3,1.0,10
568061,errbit,294,1351176138,1351181661,1351181661,92,92,7,0,0,0,70,2606,0,0,0,1089.4090560245586,1222,theDoug,2,1.0,10
567638,errbit,293,1351173035,1351173274,1351173274,3,3,6,3,1,138,71,2606,0,0,42,1089.4090560245586,1222,theDoug,1,1.0,10
567639,errbit,290,1351133793,1351146506,1351146506,211,211,6,3,2,5,71,2601,45,0,11,1091.503267973856,1222,theDoug,0,0,10
567640,errbit,288,1351011726,1351011815,1351011815,1,1,6,1,2,1,72,2601,0,0,15,1091.503267973856,1222,luxflux,1,1.0,6
567641,errbit,286,1350916236,1350917026,1350917026,13,13,6,1,1,1,73,2601,0,0,14,1091.503267973856,1222,luxflux,0,0,6
567642,errbit,284,1350843693,1351527364,1351527364,11334,11334,6,1,1,4,72,2601,31,4,0,1091.503267973856,1222,martinciu,15,0.9333333333333333,21
567643,errbit,282,1350553575,1350713362,1350713362,2663,2663,6,2,3,13,75,2452,0,0,27,1128.8743882544861,1219,espen,1,1.0,14
567644,errbit,281,1350546203,1350546422,1350546422,3,3,6,1,1,1,75,2452,0,0,13,1128.8743882544861,1219,espen,0,0,14
567645,errbit,280,1350504010,1350713431,1350713431,3490,3490,6,2,1,2,75,2452,0,0,7,1128.8743882544861,1217,cjc343,4,0.75,2
567646,errbit,279,1350289818,1350292023,1350292023,36,36,6,1,1,1,75,2412,4,0,4,1131.8407960199004,1217,erikgrinaker,0,0,0
567647,errbit,278,1350085256,1350504014,1350504014,6979,6979,7,2,0,2,74,2411,0,0,0,1132.3102447117378,1214,cjc343,3,1.0,2
567648,errbit,277,1350079686,1350109815,1350109815,502,502,7,1,1,1,74,2411,3,0,0,1132.3102447117378,1214,cjc343,2,1.0,2
568062,errbit,272,1349622668,1349622936,1349622936,4,4,7,0,0,0,74,2411,0,0,0,1132.3102447117378,1202,mkorenkov,0,0,11
567650,errbit,271,1349519235,1350713836,1350713836,19910,19910,6,15,1,55,75,2411,424,110,45,1132.3102447117378,1198,martinciu,14,0.9285714285714286,21
567651,errbit,270,1349458804,1350715243,1350715243,20940,20940,6,1,1,8,74,2411,31,22,50,1132.3102447117378,1197,shukydvir,6,0.6666666666666666,5
567652,errbit,267,1349413882,1349438745,1349438745,414,414,6,2,24,20,74,2379,648,23,108,1142.0765027322404,1193,shukydvir,5,0.6,5
567653,errbit,266,1349286707,1350715646,1350715646,23815,23815,6,1,3,2,73,2363,8,0,11,1149.8095641134153,1190,shukydvir,4,0.5,5
441960,errbit,265,1348753513,1350715329,1350715329,32696,32696,6,2,3,3,74,2363,6,9,9,1150.2327549724926,1178,boblail,13,0.6153846153846154,9
439657,errbit,264,1348677838,1350715591,1350715591,33962,33962,6,4,1,28,73,2363,94,100,137,1150.2327549724926,1176,shukydvir,3,0.3333333333333333,5
439569,errbit,263,1348675523,1350399375,1350399375,28730,28730,6,10,9,74,73,2363,806,270,301,1150.2327549724926,1176,shukydvir,2,0.0,5
438819,errbit,262,1348658477,1348659309,1348659309,13,13,6,3,1,11,74,2335,39,54,58,1151.1777301927195,1175,lest,6,0.8333333333333334,51
437797,errbit,261,1348617924,1348654035,1348654035,601,601,6,3,1,3,74,2335,2,24,16,1143.89721627409,1174,cjc343,1,1.0,2
432726,errbit,258,1348468344,1348468457,1348468457,1,1,6,1,1,1,73,2335,0,0,0,1143.89721627409,1171,lest,5,0.8,51
432645,errbit,257,1348466006,1348466499,1348466499,8,8,6,1,2,1,73,2335,0,0,8,1143.89721627409,1171,lest,4,0.75,51
431380,errbit,256,1348395998,1348766435,1348766435,6173,6173,6,1,2,21,73,2335,40,131,19,1143.89721627409,1170,martinciu,13,0.9230769230769231,21
429039,errbit,255,1348248687,1348677210,1348677210,7142,7142,6,6,2,28,72,2335,94,100,121,1143.89721627409,1169,shukydvir,1,0.0,5
567654,errbit,250,1347960053,1347971740,1347971740,194,194,5,1,1,1,79,2156,12,0,0,1176.252319109462,1155,abersager,0,0,2
568063,errbit,249,1347954574,1347960129,1347960129,92,92,5,0,0,0,79,2156,0,0,0,1176.252319109462,1155,dmathieu,0,0,74
419024,errbit,248,1347864117,1347886231,1347886231,368,368,5,1,0,1,79,2156,0,0,5,1176.252319109462,1155,d11wtq,0,0,22
404301,errbit,247,1347568934,1347727423,1347727423,2641,2641,5,1,1,1,78,2156,0,0,1,1176.252319109462,1148,cjc343,0,0,2
367851,errbit,244,1347365048,1348004512,1348004512,10657,10657,5,4,1,30,75,2156,115,49,58,1176.252319109462,1139,martinciu,12,0.9166666666666666,20
367123,errbit,243,1347341839,1347363030,1347363030,353,353,5,2,2,24,75,2152,48,49,53,1175.185873605948,1137,martinciu,11,0.9090909090909091,20
366428,errbit,242,1347307601,1348019323,1348019323,11862,11862,5,12,5,7763,73,2152,46656,1601,121,1175.185873605948,1137,shukydvir,0,0,5
362658,errbit,241,1347127572,1347216995,1347216995,1490,1490,5,1,1,1,73,2151,1,0,3,1175.7322175732218,1135,treybean,0,0,0
350980,errbit,239,1346685278,1347207468,1347207468,8703,8703,5,1,2,1,64,2151,0,0,0,1175.7322175732218,1125,deanperry,2,0.5,12
349598,errbit,238,1346619499,1348019551,1348019551,23334,23334,5,1,1,1,62,2150,24,0,0,1176.2790697674418,1124,cr0t,0,0,19
349463,errbit,237,1346611723,1346684566,1346684566,1214,1214,5,1,2,1,61,2150,4,0,0,1176.2790697674418,1124,boblail,10,0.7,8
343198,errbit,236,1346281516,1346301196,1346301196,328,328,5,1,1,1,51,2150,0,12,5,1173.0232558139535,1119,boblail,9,0.6666666666666666,8
341006,errbit,234,1346206694,1348020590,1348020590,30231,30231,4,2,3,8,50,2149,52,21,0,1173.5691019078643,1110,boblail,8,0.75,8
340220,errbit,233,1346176153,1348020258,1348020258,30735,30735,4,9,2,29,50,2135,266,159,92,1170.9601873536299,1110,boblail,7,0.7142857142857143,8
338682,errbit,232,1346147594,1346188478,1346188478,681,681,4,2,4,7,49,2135,16,42,27,1170.9601873536299,1110,BlackFoks,0,0,3
260300,errbit,230,1345664790,1345664818,1345664818,0,0,4,1,0,1,46,2135,0,0,1,1170.9601873536299,1107,martinciu,10,0.9,19
259839,errbit,229,1345650742,1345982223,1345982224,5524,5524,4,1,6,2,44,2135,1,0,34,1170.9601873536299,1107,jmonteiro,1,1.0,91
