pull_req_id, project_name, github_id, created_at,merged_at, lifetime_minutes, team_size_at_merge, num_commits, num_commit_comments, num_issue_comments, num_comments, files_changed, total_commits_last_month, main_team_commits_last_month, sloc, churn, commits_on_files_touched, test_lines_per_1000_lines, test_cases_per_1000_lines, assertions_per_1000_lines
478927, eventmachine, 381, 1352878945, 1353299169, 7003, 1, 4, 0, 2, 2, 4, 10, 2, 8509, 23, 3, 0.0, 0.0, 0.0
440343, eventmachine, 371, 1348696684, 1348697085, 6, 2, 1, 0, 0, 0, 2, 11, 2, 8509, 4, 2, 0.0, 0.0, 0.0
253902, eventmachine, 355, 1345405231, 1345405964, 12, 2, 0, 0, 3, 3, 0, 3, 0, 8509, 0, 0, 0.0, 0.0, 0.0
574606, eventmachine, 348, 1343752045, 1343753412, 22, 2, 0, 0, 0, 0, 0, 13, 1, 8509, 0, 0, 0.0, 0.0, 0.0
180801, eventmachine, 341, 1340921469, 1340922554, 18, 2, 3, 0, 2, 2, 3, 11, 4, 8503, 16, 4, 0.0, 0.0, 0.0
169621, eventmachine, 337, 1340312527, 1340666119, 5893, 2, 1, 0, 2, 2, 1, 8, 2, 8498, 11, 1, 0.0, 0.0, 0.0
125441, eventmachine, 332, 1337135035, 1337813279, 11304, 2, 1, 0, 0, 0, 5, 56, 4, 8493, 22, 5, 0.0, 0.0, 0.0
125417, eventmachine, 331, 1337133119, 1337138026, 81, 2, 1, 0, 1, 1, 1, 24, 2, 8493, 16, 1, 0.0, 0.0, 0.0
121846, eventmachine, 330, 1336835686, 1336836947, 21, 2, 1, 0, 1, 1, 1, 22, 1, 8493, 3, 4, 0.0, 0.0, 0.0
95946, eventmachine, 316, 1334845006, 1335034731, 3162, 2, 3, 0, 1, 1, 3, 23, 0, 8484, 20, 3, 0.0, 0.0, 0.0
574607, eventmachine, 304, 1331061080, 1331069178, 134, 2, 1, 0, 0, 0, 1, 53, 4, 8484, 2, 1, 0.0, 0.0, 0.0
471597, eventmachine, 289, 1326644393, 1326673564, 486, 1, 1, 0, 4, 4, 2, 4, 0, 8381, 23, 2, 0.0, 0.0, 0.0
574608, eventmachine, 280, 1321794108, 1321794387, 4, 4, 1, 0, 0, 0, 2, 2, 1, 8375, 18, 2, 0.0, 0.0, 0.0
574622, eventmachine, 229, 1311930574, 1317828866, 98304, 5, 2, 0, 0, 0, 2, 22, 21, 8232, 24, 0, 0.0, 0.0, 0.0
574610, eventmachine, 262, 1316227368, 1316228097, 12, 6, 1, 0, 0, 0, 1, 31, 18, 8291, 6, 1, 0.0, 0.0, 0.0
574663, eventmachine, 256, 1315781356, 1315781590, 3, 5, 0, 0, 0, 0, 0, 26, 13, 8291, 0, 0, 0.0, 0.0, 0.0
574667, eventmachine, 232, 1312214565, 1315604087, 56492, 5, 0, 0, 0, 0, 0, 24, 11, 8235, 0, 0, 0.0, 0.0, 0.0
574665, eventmachine, 246, 1314865827, 1314865879, 0, 4, 0, 0, 0, 0, 0, 25, 9, 8277, 0, 0, 0.0, 0.0, 0.0
574615, eventmachine, 242, 1314242481, 1314306939, 1074, 4, 4, 0, 6, 6, 6, 27, 12, 8277, 28, 9, 0.0, 0.0, 0.0
574616, eventmachine, 240, 1314224329, 1314229048, 78, 4, 3, 0, 1, 1, 5, 20, 11, 8237, 101, 10, 0.0, 0.0, 0.0
574617, eventmachine, 239, 1313803665, 1313805511, 30, 4, 1, 0, 3, 3, 3, 18, 10, 8237, 65, 3, 0.0, 0.0, 0.0
574619, eventmachine, 236, 1312788008, 1313098630, 5177, 5, 1, 0, 3, 3, 15, 23, 11, 8235, 133, 18, 0.0, 0.0, 0.0
574618, eventmachine, 237, 1312788038, 1312788496, 7, 5, 1, 0, 0, 0, 13, 21, 9, 8235, 95, 19, 0.0, 0.0, 0.0
