pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2755550,facebook/tornado,python,972,1389041846,1389047007,1389047007,86,86,commits_in_master,false,false,1,2,0,1,1,2,0,0,1,1,1,0,0,99,6747,91,0,4,907.2180228249592,61.360604713205866,116.05157847932414,7052,gmr,3,0.3333333333333333,69,false,false
2755518,facebook/tornado,python,971,1389041504,1389046099,1389046099,76,76,github,false,false,1,1,0,0,0,1,0,0,2,2,2,0,0,99,6747,25,48,1,907.2180228249592,61.360604713205866,116.05157847932414,7052,gmr,2,0.0,69,false,false
2722990,facebook/tornado,python,969,1388435755,1388438339,1388438339,43,43,commits_in_master,false,false,0,1,0,1,1,1,0,0,1,1,0,1,0,100,6701,0,0,1,913.1472914490375,61.78182360841666,116.8482316072228,7052,ronnix,0,0,38,false,false
2697154,facebook/tornado,python,966,1387929924,1389062958,1389062958,18883,18883,commit_sha_in_comments,false,false,0,4,0,7,7,2,0,0,2,2,2,0,0,100,6701,368,33,0,909.5657364572452,61.48336069243396,116.54976869124012,7051,soulrebel,1,0.0,0,false,false
2696711,facebook/tornado,python,965,1387915582,1388274262,1388274262,5978,5978,commits_in_master,false,false,0,1,0,0,0,0,0,0,2,2,2,0,0,100,6701,6,18,2,909.5657364572452,61.48336069243396,116.54976869124012,7051,ajdavis,7,0.42857142857142855,101,false,false
2688330,facebook/tornado,python,964,1387764503,1387828909,1387828909,1073,1073,commits_in_master,false,false,0,1,0,0,0,0,1,0,2,3,3,0,0,100,6703,10,36,1,904.3711770848873,61.16664180217813,116.06743249291362,7050,ajdavis,6,0.5,101,false,false
2685478,facebook/tornado,python,963,1387690354,1387833948,1387833948,2393,2393,commits_in_master,false,false,0,7,0,9,9,2,0,0,3,3,3,0,0,100,6703,25,47,18,904.3711770848873,61.16664180217813,116.06743249291362,7049,minrk,5,0.8,101,false,false
2685404,facebook/tornado,python,962,1387687554,1387828279,1387828279,2345,2345,commits_in_master,false,false,0,2,0,3,3,2,0,0,1,1,1,0,0,100,6703,8,0,0,904.3711770848873,61.16664180217813,116.06743249291362,7049,engored,0,0,0,false,false
2672842,facebook/tornado,python,959,1387472224,,1387748299,4601,,unknown,false,true,0,3,3,0,3,2,1,0,1,2,2,0,0,100,6547,76,0,0,882.2361386894761,60.027493508477164,112.87612647013898,7049,mooosu,1,0.0,3,false,false
2672553,facebook/tornado,python,958,1387469386,,1387487024,293,,unknown,false,true,0,3,0,2,2,2,1,0,1,2,2,0,0,100,6703,63,0,0,904.3711770848873,61.16664180217813,116.06743249291362,7049,mooosu,0,0,3,false,false
2651050,facebook/tornado,python,955,1387234801,,1387762608,8796,,unknown,false,false,0,1,0,6,6,2,1,0,2,3,3,0,0,100,6703,11,35,0,904.3711770848873,61.16664180217813,116.06743249291362,7043,ajdavis,5,0.6,101,false,false
2638421,facebook/tornado,python,954,1387025830,,1387749678,12064,,unknown,false,false,0,2,0,1,1,1,0,0,1,1,1,0,0,100,6703,33,0,0,904.3711770848873,61.16664180217813,116.06743249291362,7043,soulrebel,0,0,0,false,false
2555618,facebook/tornado,python,949,1385968189,1385985350,1385985350,286,286,github,false,false,0,1,0,0,0,0,0,0,1,1,1,0,0,100,6703,2,0,5,904.3711770848873,61.16664180217813,116.06743249291362,7040,Lardjo,0,0,3,false,false
2517371,facebook/tornado,python,945,1385400716,1387832291,1387832291,40526,40526,commits_in_master,false,false,0,2,0,4,4,3,0,0,2,2,2,0,0,100,6779,71,53,5,892.7570438117717,60.333382504794216,114.61867532084379,7038,chrismcguire,0,0,2,false,false
2516224,facebook/tornado,python,944,1385390889,1385928885,1385928885,8966,8966,commits_in_master,false,false,0,1,0,0,0,0,0,0,1,1,1,0,0,100,6779,183,0,0,892.7570438117717,60.333382504794216,114.61867532084379,7038,anton-ryzhov,1,0.0,3,false,false
2483549,facebook/tornado,python,941,1384916064,,1385864349,15804,,unknown,false,false,0,4,0,1,1,1,0,0,2,2,2,0,0,100,6779,18,14,0,892.7570438117717,60.333382504794216,114.61867532084379,7035,mengzhuo,1,0.0,18,false,false
2480047,facebook/tornado,python,940,1384879138,1385928600,1385928600,17491,17491,commits_in_master,false,false,0,1,0,1,1,1,0,0,1,1,1,0,0,100,6779,23,0,4,892.7570438117717,60.333382504794216,114.61867532084379,7035,klaussfreire,0,0,0,false,false
2468030,facebook/tornado,python,937,1384737827,1385832105,1385832105,18237,18237,commits_in_master,false,false,0,1,0,0,0,0,0,0,1,1,1,0,0,100,6779,18,0,2,892.7570438117717,60.333382504794216,114.61867532084379,7035,lepture,2,0.0,271,false,false
2463032,facebook/tornado,python,936,1384625524,1385831975,1385831975,20107,20107,commits_in_master,false,false,0,2,0,3,3,2,0,0,2,2,2,0,0,100,6779,8,27,0,892.7570438117717,60.333382504794216,114.61867532084379,7033,ticosax,0,0,3,false,false
2395803,facebook/tornado,python,931,1383718655,1385927027,1385927027,36806,36806,commits_in_master,false,false,0,2,1,1,2,2,0,0,1,1,1,0,0,100,6777,38,0,1,892.5778368009444,60.351187841227684,114.65250110668437,7031,SuminAndrew,0,0,2,false,false
2384830,facebook/tornado,python,928,1383591462,1383593009,1383593009,25,25,commits_in_master,false,false,0,1,1,0,1,1,0,0,3,3,3,0,0,100,6790,18,13,8,888.659793814433,60.08836524300442,114.28571428571428,7027,ajdavis,4,0.75,101,false,false
2381281,facebook/tornado,python,926,1383556173,1383590531,1383590531,572,572,commits_in_master,false,false,0,1,0,1,1,1,0,0,1,1,1,0,0,100,6790,11,0,13,888.659793814433,60.08836524300442,114.28571428571428,7027,liangsun,0,0,14,false,false
2366411,facebook/tornado,python,925,1383269117,1383415837,1383415837,2445,2445,commits_in_master,false,false,0,1,0,0,0,0,0,0,1,1,1,0,0,100,6732,15,0,12,889.6316102198455,60.16042780748663,114.08199643493761,7026,mengzhuo,0,0,16,false,false
2362086,facebook/tornado,python,923,1383223325,,1383223592,4,,unknown,false,false,0,1,0,0,0,2,0,0,1,1,1,0,0,100,6732,2,0,0,889.6316102198455,60.16042780748663,114.08199643493761,7026,ribeiroit,0,0,4,false,false
2280042,facebook/tornado,python,915,1382018540,1382289057,1382289057,4508,4508,commits_in_master,false,false,0,2,0,0,0,0,0,0,3,3,2,1,0,100,6608,20,27,0,900.8777239709443,61.13801452784504,115.31476997578692,7019,anton-ryzhov,0,0,3,false,false
2255753,facebook/tornado,python,913,1381679148,1381691471,1381691471,205,205,commits_in_master,false,false,0,1,0,0,0,0,0,0,1,1,1,0,0,100,6608,2,0,4,900.8777239709443,61.13801452784504,115.31476997578692,7017,tahajahangir,1,1.0,5,false,false
2243013,facebook/tornado,python,912,1381434875,,1383499871,34356,,unknown,false,false,0,1,0,1,1,1,0,0,1,1,1,0,0,100,6608,6,0,0,900.8777239709443,61.13801452784504,115.31476997578692,7015,LeoCavaille,0,0,3,false,false
2233720,facebook/tornado,python,911,1381326206,1383500689,1383500689,36181,36181,fixes_in_commit,false,false,0,2,0,2,2,1,0,0,2,2,2,0,0,100,6608,10,0,0,900.8777239709443,61.13801452784504,115.31476997578692,7015,gsmethells,0,0,0,false,false
2228981,facebook/tornado,python,910,1381256885,1383501153,1383501153,37344,37344,commits_in_master,false,false,0,1,0,0,0,0,0,0,1,1,1,0,0,100,6608,1,0,2,900.8777239709443,61.13801452784504,115.31476997578692,7014,Caligatio,0,0,4,false,false
2219865,facebook/tornado,python,908,1381139701,,1381191904,870,,unknown,false,false,0,1,0,3,3,4,10,0,0,10,4,6,0,100,6608,272,0,0,900.8777239709443,61.13801452784504,115.31476997578692,7013,brunofarina,0,0,5,false,false
2172390,facebook/tornado,python,907,1380391114,1381010465,1381010465,10322,10322,commits_in_master,false,false,1,4,2,4,6,2,2,0,7,9,8,1,0,98,6578,126,108,28,897.5372453633323,61.11280024323502,114.62450592885376,7010,MrTravisB,2,0.0,2,false,false
2109672,facebook/tornado,python,900,1379344206,1379861691,1379861691,8624,8624,fixes_in_commit,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,98,6578,9,0,0,897.5372453633323,61.11280024323502,114.62450592885376,7003,meson10,0,0,6,false,false
2052257,facebook/tornado,python,896,1378294722,1381012345,1381012345,45293,45293,commits_in_master,false,false,1,2,0,4,4,3,0,0,4,4,4,0,0,98,6571,26,0,10,890.8841880992238,60.56916755440572,113.83351088114442,6991,jniznan,0,0,0,false,false
1974181,facebook/tornado,python,891,1377234059,,1377364637,2176,,unknown,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,99,6571,43,0,0,890.2754527469183,60.56916755440572,113.22477552883883,6982,mayflaver,0,0,12,false,false
1973083,facebook/tornado,python,889,1377207012,1377212605,1377212606,93,93,github,false,false,1,1,0,0,0,0,1,0,0,1,0,0,1,99,6571,0,0,0,890.2754527469183,60.56916755440572,113.22477552883883,13964,pabelanger,0,0,20,false,false
1967803,facebook/tornado,python,888,1377140203,1377213862,1377213862,1227,1227,merged_in_comments,false,false,1,1,0,0,0,1,2,0,0,2,1,1,0,99,6571,53,0,0,890.2754527469183,60.56916755440572,113.22477552883883,6981,mashuai,0,0,0,false,false
1964014,facebook/tornado,python,887,1377091781,,1389041403,199100,,unknown,false,false,1,1,2,0,2,1,0,0,2,2,2,0,0,99,6571,25,48,0,890.2754527469183,60.56916755440572,113.22477552883883,6980,gmr,1,0.0,64,false,false
1962013,facebook/tornado,python,885,1377066234,1383510382,1383510382,107342,107342,commits_in_master,false,false,1,3,0,2,2,2,0,0,3,3,3,0,0,99,6571,36,20,14,890.2754527469183,60.56916755440572,113.22477552883883,6980,codeb2cc,0,0,8,false,false
1961249,facebook/tornado,python,884,1377050496,,1377092592,701,,unknown,false,false,1,1,0,1,1,2,0,0,1,1,1,0,0,99,6571,3,0,0,890.2754527469183,60.56916755440572,113.22477552883883,6980,dmitric,1,1.0,39,false,false
1913406,facebook/tornado,python,874,1376038604,1376358461,1376358462,5330,5330,github,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,99,6561,4,0,42,891.6323731138546,60.661484529797285,113.3973479652492,6978,skazhy,1,0.0,17,false,false
1913374,facebook/tornado,python,873,1376037976,1376038455,1376038455,7,7,commits_in_master,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,99,6561,4,0,42,891.6323731138546,60.661484529797285,113.3973479652492,6978,skazhy,0,0,17,false,false
1803982,facebook/tornado,python,859,1374227975,1374280975,1374280975,883,883,github,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,99,6554,5,0,5,892.8898382667073,60.72627403112603,113.51846200793409,6944,schlamar,3,0.6666666666666666,3,false,false
1787629,facebook/tornado,python,858,1374095141,1383505370,1383505370,156777,156777,commits_in_master,false,false,1,5,5,1,6,2,0,0,3,3,1,2,0,99,6554,141,0,83,892.8898382667073,60.72627403112603,113.51846200793409,6943,sclm,0,0,3,false,false
1785069,facebook/tornado,python,857,1374063869,,1375645749,26364,,unknown,false,false,1,1,0,2,2,2,0,0,1,1,1,0,0,99,6554,2,0,0,892.8898382667073,60.72627403112603,113.51846200793409,6942,nikitinsm,0,0,1,false,false
1784720,facebook/tornado,python,856,1374059505,1375647895,1375647895,26473,26473,commits_in_master,false,false,1,1,0,1,1,1,0,0,2,2,2,0,0,99,6554,4,10,21,892.8898382667073,60.72627403112603,113.51846200793409,6942,pitrou,0,0,0,false,false
1763395,facebook/tornado,python,851,1373604184,1373929806,1373929807,5427,5427,github,false,false,1,1,0,0,0,0,0,0,2,2,2,0,0,99,6552,2,18,20,881.7155067155066,59.981684981684985,112.78998778998779,6936,bendyer,0,0,7,false,false
1751372,facebook/tornado,python,848,1373408875,1373929450,1373929452,8676,8676,github,false,false,1,1,0,2,2,2,0,0,2,2,2,0,0,99,6552,5,85,79,878.968253968254,59.67643467643468,111.56898656898657,6934,SuprDewd,0,0,15,false,false
1667827,facebook/tornado,python,840,1372452324,,1372630430,2968,,unknown,false,false,0,2,0,1,1,2,0,0,1,1,1,0,0,100,6547,10,0,0,879.3340461279976,59.72201008095311,111.65419276004276,6929,jarrodb,0,0,2,false,false
1662878,facebook/tornado,python,838,1372373273,,1372373484,3,,unknown,false,false,0,4,0,1,1,1,0,0,0,0,0,0,0,100,6547,0,0,0,879.3340461279976,59.72201008095311,111.65419276004276,13854,cloudaice,3,0.3333333333333333,58,false,false
1637560,facebook/tornado,python,832,1372042009,,1372628574,9776,,unknown,false,false,0,4,0,3,3,3,5,0,1,6,5,0,0,100,6547,123,0,0,879.1813044142355,59.72201008095311,111.65419276004276,6926,comger,2,0.0,3,false,false
1672780,facebook/tornado,python,831,1371917346,1372628325,1372628326,11849,11849,github,false,false,0,1,0,0,0,0,0,0,1,1,1,0,0,100,6547,2,0,46,879.1813044142355,59.72201008095311,111.65419276004276,6924,erkyrath,0,0,59,false,false
1604781,facebook/tornado,python,824,1371441413,1371516683,1371516684,1254,1254,github,false,false,0,1,0,1,1,2,0,0,1,1,1,0,0,100,6547,10,0,2,879.1813044142355,59.72201008095311,111.65419276004276,6922,GrahamDumpleton,0,0,35,false,false
1579869,facebook/tornado,python,823,1370947298,1370996174,1370996175,814,814,github,false,false,0,1,0,0,0,0,0,0,1,1,1,0,0,100,6546,7,0,13,877.1769019248395,59.578368469294226,111.51848457073021,6920,schlamar,2,0.5,2,false,false
1557309,facebook/tornado,python,819,1370493612,1370518328,1370518328,411,411,github,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,98,6546,2,0,4,877.1769019248395,59.578368469294226,111.51848457073021,6916,dominiqueplante,0,0,3,false,false
1719771,facebook/tornado,python,817,1370016498,1370035943,1370035943,324,324,github,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,98,6427,3,0,12,884.860743737358,60.21471915357087,111.40501011358332,6909,ysimonson,2,0.0,23,false,false
1536644,facebook/tornado,python,809,1369859082,1370045040,1370045040,3099,3099,fixes_in_commit,false,false,1,1,0,1,1,2,0,0,1,1,1,0,0,98,6425,2,0,0,883.2684824902724,59.76653696498054,110.6614785992218,6909,mulka,0,0,21,false,false
1535730,facebook/tornado,python,808,1369847790,1369916325,1369916325,1142,1142,github,false,false,1,2,0,1,1,1,0,0,3,3,3,0,0,98,6425,34,20,146,883.2684824902724,59.76653696498054,110.6614785992218,6909,wolever,4,0.75,69,false,false
1535567,facebook/tornado,python,806,1369845535,1369916337,1369916337,1180,1180,github,false,false,1,1,0,0,0,0,0,0,2,2,2,0,0,98,6425,8,6,48,883.2684824902724,59.76653696498054,110.6614785992218,6909,wolever,3,0.6666666666666666,69,false,false
1521593,facebook/tornado,python,805,1369620773,1369663360,1369663360,709,709,github,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,98,6415,7,0,47,884.4894777864381,59.85970381917381,110.83398285268902,6905,chinyue,0,0,0,false,false
1520731,facebook/tornado,python,803,1369597766,1369598283,1369598283,8,8,commit_sha_in_comments,false,false,1,1,0,2,2,2,0,0,1,1,1,0,0,98,6415,5,0,0,880.2805923616523,59.70381917381138,110.05455962587685,13810,mrjoes,5,0.6,204,false,false
