pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2753345,feincms/feincms,python,507,1389016828,1389020086,1389020086,54,54,github,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,21,5634,0,0,4,327.831025914093,11.714589989350374,48.1008164714235,580,barseghyanartur,0,0,3,false,false
2722575,feincms/feincms,python,506,1388429781,1388658276,1388658276,3808,3808,commits_in_master,false,false,2,6,0,0,0,0,0,0,87,87,85,1,1,19,5565,355,65,568,330.81761006289304,11.859838274932613,48.697214734950585,580,matthiask,9,0.4444444444444444,67,false,true
2494079,feincms/feincms,python,495,1385042320,,1385381338,5650,,unknown,false,false,2,2,0,0,0,0,0,4,3,7,3,4,0,29,5195,244,0,0,297.20885466794994,12.704523580365738,52.55052935514918,579,matthiask,8,0.5,67,false,true
2465104,feincms/feincms,python,491,1384678709,,1385447962,12820,,unknown,false,false,2,2,0,1,1,1,0,2,9,11,4,5,1,35,5179,696,0,0,298.70631396022395,12.7437729291369,52.712878934157175,579,matthiask,7,0.5714285714285714,66,false,true
2439265,feincms/feincms,python,488,1384308766,1384345597,1384345597,613,613,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,37,5249,4,0,2,294.7228043436845,12.573823585444847,52.009906648885504,579,DrMeers,21,0.7142857142857143,28,false,false
2426227,feincms/feincms,python,485,1384165334,1384244749,1384244749,1323,1323,commits_in_master,false,false,2,2,2,1,3,2,0,0,1,1,1,0,0,40,5246,11,0,4,294.8913457872665,12.581014105985513,52.03964925657644,579,DrMeers,20,0.75,28,false,false
2411506,feincms/feincms,python,484,1383904259,1383906178,1383906178,31,31,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,45,5148,2,0,1,278.9432789432789,12.626262626262626,51.08780108780109,579,DrMeers,19,0.7894736842105263,28,false,false
2320130,feincms/feincms,python,477,1382618770,1382687247,1382687247,1141,1141,commits_in_master,false,false,2,3,0,4,4,2,1,1,10,12,11,0,0,45,5155,105,12,18,302.8128031037827,12.609117361784675,52.570320077594566,579,meshy,1,1.0,5,false,false
2300573,feincms/feincms,python,475,1382374942,1382381089,1382381089,102,102,commits_in_master,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,43,5151,3,0,0,278.78081925839643,12.618908949718502,51.05804698116871,579,adsworth,2,0.0,0,false,false
2298549,feincms/feincms,python,474,1382355306,1383919358,1383919358,26007,26007,commits_in_master,false,false,3,15,4,8,12,4,0,0,2,2,2,0,0,41,5155,845,52,38,302.8128031037827,12.609117361784675,52.570320077594566,579,matthiask,6,0.6666666666666666,65,false,true
2279419,feincms/feincms,python,473,1382013416,1382071490,1382071490,967,967,commits_in_master,false,false,3,2,0,0,0,1,0,0,1,1,0,1,0,53,5136,0,0,0,303.9330218068536,12.65576323987539,52.76479750778816,578,adsworth,1,0.0,0,false,false
