pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
98311,filipg/amu_automata_2011,java,705,1335022979,1340880137,1340880137,97619,97619,github,false,false,1,5,0,0,0,0,1,0,2,3,2,0,0,86,5365,76,43,88,1461.1369990680337,9.878844361602983,371.8546132339236,138,sebat,2,0.5,0,false,false
98158,filipg/amu_automata_2011,java,704,1335008455,,1335805175,13278,,unknown,false,false,1,7,0,0,0,1,1,0,1,2,1,0,1,86,5365,0,260,0,1461.1369990680337,9.878844361602983,371.8546132339236,138,igastepniak,4,0.25,0,false,false
97423,filipg/amu_automata_2011,java,703,1334936266,1334946835,1334946835,176,176,commits_in_master,false,false,1,3,0,1,1,1,1,0,1,2,2,0,0,86,5365,74,36,44,1461.1369990680337,9.878844361602983,371.8546132339236,138,sebat,1,1.0,0,false,false
96806,filipg/amu_automata_2011,java,702,1334905293,,1334911324,100,,unknown,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,86,5365,0,76,0,1461.1369990680337,9.878844361602983,371.8546132339236,138,HastorGit,0,0,0,false,false
90120,filipg/amu_automata_2011,java,701,1334424862,1334647388,1334647388,3708,3708,github,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,90,5365,0,0,2,1461.1369990680337,9.878844361602983,371.8546132339236,137,piciuinfo,3,1.0,0,false,false
76723,filipg/amu_automata_2011,java,700,1333385134,1333436904,1333436904,862,862,github,false,false,1,2,0,0,0,0,1,0,1,2,0,0,1,93,5365,0,0,0,1461.1369990680337,9.878844361602983,371.8546132339236,137,michalkornas,3,0.6666666666666666,0,false,false
75796,filipg/amu_automata_2011,java,699,1333302415,1333448783,1333448783,2439,2439,github,false,false,1,1,0,0,0,0,1,0,0,1,0,0,1,93,5365,0,0,0,1461.1369990680337,9.878844361602983,371.8546132339236,137,kasia1404,3,0.6666666666666666,0,false,false
74949,filipg/amu_automata_2011,java,698,1333198196,1333449534,1333449534,4188,4188,github,false,false,1,1,0,0,0,0,2,0,0,2,0,0,2,93,5365,0,0,0,1461.1369990680337,9.878844361602983,371.8546132339236,137,PiotrR,3,0.3333333333333333,0,false,false
74843,filipg/amu_automata_2011,java,697,1333186203,,1333453112,4448,,unknown,false,false,1,1,0,0,0,1,1,0,0,1,1,0,0,93,5365,54,0,0,1461.1369990680337,9.878844361602983,371.8546132339236,137,tumek,0,0,0,false,false
74786,filipg/amu_automata_2011,java,696,1333177600,1333453896,1333453896,4604,4604,github,false,false,1,1,0,2,2,1,1,0,0,1,0,0,1,93,5365,0,0,0,1461.1369990680337,9.878844361602983,371.8546132339236,137,tomaszkasprzak,3,0.6666666666666666,0,false,false
