pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1159627,floodlight/floodlight,376,1360975859,,1360975885,0,,2,1,0,49,75,38473,759,242,92,309.7756868453201,200,kwanggithub,22,0.9545454545454546,0,false,true
1159512,floodlight/floodlight,375,1360972951,1360973001,1360973001,0,0,2,1,0,1,76,38472,47,0,6,309.7837388230401,100,kwanggithub,21,0.9523809523809523,0,false,true
1151859,floodlight/floodlight,374,1360802921,,1360880863,1299,,2,8,1,10,78,38472,339,0,0,309.7837388230401,200,mwfong,2,1.0,0,false,false
952870,floodlight/floodlight,371,1359872960,1359872970,1359872970,0,0,2,1,0,20,81,37944,949,39,83,313.8045540796964,198,kwanggithub,20,0.95,0,false,true
952867,floodlight/floodlight,370,1359870595,1359872905,1359872905,38,38,2,1,0,20,81,37944,949,39,83,313.8045540796964,99,kwanggithub,19,1.0,0,false,true
941653,floodlight/floodlight,369,1359587599,1359587605,1359587605,0,0,2,1,0,1,81,37944,14,0,0,313.8045540796964,198,kwanggithub,18,1.0,0,false,true
941629,floodlight/floodlight,368,1359586857,1359586866,1359586866,0,0,2,1,0,159,82,37944,2205,341,116,313.8045540796964,198,kwanggithub,17,1.0,0,false,true
830128,floodlight/floodlight,367,1358800817,1358803119,1358803120,38,38,2,1,0,1,84,37944,0,58,3,313.8572633354417,198,Sovietaced,10,0.7,14,false,false
974195,floodlight/floodlight,366,1358370464,1358370560,1358370560,1,1,2,15,0,67,86,37787,2121,1840,324,298.72707544922855,99,kwanggithub,16,1.0,0,false,true
793267,floodlight/floodlight,365,1357844453,1360348782,1360348782,41738,41738,2,4,6,3,85,37787,85,0,8,298.72707544922855,190,mwfong,1,1.0,0,false,false
780499,floodlight/floodlight,364,1357459214,1357596843,1357596843,2293,2293,2,1,0,2,86,37781,25,20,4,298.37749133162174,95,Sovietaced,9,0.6666666666666666,7,false,false
776791,floodlight/floodlight,363,1357186031,1357186041,1357186041,0,0,2,6,0,12,86,37768,127,38,117,298.0565558144461,190,kwanggithub,15,1.0,0,false,true
776733,floodlight/floodlight,362,1357183924,1357183930,1357183930,0,0,2,1,0,2,86,37788,152,0,16,297.89880385307504,190,kwanggithub,14,1.0,0,false,true
776189,floodlight/floodlight,361,1357011665,1357011672,1357011672,0,0,2,1,0,0,87,37788,0,405,1,305.9436858261882,188,kwanggithub,13,1.0,0,false,true
776190,floodlight/floodlight,360,1356991634,1356991641,1356991641,0,0,2,6,0,61,87,37847,3697,1003,323,307.36914418580074,188,alexreimers,67,0.9701492537313433,18,false,true
776191,floodlight/floodlight,359,1356920370,1356923265,1356923265,48,48,2,1,0,1,87,37847,2,0,2,307.36914418580074,188,Sovietaced,8,0.625,14,false,false
771963,floodlight/floodlight,358,1356809492,1356839501,1356839501,500,500,2,1,0,3,87,37749,225,405,0,300.1139103022596,188,mwfong,0,0,0,false,false
769597,floodlight/floodlight,357,1356727023,1356727035,1356727035,0,0,2,1,0,3,88,37749,7,0,86,300.1139103022596,188,kwanggithub,12,1.0,0,false,true
769427,floodlight/floodlight,356,1356723473,1356723480,1356723480,0,0,2,2,0,1,88,37749,38,0,2,300.1139103022596,188,kwanggithub,11,1.0,0,false,true
769321,floodlight/floodlight,355,1356721223,1356721248,1356721249,0,0,2,1,0,1,88,37749,0,0,9,300.1139103022596,188,kwanggithub,10,1.0,0,false,true
768855,floodlight/floodlight,354,1356712199,1356712664,1356712664,7,7,2,1,0,1,89,37748,3,0,1,300.12186076083503,94,Sovietaced,7,0.5714285714285714,7,false,false
767128,floodlight/floodlight,353,1356662724,1356663325,1356663326,10,10,2,1,0,3,89,37704,59,0,3,300.47209845109273,188,Sovietaced,6,0.5,14,false,false
766910,floodlight/floodlight,352,1356655086,1356655210,1356655210,2,2,2,17,0,85,89,37659,2432,1501,479,300.2469529196208,188,kwanggithub,9,1.0,0,false,true
766541,floodlight/floodlight,351,1355856842,,1356646000,13152,,6,9,3,69,84,37659,4548,1553,0,300.2469529196208,186,Sovietaced,5,0.6,14,false,false
