pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size_at_merge,num_commits,num_commit_comments,num_issue_comments,num_comments,files_changed,total_commits_last_month,main_team_commits_last_month,sloc,churn,commits_on_files_touched,test_lines_per_1000_lines,test_cases_per_1000_lines,assertions_per_1000_lines
760900,fog,1407,1356059345,,1356116337,949,,11,1,0,0,0,1,0,0,115578,7,0,0.0,0.0,0.0
755569,fog,1381,1355689604,1355948497,1355948497,4314,4314,11,2,0,0,0,2,139,5,115376,188,2,0.0,0.0,0.0
760075,fog,1389,1355830262,1355929391,1355929391,1652,1652,11,6,0,0,0,8,143,5,115434,49,8,0.0,0.0,0.0
759886,fog,1388,1355824800,1355844484,1355844485,328,328,11,1,0,0,0,1,138,5,115434,4,1,0.0,0.0,0.0
757903,fog,1386,1355765026,1355775755,1355775755,178,178,11,1,0,0,0,2,137,4,115429,8,2,0.0,0.0,0.0
758298,fog,1387,1355772832,1355775688,1355775688,47,47,11,2,0,0,0,17,137,4,115429,2,23,0.0,0.0,0.0
757236,fog,1384,1355751602,1355752790,1355752790,19,19,11,1,0,0,0,3,134,3,115376,139,3,0.0,0.0,0.0
590242,fog,1314,1354147205,,1355751469,26737,,11,4,6,7,13,6,0,0,113746,458,0,0.0,0.0,0.0
749273,fog,1375,1355430322,1355610818,1355610818,3008,3008,10,3,0,0,0,4,139,2,115376,364,2,0.0,0.0,0.0
752771,fog,1365,1355241712,1355528229,1355528229,4775,4775,9,5,0,0,0,86,142,1,115244,206,111,0.0,0.0,0.0
749481,fog,1378,1355433750,1355509824,1355509824,1267,1267,9,2,0,0,0,2,145,1,115258,24,2,0.0,0.0,0.0
749334,fog,1377,1355431450,,1355506181,1245,,9,1,0,0,0,1,0,0,115258,32,0,0.0,0.0,0.0
749067,fog,1374,1355426450,1355435334,1355435334,148,148,9,1,0,0,0,1,152,1,115258,26,2,0.0,0.0,0.0
745331,fog,1369,1355332825,1355352705,1355352706,331,331,9,2,0,0,0,5,147,0,115244,28,5,0.0,0.0,0.0
742887,fog,1366,1355261016,1355275643,1355275643,243,243,9,2,0,0,0,3,149,0,115234,19,3,0.0,0.0,0.0
708152,fog,1352,1354830929,1355138786,1355138786,5130,5130,11,2,0,4,4,5,147,0,114961,91,5,0.0,0.0,0.0
685024,fog,1347,1354761046,1355014406,1355014406,4222,4222,11,1,0,5,5,7,156,0,115021,135,18,0.0,0.0,0.0
709407,fog,1355,1354833254,1354930333,1354930333,1617,1617,11,4,0,5,5,6,158,0,114961,65,4,0.0,0.0,0.0
723707,fog,1359,1354913268,1354924931,1354924931,194,194,11,1,0,1,1,3,158,0,114961,58,4,0.0,0.0,0.0
709476,fog,1356,1354833965,1354916730,1354916730,1379,1379,11,1,0,1,1,1,158,0,114961,4,1,0.0,0.0,0.0
708419,fog,1353,1354831230,1354916691,1354916691,1424,1424,11,2,0,4,4,2,158,0,114961,4,2,0.0,0.0,0.0
718882,fog,1358,1354879053,1354916418,1354916418,622,622,11,1,0,1,1,2,158,0,114961,8,2,0.0,0.0,0.0
