pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2543584,forge/core,java,361,1386269712,1386334517,1386334517,1080,1080,github,false,false,5,1,0,12,12,3,1,0,0,1,1,0,0,2,30716,107,0,0,373.1931241047011,10.157572600599035,35.16082823284282,132,VineetReynolds,29,0.7931034482758621,12,false,true
2483400,forge/core,java,360,1384913357,1384954421,1384954422,684,684,github,false,false,5,1,0,6,6,1,0,0,5,5,5,0,0,3,30277,51,50,22,371.86643326617565,10.139710010899362,35.175215510123195,132,VineetReynolds,28,0.7857142857142857,12,false,true
2458351,forge/core,java,359,1384535316,1384537774,1384537774,40,40,github,false,false,5,1,0,6,6,1,1,0,7,8,8,0,0,2,30216,77,5,51,368.9767010855176,10.127084988085784,35.04765687053217,132,stalep,3,1.0,6,false,true
2321203,forge/core,java,357,1382627400,1382698190,1382698190,1179,1179,github,false,false,5,3,0,17,17,1,6,0,10,16,7,8,1,3,27737,1178,746,193,370.660129069474,10.0227133431878,34.646861592818254,132,VineetReynolds,27,0.7777777777777778,11,false,true
2196922,forge/core,java,356,1380737573,1380745351,1380745351,129,129,github,false,false,5,8,0,25,25,1,7,1,14,22,15,1,0,4,25956,2204,303,47,349.4375096316844,9.785791339189398,32.67067344737248,132,gastaldi,56,0.8392857142857143,32,true,true
2182810,forge/core,java,355,1380570101,1380570299,1380570299,3,3,github,false,false,5,1,0,3,3,3,0,0,9,9,9,0,0,4,25946,0,58,43,348.91698142295536,9.789562938410546,32.68326524319741,132,koentsje,20,0.7,2,false,true
2164162,forge/core,java,354,1380246912,,1386256854,100105,,unknown,false,false,5,1,0,28,28,2,4,0,2,6,5,1,0,4,25682,106,137,0,348.4931080133946,9.734444357916049,33.01923526205124,132,gastaldi,55,0.8545454545454545,32,true,true
2098374,forge/core,java,353,1378984772,1378986222,1378986223,24,24,github,false,false,5,1,0,3,3,1,5,1,6,12,12,0,0,5,21162,354,150,9,378.27237501181366,9.781684150836405,34.165012758718454,132,VineetReynolds,26,0.7692307692307693,10,false,true
2065347,forge/core,java,351,1378479751,1378482094,1378482094,39,39,github,false,false,5,1,0,2,2,2,5,0,1,6,8,0,0,5,20370,0,302,2,365.1448208149239,9.621993127147768,34.02061855670103,132,VineetReynolds,24,0.7916666666666666,10,false,true
2053320,forge/core,java,350,1378306075,1378306505,1378306505,7,7,github,false,false,5,2,0,0,0,0,7,0,4,11,5,5,0,5,50376,993,95,4,415.49547403525486,14.927743369858662,62.72828330951247,132,VineetReynolds,23,0.782608695652174,10,false,true
