pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2717929,geemus/excon,ruby,351,1388335656,1388418422,1388418422,1379,1379,commits_in_master,false,false,3,2,0,2,2,3,0,0,2,2,2,0,0,54,4305,4,1,37,513.35656213705,0.4645760743321719,2.7874564459930316,388,mikehale,0,0,27,false,false
2710069,geemus/excon,ruby,349,1388147713,1388175081,1388175081,456,456,commits_in_master,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,56,4305,2,0,8,513.35656213705,0.4645760743321719,2.7874564459930316,388,zimbatm,1,1.0,39,false,false
2583895,geemus/excon,ruby,343,1386291969,1386340057,1386340057,801,801,github,false,false,3,3,0,1,1,1,1,0,24,25,25,0,0,60,4240,7,513,54,505.89622641509436,0.4716981132075472,2.830188679245283,388,burns,38,0.2631578947368421,5,false,false
2583200,geemus/excon,ruby,341,1386283161,,1386291273,135,,unknown,false,false,3,1,0,2,2,3,0,0,1,1,1,0,0,59,4240,2,0,0,505.89622641509436,0.4716981132075472,2.830188679245283,388,lardcanoe,1,0.0,3,false,false
2582553,geemus/excon,ruby,340,1386276003,,1386276028,0,,unknown,false,false,3,1,0,0,0,2,0,0,1,1,1,0,0,59,4240,57,0,0,505.89622641509436,0.4716981132075472,2.830188679245283,388,lardcanoe,0,0,3,false,false
2570359,geemus/excon,ruby,339,1386130423,1386171535,1386171535,685,685,github,false,false,3,1,0,1,1,1,0,0,1,1,1,0,0,60,4235,89,0,1,506.49350649350646,0.4722550177095632,2.833530106257379,388,glennpratt,0,0,10,false,false
2534581,geemus/excon,ruby,338,1385608357,1385999571,1385999571,6520,6520,commits_in_master,false,false,3,1,0,0,0,1,0,0,2,2,2,0,0,60,4138,19,0,26,500.241662638956,0.4833252779120348,3.3832769453842437,388,burns,37,0.2702702702702703,5,false,false
2526668,geemus/excon,ruby,337,1385506484,1385999471,1385999471,8216,8216,commits_in_master,false,true,3,3,0,4,4,2,2,1,8,11,10,1,0,59,4120,58,557,115,498.05825242718447,0.4854368932038835,3.3980582524271843,388,burns,36,0.2777777777777778,5,false,false
2526649,geemus/excon,ruby,336,1385506280,1385588740,1385588740,1374,1374,commits_in_master,false,false,3,7,0,3,3,2,0,0,11,11,11,0,0,59,4120,54,50,38,498.05825242718447,0.4854368932038835,3.3980582524271843,388,burns,35,0.2857142857142857,5,false,false
2483734,geemus/excon,ruby,333,1384919523,1385079223,1385079223,2661,2661,commits_in_master,false,false,3,4,0,11,11,3,0,0,5,5,4,0,1,59,4115,21,0,54,498.6634264884569,0.4860267314702309,3.4021871202916163,388,burns,34,0.29411764705882354,5,false,false
2475932,geemus/excon,ruby,329,1384834498,1384888638,1384888638,902,902,commits_in_master,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,59,4110,21,0,8,499.2700729927007,0.48661800486618007,3.40632603406326,388,burns,33,0.30303030303030304,5,false,false
2449968,geemus/excon,ruby,327,1384439286,,1384868275,7149,,unknown,false,false,3,3,0,8,8,3,0,0,3,3,2,1,0,58,3458,12,6,0,428.57142857142856,0.578368999421631,3.1810294968189705,388,johnbellone,0,0,6,false,false
2445580,geemus/excon,ruby,326,1384379583,1384529937,1384529937,2505,2505,commits_in_master,false,false,3,1,0,2,2,2,1,0,1,2,2,0,0,58,3458,5,27,32,428.57142857142856,0.578368999421631,3.1810294968189705,388,myronmarston,1,1.0,102,false,false
2442390,geemus/excon,ruby,323,1384351592,1384532949,1384532949,3022,3022,commits_in_master,false,false,3,5,1,0,1,1,0,0,6,6,6,0,0,58,3458,68,0,110,428.57142857142856,0.578368999421631,3.1810294968189705,388,burns,32,0.3125,4,false,false
2437832,geemus/excon,ruby,322,1384291330,1384529417,1384529417,3968,3968,commits_in_master,false,false,3,4,0,5,5,2,0,0,2,2,1,1,0,57,3458,4,0,4,428.57142857142856,0.578368999421631,3.1810294968189705,388,razielgn,0,0,8,false,false
2437578,geemus/excon,ruby,321,1384289189,1384533102,1384533102,4065,4065,commits_in_master,false,false,3,1,0,4,4,2,0,0,1,1,1,0,0,56,3458,5,0,13,428.57142857142856,0.578368999421631,3.1810294968189705,388,copiousfreetime,0,0,85,false,false
2430553,geemus/excon,ruby,320,1384207789,1384532561,1384532561,5412,5412,commits_in_master,false,false,3,10,0,1,1,2,2,0,11,13,11,0,0,56,3458,181,750,123,428.57142857142856,0.578368999421631,3.1810294968189705,388,burns,31,0.3225806451612903,4,false,false
2430533,geemus/excon,ruby,319,1384207587,1384531911,1384531911,5405,5405,commits_in_master,false,false,3,9,0,1,1,1,2,0,10,12,10,0,0,56,3458,152,617,88,428.57142857142856,0.578368999421631,3.1810294968189705,388,burns,30,0.3333333333333333,4,false,false
2430463,geemus/excon,ruby,318,1384207121,1384530742,1384530742,5393,5393,commits_in_master,false,false,3,6,0,0,0,1,2,0,7,9,7,0,0,56,3458,104,436,52,428.57142857142856,0.578368999421631,3.1810294968189705,388,burns,29,0.3448275862068966,4,false,false
2430456,geemus/excon,ruby,317,1384207022,1384530611,1384530611,5393,5393,commits_in_master,false,false,3,5,0,0,0,1,2,0,5,7,5,0,0,56,3458,99,398,17,428.57142857142856,0.578368999421631,3.1810294968189705,388,burns,28,0.35714285714285715,4,false,false
2430434,geemus/excon,ruby,316,1384206907,1384530282,1384530282,5389,5389,commits_in_master,false,false,3,4,0,2,2,2,2,0,2,4,4,0,0,56,3458,59,356,15,428.57142857142856,0.578368999421631,3.1810294968189705,388,burns,27,0.37037037037037035,4,false,false
2422050,geemus/excon,ruby,315,1384086926,1384179311,1384179311,1539,1539,commits_in_master,false,false,3,1,0,1,1,1,0,0,3,3,2,0,1,53,3431,6,33,8,424.0746138152142,0.5829204313611193,3.2060623724861554,388,graemenelson,0,0,6,false,false
2402827,geemus/excon,ruby,314,1383798047,1383848681,1383848681,843,843,commits_in_master,false,false,3,1,0,1,1,1,0,0,1,1,1,0,0,53,3430,1,0,6,424.19825072886294,0.5830903790087464,3.2069970845481053,388,burns,26,0.38461538461538464,4,false,false
2366163,geemus/excon,ruby,312,1383264756,1383335094,1383335094,1172,1172,commits_in_master,false,false,3,5,4,3,7,2,0,0,2,2,2,0,0,54,3403,93,0,15,427.5639141933588,0.5877167205406995,3.2324419629738466,388,burns,25,0.4,4,false,false
2349854,geemus/excon,ruby,310,1383074820,1383146472,1383146472,1194,1194,commits_in_master,false,true,3,3,0,2,2,2,0,0,5,5,5,0,0,53,3393,64,0,114,428.82404951370467,0.5894488653109342,3.2419687592101383,388,burns,24,0.4166666666666667,4,false,false
2337618,geemus/excon,ruby,308,1382928026,1382965189,1382965189,619,619,commits_in_master,false,false,3,1,0,1,1,2,0,0,1,1,1,0,0,53,3334,11,0,3,421.11577684463106,0.5998800239952009,1.1997600479904018,388,burns,23,0.43478260869565216,4,false,false
2335782,geemus/excon,ruby,307,1382893673,1382965261,1382965261,1193,1193,commits_in_master,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,54,3334,1,0,5,421.11577684463106,0.5998800239952009,1.1997600479904018,388,burns,22,0.45454545454545453,4,false,false
2335766,geemus/excon,ruby,306,1382893374,1382990770,1382990770,1623,1623,commits_in_master,false,false,3,2,3,0,3,2,0,0,4,4,3,1,0,53,3334,52,0,36,421.11577684463106,0.5998800239952009,1.1997600479904018,388,burns,21,0.47619047619047616,4,false,false
2321762,geemus/excon,ruby,304,1382632370,1382964344,1382964344,5472,5472,commits_in_master,false,false,3,6,0,5,5,3,1,0,3,4,3,0,0,54,3329,144,140,58,421.7482727545809,0.6007810153199159,1.2015620306398318,388,burns,20,0.5,4,false,false
2321685,geemus/excon,ruby,303,1382631798,,1382893806,4306,,unknown,false,true,3,1,0,3,3,3,0,0,10,10,10,0,0,54,3329,48,0,0,421.7482727545809,0.6007810153199159,1.2015620306398318,388,burns,19,0.5263157894736842,4,false,false
2321621,geemus/excon,ruby,302,1382631216,1382705207,1382705207,1233,1233,commits_in_master,false,false,3,1,0,1,1,1,0,0,1,1,2,0,0,54,3329,26,0,4,421.7482727545809,0.6007810153199159,1.2015620306398318,388,burns,18,0.5555555555555556,4,false,false
2321491,geemus/excon,ruby,301,1382630105,1382726469,1382726469,1606,1606,commits_in_master,false,false,3,1,5,0,5,2,0,0,2,2,2,0,0,54,3329,8,0,27,421.7482727545809,0.6007810153199159,1.2015620306398318,388,burns,17,0.5882352941176471,4,false,false
2308477,geemus/excon,ruby,300,1382468969,,1382964253,8194,,unknown,false,true,3,6,0,0,0,1,0,0,3,3,3,0,0,52,3329,66,87,0,421.7482727545809,0.6007810153199159,1.2015620306398318,388,tlunter,2,0.0,5,false,false
2307919,geemus/excon,ruby,299,1382462322,1382463193,1382463193,14,14,merged_in_comments,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,52,3327,1,0,0,422.0018034265104,0.6011421701232341,1.2022843402464682,388,kryptek,0,0,3,false,false
2307013,geemus/excon,ruby,298,1382453601,1382464309,1382464309,178,178,github,false,false,3,2,0,5,5,2,0,0,2,2,2,0,0,52,3327,3,0,21,422.0018034265104,0.6011421701232341,1.2022843402464682,388,JoshMcKin,1,1.0,0,false,false
2299937,geemus/excon,ruby,297,1382368961,1382371198,1382371198,37,37,commits_in_master,false,false,3,1,0,1,1,1,0,0,1,1,1,0,0,52,3327,2,0,14,422.0018034265104,0.6011421701232341,1.2022843402464682,388,burns,16,0.625,4,false,false
2261143,geemus/excon,ruby,294,1381769382,1381771388,1381771388,33,33,commits_in_master,false,false,3,1,0,0,0,2,1,0,5,6,6,0,0,49,3314,45,0,55,423.65721182860597,0.6035003017501509,1.2070006035003018,388,burns,15,0.6666666666666666,4,false,false
2256826,geemus/excon,ruby,292,1381701779,1381752178,1381752178,839,839,commits_in_master,false,false,3,1,0,1,1,1,0,0,2,2,2,0,0,50,3305,1,9,14,422.39031770045386,0.605143721633888,1.210287443267776,388,maxlinc,0,0,17,false,false
2247089,geemus/excon,ruby,290,1381496048,,1381496439,6,,unknown,false,false,3,1,0,1,1,1,0,0,1,1,1,0,0,51,3311,6,0,0,421.6248867411658,0.6040471156750227,1.2080942313500453,388,burns,14,0.7142857142857143,4,false,false
2243454,geemus/excon,ruby,288,1381439682,1381492043,1381492043,872,872,commits_in_master,false,false,3,2,0,1,1,2,0,0,2,2,2,0,0,51,3309,12,0,28,421.8797219703838,0.6044122091266244,1.2088244182532488,388,burns,13,0.7692307692307693,4,false,false
2235839,geemus/excon,ruby,286,1381348392,1381498783,1381498783,2506,2506,commit_sha_in_comments,false,true,3,2,0,12,12,4,0,0,1,1,1,0,0,51,3309,14,0,0,421.8797219703838,0.6044122091266244,1.2088244182532488,388,tlunter,1,0.0,5,false,false
2229917,geemus/excon,ruby,285,1381268570,1381320682,1381320682,868,868,github,false,false,3,1,0,4,4,3,0,0,2,2,2,0,0,53,3303,20,0,35,422.6460793218286,0.6055101422948834,1.2110202845897668,388,burns,12,0.75,4,false,false
2210412,geemus/excon,ruby,284,1380905470,1380906770,1380906770,21,21,github,false,false,3,1,0,2,2,2,0,0,6,6,6,0,0,54,3313,0,187,3,423.7850890431633,0.6036824630244491,1.2073649260488981,388,burns,11,0.7272727272727273,4,false,false
