pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2758776,geotools/geotools,java,339,1389096917,1389096924,1389096925,0,0,github,false,false,11,1,0,0,0,0,2,0,8,10,5,5,0,42,768504,6,56,0,251.3897130008432,8.840552554053069,32.278296534565854,134,NielsCharlier,14,0.2857142857142857,1,false,true
2671814,geotools/geotools,java,330,1387463605,,1387464385,13,,unknown,false,false,13,5,0,0,0,1,12,0,16,28,28,0,0,53,772780,171,705,0,252.26584538937342,8.905509976966277,32.4633142679676,134,benjamincburns,2,0.0,2,false,false
2646152,geotools/geotools,java,328,1387190280,1387271247,1387271247,1349,1349,commits_in_master,false,false,13,1,0,0,0,0,9,0,8,17,9,1,7,55,772673,188,181,2,252.08205799866178,8.895095337872553,32.4354545842808,134,jdries,1,0.0,0,false,false
2632882,geotools/geotools,java,327,1386940528,1387145803,1387145803,3421,3421,commits_in_master,false,false,13,1,0,1,1,1,2,0,12,14,11,0,3,56,772672,109,45,4,252.02802741654935,8.892518429553549,32.43290814213534,134,jodygarnett,6,0.0,2,false,true
2631993,geotools/geotools,java,326,1386929056,,1386936048,116,,unknown,false,false,13,3,0,4,4,2,0,0,10,10,10,0,0,57,772672,112,40,0,251.98143584858772,8.891224219332393,32.42902551147188,134,jodygarnett,5,0.0,2,false,true
2609781,geotools/geotools,java,325,1386691637,1388504076,1388504076,30207,30207,commits_in_master,false,false,13,1,0,0,0,0,0,0,1,1,1,0,0,57,772664,4,0,3,251.91286251203627,8.887433606328235,32.42806705113736,134,snotling,0,0,0,false,false
2565941,geotools/geotools,java,323,1386079452,1386257360,1386257361,2965,2965,github,false,false,13,2,0,9,9,3,10,1,1,12,10,1,1,60,771728,1245,104,2,252.04605767835298,8.898212841830281,32.432411419567515,134,NielsCharlier,12,0.25,1,false,true
2565791,geotools/geotools,java,322,1386078121,,1387190132,18533,,unknown,false,false,13,5,0,0,0,1,6,1,5,12,3,0,5,60,768440,47,117,0,251.05408359793867,8.823070116079329,32.240643381396076,134,jdries,0,0,0,false,false
2522182,geotools/geotools,java,320,1385463381,1385473373,1385473373,166,166,commits_in_master,false,false,13,1,0,0,0,0,3,0,2,5,3,2,0,61,771515,292,67,6,251.97825058488814,8.895484857715015,32.40377698424528,134,dromagnoli,12,0.75,2,false,true
2521860,geotools/geotools,java,319,1385459805,1385462489,1385462489,44,44,commits_in_master,false,false,13,1,0,0,0,0,6,0,11,17,9,4,4,61,771419,267,38,38,251.97071889595668,8.895295552741118,32.3987353176419,134,dromagnoli,11,0.8181818181818182,2,false,true
2493802,geotools/geotools,java,318,1385039993,1385046566,1385046566,109,109,commits_in_master,false,false,13,1,1,1,2,1,10,9,7,26,7,0,19,64,771109,260,52,2,251.957894409221,8.897574791631275,32.40397920397765,134,NielsCharlier,10,0.3,1,false,true
2486620,geotools/geotools,java,317,1384957125,1385035127,1385035127,1300,1300,commits_in_master,false,false,14,2,0,0,0,0,0,0,8,8,8,0,0,64,771074,246,164,22,251.8876268684977,8.896681771139994,32.397668706246094,134,ccancellieri,10,0.7,1,false,false
2478293,geotools/geotools,java,316,1384865723,1385043023,1385043023,2955,2955,commits_in_master,false,false,14,2,1,0,1,1,7,0,0,7,5,1,1,64,771074,1103,0,0,251.8876268684977,8.896681771139994,32.397668706246094,134,NielsCharlier,9,0.3333333333333333,1,false,true
2465285,geotools/geotools,java,315,1384683345,1386517703,1386517703,30572,30572,merged_in_comments,false,false,14,2,0,3,3,2,12,0,37,49,44,3,2,65,771069,1704,654,0,251.88926023481685,8.896739461708357,32.39787878905779,134,aaime,15,0.6,9,false,true
2428868,geotools/geotools,java,314,1384192359,1384522700,1384522700,5505,5505,commits_in_master,false,false,14,1,0,0,0,0,10,0,10,20,15,3,2,68,770715,1021,538,3,251.61959998183502,8.87747091986013,32.36475221060963,134,aaime,14,0.6428571428571429,9,false,true
2425339,geotools/geotools,java,313,1384152432,1384159833,1384159833,123,123,commits_in_master,false,false,14,2,6,0,6,2,0,0,2,2,1,1,0,69,770474,45,0,0,251.67624085952284,8.878949841266545,32.37357782352163,134,jodygarnett,4,0.0,2,false,true
2424739,geotools/geotools,java,312,1384137525,1384162016,1384162016,408,408,commits_in_master,false,false,14,2,2,1,3,2,1,2,6,9,0,8,2,69,770474,0,0,10,251.67624085952284,8.878949841266545,32.37357782352163,134,jodygarnett,3,0.0,2,false,true
2421012,geotools/geotools,java,311,1384055200,1384080761,1384080761,426,426,commits_in_master,false,false,14,4,6,0,6,2,4,1,8,13,0,11,2,71,770476,0,0,7,251.65092747859762,8.87633099538467,32.36960009137209,134,jodygarnett,2,0.0,2,false,true
2418342,geotools/geotools,java,310,1384004205,1384055226,1384055226,850,850,commits_in_master,false,false,14,2,0,0,0,1,0,0,3,3,0,3,0,71,770476,0,0,2,251.57305354092796,8.877628894345834,32.36830219241092,134,aaime,13,0.6923076923076923,9,false,true
2355376,geotools/geotools,java,309,1383143096,1383918541,1383918541,12924,12924,commits_in_master,false,false,13,2,0,3,3,1,14,0,13,27,16,1,10,72,770144,6902,715,18,251.27248930070223,8.865874433872108,32.31473594548552,134,ccancellieri,9,0.7777777777777778,1,false,false
2355103,geotools/geotools,java,308,1383140699,1384172052,1384172052,17189,17189,commits_in_master,false,false,13,2,0,1,1,1,0,0,25,25,25,0,0,72,770144,785,76,5,251.27508621764244,8.865874433872108,32.31473594548552,134,dromagnoli,10,0.9,2,false,true
2355036,geotools/geotools,java,307,1383140026,1383143640,1383143640,60,60,github,false,false,13,1,0,1,1,1,0,0,12,12,12,0,0,72,770144,51,310,0,251.27508621764244,8.865874433872108,32.31473594548552,134,aaime,12,0.6666666666666666,9,false,true
2334995,geotools/geotools,java,306,1382880181,1383143652,1383143652,4391,4391,commits_in_master,false,false,13,1,0,0,0,0,0,0,1,1,0,1,0,73,769331,0,0,5,251.14677557514253,8.866144741340204,32.28259357805678,134,aaime,11,0.7272727272727273,9,false,true
2327876,geotools/geotools,java,305,1382710774,,1384194009,24660,,unknown,false,false,13,1,0,5,5,2,0,0,2,2,2,0,0,73,769303,28,0,0,250.87254306820589,8.826171222522204,32.27206965265962,134,jwood106,0,0,0,false,true
2325759,geotools/geotools,java,304,1382689170,1382961462,1382961462,4478,4478,commits_in_master,false,false,13,1,0,1,1,1,0,0,2,2,2,0,0,73,769303,11,33,0,250.87254306820589,8.826171222522204,32.27206965265962,134,mbarto,16,0.9375,1,false,true
2318774,geotools/geotools,java,303,1382604892,1382608556,1382608556,61,61,commits_in_master,false,false,13,1,0,0,0,0,0,0,1,1,1,0,0,74,769302,2,0,0,250.83647254264258,8.823582936220106,32.26691208394103,134,g3o,2,0.0,0,false,false
2310043,geotools/geotools,java,301,1382492650,1382524356,1382524356,528,528,commits_in_master,false,false,13,5,0,0,0,0,2,0,33,35,33,1,0,75,769193,729,2002,0,250.7550120710927,8.81703291631619,32.24158306172833,134,jodygarnett,1,0.0,2,false,true
