pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commits_open,num_pr_comments,num_issue_comments,num_commit_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,commits_to_hottest_file,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,closer,merger,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member,social_connection_tsay,hotness_vasilescu,team_size_vasilescu,description_complexity,workload,prior_interaction_issue_events,prior_interaction_issue_comments,prior_interaction_pr_events,prior_interaction_pr_comments,prior_interaction_commits,prior_interaction_commit_comments,first_response,ci_latency,ci_errors,ci_test_failures
7827990,getsentry/raven-python,python,610,1433336104,1433336288,1433336288,3,3,commits_in_master,false,false,3,2,2,0,1,0,1,2,0,0,3,3,2,0,1,0,3811,1,10,2,2,769.089477827342,74.78352138546315,229.07373392810288,896,tgwizard,dcramer,dcramer,0,0,24,false,false,false,0.0,6,65,8,0,0,0,0,2,0,2,23604.0,true,false
7530490,getsentry/raven-python,python,609,1431548214,1432249079,1432249079,11681,11681,commits_in_master,false,false,3,2,2,0,1,0,1,1,2,1,18,21,18,0,1,0,3822,647,576,21,11,774.2019884877027,76.66143380429094,225.79801151229722,884,dcramer,dcramer,dcramer,16,0.9375,1281,true,true,false,0.02127659574468085,6,52,9,14,34,7,2,43,2,2,710697.0,true,true
7349245,getsentry/raven-python,python,606,1430417580,1430417690,1430417690,1,1,commits_in_master,false,false,3,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,3822,0,0,4,4,773.6787022501308,76.66143380429094,225.79801151229722,879,nikolas,dcramer,dcramer,1,1.0,26,false,true,false,0.0975609756097561,6,5,10,0,0,3,0,2,0,-1,15633.0,true,false
7335833,getsentry/raven-python,python,605,1430347411,1430415247,1430415247,1130,1130,commits_in_master,false,false,3,1,1,0,1,0,1,1,0,0,2,2,2,0,0,0,3819,62,14,6,5,774.2864624247186,76.72165488347734,225.97538622676095,878,dcramer,dcramer,dcramer,15,0.9333333333333333,1281,true,true,false,0.14705882352941177,6,46,10,13,34,2,3,31,1,0,9951.0,false,true
7062609,getsentry/raven-python,python,597,1428784852,1428860777,1428860777,1265,1265,commits_in_master,false,false,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3804,0,0,0,0,775.4994742376446,76.49842271293375,226.34069400630915,866,svenstaro,dcramer,dcramer,2,1.0,72,false,false,false,0.0,5,4,9,1,2,1,0,3,0,-1,8400.0,false,true
6989939,getsentry/raven-python,python,595,1428403057,1428403268,1428403268,3,3,commits_in_master,false,false,2,1,1,0,0,0,0,2,0,0,1,1,1,0,0,0,3804,2,0,0,0,775.4994742376446,76.49842271293375,226.34069400630915,864,chriskief,xordoquy,xordoquy,0,0,2,false,false,false,0.0,5,7,9,1,0,0,0,1,0,-1,7784.0,true,false
6974087,getsentry/raven-python,python,593,1428319443,,1428377850,973,,unknown,false,false,2,1,1,0,3,0,3,2,0,0,1,1,1,0,0,0,3804,2,0,3,3,775.4994742376446,76.49842271293375,226.34069400630915,863,gterzian,gterzian,,0,0,6,false,false,false,0.10344827586206896,5,61,9,0,0,0,0,0,0,222,8359.0,false,true
6878284,getsentry/raven-python,python,589,1427721305,1427791005,1427791005,1161,1161,commits_in_master,false,false,2,3,2,0,4,0,4,2,0,0,4,4,3,0,1,0,3799,18,55,5,4,774.6775467228217,76.33587786259542,226.1121347723085,858,svenstaro,xordoquy,xordoquy,1,1.0,72,false,false,false,0.07407407407407407,5,10,9,0,0,0,0,1,0,202,76266.0,false,true
6872349,getsentry/raven-python,python,588,1427653062,,1427653803,12,,unknown,false,false,2,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,3799,0,0,5,5,774.6775467228217,76.33587786259542,226.1121347723085,858,alex,,,7,1.0,1725,false,false,false,0.18518518518518517,5,4,9,0,0,0,0,0,0,-1,8033.0,false,true
6866325,getsentry/raven-python,python,584,1427543772,1427571377,1427571377,460,460,commits_in_master,false,false,2,1,1,0,2,0,2,1,0,0,1,1,1,0,0,0,3884,0,5,2,2,772.399588053553,75.6951596292482,222.45108135942326,858,Pankrat,xordoquy,xordoquy,1,1.0,4,false,false,false,0.25,5,20,9,0,0,1,0,2,0,460,4766.0,false,true
