pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1568411,ginatrapani/todo.txt-touch,java,359,1370672890,1371353902,1371353902,11350,11350,fixes_in_commit,false,false,4,1,0,0,0,0,0,0,1,1,0,0,1,28,33688,0,0,0,117.51959154595109,7.925670862028021,33.572785561624315,588,intrications,4,0.25,4,false,false
1566253,ginatrapani/todo.txt-touch,java,358,1370624220,1371353688,1371353688,12157,12157,commits_in_master,false,false,4,1,0,1,1,1,1,0,1,2,0,2,0,28,33688,0,0,0,117.51959154595109,7.925670862028021,33.572785561624315,588,intrications,3,0.3333333333333333,4,false,false
1566165,ginatrapani/todo.txt-touch,java,357,1370623328,1370623895,1370623895,9,9,commits_in_master,false,false,4,2,0,0,0,1,1,0,2,3,0,3,0,28,33688,0,0,1,117.51959154595109,7.925670862028021,33.572785561624315,588,intrications,2,0.5,4,false,false
1566111,ginatrapani/todo.txt-touch,java,356,1370622697,1371353324,1371353324,12177,12177,commits_in_master,false,false,4,1,0,1,1,1,0,0,1,1,0,1,0,25,33688,0,0,1,117.51959154595109,7.925670862028021,33.572785561624315,588,intrications,1,1.0,4,false,false
1547392,ginatrapani/todo.txt-touch,java,352,1370235940,1371353163,1371353163,18620,18620,fixes_in_commit,false,false,4,1,0,4,4,4,0,0,4,4,1,3,1,25,33437,1,0,0,118.40177049376439,7.985166133325357,33.82480485689506,588,chuckbjones,11,0.8181818181818182,6,false,false
1545256,ginatrapani/todo.txt-touch,java,351,1370233345,1370317754,1370317754,1406,1406,github,false,false,4,1,0,3,3,2,8,0,4,12,4,7,1,25,33437,357,0,23,118.40177049376439,7.985166133325357,33.82480485689506,588,chuckbjones,10,0.8,6,false,false
1495335,ginatrapani/todo.txt-touch,java,349,1368872887,1371358961,1371358961,41434,41434,fixes_in_commit,false,false,4,1,0,5,5,3,2,0,7,9,5,4,0,22,33437,168,0,0,118.40177049376439,7.985166133325357,33.82480485689506,588,deftelf,0,0,0,false,false
1412088,ginatrapani/todo.txt-touch,java,341,1367295158,,1367891814,9944,,unknown,false,false,3,1,0,0,0,1,0,0,2,2,1,1,0,45,33408,2,0,0,118.50454980842912,7.992097701149425,33.854166666666664,588,henrik242,1,0.0,5,false,false
1408076,ginatrapani/todo.txt-touch,java,340,1367238423,1367286569,1367286569,802,802,commits_in_master,false,false,3,1,0,1,1,1,0,0,2,2,0,0,2,47,33408,0,0,5,118.50454980842912,7.992097701149425,33.854166666666664,588,mpcjanssen,11,0.2727272727272727,0,false,false
1408036,ginatrapani/todo.txt-touch,java,339,1367237906,,1367287081,819,,unknown,false,false,3,1,0,0,0,1,0,0,1,1,0,1,0,46,33408,0,0,0,118.50454980842912,7.992097701149425,33.854166666666664,588,henrik242,0,0,5,false,false
1411746,ginatrapani/todo.txt-touch,java,338,1367236211,1367891485,1367891485,10921,10921,commits_in_master,false,false,3,2,0,3,3,2,0,0,3,3,1,2,0,46,33408,83,0,28,118.50454980842912,7.992097701149425,33.854166666666664,588,mpcjanssen,10,0.3,0,false,false
1402504,ginatrapani/todo.txt-touch,java,337,1367129819,1367184833,1367184833,916,916,commits_in_master,false,false,3,3,0,1,1,1,0,0,1,1,1,0,0,50,33390,24,0,20,118.53848457622043,7.996406109613656,33.87241689128482,588,mpcjanssen,9,0.3333333333333333,0,false,false
1400206,ginatrapani/todo.txt-touch,java,336,1367061965,1367100489,1367100489,642,642,commits_in_master,false,false,3,4,0,13,13,2,3,0,4,7,1,3,3,62,33342,82,0,9,118.70913562473757,8.007917941335252,33.9211804930718,588,mpcjanssen,8,0.375,0,false,false
