pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
102748,ging/planet2012,ruby,58,1335373253,,1368034466,544353,,unknown,false,false,2,7,0,0,0,0,103,0,55,158,16,71,67,47,640,784,16,0,385.9375,1.5625,76.5625,7,rioseco,3,0.0,0,false,false
99205,ging/planet2012,ruby,56,1335126102,,1335504088,6299,,unknown,false,false,2,19,0,0,0,0,95,1,58,154,33,75,34,44,640,937,96,0,385.9375,1.5625,76.5625,7,carloscrespog,2,0.0,2,false,false
99118,ging/planet2012,ruby,54,1335118882,,1335217396,1641,,unknown,false,false,2,11,0,0,0,0,152,0,63,215,21,115,61,44,640,834,16,0,385.9375,1.5625,76.5625,7,RoberETSIT,2,0.0,0,false,false
98892,ging/planet2012,ruby,53,1335097915,,1335606667,8479,,unknown,false,false,2,14,0,0,0,1,184,0,52,236,60,95,53,44,640,2233,269,0,385.9375,1.5625,76.5625,7,lmargal06,2,0.0,0,false,false
98849,ging/planet2012,ruby,51,1335093753,,1335427696,5565,,unknown,false,false,2,58,0,0,0,0,202,0,115,317,50,94,98,44,640,1893,265,0,385.9375,1.5625,76.5625,7,marinag09,2,0.0,0,false,false
97670,ging/planet2012,ruby,49,1334948783,,1335440198,8190,,unknown,false,false,2,14,0,0,0,0,121,1,90,212,37,98,55,44,640,1118,17,0,385.9375,1.5625,76.5625,7,pmerlo,3,0.0,0,false,false
97525,ging/planet2012,ruby,48,1334941426,,1335373198,7196,,unknown,false,false,2,7,0,0,0,0,103,0,55,158,16,71,67,44,640,784,16,0,385.9375,1.5625,76.5625,7,rioseco,2,0.0,0,false,false
91233,ging/planet2012,ruby,47,1334539774,,1335126076,9771,,unknown,false,false,2,14,0,0,0,0,25,0,20,45,17,17,7,50,640,154,31,0,385.9375,1.5625,76.5625,7,carloscrespog,1,0.0,2,false,false
91063,ging/planet2012,ruby,46,1334519991,,1335120874,10014,,unknown,false,false,2,38,0,0,0,0,4285,4263,29,8577,3047,453,729,50,640,45781,28,0,385.9375,1.5625,76.5625,7,alvaromr,1,0.0,0,false,false
91017,ging/planet2012,ruby,41,1334516501,,1335118804,10038,,unknown,false,false,2,10,0,0,0,0,39,0,40,79,14,20,29,50,640,183,11,0,385.9375,1.5625,76.5625,7,RoberETSIT,1,0.0,0,false,false
90951,ging/planet2012,ruby,38,1334511882,,1335097877,9766,,unknown,false,false,2,12,0,0,0,1,70,0,41,111,44,46,2,50,596,895,233,0,382.5503355704698,1.6778523489932886,83.89261744966443,7,lmargal06,1,0.0,0,false,false
90914,ging/planet2012,ruby,36,1334509424,,1334941355,7198,,unknown,false,false,2,6,0,0,0,0,36,0,29,65,7,24,33,50,640,46,10,0,385.9375,1.5625,76.5625,7,rioseco,1,0.0,0,false,false
90886,ging/planet2012,ruby,35,1334507572,,1334948742,7352,,unknown,false,false,2,8,0,0,0,0,27,0,35,62,23,28,2,50,640,304,0,0,385.9375,1.5625,76.5625,7,pmerlo,2,0.0,0,false,false
90874,ging/planet2012,ruby,34,1334506592,,1334755625,4150,,unknown,false,false,2,13,0,0,0,0,8,0,13,21,5,6,7,50,596,25,9,0,382.5503355704698,1.6778523489932886,83.89261744966443,7,fayala,1,0.0,0,false,false
90799,ging/planet2012,ruby,32,1334501312,,1335093705,9873,,unknown,false,false,2,54,0,0,0,0,134,0,78,212,43,46,63,50,640,1209,223,0,385.9375,1.5625,76.5625,7,marinag09,1,0.0,0,false,false
