pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2745245,github/linguist,ruby,886,1388839323,1388868702,1388868702,489,489,github,false,false,3,4,0,1,1,1,1,0,4,5,3,2,1,63,3130,60,16,422,301.59744408945687,29.712460063897765,169.96805111821087,1625,ruben2020,0,0,0,false,false
2734811,github/linguist,ruby,885,1388792597,1388868637,1388868637,1267,1267,github,false,false,3,2,1,6,7,3,2,1,1,4,0,1,2,63,3130,0,0,300,301.59744408945687,29.712460063897765,169.96805111821087,1625,GiampaoloFalqui,1,0.0,1,false,false
2742419,github/linguist,ruby,884,1388781275,1388785093,1388785093,63,63,github,false,false,3,2,0,2,2,2,1,0,1,2,0,1,1,63,3130,0,0,146,301.59744408945687,29.712460063897765,169.96805111821087,1625,jmromer,2,0.0,0,false,false
2741905,github/linguist,ruby,883,1388777079,,1388872263,1586,,unknown,false,false,3,2,0,4,4,3,0,0,2,2,1,1,0,63,3130,0,1,0,301.59744408945687,29.712460063897765,169.96805111821087,1625,Mailaender,0,0,11,false,false
2729416,github/linguist,ruby,880,1388594931,1388603219,1388603219,138,138,commits_in_master,false,false,3,2,0,0,0,0,2,0,2,4,1,1,2,63,3130,8,0,189,301.2779552715655,29.712460063897765,169.6485623003195,1624,emma-burrows,1,0.0,1,false,false
2723703,github/linguist,ruby,878,1388446828,1388456430,1388456430,160,160,commits_in_master,false,false,3,1,0,0,0,1,0,0,2,2,1,0,1,63,3130,16,0,46,301.2779552715655,29.712460063897765,169.6485623003195,1623,kevmoo,0,0,104,false,false
2723215,github/linguist,ruby,877,1388438645,1388439650,1388439650,16,16,commits_in_master,false,false,3,5,1,1,2,1,2,0,2,4,1,1,2,63,3130,21,0,326,301.2779552715655,29.712460063897765,169.6485623003195,1623,emma-burrows,0,0,1,false,false
2716544,github/linguist,ruby,873,1388298894,1388310698,1388310698,196,196,commits_in_master,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,65,3133,6,0,3,297.7976380466007,29.04564315352697,168.84774976061283,1623,piki,2,1.0,14,true,false
2716184,github/linguist,ruby,872,1388284213,1388284375,1388284375,2,2,commits_in_master,false,false,3,2,0,0,0,0,0,0,3,3,2,0,1,66,3123,15,5,1,297.1501761127122,28.81844380403458,168.42779378802433,1623,tnm,17,0.9411764705882353,158,true,true
2712362,github/linguist,ruby,870,1388179311,1388261183,1388261183,1364,1364,commits_in_master,false,false,3,1,0,0,0,1,0,0,1,1,0,1,0,66,3115,0,0,142,297.9133226324238,28.892455858747994,168.86035313001605,1623,joshterrell805,0,0,3,false,false
